comment,replies,user_name,date
Di sini karakter bass Paul terungkap. Saya suka line bassnya.,[],@LabuanBajoNTT,2024-07-25T07:59:35Z
"青森産の
ニンニクは素晴らしく良質なのに
スーパーには
何でか
中国産ばっかり
いったいこれは❔
どういう事
宝船はドンブラコと
どこに行くの❔",[],@user-gt6ug2lq1k,2024-07-25T02:17:04Z
"青森の殿方が
この通り
宝船で
ドンブラコと",[],@user-gt6ug2lq1k,2024-07-25T02:15:01Z
"Muy buena edición, me encantó el vídeo! Hermoso!",[],@luisamaribelruiznunez5109,2024-07-25T01:40:29Z
"John. Eternal rest grant unto him/her, O Lord, and let perpetual light shine upon him/her. May he/she rest in peace. Amen"".",[],@maryhowsrd3381,2024-07-25T00:22:39Z
"Eternal rest grant unto him/her, O Lord, and let perpetual light shine upon him/. May he. John / rest in peace. Amen"".",[],@maryhowsrd3381,2024-07-25T00:21:54Z
Rest in peace John Lennon,[],@maryhowsrd3381,2024-07-25T00:21:11Z
誰もいないと公園とかでは小さいのがまわりをもとわりつくみたいに飛んでついて来たりするのに😅😅😅😅😅😅😅,[],@user-gt6ug2lq1k,2024-07-24T21:25:00Z
"みんな大騒ぎだったのに意識がド集中しているのか近くまで来ていたのが
小さいのがドンドン大騒ぎになってカラスとかも遠くから鳴いていたのに。
あまりにもの意識が集中してるのか❔
誰もいない時みたいに来ないです😅😅😅😅😅😅😅",[],@user-gt6ug2lq1k,2024-07-24T21:24:09Z
"完全犯罪の医療だから。
感謝されて給料を貰って堂々と殺人が出来るから
やっぱり私達は一番優秀な人間だから。
優勢保護法を
バカにするような奴を生かしてはおけないから。
お前は本当の事ばかり言うから危ない目に合うんだ‼️",[],@user-gt6ug2lq1k,2024-07-24T20:04:02Z
"Красиво! Ну, и?",[],@user-jf2rt1bh3m,2024-07-24T18:25:49Z
is this perfection?,[],@Danny310563,2024-07-24T13:30:39Z
"こんな暑い時期なのに鳥達や色んな生き物達がまわりにいつも寄り添ってくれているからすぐに側に来なくて良いのに口を大きくあけて来てくれるのを見ていたら本当に自分は弱い存在だと思えるし、
温かく見守ってくれている存在を悲しませてはいけないと思えるから。",[],@user-gt6ug2lq1k,2024-07-24T11:11:37Z
02:10 Ringo !!,[],@mjaa1307,2024-07-24T07:02:06Z
"I think, this song wins: The cutest song ever.  🏆  
PS - Is the trolley bell at 1:10 and the trumpet at 1:12 😊",[],@TJPoppy,2024-07-24T02:49:36Z
before mass immigration,['😢'],@forusbyus1,2024-07-24T00:55:48Z
🎉❤😊,[],@Maybe-Ch,2024-07-24T00:43:32Z
Dennie Laine ! Isn't it tad bit strange?!*@,[],@brooklynlotus,2024-07-23T22:01:22Z
"Ведь кому то же надо было, что сошлись так звёзды и встретились эти четверо человек. Не супер виртуозные музыканты Но случилось ЧУДО и весь мир слушает ИХ более 60 лет , и каждый находит для себя, чтото своё!!!",[],@user-ty6wi7dp3v,2024-07-23T17:51:49Z
Man they are so awkward on those horses. Clueless.,[],@ariplatt8192,2024-07-23T16:36:47Z
The beatles the s let's you know there was more than one,[],@Chris-w2q,2024-07-23T09:41:01Z
❤,[],@jeannenuviala8285,2024-07-23T07:32:32Z
Such a great song,[],@ariplatt8192,2024-07-23T00:45:07Z
John looks so cool here.,[],@ariplatt8192,2024-07-23T00:43:17Z
These guys were considered super radical at the time.   The Beatles dared wear their hair long.   At first.    The Beatles cut with bangs on their foreheads st two albums soldill. Then the rumor was they smoked pot.,[],@floydcarbunkel4247,2024-07-22T19:21:51Z
Beatles on YouTube just hits different,[],@Josh37975,2024-07-22T14:06:47Z
"Seems to me….. that they were just not into making this. Going through the motions. Still great to see them being themselves, and the sound is great!",[],@hawkeye681,2024-07-21T12:31:53Z
"Well today we,re making you all Scousers.",[],@iantodd1260,2024-07-21T10:57:04Z
who is that tall guy playing Paul in this vid?,[],@NA-pr7sf,2024-07-21T00:16:16Z
"My mom's favourite Beatles tune!
RIP Mommy🌹❤🌹❤🌹❤!",[],@passamaquoddy8311,2024-07-20T21:54:23Z
Therds a penny lane in lebanon pa my ex wofe is penny,[],@michaelhickerson6732,2024-07-19T16:07:21Z
back when being british was cool and something people took pride in. used to have so much respect for the british now its all gone down the drain,[],@amogusfring,2024-07-19T14:59:11Z
❤❤❤❤,[],@giovannipuggioni3497,2024-07-19T09:59:14Z
This song grows in the meaning and our perspective as time passes...💘💗💝💖💞❤️❤️💞,[],@peggycarlton6899,2024-07-18T22:39:24Z
Momento gás total!,[],@ezidioalvesde362,2024-07-18T19:25:19Z
"Life and love go on, let the music play.💖",[],@softrockplaylist1,2024-07-18T01:22:13Z
"Who on earth made the error of writing ""Wet beneath the ...."" in the first refrain? Paul CLEARLY sings ""THERE beneath the ....."" just as in the second refrain and so on!  Good grief LISTEN CAREFULLY!!!",[],@ardenrobertrayce9974,2024-07-17T20:13:46Z
"Goats For me, those are the wonderful Beatles, since we call Messi that here in Argentina, it's like saying that they are the greatest of all time.",[],@Pelotudo908,2024-07-17T05:32:01Z
B,[],@sandrahunsberger6775,2024-07-16T22:52:27Z
Qwerty,[],@sandrahunsberger6775,2024-07-16T22:51:21Z
Very strange,[],@gabchaim8232,2024-07-16T21:55:31Z
"Lyrics…
In Penny Lane, there is a barber showing photographs
Of every head he's had the pleasure to know
And all the people that come and go
Stop and say hello
On the corner is a banker with a motorcar
And little children laugh at him behind his back
And the banker never wears a mac in the pouring rain
Very strange
Penny Lane is in my ears and in my eyes
Wet beneath the blue suburban skies
I sit and meanwhile back in
Penny Lane, there is a fireman with an hourglass
And in his pocket is a portrait of the Queen
He likes to keep his fire engine clean
It's a clean machine
Penny Lane, is in my ears and in my eyes
A four of fish and finger pies
In summer, meanwhile back
Behind the shelter in the middle of a roundabout
A pretty nurse is selling poppies from a tray
And though she feels as if she's in a play
She is anyway
Penny Lane, the barber shaves another customer
We see the banker sitting waiting for a trim
And then, the fireman rushes in from the pouring rain
Very strange
Penny Lane is in my ears and in my eyes
There beneath the blue suburban skies
I sit and meanwhile back
Penny Lane is in my ears and in my eyes
There beneath the blue suburban skies
Penny Lane

Source: Musixmatch
Songwriters: Paul Mccartney / John Lennon",[],@NaturesInfiniteWELLth-fo6rs,2024-07-15T19:52:13Z
Love the Beatles,[],@JerrelGeorge-o6r,2024-07-15T16:49:36Z
Excelente,[],@PatyPercl,2024-07-15T13:36:29Z
"I can’t believe there, what some being once starting pretending about Beatles, they were not making good music and becoming so liken because being “cute boys”, them should be “something” like “Menudos”
Indeed the Beatles music isn’t “so much” genius, only it is most genius music ever made until now 
(Besides at the time the TV not so much present or important and basic as media, even somehow for America or Britain)",[],@bornwitthepunkhiya,2024-07-15T03:57:41Z
"I went on a Beatles tour of Liverpool many years ago, and we went to Penny Lane!",[],@signe2023,2024-07-14T20:43:27Z
"This is the song that Ruby Lane was singing, I think",[],@Antonio-v5c,2024-07-14T09:15:53Z
the english way!!,[],@absu667,2024-07-14T08:09:54Z
"I love the waltz when john plays the organ but my god these boys we're talented they could play 3- 5 instruments each especially john
Organ
Banjo
Harmonic
Piano
Electric guitar 
Bass guitar 
Keyboard",[],@ORDEROFTHEKNIGHTSTEMPLAR13,2024-07-13T17:54:17Z
Love song🎉❤,[],@PASLAid,2024-07-13T04:18:31Z
"Great band, beautiful song",[],@yuchen9907,2024-07-12T20:40:07Z
The Beatles forever!!! Denis from France..,[],@denislacombe4103,2024-07-12T15:14:56Z
❤,[],@JanetVeunim,2024-07-12T13:46:42Z
"The song is amazing and it will last until the very end of time,  but that bass line is out of this world: that is McCartney at his prime.",[],@eduardocervantesaca,2024-07-12T10:56:14Z
Every song is absolute genius,[],@dcmastermindfirst9418,2024-07-12T06:18:55Z
Those reflections from the bus just weirds me out. It's like it was yesterday. They had great cameras.,[],@terjehansen0101,2024-07-11T17:47:39Z
❤❤❤,[],@valentinafedorova9259,2024-07-11T11:21:46Z
57 years ago wow,[],@user-rv7eg9ik6x,2024-07-10T21:16:18Z
Ringo Starr always my favorite  Beatle. He is and  has always been  CUTE . I'm a 64 yo Latina.  Ringo Rules. Peace and Love ❤️,[],@NeanillaCastaneda,2024-07-10T17:32:51Z
"I have loved the beetles since the 60's and  70's they are so unique and each song is different they don't have just one sound, penny lane and help  are a good example.",[],@BobAt101,2024-07-09T15:43:15Z
Freezing wasn't it?,[],@PhilSandy-lc4tu,2024-07-09T09:22:23Z
❤❤😊,[],@AnellSotoln,2024-07-08T13:36:21Z
The Greatest Band Ever,[],@doreengreen6196,2024-07-08T09:13:08Z
Finger Pie 😅,[],@jorgevillalobos6455,2024-07-08T05:19:03Z
"I adore you Jesus Christ and thank you for all your help!             ❤.           May God continue to bless everyone in the universe with no exceptions!¡!!!.…… Amen 💞🙏 i love you George Harrison.,,...you were lucky to have been here with Paul  McCartney and John Lennon and Richard Starsky.   Love you all.,.,...🎉😂❤",[],@user-lr1wq9xs6v,2024-07-08T03:42:10Z
Geniuses 💯👌,[],@spacebound7247,2024-07-08T03:15:02Z
"Hace más de cuatro años, por primera vez en  mi experiencia, me encontré en mí mismo lo que yo llamé: “la avaricia del tiempo”. Significando que algunas veces dejo de hacer cosas que me convienen, o que necesito. En el Supuesto de Que no las hago para no tomar de mi tiempo. Y en lugar de hacerlas, me voy al “ lugar donde nada ocurre “, (tomado esta frase de una canción de Joan Manuel Serrat).",[],@Upsunday,2024-07-08T03:04:19Z
"Hace 6 años por vez primera en mi experiencia me di cuenta de “la codicia del tiempo” ¿cómo ? La condición de no hacer cosas que aun sabiendo que me convienen y las necesito, las paso por alto para ir “al lugar donde nada ocurre” ( una canción de Joan Manoel Serrat)",[],@Upsunday,2024-07-08T02:59:38Z
A masterpiece about a bus stop . Thta's incredible,[],@user-mm1jn9nh4o,2024-07-07T15:07:10Z
What was the reason for the table to be flipped,[],@user-ft1yi1vv2h,2024-07-07T04:44:50Z
The Beatles invent progressive pop with this song,[],@elnick1659,2024-07-06T01:05:18Z
"I wonder why the video keeps focusing on John, seeing as this is a Paul song?",[],@dombohbot9330,2024-07-05T22:37:40Z
BEATLES inspired?,[],@Vicky-Lynn,2024-07-05T19:17:00Z
Penny Lane is delightful and magical...nobody does it like the Beatles...❤,[],@marycooney,2024-07-05T18:53:51Z
❤❤❤❤,[],@monicavidal850,2024-07-05T15:08:42Z
just to keep my day cool i’m listening to this🎧 2024,[],@user-qj6tw5vp5h,2024-07-05T06:16:35Z
Only Billy is happy 😂,[],@NofreedomofspeechonYouTube,2024-07-05T03:36:34Z
Me encanta 😊,[],@MarcelaGabrielaPedrazaSusano,2024-07-04T21:46:16Z
Mis papás,[],@TwiceLovelys.official,2024-07-03T23:06:01Z
It's 3:33😇,[],@shelleyharris9349,2024-07-03T20:32:40Z
I worked with a Penny once at TIC,[],@shelleyharris9349,2024-07-03T20:32:22Z
Lots of pennies,[],@shelleyharris9349,2024-07-03T20:31:51Z
"See 132m, the magazine 😊",[],@shelleyharris9349,2024-07-03T20:30:58Z
"0:11 no wayy , the beatles predicted gta san andreas 🔥🔥🔥",[],@yeaboa1760,2024-07-03T02:27:48Z
"Recuerdo que estaba viendo este video con mi hermana en la TV y ella estaba impresionada con el color de cabello de Lennon. Me dijo ""Estaba segura de que John Lennon tenía el cabello negro, siempre se lo ví negro"", le pregunté ""¿Dónde en los vídeos que están en blanco y negro?, y ella se quedó 😳
Me hizo gracia porque llevábamos viendo esa imagen de Lennon caminado en el inicio de un programa de música que ponían todas las tardes desde que éramos niñas",[],@HaruYoKoi.94,2024-07-02T18:24:02Z
"In Penny Lane, there is a barber showing photographs
Of every head he's had the pleasure to know
And all the people that come and go
Stop and say hello
On the corner is a banker with a motorcar
And little children laugh at him behind his back
And the banker never wears a mac in the pouring rain
Very strange
Penny Lane is in my ears and in my eyes
Wet beneath the blue suburban skies
I sit and meanwhile back in
Penny Lane, there is a fireman with an hourglass
And in his pocket is a portrait of the Queen
He likes to keep his fire engine clean
It's a clean machine
Penny Lane, is in my ears and in my eyes
A four of fish and finger pies
In summer, meanwhile back
Behind the shelter in the middle of a roundabout
A pretty nurse is selling poppies from a tray
And though she feels as if she's in a play
She is anyway
Penny Lane, the barber shaves another customer
We see the banker sitting waiting for a trim
And then, the fireman rushes in from the pouring rain
Very strange
Penny Lane is in my ears and in my eyes
There beneath the blue suburban skies
I sit and meanwhile back
Penny Lane is in my ears and in my eyes
There beneath the blue suburban skies
Penny Lane",[],@guerinopolimeno9034,2024-07-02T07:07:13Z
途中でいきなりワルツになるのが、大変難解なリズム。,[],@user-ke9dl4zl5p,2024-07-01T11:37:31Z
Magical song 🎶,[],@richalderson6069,2024-06-30T23:46:19Z
Penny lane,[],@naticodeiro7586,2024-06-30T23:41:09Z
some how    earth    is    devided   i   will   work   on   that     agarta   gaia    mother   earth    earth          brought   back   a   name      tyia    tyia    tyia   find out more later  tod infinity,[],@eel908,2024-06-30T21:53:11Z
"No tourist coaches allowed in the street Penny Lane, they have to park around the corner on a main road. I was there last year . I heard the Piccolo player on this song was paid £9 about $12.",[],@Raider577,2024-06-30T13:12:20Z
Here’s to Paul’s talent for making it pop while using so many key changes.,[],@i_mac246,2024-06-30T12:39:45Z
❤😊,[],@GinaHonxa,2024-06-30T01:57:36Z
"There's a musical element, section, moment or lyric in every The Beatles song that is... waaaa? Thanks",[],@FrankBarnwell-xi8my,2024-06-29T21:22:17Z
Who is here after visiting penny lane in liverpool?,[],@atharvadeshpande,2024-06-29T11:44:57Z
The birth of the music video?,['Paperback Writer.'],@susansingley9059,2024-06-29T01:34:13Z
This man was definitely the genius behind Fleetwood Mac,[],@donaldlassleben5944,2024-06-27T01:23:07Z
"Boy, those horses sure do look relieved when the Fab Four get off!",[],@PonyTrotsky,2024-06-26T16:50:07Z
I love John for eternity....Such a beautiful face& most talented Beatle.....2 me...🐐👑🎸💥💋✌❤🌎,[],@americangirl-,2024-06-26T06:26:26Z
"Kinks,stones,who,next beatles🤔.    🎶.  🎼.  🎶. 🎯   🇬🇧.    🙉",[],@johnthomas736,2024-06-23T22:50:36Z
Absolute genius.,[],@jammin1055,2024-06-23T16:44:12Z
"One of the finest masterpieces by the great Sir Paul.
Greetings from the Netherlands 🇳🇱.",[],@hansvandijk1487,2024-06-23T15:53:19Z
imo the beatles are mid but this song sits well with me and I don't know why,"['what you waffling ‘bout?', '@@tapeadeadworm wdym ""what you waffling about?"" Can you not read a sentence? I said I think the Beatles are mid but I like this song. Next time, figure out if you\'re illiterate or not before you comment.']",@squidsalotl,2024-06-23T13:47:13Z
Np words ❤❤❤❤❤❤❤,[],@user-hg8mj1uc6e,2024-06-22T19:18:18Z
Still listening in 2024 🖐,[],@duyquangnguyen4974,2024-06-22T16:10:01Z
I don’t think any anybody expect John to turn over the table😅,[],@MCD_123,2024-06-22T11:38:43Z
Liverpool FC,[],@oscarcastillo2216,2024-06-22T01:41:14Z
We have a penny lane in my town,[],@karendillon5213,2024-06-21T20:34:28Z
God bless Badfinger. What happened to you was devastating. 😢❤,[],@nancyjones6780,2024-06-21T20:05:09Z
❤❤❤🎉🎉,[],@ViviamSabio,2024-06-20T21:00:16Z
Penny lane is in my ears and in my eyes 👀,[],@sarahsmith5179,2024-06-20T04:48:12Z
.....................,[],@rondeneef,2024-06-20T00:47:32Z
🎶💜,[],@Justbreezintoday,2024-06-19T02:48:05Z
"John Lennon: ""Familiarity breeds contempt!""",[],@user-xo6dv7cw1b,2024-06-18T19:28:15Z
6-18-2024 Happy Birthday Sir Paul,[],@ronaldclavecillas6078,2024-06-18T18:34:58Z
"True work of art by true Geniuses, McCartney's arrangement was above what he expected, I don't know if any Beatles talked about it",[],@galochampionbestintheworld7613,2024-06-18T15:01:38Z
Barrio Boer 1967,[],@user-me3ef8kh1x,2024-06-18T01:20:06Z
Whos here in 2025,[],@EDVreese,2024-06-17T21:14:45Z
Леннон. Здесь. Хорош.,[],@user-my3wg2cm4d,2024-06-17T13:55:04Z
Because I have found myself terribly addicted,[],@janisbaumrucker3431,2024-06-16T19:00:25Z
Was it hard to stop  smoking cigarettes?,[],@janisbaumrucker3431,2024-06-16T18:59:08Z
This trumbet part is fantastic!!! It will remain as the sigbature stump of the song!!!,[],@adampapadam411,2024-06-16T18:56:48Z
Tem um babaca seguindo o John e aparece umas dez vezes durante o clip. Será que foi proposital??,[],@luispauloconti129,2024-06-16T17:07:42Z
I was born when this song came out when i was 13 I listen to it loved it ever since ❤❤,[],@lauracline8865,2024-06-15T23:45:33Z
0:47 fav time,[],@Smiley_Apol,2024-06-14T21:02:34Z
❤😊,[],@shannonbowman5990,2024-06-14T18:41:22Z
Me hace acordar a Córdoba Capital,[],@marisahalac1620,2024-06-14T10:44:07Z
buy me a ticket to penny lane,[],@mctwistx1248,2024-06-14T03:12:51Z
"One of my favouverites of the Beatles,because of the happiness,the joyfulniss and other all positive sensations this beautifull song brings.",[],@frankdebuck5916,2024-06-13T16:03:25Z
👌😎,[],@petersheely7246,2024-06-13T07:06:03Z
Just started singing this at Karaoke! I think I will keep it!,[],@vincentlem2534,2024-06-13T00:16:28Z
"The first time I've ever felt nostalgic was when I was 3 and my parents showed me this mv, I didn't understand because I didn't speak English at the time (I'm french) but this song made me feel nostalgic. I didn't even know this feeling back then but I knew that it was going to be an important song to me. Though it was the first time I was hearing it, I felt as if I was missing my hometown or something and now, more than 10 years later, I listened to this song and still feel nostalgic",[],@a1ic3_05,2024-06-12T19:15:54Z
Pure art.,[],@mazasan,2024-06-12T11:39:04Z
"im playing this attagym, 2024",[],@pennymn19,2024-06-12T06:31:18Z
There aren't many songs that still blow me away more and more as the years pile up. I'm 70 and when I hear the Beatles they still blow me away and each time it gets better.,[],@TonyBurke100,2024-06-12T03:24:31Z
Favourite Beatles song. ❤,[],@MusicAdmirer,2024-06-11T12:59:16Z
Legend the best 1968 presente 👍,[],@filippodrogo3332,2024-06-10T19:29:27Z
"That Trumpet 🎺  solo ,just great !😊",[],@user-ue2bu3pl1c,2024-06-10T09:48:01Z
Perú 🇵🇪 2024,[],@abelmariluzalcantara4571,2024-06-10T07:14:42Z
I m here,[],@EstherMueller-cd3tz,2024-06-09T22:41:26Z
❤❤❤😊😊😊,[],@LuisaMoeg,2024-06-09T21:35:19Z
La canción mas hermosa de todos los tiempos!!! Saludos desde CDMX México,[],@germanrodriguez3417,2024-06-09T01:40:26Z
0:03,[],@Paul-dw2cl,2024-06-09T01:22:16Z
"Beatles started to be recognized in Us before being well known in England .
And that's a fact when they went to US to sing and play alive ! From now on , US surrended to their Music.
First , Beatles were a simple band in a pub of Liverpool... England didn't care so much .
After BEING recognized in US , ENGLAND, ALSO , STARTED TO RECOGNIZE THEM",[],@goncalonunodurao7656,2024-06-09T00:15:32Z
"Love love this song 
I was 7 years old 
Still love it at 63 years old",[],@Always_there99,2024-06-08T03:58:43Z
"Ahhhhh! ❤A Young Audience!! Still hope for all😉, Keep hearing the words. 🎉They taught us. Not parents.

#Olhippi",[],@user-zx5or3sl8x,2024-06-08T03:50:05Z
"In Penny Lane, there is a barber showing photographs
Of every head he's had the pleasure to know
And all the people that come and go
Stop and say hello
On the corner is a banker with a motorcar
And little children laugh at him behind his back
And the banker never wears a mac in the pouring rain
Very strange
Penny Lane is in my ears and in my eyes
Wet beneath the blue suburban skies
I sit and meanwhile back in
Penny Lane, there is a fireman with an hourglass
And in his pocket is a portrait of the Queen
He likes to keep his fire engine clean
It's a clean machine
Penny Lane, is in my ears and in my eyes
A four of fish and finger pies
In summer, meanwhile back
Behind the shelter in the middle of a roundabout
A pretty nurse is selling poppies from a tray
And though she feels as if she's in a play
She is anyway
Penny Lane, the barber shaves another customer
We see the banker sitting waiting for a trim
And then, the fireman rushes in from the pouring rain
Very strange
Penny Lane is in my ears and in my eyes
There beneath the blue suburban skies
I sit and meanwhile back
Penny Lane is in my ears and in my eyes
There beneath the blue suburban skies
Penny Lane",[],@Gormuth.s,2024-06-08T01:20:40Z
Love❤❤❤,[],@miriangonzalez1190,2024-06-08T00:09:18Z
Can definitely tell that Ringo isn't on the drums.  I learned that on Michael Noland's channel.,[],@stephanieredden8861,2024-06-07T23:05:40Z
A música da minha infância ......linda❤,[],@gloriacandrada,2024-06-07T20:51:54Z
Pure and utter originality! Genius creation. Like most of the Beatles songs this song is unique. The melody is completely original and sounded like nothing else and Paul McCartney is sometimes overlooked as a lyricist. This actually is poetry to quite a high degree. Wonderful!,[],@adrianbray4025,2024-06-07T20:33:39Z
"Wonderful song from Beatles. Time goes by, but this song stays in my mind.",[],@user-ej5ye9cf7m,2024-06-07T18:24:56Z
Qué barbaridad 😅 1:04 1:05,[],@javiergarciaflorez2103,2024-06-07T17:09:21Z
"Me again! I must be following you round. I have been to Penny Lane in Liverpool. It is a two way street and must be 2 or 3 kilometres long. Travelled on the 27 to Penny Lane, got off by the barber shop, took the picture, then back on the bus to Lime Street station. The bus, in 2010, was not the old Liverpool bus green, much more modern though!
Always play the old standards on a regular basis.
Semi-retired in Picton, South Island, New Zealand.",[],@Phil-oj5nr,2024-06-07T07:45:28Z
Facial hair was a big trend for the Beatles in ‘67,[],@lucapaladino-punnyproducti6390,2024-06-07T02:40:21Z
Who's from june 2024?,[],@Corbinkent2009,2024-06-07T01:59:31Z
Who is here in 2025 😮?,[],@AA-im7ki,2024-06-06T10:52:06Z
普通よりも何倍も早く老化をしてしまうような❤❤❤😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,[],@user-gt6ug2lq1k,2024-06-06T02:04:18Z
I’ve loved this song since I first heard it in 1967. I was six. It’s still my favourite Beatles song.,[],@mikemoore4033,2024-06-05T21:49:04Z
I want a jojo stand based off of this !,[],@user-tu7dx7tb3c,2024-06-05T17:11:48Z
Who's here in 2025?,[],@atomic2746,2024-06-04T22:59:33Z
Penny Lane is in my heart❤️❤️❤️,[],@wendideleoncampbell4174,2024-06-04T12:37:12Z
This was filmed on and around the real Penny Lane in Liverpool which still draws Beatle fans from around the world.,[],@user-ez6vk2bw7q,2024-06-02T20:19:16Z
Music videos before anyone knew what they were.,[],@tomjohnson7529,2024-06-02T15:28:48Z
Hello!,[],@JacobusKazenbroot,2024-06-02T08:15:31Z
