comment,user_name,date
"What a desperate song, ""say you love me"" ?, (every guy will), and diet Pepsi?""   Diet Pepsi with aspartame...might as well sing it with Formaldehyde lyrics.  Guessn education was put on the back burner while getting in the back seat.",@lemeowchat,2025-03-21T09:44:05Z
This is why today’s music is awful. Let’s add class to our music please.,@susiesmith7694,2025-03-20T21:21:47Z
the last part where the song sounds like its ending and then pauses for a few seconds and the beat drops just scratches some part of my brain🙏🏼🙏🏼,@catmother_thefirst,2025-03-18T13:25:49Z
"I 100% thought the lyrics was ""My lips reflect off his Costco chain""",@justinauyeung1290,2025-03-15T15:58:57Z
"Idk it's giving ""Blue Jeans"" and ""Born To Die"" vibes by Lana Del Rey but okay🤷",@Boobsarelife,2025-03-15T00:30:51Z
These new vibes are everything!! All ready for happy and in love era ❤,@danielcorzantes963,2025-03-14T04:15:44Z
Gotta really like the song ...but video um we'll ummmm ya there is no nice way of saying it's awful..,@joycegriffin1290,2025-03-13T18:22:35Z
"I’m getting Cindy Crawford Pepsi commercial. But I’m 42 so 🤷🏼‍♀️ That said, as a late bloomer…this whole song is a trip down memory lane. And if this is her new vibe, sign me allllll the way up. 🫦🎸",@emilysauce,2025-03-13T04:02:21Z
crazy 😝😜🤪 catchy,@JonLovett-u4w,2025-03-12T22:49:05Z
It gives a nostalgic chill vibe like those days of watching the rain from the window as a kid,@CONOR_69,2025-03-06T22:31:20Z
This is like euphoria cassie’s vibe,@arntsic7989,2025-03-05T14:20:09Z
I get the vibe from untouched by the Veronica's,@Lizzayy_mariee25,2025-03-05T01:27:53Z
"I love this because it it something different than most interprets do these days. Everywhere is rap, curse words and ugly clothes. But ✨this✨ just hits different. The song’s cool, but I love the vibe from the video clip - Addison’s clothes, the way she’s being real and not just perfectly smiling like a robot like ahh love it",@Sabina10987,2025-03-01T09:18:54Z
She gives the vibe of lana and marylin monro,@Mileyduaxo,2025-02-26T20:33:14Z
I came here after hearing tates “purple lace bra” chorus. Definitely sound similar,@emanueljohnson6619,2025-02-25T01:24:26Z
Love the music except the lyrics,@Bxxtterfly3,2025-02-24T15:15:56Z
This song gives me 2015 vibes,@HahAera,2025-02-24T04:56:27Z
diet pepsy is litterally the best between the three songs srry <3 it's already so nostalgic,@rapunzelissecret,2025-02-23T14:38:14Z
Nahhhh cause this whole time I thought i was hearing taylorswift in the chorus!!!,@manuuvehikite8021,2025-02-22T09:05:06Z
Did not expect to be listening to Addison Rae ever 😂 but my God this is so catchy. It’s giving me 90s pop star vibes.,@sdb5931,2025-02-21T15:07:41Z
"Sex stuff aside, this is a catchy ass song",@UglyBarnical58,2025-02-19T02:10:10Z
