comment,user_name,date
SAME VIBE BMF BY SZA ACKKK MY BOTH FAVE 😭🫶🫰,@hideinCraze,2025-03-08T03:07:05Z
"The lyrics,  ''i can't wait to try him'' just damn I'm in love with this and fantasizeee😭🫀👍",@nehaakter7714,2025-02-26T09:49:54Z
"This album should've been ""BEST POP VOCAL ALBUM"" at the Grammys",@justinmv023,2025-02-09T03:58:41Z
she seriously ate with this album and like how this song is just so energetic and catchy is just MWHA!💋,@IYRAluvsSabrinaTayandOlivia,2025-02-08T05:58:08Z
At this point it should be in Grammy awards it's so catchy 🔥😭👏🏻,@fariftaferdous8558,2025-02-01T15:45:04Z
"Why the first melody sounds like ""Luigi Mansion song""",@ricky1747,2025-01-03T20:13:55Z
Awful,@CancelHappiness,2024-12-08T21:00:29Z
That’s so catchy 😍,@marvelousmaryy,2024-11-11T15:16:22Z
I like this jam. Gots a 90s vibe,@13salinaspride,2024-10-12T02:42:18Z
this is my favorite song from her eternal sunshine album... it just has amazing ✨vibes✨,@charcoallatte-cl,2024-09-29T01:31:19Z
Her new songs are just blahhhh not good....what happened? There all just boring and not catchy,@tazeschwifty4363,2024-09-23T03:19:36Z
What a vibe ❤,@vorachor3673,2024-09-15T15:46:03Z
we need gucci mane on this beat,@bubblefungus82,2024-09-13T03:32:06Z
I can listen to this all the time all day 😍The Vocals just Amazing 🤩....,@sanjeykumar8606,2024-09-09T07:38:27Z
"I'm not sure how this is a visualizer instead of a straight-up lyric video? (Or is that just the fancy term for it, a la 'sandwich artist' style?) But at least they put the lyrics up and leave them there long enough for people to actually be able to read them, unlike some. Font kinda small, though.",@iprobablyforgotsomething,2024-09-09T03:23:37Z
"Ariana is so good at making incredibly catchy, fun, feminine pop/rnb songs UGH i am absolutely obsessed with it and her and her breathy voice UGH so mariah carry core",@dianed3978,2024-09-09T02:04:12Z
"The lyric and her voice is so catchy especially at ""the boy is Devine"".",@Moon-jae7,2024-08-31T07:08:32Z
This song gives me Y2K vibes!,@mackenziewachter2508,2024-08-20T15:49:46Z
Positively awful. 😅 the original was a great song. Yuck. Really how do you ruin a song so bad.,@honeysuckle2780,2024-08-15T11:49:16Z
You can’t even read the lyrics . This woman is shameless to call this a lyric video,@dreamfyres,2024-08-10T23:43:59Z
This is WAY too catchy for my repetitive mind 😭,@LaylaRferg,2024-08-10T05:39:10Z
Ringtone❤,@UriAG98,2024-07-15T18:41:39Z
