comment,user_name,date
Looks like deep sadness,@Mine-PopMix,2025-03-17T04:19:57Z
Worst part 3:49,@Hellokitttycats14,2025-03-11T12:17:16Z
Muitas lágrimas e muitos sorrisos ao mesmo tempo,@Anajuh_AM,2025-02-22T11:25:39Z
"BEHIND THESE SUCCESSFUL SONGS, THERE IS A VERY POWERFUL AND WONDERFUL QUEEN. I LOVE YOU ARI!!",@Faalliwoo11,2025-02-11T01:37:52Z
ariana's vocals >>,@mmycandyy,2025-01-31T17:23:44Z
I  remember about fav verse you like it reminded me of you,@nilukungdesu1320,2025-01-22T17:40:15Z
"This song is so nostalgic i cant stop listening it im literally crying bc i dont think i cant go the past moments of my life where my circle of friends is having a great time🤧 ILYSM❤️‍🔥, Ariana🎀 this song is a masterpiece i couldn't remember all the things my friend and i did.",@johnkimbontog4117,2025-01-18T18:26:08Z
"I love this song so much. Listen to it every now and again because it’s heavy. Also feel like it speaks on various levels of relationships, like I could say so many lyrics to my parents instead of an ex boyfriend or something of that sort.",@belenandrade5293,2025-01-18T17:50:51Z
I may not like the bs this b does outside of her music/acting career but I love her voice and her music composition. She’s a true musician.,@jontheroxnewnes4398,2025-01-16T19:30:01Z
"idk, i can't feel it anyway. some peoples is really nostalgic when listen to this song. but me? i really never have a gf lol",@lah_mat,2024-12-22T04:35:14Z
This one gives 'One Last time' vibes ❤ Love ❤,@nadinen7391,2024-12-10T17:04:45Z
"Most of her songs are very shallow (this one included), I think the music and her voice are what makes them stick with us, not the lyrics.",@AnneA-hh9tn,2024-12-02T11:51:37Z
Such a beautiful and emotional song! 💖✨ I hope everyone here finds the love and peace they deserve. Stay strong and keep shining! 🌟,@LoveChillVibes55,2024-11-26T03:35:17Z
"I initially thought this was about a romantic relationship. Looking into the lyrics, I think this is about the relationship between Ariana & media/press/fans (possibly surrounding the rumours she wrecked a marriage). 'You cling to your paper & pens' = waiting to write an article. 'Wait until you like me again' = when the angle changes and she is revered again by the press.  'Me & my truth we sit in silence' = Not addressing the rumours. 'Know that you made me' = the press and fans made her the success she is. 'I'm not how you paint me' = how she is depicted in the media.",@ColinnOk,2024-10-21T22:20:48Z
Thank ariana for every emotion that you transmit to us and help us to release. ❤🙏🏻,@LoRe_vlogs_CM,2024-10-09T21:21:01Z
"Someone said this is ""right person, wrong time vibes"" and, for me, that's EXACTLY why I've been listening to this song on repeat today. If he only knew... 💭",@alyshasnyder2972,2024-09-30T04:18:43Z
the lyrics to this song and the instrumental and the vibe just everything I’m so heartbroken actually😭😭💔 ariana the beautiful fucking artist you are,@jenniegimm,2024-09-23T10:47:25Z
She gives off  Taylor swift vibes.  Each guy comes with its own album 😂,@yanalicious87,2024-09-14T18:19:47Z
"“So for now it’s only me, and maybe that’s all I need.” Wow. ❤ I’m crying. That’s so beautiful… Then 3:12 when the magical melody comes… Oh my god. I love Ari and her music.",@lifewithyana2924,2024-09-03T23:19:47Z
I love Ari so much. Honestly. I have so much respect for her and as an artist she is phenomenal. This song is truly one of the best ever. The melody and Ari’s beautiful angelic voice. She never misses and her music isn’t overly emotional it still has a poppy tone but a chill vibe. I love her. This song makes me emotional but I love it. 🤍,@lifewithyana2924,2024-09-03T23:11:58Z
It gives me the vibes of moving on and going on a shopping spree to heal your inner self 😂❤😅,@JoniNoji,2024-07-27T22:44:08Z
She always makes the best nostalgic type comedic videos lmao,@alexxamnesty6438,2024-07-12T15:21:38Z
"Most people would say Mac was her soulmate. Or her truest love. But to write lyrics like this ~ I know damn well who broke her more. And it was not Mac. Idk what her ex fiance did, but the last time I felt this way, I genuinely considered becoming a nun. 😂 and her not speaking out about it much either.... yeah no... this was her worst break up. 10/10 guarantee it.",@EverstarMaris,2024-07-05T03:02:46Z
Best singer today ❤ Even her music beats is good 1:53,@marcus4554,2024-06-28T15:39:19Z
Patrick o'shane porey help with lyrics of this song he's passed away  2022 2023 love the Haight family you will be remembered,@SissyLa-la-rf7bi,2024-06-07T14:31:03Z
This Song is annoying,@GraceWilkinson-i9t,2024-06-03T23:40:06Z
"Just had a scenario like how the lyrics in this song with him, I listen to this song and just smiling while remember what we used to be.",@haneyyloveyy,2024-06-01T06:45:57Z
"This song gives the same ""One Last Time"" vibe, love both these songs so much ❤",@keanonchor3633,2024-05-29T08:54:19Z
Acoustic version please,@dams1983,2024-05-25T18:35:49Z
We feel the emotions when she sings and this song is really beautiful 😻,@CherylKisses,2024-05-14T10:43:38Z
"Amei essa música Ariana, fazia tempo que não gostava das suas músicas, mas agora você acertou em cheio, continue nessa era House, dance e Syth pop",@GabrielaSouza-ub5ph,2024-05-12T18:13:26Z
she came and dropped the most emotional song,@shreya_890,2024-05-11T17:46:21Z
"Robyn vibes, and I love it",@jba8419,2024-05-11T04:01:38Z
Ariana has gone Synthwave,@danmantunes3712,2024-05-09T12:41:07Z
"where have I already heard this melody at 1:20, pls help",@andreafinocchiaro2800,2024-05-03T17:12:15Z
I love this song. It makes me emotional though,@trevorsmith4392,2024-05-02T13:57:18Z
"This may be the first time I can ever say, I like an Ariana Grande song. Like this feels genuine and soulful and produced organically. The lyrics are with depth and interpretation, and she is utilizing her vocals beautifully.",@LPTV84,2024-04-28T04:01:33Z
Why does this song hit so deep?,@chadfaulkner6137,2024-04-22T21:02:24Z
finding this song after being in a situationship where i’ve fallen deeper for them hits differently,@luvcannoli,2024-04-21T19:25:54Z
Does this album have potential to beat Taylor Swift's album out of a grammy,@dionrallicock4341,2024-04-20T02:25:06Z
I can totally see Robyn sing the same vibe,@Apero1Spritz,2024-04-19T09:40:09Z
I love her and her vocals.shes grown in music so beautiful. Best yet,@Getem_Bo,2024-04-15T07:50:18Z
I wish this whole song had less tempo and was slower. Less drums more guitar picking. It’d hit different. Great song tho,@anthonysanville2841,2024-04-14T18:07:48Z
"Her voice is so nostalgic, flowing, charming and captivates you the very first note. For me up in the vocal reign and royalty powerhouse league and artistry of Whitney Houston, Christina Aguilera etc. 😍🥰😘 👏🏻 🙌🏻🫶🏻👑⚜️💎🏆",@jazminratzlaff5357,2024-04-11T03:40:45Z
This giving me 80s vibes,@queenv4340,2024-04-09T20:50:15Z
"I broke up with my ex two weeks ako after a month of cool off. He called after he came back from abroad, told me that he has still feelings for me, but he can't offer me the relationship we had and offered me friendship instead. I told him ""we can't be friends, I can't swallow being friends with you"", after that I just decided to cut him off in my life because it's unhealthy for my mental and emotional health.",@zariyahcampos3565,2024-04-06T17:23:22Z
"Im at work, so emotional. This song is all that I needed to hear",@annahdollyn,2024-04-06T14:59:10Z
"It's been a long long while I lost interest in her songs. However, this song is on another level. You can feel the softness, the lyrics, the topic, etc.",@Moon_Qamar,2024-04-04T12:26:02Z
kate bush running up that hill vibes a lot,@devoltaprofuturotarot9199,2024-04-03T13:48:55Z
definitely inspired by Robyn's dancefloor bangers with sad lyrics.,@zimzimzalabim,2024-04-01T22:17:20Z
80's vibe.  ❤,@brunoazevedoX,2024-04-01T13:13:58Z
"Now I realize when I listen this song, The loneliness creep on me, feeling empty and remind me back to reality again. This song very emotional I've heard from ari ❤",@wichywitch5938,2024-03-31T06:35:37Z
This chorus is goooood,@Roseshavethorns,2024-03-30T23:38:41Z
"That melody,,,, oh my God!",@sergioturizom,2024-03-30T22:48:17Z
This verse 'you cling to your papers and pens' & 'wait until you love me again' is why I think this song is about Dalton.,@yehehehaw,2024-03-29T12:30:47Z
"My favourite Ariana song.. beautiful,  mesmerising,  such sad lyrics , and relatable. ( video is amazing too) ❤❤",@marieshutt_12,2024-03-29T10:21:33Z
This really has 1989 taylor swift vibes,@jenniferjaffa1127,2024-03-29T02:49:20Z
"Everyone interprets this song differenently, but I think it's her response to the media. How she's been misunderstood, feeling alone, exposed. It's been an rollercoaster ride for with where she's sometimes loved or hated depending on what's on the paper. It's a very emotional song.",@Travelstylechic,2024-03-29T02:36:43Z
"bro, the lyrics.",@gyoubien,2024-03-29T01:10:10Z
It’s crazy how she made this and this is so relatable the lyrics and everything and it’s sad 😭🥲,@alexandraa_salcido_reyess5013,2024-03-28T19:13:37Z
Please do an acoustic version 😭,@sabrinaanderson8340,2024-03-28T05:32:27Z
