comment,user_name,date
"A Vibe da Música é Muito Boa, Gostei Muito !!! ❤️",@eternalbefriends,2025-03-16T13:51:59Z
Love these lyrics!,@EMSLifeguard,2025-03-15T18:55:51Z
I love how this is a literal diss to a family but DAMN it’s catchy😗,@Eatheslay,2025-03-09T18:32:20Z
I always feel a Madonna vibe,@julianamagalhaes8020,2025-03-07T01:50:42Z
The vocals are absolutely stunning!,@QwestMusic-o3k,2025-03-05T08:16:09Z
"Não é possível que essa música tem mais de um ano,o tempo passa muito rápido 😢😢",@cauabonfa332,2025-03-03T02:03:37Z
its beatiful this song,@dalogodalogo8480,2025-03-02T19:52:38Z
happy 100 million milestone,@Mainthing-0,2025-03-02T14:13:28Z
Ariana Grande - could have done better with her career - this track is a decent house track throwback to a great time in dance music in the 90s - but the lyrics and content that ariana grande puts forward is clearly sexual predator shit written by men - its dissappointing that she allows herself to be the vehicle to push this crap in to the psyche of our younger generation. DEGENERATE generation.. great track.. shitty lyrics,@ChrisNova777,2025-03-01T19:56:54Z
2:45 the way she put mac miller's lyrics is so heart touching she really love him so much😢💕,@MissWednesday_,2025-02-15T15:56:16Z
Such a catchy song,@KimTippett,2025-02-15T12:42:47Z
"this song has so much meaning, and i love the theme of finally telling the critics how annoying they are.",@yachef,2025-02-07T03:46:06Z
The Madonna vibe is awesome!,@Mazel1975,2025-02-06T07:17:44Z
Quien esta acá para comparar el Beat con Abracadabra de Lady Gaga?,@oficialvento,2025-02-04T01:18:23Z
Who's here after abracadabra? Felt like same vibes,@federicospinella351,2025-02-03T07:05:20Z
"Anyone else noticed how the MV has subtle references from previous LG’s masterpieces? That lady in red gives a vibe of alejandro and marry the night, her in white feels like bad romance and dancers in unison like born this way, that scene with canes like in paparazzi, that smoke puffs like in applause, people cheering while she’s in the middle like in stupid love, screaming scene like in 911 ❤❤",@patrickjohncarmen8664,2025-02-03T06:39:37Z
the vibe this gives is crazy,@ThatOneGK-HL,2025-02-02T10:52:43Z
"To be honest, I didn't like this song the first time I listened to it. But now I love it. Starting 2024 with it was a vibe.",@directionergirl1,2025-01-28T17:15:02Z
Cold Hearted Snake vibesssss 🐍🖤,@krefilm,2025-01-28T02:37:36Z
"Yes, and? Já tem 1 ano... como o tempo passa rápido... parece que foi ontem que eu tava escutando e pulando de felicidade por ter uma música nova da Ari...",@Dark_man1922,2025-01-24T21:14:30Z
