comment,user_name,date
"Eeeewww how we all question their lyrics, will music ever survive, who wants to b that pretty😂😂😂❤❤❤",@differentgravydifferentgra7852,2025-03-18T22:40:28Z
Just awful and this is coming from a native Texan.,@StarrLabell,2025-03-15T20:12:02Z
"this is awful, why did you make this?",@DadadaddaaaDaaDaaa-j5q,2025-03-14T21:24:48Z
Is this a copy of the cannon ball song with different lyrics?,@playboycharmed1,2025-03-13T01:15:10Z
"Seriously what is wrong with music nowadays 🙄 remember the times when Michael Jackson was creating mini movies to his songs, every single one was unforgettable. This looks so cringe and boring 😬",@olindawinchester,2025-03-10T14:08:01Z
I don't care how much backlash I get but you can't make a country song with cuss words in it. Sorry Beyonce but that's not how country rolls. Also this in my opinion is worst song I ever heard from her. No hate just stay in your lane (btw the way before you say this is racist im black)  I like country the way is no cussing. You can't call it a country song if there's cussing in it. If you look at all the country songs there's not one cuss word in them. Stay with the hip hop genre.,@Oboroshirakumo342,2025-03-06T19:38:21Z
"I don't think country people like the video.  They might find it insulting.  I am brutally honest,  sorry. That shit ain't pretty.  😮 😅 But if this video was well known when ""Yellowstone""  was still on it would have been better.",@coreydavis6427,2025-03-04T16:05:38Z
"I do not care for country, nor do I care for these nasty comments. But because I grew up around country, I know when I hear a catchy country tune. I love this… it may not be your normal to the others, but I am very appreciative of your flexibility with music, it gives me a new perspective.  This is a beautiful piece that you sang your heart out to, and I feel like more people should appreciate it for just what it is. 🔥💚🔥",@sowapuss1174,2025-03-02T01:55:53Z
the queen of universe,@BonifaceMutunga-p2q,2025-02-26T11:36:50Z
"Sad to say this Is in a country album and she won against Chris Stapleton, it’s not a country song, says the same two lines the whole song, shit stupid and if u listen to the lyrics she just throwing shit together nothing about this song makes sense",@jordonrogers5436,2025-02-24T23:42:05Z
THIS IS EFFING TERRIBLE HORRIBLE AWFUL STUFF!,@ivanjohnson9244,2025-02-22T00:25:14Z
Dumbest video of all time. Not counting the phoned in lyrics.,@michaelwooda9444,2025-02-21T04:04:38Z
"How did this win a Grammy?🤣🤣this is terrible worst song I’ve heard in my life, no wonder she fell off so hard,she’s just rich that’s the only reason she’s still making songs and buying her listeners🤣no one actually even listens to her no more though,judging by this song I can see why that is",@CriticallyPsycho,2025-02-20T15:05:12Z
The worst song i ever heard,@Freaky_Finn,2025-02-18T14:18:35Z
"Theres nothing country about this...real country is raw, authentic, imperfect, rooted in values and a lifestyle, her vocals are WAY too polished and produced to be remotely country...its an OK song but has no place in the country genre except as a lame attempt at a cheap imitation.....to put this song in the same category as Toby Keith, Alan Jackson, Miranda Lambert, Reba McEntire is insulting to what makes country unique",@goldecinematics,2025-02-17T19:06:29Z
Worst country song ever wtf is this,@jamesmyers1995,2025-02-17T01:48:27Z
And she beat Taylor how not that I really like Taylor but Taylor is way better,@GeneCampbell-k4m,2025-02-16T13:53:52Z
"That’s not a f country music, lyrics are so dumb",@ayeshaguess520,2025-02-15T15:28:15Z
"I'm just listening to this song for the first time and I honestly don't see the fuss. I place it in the Country Pop category right along with Shania Twain music.  It's not that deep for the controversy.  Did she deserve a Grammys?  That's always debatable and possibly not but hey, we don't get a vote in it - I never pay attention to it anyway.  The video and outfit could have been better though.",@poppygoldensun,2025-02-13T22:25:21Z
Hahaha  That's awful.,@michellejohnson9202,2025-02-13T16:35:37Z
How bad were the other country songs that this garbage beat?,@danamcardle1403,2025-02-12T15:49:35Z
Really inventive video      Not repetitive,@samuellouis3103,2025-02-11T17:59:10Z
"I hear “ she gives me money, when I’m in need” notes at “ there is tornado in my city”",@esterlueamrung4985,2025-02-11T17:48:14Z
"Worst album, can’t believe this got chosen over billie, WILD",@Glamour_1001,2025-02-11T11:03:52Z
"People are unbelievable just becaz she  dont have the yank in her tone means that it aint country. She is from Tennesse which is country as well. And if was sombody else who sang country like this y'all wouldn't be beating them down, its only because her husband is pdiddy thats why y'all so hateful caz when this was song was trending with the dance everybody loved it until pdiddy issues happened",@angelmendezdilema,2025-02-10T17:17:04Z
"I do not listen to country that much but this is not country.. The country is about the singer, not the instruments. Beyonce sings like a pop artist, even in this and her lyrics are dull because she can not sing country.. She did not put much effort in to adding the quirks that country singers are doing to make their songs sound like country. Beyonce won because she is famous and are in a good position with the once who decide who will win or not. It is dumb how famous artists just ride the wave once they get famous and get praised for mediocre stuff. Songs like these are a humiliation towards those who live and breathe country when they are robbed out of awards that should be theirs.",@JeEhaO,2025-02-10T10:01:10Z
Worst video I’ve ever seen. Bizarre,@snsdb42,2025-02-09T19:56:28Z
"I truly enjoyed the album and the philosophy behind it. I know every word because it's been on repeat since its release. I would love to see AMERIICAN REQUIEM used as a soundtrack in a film. I have a hot dance routine for Bodyguard. I loved being on an emotional roller coaster while listening to this masterpiece. Some of my favorite songs include Levi jeans, Protector, Riverdance, Yaya, Tyrant II Most Wanted, Bodyguard, Blackbird, 16 carriages, and Texas Hold 'Em, not to mention spaghetti. The engineer's sound and her excellent vocals just made everything come together seamlessly.",@Nanaheals,2025-02-09T17:47:56Z
This song is crap the worst song ever,@dimityconnolly9543,2025-02-09T17:33:36Z
I don’t think the song is horrible but Grammy no way I don’t have a problem with her trying something new never a Beyoncé fan but the song is catchy .,@angelareece180,2025-02-09T16:40:56Z
No melody....nothing,@prashantvidhu,2025-02-09T04:50:23Z
Probably one of the worst songs I have ever heard in my whole life,@ledzeppelin820,2025-02-09T04:30:28Z
This song is the worst country song I've ever heard,@Ram_irez,2025-02-09T03:43:33Z
"The fact that this even got an award ticks me off, vocals mid, lyrics mid, instrumental mid asf.",@Dreed-z1d,2025-02-08T22:13:47Z
not a country song but catchy hip hop,@ThtFluffyGuy,2025-02-08T09:23:18Z
Worst song ever heard,@atsathonger748,2025-02-08T08:49:40Z
At 1:45 how come I can hear the lyrics being edited from Sugar to liquor? Listen closely. I know Beyonce says both during the song.,@kylekraus8355,2025-02-07T22:50:44Z
The world is changing upside down Beyonce singing Country songs and Taylor swift singing pop synth songs,@TheM1988z,2025-02-07T04:03:32Z
"Beatiful,talented, but you ain’t country",@brianmasterson8269,2025-02-07T03:00:52Z
Holy hell this is worst thing since her last album🤮🤮🤮🤮,@downcoalx5193,2025-02-06T20:48:26Z
MAMMIE BARRY you tube channel/5#@$MUMMY TOMBSTONE45😮BUY outy c45😢❤🍓🤓⚰️🤡💰📜🙃⚽️♟️♟️♟️♟️♟️⚰️🧤🍓😅😮😢🎉😂❤3,@MammieBarry,2025-02-06T18:31:39Z
This is a piss poor excuse for country wtf happened to the genre for this to win the grammy she's basically stills doing the same music just in a lower tone n to a slightly different style beat it's sad,@mummbles8319,2025-02-06T17:49:42Z
"Listen guys there are real country singers who shoulda won not her. But don’t go lying saying this shit ISNT a bop lmao it’s a good song has a good vibe and IS a country song in reality, and honestly? This is one of her best songs… unlike her old music really",@KenzArionus,2025-02-06T17:48:11Z
THIS won a Grammy? Awful.,@cryhavoc124,2025-02-06T04:05:05Z
"Gotta be the very worst song I’ve ever heard, right behind WAP.",@RaptorDaddy2,2025-02-06T03:42:23Z
"Catchy tune, but is this the best they could do for a video?!!!!!😮",@tinarob6796,2025-02-06T02:21:39Z
This is awful 😂,@narutoyum1,2025-02-06T01:19:19Z
I don’t understand how this album got album of the year when Billie put her heart into all the videos and everything and this girl took a 12 second loop and with the same loop music in the back with different vocals…,@Alissi_Go,2025-02-05T18:37:11Z
Not the worst song. But nothing special.,@mercedes_1996,2025-02-05T18:02:38Z
"Sounds generic and bland , the Grammy show is fake",@gizmonovack,2025-02-05T17:48:34Z
This is not country and is terrible.  Her barotone voice.  Geezus.,@roboneil408,2025-02-05T17:40:23Z
"These lyrics are low-IQ, meaningless babble, and this is not country music.",@oakeyb,2025-02-05T17:31:44Z
This is awful.,@ChristiColonel,2025-02-05T16:27:27Z
She is washed up in hip hop so she jumps to country! Country don't want a grifting Freak Off freak. This sing is awful. Wake up,@ChristiColonel,2025-02-05T16:26:57Z
This is awful🤢💩,@ChristiColonel,2025-02-05T16:25:04Z
This is awful,@nochepatada,2025-02-05T01:45:07Z
This is an insult to the real hard working country singers out there. Wow. There is no “country” in this song at all. It’s awful!,@pinaypie83,2025-02-04T22:21:32Z
So what's the fuss on not acountry fan really although some l never really liked the old twangy stuff or the new she thinks my tractors sexy stuff but let's go back ok Charlie Pride he had a real country style but when Dean Martin started doing it that opened up the door for some country singers to take that approach then Ray Charles he lent his twist and that was an influence what about Freddy Fender and the TexMexs stuff oh sorry for being politically incorrect even if it did sound great  recently Tennessee whiskey with an Etta James beat love that Elvis he mixed it all up so what's the fuss with her   l don't get it,@johnwilson6319,2025-02-04T20:21:47Z
Oh my gawd your who made this song beoncay made this song no wonder why I hate her I hated this song it’s like the worst song on the radio,@burnmyboredom9968,2025-02-04T20:10:02Z
Worst album,@ItsLena.lanchuk,2025-02-04T19:27:01Z
this isn’t country & how she won the country music award is mind boggling.. oh wait it’s hush money type of vibe lol she part of the diddy shiit,@beautifuldisaster139,2025-02-04T14:20:14Z
This is disgusting. Her video is vile. Her voice is awful combined with country style. It sounds like a joke and she actually won? What an absolute disgrace and an insult to real country artists. And on top of all that she is walking around with a stupid blonde wig.,@leahale,2025-02-04T10:36:01Z
She didnt deserve THE GRAMMY! Who even listens to this album?! Like come on! The fake surprise when they said her name in the grammys UPSET ME and seeing billie eilish crying made most of all of the fans sad! Over all HMHAS had the most listeners and her vocals are great i dont say i hate her but this album deserved for 2024 grammys bot 2025!,@TaraAziz-d4e,2025-02-04T10:34:15Z
this won a grammy?? well its givin DEI vibes 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,@pinkmoscato7851,2025-02-04T09:00:37Z
"The lyrics on this album are ridiculously bad, lol. I bet she had people write these songs for her and she just smacked her name on them.😂",@allfacts19,2025-02-04T06:05:46Z
This shit is so ass. How does someone who made this trash song beat any country singer this is just dissapointing,@hydraray8693,2025-02-04T05:45:03Z
This song is the worst song I've ever heard,@tgxiexl,2025-02-04T05:39:41Z
This is awful... and what's with the nakedness,@danaysalvarado367,2025-02-04T03:13:04Z
Worst video EVER. Someone's gotta say it out loud. Music- good. Lyrics- 🤔,@Dogimom,2025-02-04T02:42:30Z
This is pretty much the worst song ever,@journeymusic,2025-02-04T02:27:10Z
Awful,@christinesause3008,2025-02-04T01:44:06Z
This has to be ai generated lyrics .,@Burnit10,2025-02-03T22:28:11Z
At first I thought it was 'Prodigal Son' by the Rolling Stones.  🤷,@SusanOxford,2025-02-03T21:45:22Z
"Sounds like she wrote country lyrics and decided to imitate bruno mars with her hoooooo's, She a good singer, but I gotta admit this is bad",@Nyctotheo,2025-02-03T20:34:24Z
Great.   This is all we need.   Country with pop stars singing vibrato horse shit with 47 notes per second garbage music.   Perfect.  😂,@MattEberhard-bt9ph,2025-02-03T20:29:01Z
"I got to say this is crap. Just cookie cutter stuff. I guess when you serve the devil you'll get a temporary payday on planet Earth, but you end up losing your soul",@gregorydryden7865,2025-02-03T19:59:18Z
Awful... 😢,@RockWomble-b1r,2025-02-03T19:53:42Z
Those lyrics are not country at all. Its just the twangy stringed instruments.,@MrHewilson2,2025-02-03T17:40:19Z
She’s not country! Her outfit is awful,@LindaSharumlinda,2025-02-03T14:44:36Z
Unbelievable 😂 this is awful chris Stapleton carrie underwood,@Bob-xh7mh,2025-02-03T13:09:06Z
"I never heard a song from this whole album, only this annoying one from TikTok ads",@AGbuteraofficial,2025-02-03T05:02:38Z
Worst album ever wtf,@AbMendez-m2v,2025-02-03T05:01:19Z
"Catchy, but the Grammy's is CRAZY for this garbage album being named best Country Album!?! Although not wholly unexpected in Hollyweird were a man gets nominated for Best Actress",@cmeeder,2025-02-03T03:38:18Z
Awful “music.”  Disgraceful to the genre.,@ICUP920,2025-02-03T03:03:24Z
Boring song. Please don't change country music to this monotonous stuff too. 😢,@swingman50,2025-02-03T02:11:53Z
Is this a joke song making fun of country music or something? This might be the worst song ever recorded,@josephblumenthal1228,2025-02-02T22:10:02Z
Now we know why her sister beat him up in the lift he rated a 13 year old 😮,@afanniecraddock9033,2025-02-01T13:38:54Z
Sounds awful. No dynamic range at all. Loudness war has hit another peak.,@SecuredMinds,2025-01-24T17:28:02Z
Universe is here ✨chariot strength and death ⚖temprence as above so below and Malcom stuck in medium,@mykaleenmisner4668,2025-01-23T14:20:24Z
"I like this song, very catchy.....",@barbarashapiro3776,2025-01-17T14:14:29Z
Worst crap i ever heard. Tell the truth people.  The truth will set you free !!!!! Lmao😂😂😂😂😂,@DarylRagland-ds1op,2025-01-16T22:51:21Z
"BeyHive! ""Texas Hold Em"" has now surpassed 600 million Spotify streams! This is Beyoncé's 11(12)th song to reach this milestone! Keep streaming! 🐝👑",@sheckz5,2025-01-16T21:11:43Z
Beyois still fire and I love the old school vibe.,@chungsangliu8120,2025-01-13T21:02:28Z
Rolling Stone named bey's lemonade album best of the century. Yee-haw!,@Shaunjohnson885,2025-01-11T17:09:42Z
"The most monotonous and repetitive eye candy ever 😂 completely out of sync with the song. I'd expect more dancing and more DANCERS. Such a disappointment, that's not what one imagines while listening to this very well conceived song",@Amira_Phoenix,2025-01-07T11:05:21Z
"nunca vi ni escuché alguien justificando a la compra premios beyonce vocalisima me decepcionas, sobre todo habiendo tantas artistas realmente buenas para apoyar",@alejandrogonzalez1485,2025-01-02T06:17:13Z
Ask yourself is her lyrics country be truthful and if it's not country please give me a example of what country is The first you have to put your hate and your evil spirit aside now let's get your honest opinion,@termallbonds2534,2025-01-01T20:05:47Z
Listen to lyrics carefully. Tornado in the basement. Whose basement? Diddy's?,@makwenamphaga1407,2025-01-01T09:14:35Z
"Song is catchy. The video, not so much.",@iamlam,2025-01-01T00:05:53Z
This is your worst album,@manuparabg3217,2024-12-30T18:05:29Z
This is supposed to be country god awful,@sirzechslucifer96,2024-12-29T08:53:44Z
https://youtu.be/JAhrMH3-KPo?si=-ssKn5GXtnId40-D in 1970s these guys Texas eared a feared regime…….  See what they can come up with against oppression.  As a concerned neighbor and fellow tribes man the orchestra is the process. Play it to the rhythm where them guns 🎉❤😂😂😂😂,@FarhanGuled-Afrikanische,2024-12-28T21:06:01Z
"I never judge without hearing. And this ain't country. This is a bunch of country clichés put into one musical effort. And for those out there that wanna play the race card, it doesn't have anything to do with the color of skin. Shania Twain used to be country and after a few years, her music wasn't worthy of being called country. Nothing wrong with you if you like this composition, but it isn't country music.",@josephatkinson1276,2024-12-28T01:36:01Z
"Could possibly be the worst song ever written. Seriously, all hype and zero substance",@davidsco27,2024-12-27T20:40:17Z
This is awful. Both the song and this stupid “visual”.🤢🤢🤢,@amandawilliams7119,2024-12-27T01:30:51Z
Love the lyrics “we headed to the dive bar we always thought was nice “.  Because living in the simple life of the deep country areas with no money going to the local bar thats a complete dive always seems nice to folks who don’t know no better.,@duaney4948,2024-12-26T02:14:33Z
Beyonce is absolutely stunning here. The songs a great catchy pop choon.,@MrJaimilly,2024-12-26T00:49:14Z
Reverb is crazy,@cojn26,2024-12-24T10:06:07Z
This may be the worst video I've ever seen. WTF!,@Chozen214,2024-12-21T16:59:48Z
"THIS THE WORST ""country"" song EVER!!! 😂😂😂😂 DONT MAKE NO ALBUM this shit disrespectful to real country,",@JustinCase-e6m,2024-12-19T15:35:21Z
Worst music video goes to Beyonce,@stichpena3677,2024-12-16T09:42:52Z
I haven’t liked country music since the early 2000’s and this video gives me all the more reason to continue my dislike. This is the worst video I’ve ever seen.  Disrespectful and disgusting!,@VeronicaSessions-je4si,2024-12-13T12:40:49Z
"The song is okay (C-) but I would not  play it again, or pay for it.. This song and video feels trashy and angry, not vibrant and powerful. Her music used to be a lot better.",@courtneysolano7995,2024-12-12T08:55:53Z
e uma diva de todos tempos. simplesmente a melhor,@DuarteMonteiro-ro2pg,2024-12-10T22:39:26Z
"monotonous, boring",@teresakaczmarek3855,2024-12-10T19:10:10Z
This isn’t a bad song but it’s not country. It’s more pop with Country vibes.,@kayj9930,2024-12-06T16:44:01Z
👎👎👎 Using body for view is dirty and the song is bad and vocal too,@mohadesen813,2024-11-27T22:08:55Z
"I personally prefer lil Nas X country, catchy and fun‼️",@simonetta-ta,2024-11-25T11:37:51Z
"Beyoncé the only one Star listed VOCALIST OF 21 century by VOCALS Experts, great performer, the singer in history Who sing more diferent rithmys, A living Legend ❤",@fernandodiniz6029,2024-11-23T22:27:15Z
"Beyoncé the only one Star listed VOCALIST OF 21 century by VOCALS Experts, great performer, the singer in history Who sing more diferent rithmys ❤.A living Legend ❤",@fernandodiniz6029,2024-11-23T22:26:42Z
"Beyoncé the only one Star listed VOCALIST OF 21 century by VOCALS Experts, great performer, the singer in history Who sing more diferent rithmys ❤, A living Legend ❤",@fernandodiniz6029,2024-11-23T22:13:45Z
This is the worst video I've ever seen and the song isn't very good ether she is way better at rnb,@FrancesBranham-o5f,2024-11-20T05:05:47Z
if this beats the beatles at the grammys im gonna be mad,@idklol4197,2024-11-11T20:05:05Z
el video mas horrible de la historia.. y la cancion mas generica de la historia,@adanfogg9917,2024-11-10T03:06:58Z
"is it up for ""worst song of the year"" and ""worst music video ever""?",@OlgaSh-m6q,2024-11-09T18:42:14Z
When  I envision hell I think about this song on repeat lol it’s god awful,@MrZmoney420,2024-11-08T17:45:47Z
