comment,user_name,date
"Es tan triste pero hermoso, es tan nostalgico! :(",@taela_3064,2025-03-21T17:49:05Z
U kill mee with ur lyrics 😖 did I cross the line🥺,@adhithyanair,2025-03-21T17:03:18Z
One of the best vocalist 💯💙,@LadyQueen13-1,2025-03-21T14:30:17Z
"Since everyone is expressing their feelings in the comments, why shouldn't I participate? I have a friend whom I love so much, madly, and I think I'm going to lose my mind because of her. She's just an online friend I've known for a while, but our relationship is complicated. I miss her now. We don't talk because of some tension, even though I love her. She pretends to love me, but sometimes her actions prove otherwise. This is the second time we've fought. Well, I'm losing my mind. The first time I tried to get over her, but now I've given up. She won't leave my mind, even though she's just a friend. I love her so much, and I will continue to love her. I see her in my dreams, I think of her even if a thousand friends chase her, and even if I don't know what's going on, she's on my mind. I hope she's okay. I decided to stay away from her for the second time because I felt like an unwanted party. I'm simply going crazy because of her. I don't know how to express myself, or even how to feel. I wish her all the happiness and the best. She doesn't know how much I love her, and how many sad, deep, or happy songs remind me of her.  This is one of those songs that when I hear it, it's the first thing that comes to mind. Thank you, Bilie for this song.",@xivlcnloc,2025-03-20T20:01:15Z
This song beats the Beyonce album,@Jason81818,2025-03-20T12:15:03Z
This song is literally my emotional downfall …❤️‍🩹,@Binsiya-o6h,2025-03-19T15:14:42Z
crying because she’s changing the lyrics at her concerts to 'I CROSSED THE LINE' 😭,@nathaliecalderonmarin1644,2025-03-19T03:45:07Z
"who else feels the key notes of this song are ""back of my mind"" and ""burning alive""",@tugbaokyay,2025-03-17T15:43:33Z
It is talking about a story btw with her and her friend but the vibe just calms me,@ChloeManus,2025-03-17T11:17:52Z
the high notes 😮❤,@blaze_0074,2025-03-15T06:40:48Z
"damn, my broken headphones added effects to this song and it hits different",@conehead-cone,2025-03-12T01:12:35Z
This song is so powerful❤ at 2:25 i see my younger self and it makes me wish i could go back and protect her from everything that happened to her i hope shes okay with the person i have become,@urbansprinkles1914,2025-03-11T23:06:56Z
"""I'm 19 years old, and as far as I can remember, I've cried only four times in my life—once when my older brother passed away, once when my grandmother passed away, and once for the person I've been madly in love with for a year. I've never felt a mother's or a father's love. This song was released on my birthday, and it became the fourth thing to make me cry. Because, deep down, it reminds me the person i fell in love.""",@sametyr,2025-03-11T12:42:55Z
1:49  the beat part ....!💔,@جيني-ش8ت,2025-03-11T09:07:03Z
1:07 the lyrics hit deep😢,@saurabshrestha4375,2025-03-10T11:22:04Z
"I didn't think a 23 y. o. girl, however talented, would write and sing so awesomely something that triggers me so much and which I can fully relate to for some reason... I'm from a different generation but oh my, what a wonderful discovery you are to me, dear Billie! This song touches me deeply and it's been pure love since I first heard it ❤",@dreamingloom,2025-03-09T18:20:28Z
"This song is absolutely amazing❤. Story, Lyrics, Melody, Voice are brilliant. 🎉 You are amazing musician...❤",@dniechamidd_5121,2025-03-09T09:01:21Z
"Not gonna lie, this kind of vibes fit in Life is Strange. Primarily, the first one. I love it. 🙌🏾❤️",@davidgallardoiii8079,2025-03-06T11:24:35Z
Beatiful ❤️❤️,@Cosme-i4y,2025-03-06T00:16:06Z
"A masterpiece like this truly deserves more recognition. Billie poured so much emotion and beauty into Wildflower, yet sometimes the Grammys overlook gems like this. But the real award comes from us, the listeners who feel every lyric and melody. Who else thinks this song should have won?",@reynaldiXXX,2025-03-04T14:47:34Z
Heart skipping beats 😮😢,@drlaw2,2025-03-02T11:06:17Z
But bruh!!! I actually loved it and it's vibe gonna be in my head for a long time ✨✨,@Ritasha-jw5nm,2025-03-01T11:33:34Z
These lyrics are beautiful ❤🥺✨,@HEYitsAHMED1,2025-02-27T02:54:13Z
All her songs hit deep 😢,@Lucid_Dreaming87,2025-02-26T20:22:32Z
I get goosebumps every time I listen to this song. So emotionally powerful. ❤,@VideoProjectMiGenteJBalvinWill,2025-02-24T23:29:01Z
😢a melhor de todos os tempos,@flaviarodrigues805,2025-02-24T15:25:22Z
Rich and deep words 😢,@RAHA-1213,2025-02-23T00:25:57Z
if she does make songs with lyrics that contains a story it's more enjoyable than regular songs,@snowman320,2025-02-22T01:11:15Z
This song is one of the worst ive ever seen im dying laughing 😂😂,@111_REAL,2025-02-21T13:04:42Z
This song is genuinely one of my favorites of the album and it's because of the genuine EMOTION in it ❤ the emotion that you feel like you can vent to or just sing to if you don't want to vent mentally inside your head 😭❤,@Gracemarie4281,2025-02-20T04:56:02Z
Every lyrics of this song dive me deep into dark....,@sajminkhanam3946,2025-02-18T16:16:15Z
guys what are the chords for guitar im desperate please,@angxlkxssxs,2025-02-18T02:15:32Z
"I’m acc so mad she didn’t get any Grammys.every single song had sm emotion,nd this is the only yr she acc felt like she deserved a Grammy..",@iluvhscn43,2025-02-17T16:22:22Z
"Was here to vibe, ended up crying",@Air1-y6x,2025-02-17T09:11:59Z
"This has become my favorite song. I love everything about this song her voice, the lyrics and the melody",@mustafakemal7320,2025-02-16T16:29:20Z
Anybody write full lyrics down for me😭🌷,@Fdhhee,2025-02-15T08:18:28Z
"Joined 4ra’s VIP club, the perks are just unbeatable! 💎👑",@DARRONHayes-i2e,2025-02-15T04:51:32Z
I can sense her hard work and emotions put into this album! :)),@jelly291,2025-02-13T17:37:57Z
love this vibe!,@BaoNgocNguyenTrong,2025-02-13T14:44:47Z
"""Every time I hear this, I feel like I'm transported to another world. The lyrics hit so deep, and the melody is just perfect! Anyone else can’t get enough of this song?""",@Twinklytinglytunes,2025-02-13T09:27:55Z
It brings out my emotions ❤,@Saffounaitcatgameroblox,2025-02-11T23:07:23Z
"Everytime i lesten her song,I dive deep into my melancholy and slient phase",@samsunnahar1020,2025-02-11T14:38:29Z
