comment,user_name,date
Great Beats!!❤❤❤❤❤,@stephaniepink9060,2025-03-01T21:05:26Z
"Cadillac don , inside peanut butter outside jelly vibes",@albertogoicoechea8606,2025-02-25T06:55:05Z
Is it me or does Weezy voice sound younger on this remix?! If you listen to Wayne now or in 2024 his voice is much deeper. Idk Weezy delivered as always. I'm ready for Carter 6.😱✌🏾💪🏾,@MannyTooStrong,2025-02-24T15:18:50Z
This beat GO SO HARD but you know tiller 🔥,@brend3887,2025-01-27T02:02:14Z
J classic beat?,@yungnicc127,2025-01-26T14:48:37Z
Dean blunt type beat,@punt2263,2025-01-24T04:15:01Z
"Love it, she brought back that old school beat and vibe",@adrianwalker6514,2025-01-17T17:49:17Z
"the beat kinda feels like flashing lights, IM NOT CRAZY",@feljemuro,2025-01-13T20:33:57Z
Son sound mad stupid with double  ad lib on every vocal rookie. What do you expect though even catch me outside how about that is a rich rapper shit I might come out with a hit tomorrow this shit is too easy. It ain’t nothing to dumb it down forya.,@ALLNBAGOLDSTANDERD,2025-01-13T17:40:32Z
This beat is sick 🔥🔥. 2025 ❤🤞🏽,@michaelasmalls6489,2025-01-09T01:54:54Z
Beat 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,@pedromelo5299,2025-01-08T07:01:35Z
Beat is awesome something about the intro,@adamburnham1311,2025-01-07T12:41:35Z
Still here 2025. Slightly loyal and nostalgic,@sureshotjeff,2025-01-02T06:30:56Z
Ain’t this the same guy who had a verse on wild thoughts?,@LukasClark-r4x,2024-12-18T00:48:32Z
Glorilla's verse go hard lol,@elliannasmith3763,2024-12-16T22:06:16Z
Why this wasn't filmed to a BELLY vibe???? Beyond me. Cool track though. That's undeniable.,@bluehalo8604,2024-12-03T03:46:54Z
i like the first beat from  0:01,@gracecandy1,2024-11-15T23:48:45Z
i love this vibe,@CantLetYouGo-m1v,2024-11-13T23:14:05Z
"@BrysonTiller…Aye, @OfficialWunTaykTimmy SMOKED YOUR AZZ ON THIS BEAT!!! 🤣😮‍💨🤣😮‍💨🤣😮‍💨🤣😮‍💨    🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗!!!🫵🏻 SUCK BIG DONKEY BALLS 🤗🫵🏻!!!🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗           💯🤷🏻‍♀️💯🤷🏻‍♀️💯",@GetAGripRecords2,2024-10-27T17:00:46Z
"Bryson know how to make music that touch my soul , music I could vibe",@Iam_uz,2024-10-23T00:03:54Z
This that vibe man,@beastlaser9611,2024-10-19T14:28:32Z
