comment,user_name,date
"Lyrics are deep, message is clear, flow is water, beat goes HARD. Let’s GO!!!",@levitree,2025-03-20T00:57:38Z
Great lyrics and prestation🎉,@Steven-x3r6o,2025-03-18T19:40:16Z
Misheard lyrics 💀📸,@Tobyeditx,2025-03-14T10:25:11Z
"I am deeply annoyed. Long ago my generation called this ""bordello-style."" Now I would call it ""Stripper-tattoed Style"". Did you not see the poor story and the clowns acting like pimp and his pimpernelia? Who cares, if an overdosed alcoholic tattoe bearer would change the attitudes or localities? who cares if a stripper dances here or there in shimmering light, cause she would not see during her career daylight anyhow? I can t bear all these spitting images anymore and I can t even bear people who are not only accepting, but energetic defending this crap. You are the best customers of strip clubs, or, as Sopranos told us, bada bing, bada bang. Disgusting!!!",@rudigerbacker9250,2025-03-14T09:53:10Z
I LOVE YOU SO MUCH I AM SO PROUD TO BE A GOOD MAN FOR THIS GALACTIC EMPEROR OF THE UNIVERSE I AM SO GLAD I AM SO RIGHT NOW AND FOREVER I AM THE ONLY MAN TO EVER BE A PROUD OF MY OWN GREATNESS AND GROWTH AND I SUCCEED TO BE THE ONE TO MAKE IT ALL WORK OUT FOR THESE REAL LIFESTYLE SUCCESSES,@ceojosealejandroramirez1588,2025-03-11T12:23:47Z
I ❤ you guys I lessen to this song over and over again I already know the lyrics,@jaasquad2983,2025-03-08T18:06:50Z
"I don’t like country style music. But she nailed this one. Love the sound, cool dance invented. The lyrics are just great, makes me think of the feeling of a beautiful girl like her singing this. Good trip « jane for smoking » :)",@catalinbanciu6623,2025-03-08T16:45:03Z
Why does she mention a nurse in the lyrics?????,@jalynnecardany4865,2025-03-03T20:53:13Z
This song just show all the emotions from the breakup,@tiawest519,2025-03-01T01:39:00Z
"Awesome. I can  listen to this artist all day. This song ""Beautiful  Things"" is so emotional and powerful. Vocals are so warm and emote such deep feelings.",@KerissaGallegos,2025-02-27T18:13:36Z
Worst Eminem actor,@ETXMNBoy,2025-02-22T00:56:42Z
This is weirdly nostalgic.,@divyanshsahu7061,2025-02-20T09:10:14Z
Music video such a vibe,@AliWilliams-z7g,2025-02-19T22:15:48Z
With Finch as an ambassador 4ra always feels more premium and reliable great vibes every time,@MALIKLott-i2w,2025-02-15T04:53:17Z
Most annoying song ever!! Ever time i hear it cone on!! I change it 🫣,@christycahall8273,2025-02-14T20:44:50Z
Wow she’s just awful,@GuinnessS,2025-02-13T22:27:35Z
Absolutely great song. Love country from all generations. She got that Shaina Twain and Laney Wilson vibe. Unfortunately none of her other music sounds like this and frankly isn't all that great. Hope she doesn't end up being a one hit wonder. Also wish she would be a little more classy. No need to show that much skin.,@davidschlichting2191,2025-02-11T04:28:15Z
lyrics - im going LA woke and you will be in Austin .. L3l   ... Texas any day of course  ... wtf is LA ...  nothing : transwoke genders possessed by 666 demons,@ivobaren1,2025-02-10T21:55:36Z
what a tune!  Heard it on the radio and it is so catchy....I love the beat of this tune and definitely something I am moving to...,@meenapatel7600,2025-02-10T15:39:00Z
anyone else get Taylor Swift vibes?,@dawnhurst6896,2025-02-08T15:26:18Z
I love this song so much so catchy🥰🤩,@AMCBimmer,2025-02-04T16:56:15Z
"The best song of 2025.  Just heard it a month ago.  Great lyrics, terrific voice, best video.  If this is  today's country I'm a fan!",@tinam.1698,2025-01-28T20:51:08Z
Cool beat,@gunnardblack9463,2025-01-28T15:25:40Z
"I love this song so much. I have to look away from the music video, i don't think it reflects the vibe i got from it.  The words are so much more stronger than the visuals. Each to their own. <3.",@girlfromthecave,2025-01-25T05:07:37Z
Most annoying Song ever,@Milenax33333,2025-01-23T14:05:32Z
Chorus reminds me of Dota from Basshunter,@marshmelows,2025-01-22T11:14:21Z
Taylor swift vibe,@nawalalhashem1858,2025-01-19T05:54:33Z
"1:25 Brilliant sound, amazing song, what a phenomenal vocal",@imrusekmuzykoman646,2025-01-12T18:24:38Z
Crazy ex vibes 😂😂😂,@dondanko2509,2025-01-12T18:06:07Z
"This Song Bores Me, I Absolutely HateThe Annoying Clapping!",@vivianvigil6375,2025-01-07T23:49:41Z
This music chorus looks like Daddy Dj,@anarky_jay,2025-01-04T23:47:14Z
"It’s the tune of a French song called Daddy DJ by Daddy DJ that was already been reused so many times already:  Basshunter, Crazy frog, Gummibär, Black M and Milky Chance …and people are like “wow this diserves a Grammy, it’s the song of 2024.” 😂 If you find the tune so catchy, it’s because they played it at your daycare at least once when you were little. 😂",@msch7620,2025-01-03T22:17:33Z
It’s hilarious that millions are calling this refreshing and new and original when it’s a regurgitation of existing songs. Dota by bass hunter or daddy dj. Idk if it’s blatantly ripped off or if it’s credited but people find it nostalgic because it is.,@jase276,2025-01-01T06:36:04Z
"Great song, super catchy, however she sounds like shit live. I saw her in Anaheim when she opened for Parker McCollum and her singing and strip tease type dance moves were not it.",@desireeeliason477,2024-12-30T19:54:09Z
"Great tune. I wish she had given credit to ""Daddy DJ"" from the early 2000s though since the Chorus is very very similar. Hmmm",@lydiasdk,2024-12-29T20:04:23Z
"I am not a country fan, but the rhythm/melody is so wonderful. Chorus bounces & flows",@WhyForWhatNow,2024-12-29T12:11:17Z
"Very beautiful lyrics, imagine Tracy Chapman finally gets her fast car then goes to pick up Bae and he gets cold feet like his boots stopped working.",@TheFinemocha,2024-12-28T02:02:17Z
What a great song i really like the chorus it's a masterpiece her voice is unique.,@Oliver-lh4eg,2024-12-19T13:17:01Z
"One of the guys in my shop always puts a country station on the shop radio, and I swear I hear this song at least 6 times a day. Now I know what song it is. I can barely hear it because I'm at the far end of the shop. It's catchy(which is odd considering I'm a metalhead), but damn, that station needs to find more music to play.",@BigRedtheGinger,2024-12-19T01:07:11Z
Lil vibe in bama,@touchdowntddegraffenreid139,2024-12-17T08:06:02Z
Good line dance. Shame about the generic song 😢,@Ahobakayaro,2024-12-16T03:57:38Z
so catchy that cant help but dance along,@cashmeretran5004,2024-12-14T09:30:39Z
This song has the same melody as Daddy DJ...,@tiffyb1088,2024-12-13T22:57:50Z
This is way more powerful then most will notice.,@lennywhite8531,2024-12-12T23:48:00Z
This is a neato track and the lyrics are really really honest. Like it lots,@SkipSpotter,2024-12-12T17:27:41Z
"Austin’ is full of heart and nostalgia. The vibe in this track is undeniable. As a country and southern rock artist, I feel that same depth in my music. 🎶❤",@Joshuatracks,2024-12-03T19:03:37Z
heard this song at walmart been trying to find it for months. its catchy af i fucking love it,@natev8986,2024-12-01T00:27:33Z
I'm genuinely confused cause the lyrics make me think the guy killed himself but the music video and comments are very upbeat,@mccloud9915,2024-11-29T07:51:28Z
Such a catchy tune..makes you wanna kick your heels ❤🎶,@debbiepowley6962,2024-11-25T01:29:23Z
Just an Aquarius guy obsessed with the lyrics here. 🙌 ♒️,@kingboxingnerd6927,2024-11-23T05:53:18Z
"I was tempted because my friend is black and she is often asked if her bag is fake. People just immediately assume they are. Even though I'm white, I still get people asking me if my bag is real. So I thought why should I spend so much money on these bags? So in the end I chose to buy it at   kislux   . Even if it is not the original, some replicas can have special emotional value because they are connected to specific memories",@ReindelBohinc,2024-11-20T21:36:41Z
This is the Most annoying Song ever gets played 10 times a day in german Radio cant Hear it anymore,@nominox1158,2024-11-19T08:30:24Z
"❤Ricardo Authenticity Rating predicts Daisha’s Austin will be the No. 1 song of 2024 on the Billboard Hot 100. The song has style, passion, and a bold unwavering tempo.",@MrRicardowill,2024-11-16T16:44:43Z
