comment,user_name,date
"After a year of hating, i gotta come clean. This is super catchy lmao",@marcusrgb,2025-03-16T18:18:19Z
They make excuses for u Casie they hate to see me lit was better than anything Kendrick said.. substance lyrics and bars wins every time,@dantes6142,2025-03-04T02:30:52Z
"Listen I won’t pretend like it’s one of the best lyrical masterpieces of all time, but it is catchy as fuck and is a great hype “fuck you” song. I just fucking hate that part where he says “the way you doin splits bitch your pants might rip” lolllllll gives me secondhand embarrassment",@alyssastewart738,2025-03-03T15:59:06Z
Funny how it’s now two Predators on this song with that AK beat switch thing 😂😂😂,@GoChargersGo808,2025-02-17T11:24:42Z
Funny thing is... all the swiftys got the verse live😬,@Necromance357,2025-02-17T08:02:47Z
Second verse slid 4sure,@1andresupreme,2025-02-05T23:45:23Z
This the worst goddam song Kendrick better,@mjgdpm1983,2025-02-04T21:01:20Z
drake beat everyone but lost to kdot,@KingKuraii,2025-01-31T19:50:08Z
this is garbage for something made nowadays plus the beat to it is booty i think if the beat was on point it might have been better but either way its subpar ar best,@killfeedgaming7620,2025-01-23T17:27:52Z
"No shade, this is trash. Go back in the lab and Rack up some new lyrics...Drake😂😂😂😂😂",@dawnhenson7980,2025-01-02T00:05:20Z
“50 deep but it aint deep enough” 😨😨,@chilleeindica8401,2024-12-18T07:56:55Z
Bro dissed everybody on this beat💦😅💦😅,@YunoMiles-d6b,2024-12-17T16:41:43Z
Music Song wise it's real rap music beats better n his rap is better not better diss it's a tie 4 me,@gersomvaldez8864,2024-12-06T00:33:43Z
"Awww...this is so cute....lil Drakey and all his ""helpers"" trying so hard - lol!   There's no competition.  Kendrick needs to stop wasting his God given valuable high vibe creativity and true talent on this lil punk",@dawnbrookman,2024-12-01T22:46:19Z
"""And we need a verse for the swifties"" Aging well",@JacobSander-c6c,2024-11-20T20:26:00Z
Beat rapper alive after Wayne❤❤,@impugal,2024-09-27T19:54:03Z
Drake lost but he held his own. That 2nd beat drop on family matters was hard af,@pigfarmer45,2024-09-07T14:06:23Z
Drake goes hard af 😂 im drake all day fuck the haters Kendrick diss garbage lame ass beat,@TonyaSandoval-k5w,2024-09-07T00:31:32Z
The beat was fire until he spoke 📉,@funkymphuti5755,2024-08-24T19:20:56Z
21 savage wrote Push Ups lol listen to it lol 😂 this is crazy like deadass even the metro line lol the drop in the beat that’s a 21 savage thing,@donamaru3630,2024-08-23T04:37:22Z
Same old aubrey-  relying on the Beats to carry him. He sounds corny..,@Chief_Red_Cloud,2024-08-16T02:51:40Z
"Drake's diss was hard, but kendrick beat him. I won't believe the p3do accusations without proof, but drake is falling off. But his disses (for the most part) were not too bad, even if kendrick's is better",@㘭,2024-08-14T01:21:22Z
"I feel like this is the most underrated song through the entire feud. If Drake just would have came through with this with no AI and came at him with theses verses in his voice, he could have blocked Kendrick’s angles more clearly like he was trying to do here.",@flipwilly,2024-08-14T01:07:17Z
"As a kendrick fan, this is a beat fr",@EvilWow_Real,2024-08-10T14:39:22Z
Danm the beat coming in the beginning was so clean,@kurdstanali456,2024-08-05T15:28:32Z
Honestly if The beef ended after euphoria then drake couldve won cuz this song kinda catchy and euphoria kinda boring and long.,@lilturkeyiscool,2024-08-03T18:03:54Z
"Okay, it's no fucking secret that Drake lost, but that beat is fucking 🔥🔥🔥🔥🔥🔥🔥",@TheodoreColeman,2024-07-26T00:22:25Z
Say what you want about the lyrics but this and Family Matters were the best beats to come out of this entire beef. The real winner was Drake’s producer🥶,@gabrisgamer450,2024-07-25T05:17:07Z
This and Family Matters 3rd verse were Drakes best punches in the beef,@rugpull500,2024-07-19T16:30:49Z
Did yall kendrick glazers forget kendrick beats women and that minsor shi probally rumors,@Alexea-w3d,2024-07-17T21:34:53Z
"Ok Kendrick won but, underrated diss: ""You better do that mf show inside the bity; Maroon 5 need a verse, you better make it witty; Then we need a verse for the swifties; Top say drop, you better drop and give 'em fifty"" Kendrick did write verses for Maroon 5 and Taylor swift and is probably getting back in the game cuz he needs a bag.",@stevenb3315,2024-07-16T16:46:02Z
Here simply because I forgot his lyrics Kendrick really killed this man I know every Kendrick line bar for bar with the exception of 6:16 in la,@Sundance990,2024-07-14T15:58:27Z
Such a good ass beat that's been ruined by abysmal lyrics that no ghostwriter is getting credited for  (half satire),@michellesimmons4504,2024-07-13T01:40:32Z
1:06 beat💀,@h4r5Hhhhh,2024-07-09T20:34:04Z
The beat sick 🤷🏾‍♂️😂😂,@charlesroberson5154,2024-07-07T06:32:59Z
Aubrey wrote none of these lyrics.,@0XYGENgone,2024-07-06T02:40:17Z
#theworstrapperintheworld 🌎🌍,@myleakagriffin4893,2024-07-05T21:10:25Z
"I don't know what people hear but, Drake has more flavor, more beats, more swag, the switch ups are crazy, Kendrick is good but has the same beat the whole song.  DRAKE WINS!!! SORRY NOT SORRY",@renitasamuels2715,2024-07-05T12:55:34Z
Stg yall taken this shi so deep both of the disses hit hard,@kenjirotanaka3684,2024-07-02T04:44:04Z
I'm so happy i don't deep throat any artist so I can just enjoy both songs,@YNITHEBOXER,2024-07-01T04:23:11Z
0:25 Drake is too powerful in this track❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🔥🔥🔥🔥🔥🔥🔥🔥,@elidesportelli325,2024-06-27T10:57:15Z
Honestly i do not know everybody is in to drake he doesnt rap he can bearlyy sing. All his songs sound the same other than the beat. He has no rythym. Then you talk about industry plant,@henryguerra6858,2024-06-22T01:21:31Z
He said they got him out here rapping how he's living it's bc he never did it Drake need to just give up frfr he always been still another rapper's   verses he 🗑️ I really don't even see how he made it this far,@brian513,2024-06-21T10:50:34Z
0:21 Drake in this track is too powerful ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,@elidesportelli325,2024-06-20T21:38:51Z
bro why the beat sound like a low budget shark attack theme tho 💀💀,@Boom_Towers_2001,2024-06-18T07:33:08Z
"I like this song, the beat, the hook but the more I listen to it it sounds like he is reading the lyrics he should have studied until he had it memorized even if he did write it",@kikireal793,2024-06-16T22:45:51Z
This is actually not that bad 😂 I think Kendrick just went a little bit nuts though but this actually had some some beat some fucking content like alright what’s next 😂,@tristantobar140,2024-06-16T21:06:27Z
The beat harder than the song😂,@hame_rani,2024-06-11T11:03:32Z
Whos here because no one beats Drake 😅,@coreymilinazzo2555,2024-06-09T23:29:08Z
Idc what no one says Drake beat Kendrick,@GerardoHernandez-c8y,2024-06-08T20:21:52Z
"Kendrick won, I’m team Kendrick, but this shi catchy.",@Pyreax865,2024-06-08T18:56:57Z
this beat tho (kendrick still better tho),@SilasTheYokai,2024-06-08T00:51:53Z
"The worst part us that this shi slaps,problem is he shot this a Kendrick",@rarecomment1941,2024-06-07T17:11:37Z
The worst part ab this is that drake aint even write this shit. Cmon bruh.,@michaelschroeder7953,2024-06-07T16:22:52Z
Ryan upchurchs song drake stole this from him😂 the whole beat the song name it’s all Ryan upchurchs watch the real shi it’s way harder anyways drake got this little ah boy voice😂🤏🏻,@CoUnTrYbAnDiTs,2024-06-06T01:41:52Z
Ngl this songs very good. But Kendrick obliterated the songs vibes😭,@mdodry,2024-06-05T23:03:22Z
"Kdot won and we all knew he would, but drake rapped better than he has in a long time. He stepped up and even tho he lost he did his thing (aside from heart part 6 and Taylor made 🤢)This my favorite beat of the beef tbh",@Droopybiscuit,2024-05-31T13:49:21Z
Whos face crinkled like a soda can when the beat dropped?! 😮,@PurpleDragonWorld,2024-05-31T04:27:29Z
Dis is so ass I can make them beats with my damn lips,@TravisClarke-xd6cj,2024-05-30T13:36:35Z
"Bro the song feels so damn out of tune, It's off beat, It's so ass. First we get some verses and then out of nowhere he drops the chorus. Cringy and cheesy ass voice he using bro 🙏🙏💀💀",@aixryen1538,2024-05-28T15:04:27Z
Beat's fucking fire... sad enough is for a drake song 😭😭🙏,@StarTheFox_64,2024-05-28T10:41:39Z
The lyrics between all the songs from this rap beef should be closely examined and be used as evidence. We cannot allow the system to rig and completely scam and rip off its citizens. I demand justice . I demand answers for a contract that I never signed. This just proves the CIA is involved. I will not rest until I have justice . I will never stop speaking out against the corrupt system and the CiA as long a live if there isn’t something done about this.,@erickgoon4729,2024-05-26T17:50:44Z
I love how this was Drake's response to Kendrick's 1 minute verse 🤣 His writers were working overtime,@jinqn8,2024-05-22T17:04:57Z
And then Not Like Us became #1 everywhere including Canada that has the whole world dancing and chanting lyrics about Drake being a sex pervert and predator.,@citypopradioFM,2024-05-22T13:54:17Z
"""that's the dog with the bite nigga what's up"" is a catchy line that i like, but in general it's ass, kendrick used a F-22 to eliminate a beetle😂",@samueldasilva3441,2024-05-22T09:45:52Z
What is this Kingdom Hearts ass beat?,@aurumthebrave3427,2024-05-22T03:34:34Z
"This is getting better and better, it’s HOT literally the sun is shining in the SOUTH and I can’t bop to a history lesson. Summer Vibes, let’s go!",@Allajj,2024-05-20T14:55:24Z
"Ngl this is nice but Dot literally proved every good line wrong. Dot took his chain, Dot won the popularity contest, took down that king verse on the comeback, dropped back to back, and Metro made BBL Drizzy lol.",@DMES-wp2fj,2024-05-20T03:56:39Z
That's all metro can do df..make beats.,@Journee2fine,2024-05-19T15:36:00Z
"Let's not forget Drake was awkwardly in Justin Beibers ""Baby"" video back in the day. He has NO room to talk about making verses for swifties or Maroon 5 lol",@Randy-Bobandy,2024-05-19T11:26:57Z
"Drop and give me 50 is once again another persons lyrics he stole from one of his first places he swagger jacked from , New Orleans",@Cristina_504,2024-05-19T05:46:48Z
I’m just here cuz I heard the beat😂,@sonicswag90,2024-05-18T21:14:36Z
BRO YOU CANNOT STEAL THE BEAT FROM TENEBRE ROSSO SANGUE LIKE THAT!!!,@RealGarticBotTrust,2024-05-18T19:19:26Z
"Made a fire beat remix of this song , go check it ! 🔥🔥🔥🔥",@sabeats6716,2024-05-18T18:09:43Z
Drake doft as hell ...he got ghost writers....lots of his lyrics have already been rapped ...he ain't got shit ...I really never liked kendricks beats but his lyrics are complicated makes you think and when you realize what he said ..it like damn that shit was really complex,@tommydando7643,2024-05-18T05:17:23Z
This shit straight 🌽. Too much jargon. Beat keepin this one alive.,@a1sauce81,2024-05-18T02:46:48Z
The fact somebody wasted these beats for this garbage song is wild,@C.G_Misc,2024-05-17T03:42:47Z
