comment,user_name,date
"Future verse goes harder(😂) than Kendrick's. Kendrick's verse is hard,but (pause😂) Kendrick's verse is beef.(pause) Future just went in with metro on tha beat.(Pause)🎉",@killafranchise9277,2025-03-21T05:57:52Z
"""Today marks the 1st anniversary of one of the biggest rap beefs in history—Kendrick vs. Drake. It all started with Kendrick’s explosive verse on 'Like That,' sending shockwaves through the industry and igniting a battle that had fans and artists picking sides. What followed was a series of diss tracks, subliminals, and direct shots that kept the culture on edge. Then came 'Not Like Us'—the final nail in the coffin that became an anthem, a victory lap, and a West Coast celebration all in one. A year later, the impact of this feud still lingers. The debates haven’t stopped, the records still hit hard, and the culture was forever changed. So, looking back—who really won?""",@kellykjellburg6818,2025-03-20T23:28:30Z
Best beat EVER!!!,@DiamondsdaBoss,2025-03-20T04:59:12Z
Was there a cut verse at the end?,@Sirkillertoaster,2025-03-19T13:52:07Z
This beat is bannanas,@ElesielChakal,2025-03-18T12:17:26Z
LOOKIN BACK NO ONE COULD HAVE GUESSED THIS VERSE WOULD MAKE SOMEONE SUE HIS EMPLOYER.,@thomasmitchell8773,2025-03-18T12:01:56Z
This songs beat hits almost harder then not like us!,@NikoDoesGoodEdits,2025-03-17T01:45:12Z
Hardest beat I’ve heard in a long long time Lol Got to turn it up every time it comes on,@PsychoBeast017,2025-03-16T13:14:26Z
Regular Show type beat,@_kfcgod_,2025-03-16T09:19:54Z
KDOT kicks this dumb south melody to the level. EZ NWA for a thug from around the wayyyyyyyyyyyyyyyyyyyyyyyyy.,@matthewwallendorff5306,2025-03-16T06:42:46Z
Microwave ass beat 😂,@GoatedKingEricEazy-E,2025-03-15T13:47:31Z
God tier beat,@mitsurikanroji9548,2025-03-15T13:20:11Z
This beat is hard,@michaelnkansah8538,2025-03-15T12:14:37Z
"The culture, the beat, the visuals. Everything!",@passivepanda3656,2025-03-15T04:03:21Z
This is htown beat from slim thug,@Bmwfan23721,2025-03-15T00:37:01Z
kendrick's lyrics fire,@Venox34,2025-03-13T20:51:57Z
This beat is still so hard,@theNeonfrequency,2025-03-13T18:28:56Z
Those old school beats !!!!!!,@dukesservicesllc2802,2025-03-13T02:33:01Z
"Where it all began...I can't believe it's been damned near a year but this song, Kendrick's verse was the spark to light the flames of The Beef to End all Beefs and the flames needed to cleanse the rap game of its colonizers and cowards. It really IS just Big Him.",@MusiciansRule07,2025-03-12T11:19:18Z
"Future's verse was like the little droplets you feel before it rains, Kendrick's verse was the rain, at it's peak, the rest was the thunderstorm.",@Kyvorn,2025-03-12T03:12:33Z
metro killed this beat,@S2hawnn,2025-03-12T00:22:11Z
I play this everyday to hear Kendrick verse😂,@ericawilliams4677,2025-03-11T19:46:15Z
The beat got its own fucking verse bro 😭🥀,@barackobama9878,2025-03-11T16:40:05Z
LIL WAYNE BEAT,@wtfyoulookinatmane5013,2025-03-11T16:15:47Z
🔥beat,@AayurJ-i5s,2025-03-11T03:06:45Z
I can't be the only one who's here for only future's verse.,@ahmad0900,2025-03-10T17:02:30Z
Almost a year later and kendricks verse hasn't been match yet.,@spgoonsquadbizair,2025-03-10T16:55:42Z
kdot verse is MID af lmao yall really be putting that shit top tier? he aint say shit lmao,@Megatraum504,2025-03-10T15:58:51Z
"Of course Kendrick's verse is the highlight, but let's not forget how hard Future's words go. He really ""like that""! I love this track",@phillipstahl3957,2025-03-09T18:51:48Z
This beat & Kendrick's verse are what makes this track HOT!!,@missbttrsctch,2025-03-09T04:26:44Z
1:26 this isn’t the beat of it it’s the type it’s fire of,@VibeDeala,2025-03-09T00:44:25Z
"I only play futures verse... kendrick ruins this song. Not a drake fan. Sonically, he ruins the fucking song",@ggspooks7915,2025-03-08T08:15:22Z
anyone who thinks that metro killed his verse,@SimbarasheNdowa,2025-03-08T04:21:26Z
Love the funking beat. Yes.  I love this song. ❤,@marionwilliams3497,2025-03-07T22:39:56Z
The fact future sounds so clean they knew they had to present kdot w that vibe,@dominicknix3524,2025-03-07T20:15:31Z
This beat makes me wanna slap a turkey,@SamanthaTurkey,2025-03-07T03:17:18Z
Futures verse was the Calm before the biggest storm in modern rap,@Shane.Roberts,2025-03-07T00:57:10Z
