comment,user_name,date
"Hey guys, please read, I'm going to talk about my personal problems. Everything is getting worse and worse, my parents' fights are getting more and more frequent and worse, I'm not even impressed anymore, since I've witnessed these fights since I was little, and my psychology is almost finished, I just don't know what to do anymore, everything I do people look at me in a bad way, and I really hope that my new school helps me a little to have a minimum of happiness that I no longer have, I just want it all to end once and for all, I just want to cry but I can't, I want to smile but I can't, I don't feel any kind of emotion anymore, ""hey but I saw you so happy, you talk to everyone normally."" I just ""try"" to make people believe that I'm fine, but I'm not, it's just a mask hiding everything I'm feeling, I'm just standing, but I believe it will get better, if not I would have already ""ended it all"" if you know what I mean, but anyway, I just hope everything gets better, I still have a little hope that it will happen, thank you very much if you've read this far, it's just a personal rant. Thank you and good night.",@DarkdeDark,2025-03-16T23:23:29Z
Essa musica transmite uma vibe maravilhosa❤😊,@Lua-eb5zc,2025-03-16T21:37:31Z
"Bruh, how am i supposed to move on from this song🫠 it slaps so hard, so dreamy and nostalgic at the same time like— helP I can't stop🥹🤌🏻",@miss_jissthefreaks5114,2025-03-14T20:25:10Z
"The sound brings me back to being in middle school, early high school (2011-2015) when I heard so many songs with this dreamy soundtrack vibe.",@varsity.1,2025-03-14T06:45:08Z
Idk why but this song gives me major twilight soundtrack vibes,@emmachen1885,2025-03-11T23:13:23Z
I love the guy who always notes and listen to this song🥹,@applebarbado2712,2025-03-10T13:05:04Z
Some Cali dude needs to pull this sample beat throw some 808s on it,@AdrianVersaceRuiz-qw7fj,2025-03-07T17:54:41Z
"I felt something hearing this song in the background of my daily life, then cried when I look into the lyrics",@kimmiatacanada,2025-03-07T01:53:29Z
Que vibe ❤,@sheylasantos4602,2025-03-06T14:00:06Z
Some reason this makes me connect to the song so deeply 😳😔,@BennyAtkins-lj3jv,2025-03-05T23:43:31Z
I love the song but not some of the lyrics 1:15 the lyrics right there js hurr me why god😔✝️,@IsaacMendoza-g1f,2025-03-05T01:46:03Z
Com poucos minutos de música comecei a chorar lembrando dos bons tempos com amigos😢,@evenatanlima6952,2025-02-28T21:35:35Z
Nostalgic feeling,@ayoshnakumar4478,2025-02-27T12:05:39Z
"Has anyone actually ever listened to the lyrics? I'm surprised it's on radio for all to listen to. I like it, no question but the lyrics aren't for minors",@williamlubig4459,2025-02-25T17:58:42Z
This gives me major Percy Jackson vibes and I love it,@mxoneyhp,2025-02-25T05:57:14Z
Future nostalgic song definitely,@YGaming1011,2025-02-22T14:57:34Z
Beautiful melodys . Don’t care for the words much . But love the music. And the guitar and the vocals ❤,@audramuth4147,2025-02-22T01:54:42Z
I'm a 24 yo dude. I've heard this chorus alot in videos. I've hesitated to look the full song up until now because I knew it'd make me cry. Sure enough. But it's odd my tears fall out at small things like this but in real time it's like i freel like it takes longer for your emotions to register.  I've found love alot in my young life but I always took it for granted up until recent years where i have had no one. We shouldn't be okay with breaking people's hearts just because we felt that way once upon a time too. We need to be out here being heroes giving & expecting nothing in return,@zacharycatastrophee1859,2025-02-21T11:20:50Z
Wow powerful song 2025 love it ❤💫🏴󠁧󠁢󠁳󠁣󠁴󠁿,@williamgallacher-hx5lz,2025-02-20T18:50:11Z
"My God, this song is a miracle. I listen to it 100 times every day and the chorus is in my head all day long. Your voice is beautiful and the lyrics are perfect. I simply love it. I've become a big fan of yours. I hope you have more songs like this!",@brk_hanna,2025-02-20T17:03:11Z
Even though this a new song it has a mid 2000’s vibe to it and it like it!,@stevenmoore4612,2025-02-16T04:20:07Z
"This song gives me early 2000s vibes and i love it, this song is a masterpiece",@kayla_11243,2025-02-13T21:27:41Z
"Frankie,,, enjoying the vibe,,,from Kenya +254,,",@Francis-b2j7b,2025-02-13T13:42:23Z
Muita vibe Eroda da Kashi essa musica,@gabbzalmeida,2025-02-11T21:09:48Z
"The lyrics blow me away, she’s the female hozier",@elizabeth4689,2025-02-11T04:44:54Z
"Check my acoustic version of this track with a female singer ""Live On Tape"".  https://youtu.be/j7IrrwmcSJA?si=qSSFuIqdWcCZpq0s",@JoseSequeira,2025-02-08T15:27:54Z
"A um mês e pouco terminei meu relacionamento, ela era tudo para mim, a mulher que eu mais amava na vida, porém nosso relacionamento nunca foi aceito, por que somos duas garotas, meu pais pararam de falar comigo, falaram muitas coisas que me deixou triste, mas eu tinha lutado tanto pelo nosso relacionamento, pra dá tudo certo, eu fazia de tudo pra ver ela, pra poder passar só um minuto com ela, mas infelizmente eu não posso mais, eu tinha que escolher entre ela ou minha família, por muito tempo escolhi ela, escolhi ser feliz com ela, mas ouvir aquelas coisas me deixou muito triste, por que a única coisa que eu queria era ser feliz com ela, e eu nunca poderei. Então eu decidi terminar, mas eu não queria, eu a amava e a amo, e toda vez que eu escuto essa música eu me lembro de todos os nossos momentos que estávamos felizes, eu te amo Anna Clara, e sempre vou te amar.",@novajerusalemvidros1811,2025-02-07T22:05:55Z
"Damnnnnnnnn, that sounddsssss soooo good, i love what she did with the lyrics. And her voice is awesome",@njomzamadasahatter8976,2025-02-04T01:30:37Z
this song feels really nostalgic,@rodriqo,2025-01-31T22:13:08Z
i always listen to this when my meds dont affect me anymore because then i can feel emotions and this makes me feel all love this <3,@loganbrown8748,2025-01-29T20:52:45Z
Honestly the lyrics describe something erotic between two lovers but the way it’s delivered just changes everything and is somehow making me emotional? I’ve just realised how lonely I am and how much I long for something like this in my life…,@Hmm24376,2025-01-26T20:35:08Z
144p hits deep,@NshNd-n4j,2025-01-26T15:41:34Z
this song gives me the summer I turned pretty vibes 🌺,@caylaaamunoz,2025-01-25T18:58:37Z
It's 12am and I am so in love with a girl and all I want is to live a movie with her but there is some god awful world that stops us,@woohoo7902,2025-01-24T13:40:15Z
"Though this is my first time hearing this song, it feels nostalgic. Like I've heard this song many, many years ago. It reminds me of early youth, and I think only a small number of songs that come out nowadays can pull that off. It's something special for sure.",@CatychoVT,2025-01-22T08:57:33Z
