comment,user_name,date
I thought he said whiskey Lean. I plan on singing this at a karaoke bar I had to learn the lyrics lol.,@Curioazulcrochet,2025-03-19T12:41:13Z
Anyone else realize the beats the same one from gorillaz kids with guns just sped up,@AndrewBack-w2j,2025-03-18T21:18:04Z
"Over here chilling out, listening to this as 11:30 pm on a Friday night, doing school work. And may I say. I LOVE IT. This song is all sorts of vibes and chill",@AmberKline-z7l,2025-03-18T18:21:11Z
"Over here chilling out, listening to this as 11:30 pm on a Friday night, doing school work. And may I say. I LOVE IT. This song is all sorts of vibes and chill",@IzzyOdinsson,2025-03-15T03:36:19Z
Cool but it sounds like the beat from mercy,@frank9733,2025-03-03T20:00:07Z
This song gives me the good vibe,@thedailybrain1188,2025-02-28T14:31:21Z
This song is very sexy his voice the chorus hauntingly sexy 😍 👌 ❤️,@Sara-n9t6u,2025-02-28T00:05:22Z
"I take my whisky neatttt even though I don't drink lol I just love this song, it's so catchy 🔥🔥🔥",@lisajarvis3684,2025-02-27T14:38:49Z
This gives mids 2010s vibes,@CarryBearTV,2025-02-22T17:40:13Z
Unoriginal annoying.,@elevate-the-cotton,2025-02-20T06:14:10Z
Summer 2024 vibes and memories,@Wild_chickens,2025-02-19T16:37:29Z
Lyrics 🤮  voice❤,@rinipg3893,2025-02-16T09:15:45Z
Anyone else getting marble machine vibes,@explicit_bj,2025-02-12T07:57:40Z
You hit those high notes so good better then me,@rachaelfarrow3555,2025-01-24T23:56:02Z
Love the vibe of this song 😂,@orlando3029,2025-01-15T00:37:14Z
Female betta and her guppy girl chorus,@RedBird-k1v,2025-01-09T16:39:22Z
This is a vibe before the sun rises😊,@ghoste1605,2025-01-08T20:27:58Z
Can someone please post the lyrics to this song,@eduardovillegas2184,2025-01-08T05:33:41Z
🎙️⭐💋Seductive Vibes🌻☀️🎵,@Sunflower-e7k,2024-12-19T07:36:52Z
"I usually don't like songs when I don't understand the meaning of the lyrics, but this just has such a good sound to it.",@marcushoward6560,2024-12-16T19:00:49Z
Sam smith vibes 🍂,@KING-tz6lo,2024-12-07T20:48:09Z
"After actusly analysing the lyrics this song hit a different kind of way, before i just listened to the song but now that i actualy paid attention i love this song even more",@Bed_Stain_Offical,2024-12-03T06:46:28Z
I hope he payed the licenses fee for the cord progression.,@Wulfnoff,2024-11-30T11:36:03Z
"2:14 ""You treat your mouth as it's it's heaven's gate"" 👄 The way his tone changed for this line was sooo good",@mei.mei1,2024-11-22T12:19:36Z
80’s vibes great song,@level100tv,2024-11-19T21:08:29Z
I'll take him Irish deep whiskey,@kimberlyngo5362,2024-11-16T23:50:10Z
