comment,user_name,date
All her songs are a VIBE!!,@harmonizer87261,2025-01-30T18:44:14Z
❤️❤️❤️❤️❤️❤️❤️❤️❤️beautiful vibes😊😊😊😊😊😊,@Mellinalaforce,2025-01-29T16:12:27Z
Milenial vibes!!!!🙌🏼💖,@bbygrlpt2,2025-01-26T03:26:55Z
Con autotune cualquiera!!,@YouRosas,2025-01-26T00:01:44Z
"So Beautiful , love her vibe !",@irenemunoz3824,2025-01-16T02:15:22Z
"I am Turkish, no idea what they say,  I dont drink, but I just love the vibe, I want to spend the rest of my life at this place, can someone tell where this bar is I want to try my chance  ?😅",@ertentainer,2025-01-09T05:30:58Z
"Bueno aca hay que aclarar que la chica que canto primero no tenia autotune jajaja pero cuando canto carol ahi se noto muchísimo autotune jajaja y antes que salgan a llorar los fans, solo les diré que lloran por nada ella no sabe que existes",@nishino8354,2025-01-05T03:49:00Z
Get lost annoying bastards y,@KhadijaSarwar-jb1no,2024-12-27T02:50:56Z
"I loved the music , and singer is beatifull af.",@Rossie750,2024-12-24T03:12:30Z
90' vibe.. i love it 🥰,@ankalabor,2024-12-23T15:39:20Z
I love this vibe🎉,@brunoberduh3161,2024-12-19T12:05:53Z
"Ce clip est un hymne a mon bonheur, Bravo à toi Karol G.  A la 1ere notes j'ai envi de danser et de ne plus penser à rien. Du pur bonheur !",@Falkitch,2024-12-07T22:40:55Z
"What a beautiful song, videography and the artist. I don’t speak Spanish but I got attached to this song, listened to if many times, found Spanish lyrics and then English lyrics. 😂😂. Loving the song . 😍😍",@MarwahRaj,2024-12-03T12:51:20Z
