comment,user_name,date
"The first chorus with the crowd screaming ""they not like us"" is pure goosebumps",@richiwillemse1481,2025-03-21T20:32:16Z
Kendrick gave a Master Class on a lyrical beatdown. He's the Lex Luther of Hip Hop!,@RAM6165,2025-03-21T19:21:53Z
"I personally think this song is awful and you can barely understand what the so-called rapper is saying. I miss ""real"" music.",@terence4427,2025-03-21T15:32:13Z
The scale of annihilation this song is systemic..and deep..and danceable! I love it!,@kingLanos,2025-03-21T15:13:04Z
"I feel like Kendrick would not stand a chance if Eminem was on his beat, he would probably make that shit viral",@JosePesina-t7t6u,2025-03-21T09:01:51Z
Don't understand much(Indian) but can tell that bro deep fried someone named drake 🎉,@shivesh2510,2025-03-21T05:08:27Z
what kind of adult defends dangerous college students saying i will beat you on my graduation day,@olivasometing,2025-03-21T02:52:28Z
Yeah and you started cuss and saying beat me yeah defend them instead me,@olivasometing,2025-03-21T01:25:04Z
Lol he gets his ass beat on my graduation day,@LocallyyHated,2025-03-21T01:11:45Z
Relish in that shit when he gets his ass beat for that hit ....operator,@LocallyyHated,2025-03-21T01:01:44Z
"I need to say this...havent seen it on any of the comments.....I feel like Im the only person who heard this track for the first time and what I heard I couldn't unhear until the half time show.....I swear I heard ""mustard on ya B-hole"".    the half time version ""Mustard on that beat bro"" fixed it LMFAO.....but the months between I kept thinking what in this world would cause ""mustard on ya B-hole""??  rear-ended by a food truck??            I probably need a hearing test",@Rammett,2025-03-20T22:28:51Z
0:44 this melody is catchy (esta melodia es pegajosa),@AuraValentierra-jb4jp,2025-03-20T22:07:21Z
The best beat I've ever listen in my life,@HORROR_KNIGHTS,2025-03-20T20:27:10Z
The vibe is 🔥,@Totallynototto,2025-03-20T20:15:17Z
"You can definitely tell Kendrick beats his wife by the fact that she is HAVING FUN, seriously Drake where did you find that?",@Menace_tosociety-i6z,2025-03-20T19:48:33Z
Why does it sound like the lyrics were recorded in a completely different building than they rest of the song? Whoever produced this needs a lot of work. The live version blows this out of the water. It’s so hard to listen to this.,@kmkspaded420,2025-03-20T13:01:53Z
The trash is YouTube in the universe.,@jayden.11-k5r,2025-03-20T12:54:38Z
