comment,user_name,date
Chill vibes type,@markuswatson8770,2025-03-20T21:14:40Z
"Intro  🔥  lyrics 🔥 song 🔥  R.i.p to the late , great Luther V. 🕊 🕊 🕊",@tamarastewart1278,2025-03-20T10:36:57Z
Had to search for the other vocals which made this track perfect. Sam Dew???,@victoria0783,2025-03-20T04:18:10Z
"His songs mean something deeper and deeper to me everytime I listen to them, consider me inspired imma meet bro one day n imma share my story the same mf way on my soul.",@mr_fuzzo1431,2025-03-20T03:42:48Z
Worst song ever,@GGWP-m6j,2025-03-20T03:36:30Z
Music has really fallen. This is just annoying to listen to.,@wikihow5413,2025-03-19T00:52:47Z
Woman beater,@xcaloux23,2025-03-18T18:46:36Z
This song is so catchy,@UrfavCourtney,2025-03-17T20:49:20Z
It’s getting annoying now. Hearing this song everywhere.,@lIlIlIlIlIlIllIlIlIlIlIlIllIl,2025-03-17T03:05:27Z
"My life sucks, I'm seriously thinking about ending this... But Kendrick Lamar exists and that makes me happy, this song gives me courage, it's beautiful and gives off very good vibes",@Alee-p9y,2025-03-17T00:52:50Z
sunflower vibe🔥🔥🔥,@khunanonhrimpraporn3053,2025-03-16T18:00:54Z
So good vibes,@pepitoyatusabe7707,2025-03-16T14:43:38Z
I love the vibe 1:16,@Yoaydem,2025-03-16T00:19:44Z
"This is absolute magic right here, Beautiful blend of vocals😭😭✨️",@angeliquism,2025-03-15T17:46:28Z
this song is a vibe mann,@ishandeep2079,2025-03-15T15:34:04Z
Love the vibe❤,@jay45669,2025-03-15T02:56:34Z
Mariah Carey vibes,@danielvega3127,2025-03-14T18:22:38Z
who heard titi if you guys know tagalog good it means a deeper meaning,@robloxianhands,2025-03-14T10:57:17Z
"This is a vibe and a half, definitely a favourite",@itsDeaner,2025-03-14T03:40:30Z
"Wow, what a powerful voice! This artist's vocal range is incredible, and the emotion they convey is just captivating",@AddisonMorgan-d3n,2025-03-13T18:05:42Z
The rhythm of this song gets me moving every time.,@RubyMoore-b7n,2025-03-13T17:50:55Z
Spiderman vibes,@bootsnikuts9578,2025-03-13T16:18:40Z
