comment,user_name,date
So nostalgic,@SoKaden,2025-01-30T08:07:03Z
I just love how laufey makes music that sounds so unique and upbeat yet so beautiful,@deirdremcgrath1689,2025-01-09T21:44:28Z
Idk how people can like such a bad sounding song. It's just poorly sang vocals over a bad guitar and messy drums 🙄,@DMRMods,2024-12-30T16:07:14Z
Rick Beato brought me here.....,@bored1ca,2024-12-21T13:53:37Z
Am I the only who feels like this song gives me steven universe vibes,@yungjetsu1905,2024-11-22T17:12:20Z
"This song is so relatable to many tweens and teens like me, the music,the lyrics....we can all relate",@Dandicuz_Danciferr,2024-11-16T14:57:55Z
The melody is so good,@AngelFlores-pw4ws,2024-09-23T00:19:24Z
It’s sounds like a song you’d hear in Steven Universe,@Nurakaza,2024-08-25T07:15:06Z
This would be soo cool in Steven universe 🌌🌟⭐,@MattePillgainz,2024-07-29T16:05:52Z
I hummed this into Google and it brought me here. This tune is indeed catchy.,@TimeWizard727,2024-07-05T15:30:20Z
Brazilian bossa nova vibes 🔥,@luh_cris3412,2024-07-04T17:30:37Z
I get jazzy disney princess vibes from this song that I've never tought I'd need one day. Thanks,@sebastienshalaj6429,2024-06-20T06:05:55Z
"the ''we making out of the..."" comments are SO ANNOYING",@misspoppy-45,2024-06-18T01:13:40Z
This rhythm is kinda similar to some Brazilian songs,@silveryt8157,2024-06-16T04:09:05Z
Steven Universe Vibes- I dig it,@wolffang1060,2024-05-21T17:31:11Z
This sounds like a Steven Universe song ❤,@lololol4987,2024-05-06T20:02:39Z
Is it me or does she kind of sounds like Pearl from Steven Universe?,@Acorn905,2024-04-11T14:11:13Z
this song be stuck in my head.makes me feel nostalgic for some reason..,@lash4572,2024-03-07T11:39:43Z
I think I hear Pearl from the Steven universe 🥰,@aceeleazar90,2024-03-04T14:22:42Z
Tem uma vibe garota do rio,@larissesantiago4468,2024-02-17T22:47:35Z
I feel powerfull light in me,@khassisssanbatjargal3200,2024-02-16T12:21:20Z
WE PULLING OURSELVES OUT OF THE DEEP TRENCHES OF ETERNAL SADNESS WITH THIS ONE 🗣️🗣️🗣️🔥🔥🔥,@Nna-ef5bi,2024-02-15T01:51:35Z
i thought this was steven universe,@J22_YT,2024-02-02T04:06:24Z
I heard this song this on Sirius “coffee shop”. I loved it from the first beat and it was a feel good song.  It reminded me of “The girl from Ipanema” tone.  I couldn’t wait to search this song online!!,@donnarogers2369,2024-02-01T17:01:30Z
"IM GOING CRAZY LOOKING FOR THIS SONG I KNOW HER NAME HAS THAT "" Fy Fi Fey"" at the end of her name my search now "" lufi songs"" ""lonfy songs"" ""that one song like old song vibes"" DANGGG FINALLY I FOUND IT",@Ningshrimp,2024-01-29T05:46:13Z
why is it kind of reminding me of steven universe type of music,@jasminmadrid5153,2024-01-27T05:03:02Z
Bro she is like a real life version of lapis lazuli fro  Steven universe,@ARPHEDITs,2024-01-16T13:35:38Z
Why is this giving me Ratatouille vibes?,@manperh9120,2024-01-15T16:16:20Z
The worst part about this song is that it ends,@binhnhy,2024-01-13T14:42:53Z
Steven universe-isk,@cyarain,2024-01-07T13:59:57Z
Why this remind me of Steven universe I swear childhood was good 😭,@SIRPOINTKIDD,2024-01-06T00:51:02Z
reminds me of steven universe and i love it,@veeslash,2024-01-03T11:50:23Z
Vibe ☑️🌫️🌫️🌫️🌫️🌫️🌫️,@M.A.P.wonders,2023-12-28T03:02:44Z
I love your voice and the melody of the song 💕 only it would be great to see also songs about other things and not love,@sevimyavuz2874,2023-12-27T21:53:13Z
"Bossa nova rhythms are so nice, easy, and melancholic. I like it.",@rottingpotatoes2483,2023-12-25T05:44:04Z
been looking for this song for HOURS! FINALLY!!! making this comment so that every like gives me back to this AMAZING VIBE!!!,@Fish_Queen,2023-12-17T09:16:27Z
This sounds like a Steven Universe song,@Sigmaboie,2023-12-06T01:00:03Z
I googled the hold music lyrics cuz I loved the sound of this song!,@steventrejo7123,2023-12-04T21:34:14Z
WE BEATIN' THE F*CK OUT OF DEPRESSION WITH THIS ONE 🔥🔥🔥🔥🔥🔥🎵🎵🎵🎵🎵‼‼‼‼‼‼,@nwebh,2023-12-02T12:40:44Z
i just like the vibes of the song,@justfire877,2023-11-28T02:40:53Z
This reminds me of Steven universe,@Boywithhat,2023-11-27T17:07:27Z
"bossa nova vibes, i love it ❤",@mAriA-yt1pp,2023-11-24T14:30:08Z
Wow her voice is so soft and gentle with the beat we need more quality music like this these days rather than these stupid pop whores we hear,@952shadowman,2023-11-16T11:08:05Z
Good Kid brought me here via their cover of this song. Both are an awesome vibe.,@mrjdavidt,2023-11-10T20:01:45Z
This song is so steven universe coded,@Good_luck_.,2023-11-10T18:11:47Z
"Your music is so nostalgic, I’m in love with it",@aiyona111,2023-11-09T03:09:19Z
I know all the lyrics frome tik tok,@anthonyhowell4923,2023-11-03T15:21:15Z
Sounds like Steven universe,@ricky_rich6945,2023-10-31T00:34:34Z
"Help... I'm probably looking into it too deep, but what does it mean if a friend that I rejected sent me this song 💀",@SpeckOfSunlight,2023-10-24T06:04:42Z
I feel the lyrics dude,@johnnyyboylifts,2023-10-20T02:31:45Z
"I love this vibe, it's so relaxing",@helenkim6432,2023-10-16T09:14:45Z
"Shit sounds straight outta steven universe, and im all for it.",@Rock1fyy,2023-10-09T22:44:05Z
Porque a vibe dos clássicos Brasileiros são tão bons? Kkkkk What an incredible sound,@nathanslv,2023-10-08T14:44:39Z
"Não importa quanto tempo passe, o Gênero Bossa Nova continua influenciando artistas de todo o mundo. Atemporal.",@riqueluv,2023-10-06T17:30:39Z
Muito vibe de Garota de inpanema,@clece5877,2023-10-05T19:50:34Z
Laufey's lyrics always hit close to home😩💗,@Ursulaswargiary,2023-10-03T01:31:05Z
This has the same vibe to me as a Studio Ghibli song i love it,@monric5730,2023-10-02T18:43:03Z
"Laufey makes the music we need, but don’t deserve. Love this breath of human fresh air in a world suffocating in an atmosphere of autotune …",@jooyoonchung3593,2023-10-02T01:00:51Z
"WE MAKING OUT OF THE THOUGHTS OF DEATH, TRAUMA, PAIN, CRUSHING WIEGHT OF STRESS, THE EMPTY VOID OF LONELINESS, DEEP DEPRESSION, AND THE SUFFERING OF THE REAL WORLD🗣🗣🗣🗣🔥🔥🔥🔥🔥🔥🔥💯💯💯💯💯💯🔥🔥🔥🔥🤯🤯🤯🤯😮😮",@Redantted910,2023-09-28T13:28:37Z
Noice voice good tone😊,@conniemason3953,2023-09-25T09:08:32Z
WE BEATING THAT COSMIC HORROR THAT LEAVES US EMPTY INSIDE WITH THIS ONE 💫💫💪🗣🗣🗣🔥🔥🔥🔥🔥🔥,@montopunk,2023-09-23T00:34:03Z
The list shes holding has the most beautiful lyrics ❤,@DavidV_1269,2023-09-17T02:00:07Z
listen to this while ganking on deepwoken is top tier,@yoshikagekiradesssuuu9447,2023-09-16T22:59:28Z
"i aint even listen to this stuff half the time but god she's so pretty, and her vocals are genuinely amazing.",@tao6866,2023-09-14T03:44:11Z
this song sounds so relaxing but it also gives a random nostalgic feeling i have no clue why i feel nostalgic from this song,@MOREMOREJUMPHIGH,2023-09-12T21:52:15Z
"This song reminds me a lot about my situation right now with my crush, everything in the lyrics is what i feel.. Thank you Laufey for making this song! ❤",@laniibananii,2023-09-12T14:55:27Z
WE MAKING IT INTO STEVEN UNIVERSE WITH THIS ONE 🗣🗣💯💯💯🔥🔥🔥🔥🔥🔥,@Kizafv12,2023-09-09T22:15:06Z
this sounded like it wouldve been in steven universe,@GOODVIBEZZ756,2023-09-09T20:20:11Z
This gives me a nostalgic feeling,@GihonHon,2023-09-09T02:21:11Z
Don't you noootice howww (finish the lyrics😊),@Kerropi33351,2023-09-05T20:32:25Z
*[ I hope you flourish. your lyrics and tranquility really reminds me of Steven Universe' multiple tracks. your voice sounds so dreamy. ]*,@Tr0lly,2023-09-05T05:29:19Z
the brazzilian beat.. is so wonderfull..,@Magally_maga,2023-09-01T14:27:31Z
Ts hit different when your not even depressed it's js a vibe 😪,@Uhhiforgot,2023-08-29T01:59:47Z
Samurai champlo vibe,@Mhail0683,2023-08-27T02:58:12Z
laufey’s totally different from what i usually listen to but every one of her songs are so relatable and catchy <3,@thecornseller,2023-08-26T03:42:20Z
Lyrics       Don’t you notice how I get quiet when theres no one else around we and you and awkward silence don't you dare look at   me that way I don't need reminder of how you don't the same oh the burning pain listening to you harp on bout some new soulmate she so perfect blah blah blah oh how I wish you'll wake wake up one day run to me confess your love   At least just let me say that when I talk to you a Cupid walk right through and shoots a arrow through my my heart and I sound like a loon but don't you feel it to confess I loved you from the start whata girl to do lying on my bed starting into the blue unrequited terrifying love is driving me a bit insane have to get this off my chest I'm telling you today that when I talk to you oh Cupid walks right through and shoot an arrow through my heart and I sound like a loon but don't you feel it to confess I loved you from the start confess I loved you just thinking of you I know l've loved you from the start,@pox9978,2023-08-25T17:02:07Z
It gives ratatouille vibes,@raeB_D_ahC,2023-08-24T15:24:25Z
wait doesnt cloud nine also kind of sound like the chorus?,@ashokdesai-g8w,2023-08-24T14:06:49Z
Bruh some how i can feel the steven universe's vibe in this song lol.,@andne6983,2023-08-23T16:56:01Z
I CAN FEEL THE LYRICS COMING INSIDE OF ME 🗣️🗣️🗣️🗣️🔥🔥🔥🔥,@hebo7477,2023-08-22T21:54:56Z
"I'm actually not into Jazz music before but Laufey makes me want to listen to every Jazzy music around especially this oneee huhuu the bossa nova vibe😭 I'm so inlove! And Idk but I can really relate to her songs, I feel like my feelings are being interpreted through her songs",@vblessed-curseddubaddupink658,2023-08-22T15:23:03Z
Anyone knows a song similar like this? This and the other song have similar melody but the others is more energic :c i search that song from the start of the year and i can't find :(,@simplementelucho3466,2023-08-22T00:59:02Z
THIS DEFINITELY DESERVES 1M LIKES! I MEAN 6M VEIWS?! AND 100K+ LIKES?!. ALSO I LOVE YOU LAUFEYYYY<33 LIVE LAUGH LAUFEY 4EVER. MEMORIZE THE LYRICS SINGING EVERYWHERE,@c1nna._rolli3,2023-08-21T14:50:03Z
This song reminds me of a famous tiktok song i dont know the name of can anyone help its a male singer with slow upbeat similar tone to this,@monkegamer_420,2023-08-20T19:17:08Z
This song is so Steven universe,@montystayhigh1991,2023-08-20T11:58:24Z
This sounds like something to go at the end/be sang in the middle of Steven universe,@ericnunez9968,2023-08-20T04:39:25Z
This reminds me of something that will be in steven universe,@alyssagoberdhan157,2023-08-19T13:47:28Z
ur music vibe make me feel like im flying on the sky,@vybui6452,2023-08-19T03:58:25Z
This sounds like somthing pearl from steven universe would sing,@Historynerd-ku3uv,2023-08-19T03:57:10Z
WE TURNING TO THE INDOMITABLE HUMAN SPIRIT AND AWAY FROM THE INDIFFERENT CRUELTY OF THE UNIVERSE WITH THIS ONE🔥🔥🔥🔥🔥🔥🔥🗣🗣,@cozyblanket3704,2023-08-18T05:12:00Z
This sounds like smth outta Steven Universe,@nm9672,2023-08-17T01:59:09Z
the lyrics 🤌✨,@cybzer0774,2023-08-17T00:22:22Z
tho this was steven universe type shi song,@coldmilknow7073,2023-08-16T17:04:05Z
Love this song❤❤❤ it reminds me of steven universe.,@kris_lombard,2023-08-16T14:16:48Z
Is it only me getting Steven Universe vibes from this??,@mallowss8336,2023-08-15T12:31:31Z
I thought this was a Steven Universe song... which is just about the biggest compliment I can give...,@KingofGeo,2023-08-14T01:24:01Z
"I heard this song at work one day, and I couldn’t remember any lyrics… so unfortunately I couldn’t find it. I eventually found it, and I’m so happy that I did. This song is AMAZING 😍😍.",@Axaxri-,2023-08-14T00:43:49Z
Cant be the onlt one who gets Steven Universe vibes 💟,@Theoneandonly0_1,2023-08-13T05:57:49Z
Major breaking bad vibes,@ResentedButter,2023-08-12T22:38:32Z
"Love this song, but question does anyone know where the chorus is sampled from cause it's on the tip of my tongue but it's just not coming to me?",@MrsAlmightyKey,2023-08-12T19:48:20Z
this is giving me steven universe vibe bro so nostalgic,@ucleminh8300,2023-08-12T02:16:12Z
Laufey makes me have steven universe vibes for some reason,@yuyukimaru,2023-08-11T00:25:39Z
Steven universe vibes,@DRIP2MAX,2023-08-10T03:40:42Z
"This song will be one of those nostalgic songs from the past in the distant future, this song is truly a masterpiece if we are being honest.",@Mashukai333,2023-08-10T02:04:17Z
beatifull,@Rhoadeschan,2023-08-09T22:32:50Z
WE BEATING THE INDIFFERENT CRUELTY OF THE UNIVERSE WITH THIS ONE 🔥🔥🔥🔥🔥🔥,@srgmedia.agency,2023-08-09T21:58:34Z
if a song doesn’t use autotune it’s automatically better no matter what,@Fart_guy123,2023-08-09T04:41:58Z
This sounds like it should be In Steven universe and everyone knows Steven universe is the best kid show ever❤❤,@LittleFroggy-y7f,2023-08-08T16:36:44Z
This song gives me Steven universe vibes,@zackariusgale3493,2023-08-08T12:57:05Z
Anyone else think it's awfully similar to cloud 9- beach bunny or just me 😅,@bigfart5349,2023-08-08T03:43:34Z
Wrd 2 my dead we makin it out of the motherfucking trenches with this fire ass melody🗣🔥🔥,@LostV4MP,2023-08-07T21:28:04Z
Does anybody remember this song being slightly faster and in a higher pitch…? Why do I remember it differently..,@schidius,2023-08-07T15:20:05Z
Why is this giving me ratatouille vibes 😂 fire 🔥,@SunWuJon,2023-08-07T02:53:51Z
Why this feel so... Nostalgic?,@Blehblehbot,2023-08-07T01:57:46Z
emotional😢,@TheEgyptYoshi,2023-08-06T11:42:31Z
WE GOING IN A DEEPER STATE OF DEPRESSION WITH THIS ONE  🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,@manionduty1,2023-08-05T07:23:17Z
"Really good song! But the video is terrible. Just a repeat of blah blah blah. At least if you’re going to do it with a scroll, have it mimic consistent with the lyrics that are being sung at the time. Very disappointing with the video, but very pleased with the song.",@lindarob4132,2023-08-05T03:18:40Z
i love the vibe and the lyrics 😍,@himariena,2023-08-04T18:28:33Z
Starting new chapters in ya life type beat ❤,@SeanAlexanderThirtyEight,2023-08-04T05:02:11Z
Reminds me of Rebecca Sugar (Steven Universe) songs,@arianavalentine3672,2023-08-03T22:58:58Z
Bro I thought this was from steven universe with how chill it sounds💀,@tayshaunalexander7621,2023-08-02T16:18:44Z
a samba melody,@Naassom_xd,2023-08-01T20:32:19Z
Esta canción debio aparecer en Steven Universe ❤,@lanai4046,2023-08-01T18:10:16Z
Mitski vibes,@dariab6689,2023-08-01T14:38:17Z
This gives me steven universe vibes 😂❤,@JustRepose,2023-08-01T13:41:28Z
This song kinda gives Steven universe vibe to me but that's just me tho,@audikeefeanuta9030,2023-08-01T12:47:01Z
Idk but this song is so good and I realised that this is so if they used this song on steven universe (in my opinion only),@alkirraf.domagas4030,2023-08-01T07:15:49Z
