comment,user_name,date
I love this song! The sound effects work into it so well and the music video adds so much charm to it!,@Keepitrolling.,2025-01-28T01:46:06Z
Revisit in some of his earlier work knowing what we know of why is into music is bridging the gap between a lot of stigma he will go along way His music is so emotional our heartfelt to this whole❤,@samanthahillman73,2024-05-15T21:01:46Z
So glad this popped into my feed. I am a huge fan. No matter our age.. mind games are the worst and haunt us all.,@tammyadjanor1875,2024-03-24T15:15:34Z
What a freakin vibe,@rocketleaguelegend1359,2020-12-07T19:34:08Z
This song is so catchy!,@josephdeshaw9229,2020-12-03T12:13:43Z
"I love your voice.  Your songs  touch the deepest part of my soul. Please, keep going on .  Love  from Azerbaijan 🇦🇿💛",@ahgasshi,2020-11-28T10:14:12Z
i know it isnt my place to tell you this but make ur voice a little louder then the audio effects,@str4080,2020-11-13T17:20:08Z
You're one of the best male singers i know. Your voice is deep which is great for my ears😂,@shawnhoareau7137,2020-11-04T17:14:41Z
Those electronic vocals are it! Your voice is amazing with them! Keep it up!,@mikeylee9151,2020-11-03T08:43:26Z
epic song and i wish i could run this on my stream holla to livingston i love the sound and vibe of ur voice,@pyrozeus1530,2020-11-03T01:31:10Z
Bro this is hands down one of my new favorite songs that chorus is 🔥,@matthewwieczorek842,2020-11-01T21:36:59Z
"Great job man, I love the vibe that the video gives. Keep up the good work man you're a genius.",@davidross3458,2020-10-28T22:11:18Z
Maaaann....I love you Livingstone🥺🥺❤️❤️❤️,@cynthia879,2020-10-28T21:30:26Z
"This is spectacular, the moment I heard Home I knew I would fall in love with your music. I went to look at the rest of the songs in your Album Lighthouse and they just blew me away! Keep on making great music like this your voice is mesmerizing and the music you compose fits the lyrics so perfectly I love it! Thank you so much, you deserve to be famous!",@jessicarotondo3026,2020-10-28T16:28:41Z
"Livingstone this song is sick,I love your new song! Can you please do a cover of a song called ""Panic Room"" by Au/Ra please it's my favorite song",@rickcolb,2020-10-28T16:20:07Z
Strong Joker vibes and it is awesome!!!,@evang1182,2020-10-28T16:11:12Z
