comment,user_name,date
"When a comment is heard about Andre Kent Jr and AJ Kent it looks like this period. Everybody Else that couldn't keep up with what the client wanted instead of sympathizing with your situation as a way to control what was best for others instead of composition how the client requested should have been transferred to a different team or fired and terminated correctly and then sued not less than a billion dollars for negligence for how long it has taken for them to get my branding correct. I'm the client when paying for services and directing how I'm wanting things completed not the friend of those that are to be providing the services because since 2019 to currently and it still being done incorrectly it's unprofessional, some of you are too conservative and unprofessional and lack the creativity my team and company requires and you are negligent for deals decided instead and submitted, lost wages, lost opportunities, lost revenue and lost payments for my employees and contractors that can do their job position(s) correctly not one account is a mess up account or an account that should anything other than as directed by the client, period. For the scouts and scoutmasters and those that like reporting on Facebook, as a paying client for what I'm requesting where you all have thousands on your team in agreement one would be best since the year 2020 similar to the layoffs at companies where roles become obsolete, I would have approves thousands and tens of thousands of layoffs, forced resignations, terminations and replacements and a class action lawsuit against those that couldn't present what the client whom is myself requested where I'm paying for services and am not forcing you all to be there where not an employee where you can't take other job positions and assignments at other companies do to my restrictions...",@AJKentInc,2025-02-15T23:22:21Z
Queen of rap. Empress of lyrics. Slaying beats.,@serapiogonzalez7683,2025-01-16T18:21:56Z
You are a bad bitch and you know it. Powerful. You lay down what needed to be said and Nicki flipped. She's so sad and you look so good!,@stephenfer7,2025-01-13T02:43:02Z
Ruby rose vibes😍,@briiannairvin8648,2025-01-06T03:48:17Z
0:51 the verse that revived her career.💞,@tjaystars,2024-12-28T19:44:43Z
Literally one of the best music videos I’ve ever seen. Megan ate up this beat and left no crumbs. Bars upon bars,@frostbite6904,2024-12-14T14:46:56Z
BIG POWER IN THA UNIVERSE NOW ABOUT TO ALL THAT MOUTHS UP !!!!!!!!!!,@RichStarnes,2024-12-09T10:56:57Z
stay on beat big foot,@koketsoramodisa7164,2024-12-05T06:17:32Z
the 10th BEST SONG of the year by NME and Genius #9 most popular lyrics of 2024 WITH NO HOOK just STRAIGHT BARS🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,@asb2000,2024-12-03T01:32:16Z
They will always be scared of a powerful woman period.,@Learay,2024-11-30T16:39:38Z
Kill the beat,@vishaltambe9087,2024-11-30T13:50:59Z
"Once again, i remind myself that this was the first stone against BBL Karen Drizzy",@christinethuo6840,2024-11-27T15:22:51Z
"Hello beautiful Ms. Stallion, I'm now coming to terms with something you and I now share in common thanks to the BLM. You made the innuendo about Channing Tatum in your Lyrica and it upset them like he'll to hear a woman of your intelligence and completion that is beautiful to me. I don't like bleached skin no way. And vitiligo is beautiful actually. Abstract of the skin. Anyway it's like this you said his name and the male minds got offended that they put little blockages over your copyright to keep your sales less than deserved, took measures to disclose information about you that isn't true for having a taste for variety. And in that cause they denied you an award for great musical content. So if I had to choose whose side I'd be on I'd look into them more closely BLMM as they don't want us mixing flavors and feel we should hit reverse to pre civil rights boycott status. Idk if you like separate but equal but they plan to push for a separate constitution that will segregate you from the overall industry demographics. So please consider this not as a leak but as part of your pride in your work. Your assets are being leveled down each time you mention any sexual nature that offends them. 8/ P.S if I were race baiting trust me you'd know. I only befriend myself anyways. Alwaze.",@jettpilota,2024-11-27T05:15:04Z
"All this generic chick rappers ,  copy gangsta boo",@EM-mp4kp,2024-11-21T14:10:05Z
"I remember this music like it was yesterday, what a 1 year ago?!?!?!?! Damn it, F*CK IT , why do the years pass so quickly? I remember it like it was yesterday when I used this song as my phone ringtone",@ChArM_CaSTeR10,2024-11-18T22:21:40Z
That’s the worst music I’ve ever heard in my life time omg,@Workerbee676,2024-11-14T15:21:40Z
"Hahaha, and you'll remember that Megan started it all in 2024 and won, fuck you Grammy. Queen of rap and they can't beat her💯👑",@tkmpraty,2024-11-10T18:24:11Z
These female rappers always talking about dick riding... Well damn it megan definitely was dick riding this beat damn she killed it,@manacetherapper5460,2024-11-07T21:06:29Z
"I love this beat, it goes hard!",@Protek2ndamndmnt,2024-11-01T23:53:01Z
i’m convinced that most rap fans who say they don’t like megan just don’t listen to her lyrics,@jargolikardeenan,2024-10-28T15:38:07Z
"Her rise to stardom represents a new wave of women in rap who are unapologetically confident and in control of their narratives. Megan is setting new standards, making her a powerful figure in modern rap music.",@Jerekwho,2024-10-23T12:50:39Z
good lord she killed two birds with one stone over here 😭,@dannymcdandan5557,2024-10-13T14:33:57Z
"This possibly might be her hardest song.. no chorus, no hook just bars after bars after bars seamlessly",@gillysummerss,2024-10-08T02:57:20Z
I find it hilarious that people have to pick a fight with her. Fuckin leave Megan alone and let her vibe.,@Luciferdesrea,2024-10-06T01:29:40Z
