comment,user_name,date
"""Beat yo ass and hide the bible if god watchin"" is over the top devious.",@MiraculousTikiss,2025-03-21T03:38:58Z
The beat is so basic and trash lmao fuck dj mustard ps not a Drake fan,@Johnathanwhite-k5b,2025-03-21T03:01:06Z
ay mustard on that beat ho,@Larry-thescary,2025-03-21T01:08:59Z
I love coming back to run through these tracks of Kenny's Diss EP because Drake only makes these lyrics shine brighter and brighter every time he does some goofy s*** because he done spiraled all the way down to the Home For Infinite Losers SMH,@kynshii,2025-03-19T23:44:05Z
"I remember exactly where i was and the time of day when i heard like 2 kendrick lamar diss tracks and decided to refresh my youtube to watch a podcast and seen K Dot dropped another track, and when i heard that mf beat drop. I shed a tear bro. Shit was ridiculous",@iamkinglvt,2025-03-19T22:08:16Z
0:29 “BEAT YO ASS AND HIDE THE BIBLE OF GOD WATCHING” Kendrick bro your cooking 😭😭🙏,@JaxonG-u4t,2025-03-19T18:37:42Z
BBC radio in the UK censor the lyrics “say drake I heard you like ‘em young” clearly trying to protect their own.,@Re-written.,2025-03-17T19:55:38Z
Mustard was cooking w this beat,@BogWizardVR,2025-03-16T23:37:01Z
i play your music in beat saber,@mlodydziobak,2025-03-16T23:01:42Z
is it just me or does the beat sound different,@justaregulareddyboi2595,2025-03-16T05:22:28Z
"This is my first time hearing this and I gotta say, this beat is KILLER!!!!",@PneutaticDragonStudiosLLC,2025-03-15T12:08:21Z
the only beat to this is da da dada,@royleispro789,2025-03-15T01:08:35Z
How is this already nostalgic to me? 😢,@Terrainahead1,2025-03-15T00:49:44Z
"Not me saying ""Man down, call an ambulance, tell 'em breath, bro,"" to the beat while administering CPR.",@PoochMG,2025-03-14T13:36:15Z
When 2 Chords Can Kill Someone,@grannyfartfungusofficial,2025-03-14T02:09:04Z
"What I never noticed until recently, the song he samples and the particular portion of song has lyrics that says “I believe it, I believe it!”. So it’s almost as if the piano is singing “I believe it” in the background throughout the song further affirming any validity in the lyrics. I know everything’s intentional with him so I wouldn’t be surprised",@Zipgimmedollas,2025-03-13T01:04:44Z
El-p is the GOAT. No comparison…Kendrick has basic lyrics.,@tapeworm6093,2025-03-12T01:37:00Z
The like the vibe bro 😉,@The_yapper2,2025-03-11T19:02:15Z
