comment,user_name,date
"❤ rad. Vocals sounding great. Still a total beauty, even more so. Song content still with lots of raw unapologetic moxy :) Still a cool band, perhaps even cooler in fact, an epic drummer, and now with a very lucky guitar player (was he always in the band?) How lucky is the guy playing the jazzmaster guitar with a group of beautiful rad musicians :) I envy him :) in any case, with a handful of years passing, and everyone aging and evolving, I'm glad I get to have a listen / look to what you are doing, without feeling like an old lecher, even though I still feel like an aged out 1000 year old vampire at times, but the reality is that I'm more of a dr frankenstein's monster than dracula anyway, even though I'm not sure that that is better tho :)",@audioeins,2025-03-19T15:03:45Z
i mostly listen to hard stuff but the vocals here fucking *cooked*,@meowieuwu-u8d,2025-03-05T18:40:43Z
Facts or true?...this song is catchy and this visual is very intriguing especially with fact that this shows a lot of vulnerability,@TheAlkebulanTrust,2025-02-04T20:48:00Z
Olivia is giving gay vibes with this one,@Trumpetkweezer,2025-01-24T05:18:41Z
I swear even though the beat is good its really the lyrics i pay attention to this girl is me when it comes to boys except he isnt my ex hes just a crush and i happen to know one of his exes so yes im obsessed,@pinkrose372,2025-01-16T21:54:52Z
I am staring at her like i wanna get hurt😭 and she even speaks kindly about me...those lyrics are on point😭😭,@Shanutheeilishoconnel,2025-01-09T11:13:12Z
WHY IS THIS SO NOSTALGIC NOW..,@MarPostsAnything,2025-01-04T17:01:08Z
Does anyone else get an Avril Lavigne Sk8er boy PunkPop vibe??,@LostYogi,2024-12-29T14:39:49Z
The vibe is vibing,@JillBrown-vy3fz,2024-12-26T20:47:43Z
This song reminds me of early 80s punk when I was in high school. Makes me feel nostalgic❤,@thefrenchatelier1977,2024-12-16T21:49:48Z
"This is February 2025 & OBSESSED by OLIVIA RODRIGO continues to be exceedingly emotional, exceptionally eccentric, extremely explosive, enormously exciting, and exquisitely engaging. Her singing is singularly sentimental, spellbinding, superb and simply spectacular. ❤❤❤❤❤❤",@kesharisuthar3268,2024-12-09T17:32:31Z
"..the life of every fucking party. I've got issues.....  Hahahaaaa!!!!😂❤🎉🎉 LUV this song & others. Esp. when idoL #oliviarodrigo cusses swears.. so real. Like most of us do. HahaHaaa!!!!! LUV this song, video, lyrics.. & many of her songs. Our #philippines' #princess ❤️ 😊 🥰 🎉💜 💜💜",@m.francisco7205,2024-12-08T02:35:13Z
