comment,user_name,date
Such a vibe these two ❤❤,@fifibc7925,2025-03-01T13:45:18Z
"After all the booty shaking it’s nice to get a real vibe, I can feel the chemistry from the video",@Dirache,2025-02-18T23:11:31Z
I am in deep love with the song ❤ it's so good,@sitanepal-e5x,2025-02-17T05:06:05Z
Bro I swear Lana is a whole vibe and mood,@Annabgaming,2025-01-19T14:04:42Z
Why does the beginning of the songs lyrics sound like an old song that I love and can’t find it anywhere?!,@WaahPedalz94,2025-01-04T17:57:04Z
Quavo killed this song i loveee his verse❤🎉,@chellchell090,2025-01-04T15:03:49Z
"No nudity, no unnecessary shit, just vibes and chemistry❤",@NPatrickF,2024-12-31T12:01:35Z
Good acoustics,@seanomar3536,2024-12-21T00:24:31Z
Fly is worst than this track,@elijah.j3288,2024-12-11T06:12:53Z
Race mixing is gross.,@MBT32,2024-12-07T10:55:50Z
Edelweiss beating in the trunk  wasn't that Hitler's like favourite beat at the time? Lol,@AstroGamers9379,2024-11-28T06:13:04Z
I'm feeling old lana vibes and I'm loving it ❤,@operationkiller85,2024-11-15T13:47:00Z
"I am not a fan of either their music BUT...I heard a snippet of Lana singing ""like a diamond in the rough...Tough"" then a badboy beat came on with Guavo's part I was HOOKED...listened 5 times in a row then downloaded!",@Leehuss5582,2024-11-11T21:35:21Z
"This is February 2025 & TOUGH, with fascinating, fabulous & fantastic collaboration between QUAVO & LANA DEL REY, is absolutely amazing, awesome and appreciable. Their singing is singularly soulful, spellbinding, superb, sincere, sweet and simply spectacular.  ❤❤❤❤❤❤",@kesharisuthar3268,2024-10-20T17:33:51Z
Quavo Antonio Tone Bone,@gerardgarnett3848,2024-10-12T18:17:08Z
Quavo Autotune,@geoms6263,2024-10-08T17:29:01Z
Quavo was always my favorite out of the 3 migos. Something about his catchy verses. He really took it to the next level this last year.,@QuazarT-v8i,2024-10-08T02:26:13Z
Blue jeans vibes,@lumpyspace9073,2024-10-07T01:18:21Z
I love so much the harmony and rapping is so intimate - both artist keeping true to themselves,@charliemiller1934,2024-10-06T16:08:04Z
A 2024 song and its already giving me nostalgic vibes 🥰,@stowmaundala6996,2024-10-05T16:44:07Z
This beat is good,@brorf6080,2024-10-03T06:15:38Z
Like the 808s beating in Atlanta it's been tough...praying for my n words and my thugs,@devonarmstrong420,2024-10-02T04:44:18Z
