comment,user_name,date
This song is so Anti God when you listen and read the lyrics,@TravM991,2025-03-13T10:08:00Z
Present Emotions: 💛✨🌺🌸🌼🪐🌠🦚,@LodiniYellow-u8p,2025-03-09T09:55:02Z
"Love the vibe,  relaxing and chill great for an afternoon walk",@ulisesbelmonte8354,2025-03-04T23:32:12Z
wow i resonate so much with the lyrics of this song.,@kittenj1nx,2025-03-02T00:34:40Z
SZA you the truth this Manny Strongs reppin Phillies West Philadelphia section 5500 Summer and I can't wait to my music with you and and also history I can't be moved like historical landmarks ride wheater light or dark since a adolescent kept one on each side with a Dalls Teflon vest metal plate protecting my chest no need to be vex because I'm about to have things my way to a different degree hotter than the earths core for those who don't know that's under the earths floor deeper than the trenches I'm beyond this world somewhere like Saturn better yet a whole nother galaxy get rid of niggas in disorderly fashion I'm one of the best artists you heard perfect wit bars like this I'm deep as it gets been through the blood sweat and tears I speak nothing but non fiction all facts that's what the industry lacks I sat back and set my trap now let's see who can adapt to another level of this shit niggas better prepare their manuscript I'm blessed with this gift transitioned from cartel and triple beams so I could make my way to the industry I'm all  jigged up but I don't give a fuck gotta give it what I got because this one of my niche s I'm vicious,@EmmanuelButler-u2u,2025-02-21T19:26:47Z
Ill get the vibes of vacation when i hear this especially at the concert,@NoNomaiden,2025-02-19T07:08:17Z
SZA YOU KILLED THESE LYRICS,@HOTPINK_4ever,2025-02-11T00:51:05Z
I cry every time I hear this song and I'm a dude.  I've always felt my soul belonged to the universe.,@AJ-zp6er,2025-02-05T04:45:51Z
amazing lyrics,@sarthakjoshi21,2025-02-04T09:01:25Z
Melanie Martineze wrote this.. Im sorry.. Top to Bottom.. The voice tones.. Damn near the whole “ Fairy 🧚 Style “ album…,@UprightSpitta,2025-01-31T01:46:06Z
La vibe pretty good good music,@marcustvchannel5885,2025-01-28T00:45:19Z
I have to sing this in chorus yay!,@heh_leebit_slays.,2025-01-15T01:57:16Z
The way I feel these lyrics 1000% ❤❤ 🙏,@sheemac20,2025-01-09T13:02:36Z
She never misses to write  lyrics that’ll cut through my veins,@Nowwelearn,2025-01-09T13:01:31Z
Bro at any emotion in at SZA makes it better😊,@RazanSarama,2025-01-07T22:37:23Z
"I remixed this song lyrics with heaven instead of Saturn 🪐. Life’s better in heaven, repent for my sins, thank god. I’ll be better in heaven oh god",@boneharvester_eth4021,2025-01-06T00:30:32Z
This song is such a vibe... I adore her 😢❤,@DontPlayWithMePlayWithYaMama,2024-12-26T05:35:03Z
Listening to it as the last song on the deluxe version gives a deeper meaning i want to cry,@anonanddamned,2024-12-24T01:15:46Z
"Omg saturn gives me mad nostalgic, im gonna cry",@AestheticMelanieFartinez,2024-12-22T04:04:39Z
Normal Girl vibes ❤ I can hear  the Weeknd on this too,@primppoutnycbytokyokho,2024-12-21T15:52:11Z
"Listening from SOS deluxe🥺🥺different time,different era and a whole different vibe🥺❤️‍🩹",@ReneilweSekoko,2024-12-20T21:21:32Z
"I LOVE the instrumental, it's giving Björk/outer space/fairytale vibes🤩🪐🌌",@PatrickRoyale-zn2ec,2024-12-20T19:03:23Z
I would love to be her friend... No strings attached. She is a vibe ❤️,@troymelodic,2024-11-25T03:05:48Z
ganda po ng lyrics SZA,@Joyuri-222y5,2024-11-20T14:19:51Z
"SZA's most personal song, I love that she has the courage to show her feelings and express them so well in a song with her rhythm and lyrics, I LOVE YOU SZA!!!!!",@LuanaCatalinaGUZMANCARRANZA,2024-11-15T22:11:58Z
March vibes so hard 😊,@aestheticaillies441,2024-11-05T23:24:42Z
The Return of Real Lyrics that make sense and intelligently produced music that actually hit the mental state of this crazy prison planet we live on. I'm gonna listen to this whole album.,@dos-modeofficial83,2024-11-05T21:11:53Z
"Nikola Tesla said “If you only understood the significance of the numbers 3,6,9 you would have the keys to understanding the universe” Earth is the 3rd planet in distance from the sun, Saturn is the 6th, and Pluto is the 9th. Can someone please help me understand how can I use this information to enhance and enrich my earthly existence the way this song enhances my emotional state? Before I move onto other realms I want the absolute best of this one, is that too much to ask for? I want to increase my “goodness threshold” but I need material wealth to do so. The goodness threshold is how good can things get for you before you sabotage it by your own thoughts that this is too good to be true so a tragedy must be looming the horizons. How good can this song be before I hate it for being so good? Please help me understand🥹",@kaseymarcelle007,2024-11-03T17:59:02Z
Beatty Green,@JettaHasler-n5r,2024-10-03T19:22:09Z
"never like SZA personally, but this song makes me feel so many emotions it works perfectly",@BigBoiGunna,2024-09-30T19:41:13Z
This hit my soul deep.,@IbrahimMahmood-yd5zk,2024-09-26T02:11:23Z
"This song touches my soul and mind. She always goes deeper than just lyrics , BLENDING her voice with every note!❤❤❤",@nancymarcelo3454,2024-09-24T18:47:32Z
As a depressed capricorn the lyrics is legit,@Hehehehehe24,2024-09-24T15:12:23Z
Vibes feels like the chill wind of 2019,@gernvillareal7088,2024-09-22T15:00:13Z
"Props to the musicians that made this, i really want to know who made this melody",@yamilionz,2024-09-17T17:58:05Z
Sza won a Grammy she makes since many relatable songs she comes up with such great lyrics. Sza is a great artist who deserves much love ❤,@Drew.that.guy45,2024-09-17T01:42:43Z
"you know what I love? the fact that this single cover reminds me of the love galore single cover :,) so nostalgic",@prodbyxchvnel,2024-09-16T05:57:16Z
Toney Motorway,@SimpsonWright-w3i,2024-09-06T09:09:55Z
vibes kelulusan 😔,@klateamos,2024-09-02T09:41:24Z
"Heed 2 Corinthians 11:13-15 and I would love to tell you The Truth from The Holy Bible about what is going on. However, I politely encourage you to read it for yourselves. By The Way, check out Truthunedited and Stephan Darby's sermons to get a deeper understanding for The Life. May YAH bless you, your families, and HALLELUYAH!",@dugproductions2556,2024-08-25T19:43:43Z
I have manic depression and the lyrics are exactly how i feel so often. Such a beautiful song. And szas voice is so beyond beautiful,@Naenezzy95,2024-08-25T09:43:56Z
Intro sounded similar to HER. Just hearing this and I like the melody.,@liz8crtravis670,2024-08-24T20:45:11Z
LIKED THE CHORUS😌,@undesiredtext,2024-08-23T10:33:59Z
This song makes me so emotional 🥰🫶🏾,@fifthsweets9487,2024-08-19T13:16:40Z
the gang musn't know i vibe w/ this,@frey6955,2024-08-18T14:41:48Z
This got undecided by Chris brown vibes,@darriuswilliams5654,2024-08-18T09:15:22Z
44million people feel or have felt these lyrics before that’s wild lol #letsmakeearthgreatagain,@jeromewilliams9271,2024-08-14T02:54:46Z
"Great vibe, beautiful voice. Book of Ecclesiastes has the answer this song is looking for, Bible!",@taylorwehrle6016,2024-08-13T00:52:24Z
"there is something so beautiful about this song, whether it's the lyrics or the music itself, i love how sza is able to put such intense emotion into a song and make it so beautiful. i love, love, love this song, thank you sza for making such a heartwarming song 🤍",@foodjunkiieee,2024-08-07T03:31:41Z
This song is catchy as hell as soon as I heard it it stuck in my head😂,@kevsmith6783,2024-08-04T22:19:57Z
I love the lyrics I can relate so much.,@tonytt424,2024-08-02T11:49:44Z
If there is another universe please make some noise give me a sign this can’t be live if there’s a point to losing love repeating pain it’s all the same I hate this place stuck in this paradigm don’t believe in paradise this must be a hell is like there’s got to be more got to be more sick of the head of mine Intrusive thoughts that paralyze your Nirvana not as advertised there’s got to be more been here before ooooooooooooh life’s better on Saturn got to break this pattern floating away ooooooooooooooooh find something we’re saving it all for the taking I always say I’ll be better on Saturday heard none of this matters dreaming of Saturn ooOooH if Carmas really real how am I still here just seems so unfair I could be wrong though if there’s a point to being good then where is my reward the good die young and poor I gave it all I could stuck in this paradome all I see is terrible making us hysterical there’s got to be more got to be more sick of this head of mine intrusive thoughts the paralyze Nirvana‘s not this advertised there’s got to be more been here before ooooooooooooooooooooh life’s better on Saturn got to break this pattern floating away ooooooooooooooooooooooooh find some thing we’re saving it all for the taking I always say I’ll be better on Saturday none of this matters dreaming of Saturn oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,@queensynxsgaming7332,2024-07-31T04:37:40Z
I call this the Ice Cream song because of the background melody. Love it!,@casalcairo3207,2024-07-27T06:15:20Z
