comment,user_name,date
This is pretty awful.,@jarradjames5868,2025-03-21T12:40:04Z
sabrina its beatiful,@rodrix-l6q,2025-03-21T03:25:49Z
This music is giving me the vibe of 2021 summer☀️🌞🏖️,@Lorcanrichmoney1,2025-03-21T00:30:16Z
Sabrina is the reqson why Preppy vibes still live,@ZivAsare,2025-03-20T22:42:01Z
This song gives the vibe of barbies and ken❤,@AnanyaAgarwal-kr3dt,2025-03-20T04:43:59Z
Bored & generic,@TheKyuby777,2025-03-20T03:48:30Z
When I was in the worst place on earth this beautiful song make me forget,@JoeVigilante,2025-03-19T08:30:23Z
The worst YouTube music video that I ever saw in my whole life,@LorenzoRB1798,2025-03-19T05:09:20Z
Nice beat ❤❤❤😊😊,@mariaraso7944,2025-03-18T05:11:25Z
It has that old pretty girls vibe. She's like Monroe 😮,@nandemone1787,2025-03-18T03:18:53Z
"Just heard this song recently and it definitely sounds like a Tame impala type of melody, nice song tho",@dayoungchief,2025-03-17T01:02:28Z
In the starting lyrics I said hey matt came sll this way,@shwetamishra1777,2025-03-16T17:50:25Z
there's such Bollywood vibe to this I can't explain,@বেড়াল,2025-03-16T16:34:35Z
it's been a year and for some reason this song feels nostalgic 😭,@a.ng3i,2025-03-16T09:18:18Z
"It's giving ""stars are blind"" vibes...",@h3ronim0,2025-03-15T23:15:11Z
This song is so satisfying in summ and its gives summer vibes,@BabuRongpi-e4g,2025-03-14T12:57:46Z
im just tryna catch a vibe,@NateAlyn,2025-03-14T03:34:30Z
Please help Argentina that is under a dictatorship and people is being disappeared and beat to dead 🙏🏻🙏🏻😥😥😥,@gonzalogalante2577,2025-03-14T02:11:43Z
The vibe is actually crazy,@XavieraGutierrez-np3gd,2025-03-13T23:00:10Z
Why did I get the Barbie vibes,@THEofficialLIAMminato,2025-03-13T18:48:36Z
ignore what she is singing about just enjoy the vibe and the music,@jalilfaqiri6640,2025-03-13T17:23:33Z
This song is very special for me. I danced in my wedding  on this song. Its such a vibe.,@ExcitedDaisy-fv8bb,2025-03-13T14:42:27Z
Awesome and Ecstatic vibe .Hottest post star in the world right now .,@BlessingsNenohwe,2025-03-13T09:16:59Z
"Sabrina’s energy is unmatched in this track! The catchy beat, her vocals, and the fun visuals make Espresso a total vibe. I can’t stop dancing! ☕🎶✨",@topcharthits8386,2025-03-13T04:25:17Z
"Is the ""I'm a singer"" in reference to that girl who had a vibe on her bed in a photo and said it's her microphone she's a singer?",@Hokage0kitt,2025-03-13T03:48:12Z
This song has 90's vibes. I love it.,@EBR1,2025-03-13T02:22:00Z
Another Soul Seller.. Rubbish Repetitive  Crap,@BadassKween33,2025-03-12T18:41:56Z
One of the worst song considering toxic feminism 🤡🤡🫵,@Eliteshows,2025-03-12T15:57:33Z
god this is awful 😂,@calcapone9,2025-03-12T12:01:14Z
When an awesome beat is paired with the perfect singing voice. The video also helps. It's a carefree summer time vibe song. Great way to destress. 🌞 🎶😊,@jennifercoleman2736,2025-03-12T11:02:11Z
I just heard somebody sing something about fortnite with this melody,@OG_VERBZ,2025-03-12T02:50:07Z
The song puts you in a good mood instantly. Good Vibes.☕️❤️,@donnastephan8828,2025-03-11T18:41:56Z
"Hmmmm… nah. Really trynna to give this the benefit but there’s nothing too great about this- feels like a disposable song. Something to me playing in the background eventually in supermarkets I guess but it’s not of substance grand enough to last. It’s my opinion but this entire production, there’s just nothing too special on here. The girls’s voice is pleasant to my senses I don’t mind it. It’s almost like background music. It’s nothing impressive. The vocalist is  no Mariah Carey or Adele or Ariana Grande or Whitney Houston. No she doesn’t belong in that category, but there’s a place for her product, mainly this song here. Like I said it does induce feelings of relaxation. I didn’t pay too much attention to the lyrics, but it didn’t sound  risqué or shocking. just mellow .",@Pitbulloves,2025-03-11T06:37:03Z
Terrible lyrics but catchy asf,@markb2169,2025-03-10T23:23:57Z
"I can't express my emotion ,what a Angelic voice❤",@Ashief23,2025-03-10T14:35:02Z
Wish I had never seen this video & never read the lyrics. It's better when it sounds like a weird language.,@jackscratch785,2025-03-10T11:14:05Z
It’s giving me Rockhampton vibes,@mariadawes8165,2025-03-10T07:40:05Z
This sounds like a Bomberman soundtrack with lyrics and i dig it!,@Raul_Silva_,2025-03-10T01:24:22Z
Why does the starting melody sound like chained to the rhythm by katy perry,@gagansharma6090,2025-03-09T02:56:15Z
I like the music. Now I need to look up the lyrics,@lindawhaleyjohnson5492,2025-03-08T08:16:01Z
Such a catchy song!,@deansal9222,2025-03-08T07:02:21Z
Catchy sound. Evil content. I guess Zoomers are Prophets. Or is that Profits...,@jackscratch785,2025-03-08T06:33:44Z
Vibenya kayak genre agnes monica cuyy. Jennie mantapp,@nisaamin6558,2025-03-07T06:40:18Z
What a VIBE ❤❤🎉🎉❤,@happyrazzkapoor2953,2025-03-07T06:00:59Z
"Sabrina just keeps serving hit after hit! ‘Espresso’ is the perfect mix of sass, confidence, and addictively good vibes. Her vocals + the beat = pure perfection! ☕",@Shadowhouse01,2025-03-07T01:13:43Z
This has such an Italian vibe 🤣♥️,@FCarneiro_666,2025-03-06T22:40:05Z
This music feels generic unorigional and made for mass consuption,@Humanshoprag,2025-03-06T21:03:43Z
I don’t care who knows die hard metal head and punk rock but this song is my favorite lol don’t be ashamed men this beat has us vibing tho,@josesoza8214,2025-03-06T17:18:23Z
Idk why she gives barbie vibes to me😂,@mamtaupadhyay6034,2025-03-06T16:59:28Z
"Vibes as Phillips and her besty friend, i catch it now 🤭😑",@ГулфридоГонзлезГандиа,2025-03-06T08:18:54Z
"Gives me the vibes for Joy Enriquez song ""Tell me how you feel"" from early 2000s. And the video reminds of some dua lipa and Katy Perry videos..just my opinion. But i love this song and haven't heard it for some time until the contestant on the masked singer sang it on march 5th 2025 episode.",@southsouth3615,2025-03-06T07:45:56Z
