comment,user_name,date
This is my favorite song bc it’s a good vibe gangstas,@AlyssaGintz,2025-03-21T15:47:12Z
Imagine taking the lyrics to and old song and doing this.,@bugatti282,2025-03-18T16:27:20Z
Death cab for cutie follow you into the dark shaboozey stole the melody,@AlexanderHickingbottom,2025-03-18T06:09:07Z
What a song.. super catchy,@Carl-_-Notts,2025-03-17T10:42:13Z
You are the worst singer ever,@michelleallen1999,2025-03-16T20:48:53Z
I love it even more because he's a Nigerian of origin. So Naija people apart from afrobeat can be great country singers ♥️♥️🇨🇲,@tatianaketchasime4957,2025-03-16T20:28:32Z
Hes got a great vibe!,@Carolyn-p6u,2025-03-16T17:57:38Z
Worst video ever,@kkevinrrabedew2820,2025-03-16T03:16:03Z
"Just passing by. Came to say, terrible song. The worst. How can anybody enjoy this.",@DonPinguccio,2025-03-14T05:00:17Z
Love this ...great rhythm & great energy - very catchy ...should have won !! But it's a WINNER in my eyes - anyway 😉,@BeverlyFink-s5q,2025-03-14T01:27:50Z
Hey man I'm as white and southern as they come deep Louisiana and you are a legend. The violin is a nice touch also. Thanks for reviving music for a cinder of time brother,@dale1809,2025-03-14T00:37:27Z
"Great video. I'm new to your channel and I love your vibe. Also, I can't tell the difference between the   kisluxs   replica bag here and it's close enough to the Amazon bag and it's cute, so that's good enough for me.",@JonhyFerlisi,2025-03-13T16:53:28Z
I love this song so much it is my pop song on the way to school of if any emotion ❤😂😢😅😮,@ChristopherJordan-b5b,2025-03-11T21:31:29Z
"Love the song, love Shaboozey. Very cool vibe!",@patriciametzler5989,2025-03-11T09:23:56Z
This song is a vibe,@darrienunderwood7090,2025-03-09T22:54:17Z
Google Lyrics to this Song  someone on Goole having too much time on his hand had a laugh though,@jocool143,2025-03-09T15:34:14Z
Somehow Beyoncés album beat this song for country. What’s going on?,@BananaBro360,2025-03-08T20:04:56Z
"When he said ""why the hell do i work so hard"" I felt that in the deepest recesses of my soul",@kingquahog3963,2025-03-08T12:27:34Z
