comment,user_name,date
"Doja""s verse is nuts...I""m still screaming..I don't know why I""m screaming lmao",@squidwardmoney6492,2025-03-21T08:55:24Z
I wanna love it but I just hate the vocals so much 😬,@jayvoorhies92,2025-03-21T03:02:44Z
This song is so catchy and the choreography is so fire 🔥,@malrulesall9669,2025-03-18T15:39:21Z
Pussycatdolls vibe👌,@Azhardawass,2025-03-18T07:58:59Z
its giving lady gaga vibes woowowowowowowowowwwwwwwwww,@hjhatesyou,2025-03-15T10:45:13Z
"The instrumentals, the choreography, the vibes, the camera FREAKING work... I still get the same chills",@antidelusionalpeeps,2025-03-14T14:06:03Z
Janet Jackson vibe ❤,@AyanaJohn,2025-03-13T23:08:40Z
Me da vibes parecidas a NEW WOMAN de Lisa y Rosalía,@nyklino7730,2025-03-13T18:12:51Z
How is this better than Rebecca Black? The song is awful but the blurred nudity is wonderful 😊,@ZackLong-n5m,2025-03-12T02:48:05Z
"Correct me if I'm wrong, but is anyone getting like early Brittney or Christina vibes??? 😍",@solivi13,2025-03-11T18:53:41Z
"Vibes of  the pussicats dolls,  Britney spears and Cristina Aguilera at the same time❤❤❤",@שירהפלג-נ4ל,2025-03-09T10:39:12Z
The new wave of artists now are bringing that old school vibe!,@ILLAIGOFFICIAL,2025-03-09T02:06:40Z
She's giving pussycat dolls vibes,@boichoi,2025-03-08T19:31:41Z
"I’m in love with her style, visuals, dancing and the lyrics to this song!! one of my fave artist and performers ever💗",@gabbyresnick,2025-03-08T17:02:04Z
"the outro is so addicting!! her vocals sounds so beautiful and I’m in love with the outfits, dancing and visuals🤍",@briannalaberge,2025-03-08T16:57:34Z
Yasssss pussycat dolls vibes !,@Bones141724,2025-03-07T05:25:34Z
"It would not surprise me to find an unusually high ratio of mental illness among this wicked woman's listener base. This is engineered hypnotic repetitive mind-hack ""music"". She has no emotion,  no expression,  no artistic value,  no story to tell. It's just monotone depressing self loathing angry hatred repeated over and over an over. This evil sound creates depression, isolation, despair, hopelessness, fear of close relationships, anxiety,  expectation of betrayal,  anger,  etc. This leads to suicidal thoughts. Your mind is under attack!! SNAP OUT OF IT! You are under a spell.",@edwardriley4923,2025-03-05T20:30:01Z
These new songs of her are so catchy and makes u wanna dance on the beats,@KatieNguyen-yz9gt,2025-03-04T06:59:48Z
...this is terrible....why are people listening to this stuff?;it's not even catchy....I guess I m just getting old now,@MohammadKhan-mv2hk,2025-03-03T20:54:57Z
This is awful! She's Canadian? What an embarrassment!,@angelcake136,2025-03-03T12:26:07Z
"Is anyone understanding the lyrics, or do ya just make'em up yourselves?",@Bud315Explorer,2025-03-03T07:19:56Z
Britney meets pussycat dolls vibes!,@LW3895,2025-03-01T20:27:34Z
"She’s bringing back pussy cat, Britney Spears vibes back 🙌🏼🙌🏼",@juang5001,2025-03-01T19:56:19Z
This is giving Brit & Xtina’s vibe and I’m loving it ❤😊,@SummerRivera,2025-03-01T19:38:26Z
I wanna go music video vibes,@FSportuguese,2025-02-28T10:22:34Z
This has Pussy Cat Doll vibez written all over it. And I am here for it.,@natalietavares5876,2025-02-26T15:23:28Z
This is what people consider “talent” these days? Just shows where we are as a society. This is literally one of the worst songs I’ve ever heard.,@shawnr590,2025-02-26T02:23:44Z
She really wants to be the next Britany even the song has a Britney vibe the beat and the dancing gives off Britany all the way,@reneeszaflarski2915,2025-02-25T20:42:54Z
Britney . Tinashe..and Cassie vibes live ittt,@yessitsbritt1440,2025-02-24T16:56:10Z
She is giving me Britney vibes,@victorramirez-tw8wj,2025-02-23T21:10:58Z
her songs are so catchy and her the choreography in every one is amazing. i just keep watching them over and over again,@Sup_keke,2025-02-23T01:06:45Z
Vibes autotune2000 😅 loved,@lisvazvieira4855,2025-02-22T23:56:07Z
I'm so in love with this song yall she ate that chorus❤,@TatendaKureva,2025-02-21T15:30:03Z
Wooooooow this is powerful tbh.,@HPfan153,2025-02-21T12:37:23Z
"It’s ok I’m ok was the best phrase I’ve ever heard thank you Tate so much, my heart can’t handle how powerful it is 🧡",@SealSeal-db5pv,2025-02-21T07:41:36Z
Worst shit I have ever watched I am regretting my life decisions,@shadowhunter2872,2025-02-19T17:47:18Z
Tate makes me nostalgic for the days of The Pussycat Dolls and all those sexy singers from back then.😻😻,@xxvirxx,2025-02-17T14:39:24Z
I HATE THIS ITS THE WORST AND I HATE YOU QUITE YOUR JOB YOU SUCK,@melissabijur-m8h,2025-02-16T23:48:01Z
Britney vibes,@edwineri6155,2025-02-11T07:04:27Z
"I don't know what it is, but she always puts one lyric in her songs that just ruin it for me.  It's so annoying. Coulda been good otherwise.",@jendrizzyy,2025-02-10T15:14:44Z
Dude this song is so nostalgic I’m so glad Tate is doing us a big favor in bringing pop back for us ❤😭✨,@EldritchAnomoly,2025-02-10T10:07:34Z
Love how this song gives gacha era vibes 💗✨,@EldritchAnomoly,2025-02-09T08:15:26Z
The beat is the rhythm of I’m A Slave 4 U. Nice touch,@DarsanUchiha,2025-02-08T19:20:47Z
This is so 2016 vibes i love it❤❤,@ElianHernandez-zr3ku,2025-02-02T01:21:09Z
Lady Gaga x Camila Cabello x Britney Spears vibes 🫶🏽,@Szngirl28,2025-02-01T16:58:40Z
"I looove the vibes so much!! So glad art is evolving in our country! Go on Ayaz, we believe in you!🫶🏻",@hooooobi2522,2025-01-31T13:13:47Z
it’s giving PCD when I grow up vibes 💟💟💟,@irelandkohler5927,2025-01-30T16:50:21Z
The beat to the song is ridiculous. Obsessed,@just_juules,2025-01-30T14:48:13Z
"🚨🚨🚨 Lyrics, people, first few lines. She’s talking about narcissistic abuse, narcissism - serious, dangerous personality disorder, these motherfuckers will abuse others in all ways possible. Don’t you ever buy into their manipulations! They’d take your life and soul. Be bloody aware. The outro is OG. And it’s healing on more levels I knew I had. Thank you, Tate McRae, for this freaking amazing song and raising awarness at the same time ❤",@dominiquebreighton5396,2025-01-30T13:19:34Z
Anyone notice that it says “Two Hands” on the movie theatre when she starts crossing the street for the second verse?,@dahnyelm,2025-01-27T20:30:21Z
The beat is so crazy,@bakitama,2025-01-27T18:55:31Z
Pussycatdolls vibe,@leila_eduarda,2025-01-25T13:08:32Z
this song gives me early 2000s vibe and IT'S SO GOOD!!!,@noseholekibi,2025-01-25T07:01:50Z
She def got like timbaland himself to make this beat or sumn. So good,@TYGERRECORDS,2025-01-24T01:46:46Z
lol basic lyrics i cant believe they make loads of cash singing 1 sentence music 😂,@TruePeaceJustice,2025-01-23T22:19:19Z
"A for effort, but this vibe and image is sooooo 2010ish.....but I like it, its not mainstream material but its not bad. Do you Heidi. Sorry for your circumstances regarding the wild fires... Prayers to you and your family",@MontCont-t6i,2025-01-18T18:35:02Z
"Gives Britney Spears' ""I wanna go"" vibes  ✨",@terichantsaheli,2025-01-18T13:34:24Z
Love the song but I know those boots she has on were annoying. Kept falling down but she killed it despite that,@SpookyMama,2025-01-14T07:54:52Z
