comment,user_name,date
Voice is annoying next please,@Redneck48693,2025-03-15T17:12:24Z
When someone is so hot it's annoying😂,@mrjuanderfuI,2025-03-09T14:51:45Z
0:06 This song starts at crazy beats 🔥🔥🔥🔥🔥,@dhanwindersinghrollno48non46,2025-03-09T07:28:13Z
Giving me Nelly Furtado vibes 🔥🔥,@dutchtodoaboutnothing,2025-03-08T00:23:47Z
"I love Tate, and not trying to diss, Tate is good and all, but I actually have to say Petra markland, September, has her beat, the swedish pop star girl that sings ""cry for you"" Tate is only worth $4 million dollars, Petra markland, September is worth 2.2 billion dollars, And has way better dance moves, sorry Tate I love you honey, Petra markland is way better looking in the face and has a way better slamming body but if I had a vote I would pick Petra marklund better.❤😂",@Marklund-o5w,2025-03-07T23:14:41Z
This is awful.,@rickliebesarah1,2025-03-07T11:25:17Z
1:26 wtf - You're talented and this song is catchy- but guurl ,@Smichiwerbenjaggermanjensen,2025-03-05T21:15:50Z
She is giving the vibe I don’t need a man a man needs me😂😂😂😂😂😂😂😂😂,@ZyraLindblom,2025-03-05T03:50:25Z
"Im not normally into this type of music at all, like AT ALL, but this is catchy 😂 lol",@ClintBeastWood-g3e,2025-02-28T05:58:09Z
She sounds like Camilla cabello.this is annoying me because she is giving Camilla the racist relevancy,@Vanessa-rv8cv,2025-02-26T05:54:04Z
Love the beat of this song!,@kingfeisty2758,2025-02-24T16:25:57Z
Love the lyrics ❤❤,@tazeemahmad6546,2025-02-23T19:50:09Z
"The lyrics, melody, beat literally everything is just so professional the precision on the is crazy",@AmmarFarish-123,2025-02-23T12:23:31Z
"Good god, my toilet makes better music when flushing and no obnoxious and FAKE autotune!!! Was just looking here cuz this thing or it is the musical guest on Saturday night live next week ): no way jose!!!",@arjuna_dasa,2025-02-23T00:49:43Z
Who else knew she beat Maddie on dance moms,@LyciNewkirk,2025-02-19T01:02:36Z
Almost thought she had the infinity stones lol.,@RobertTaylor-ty3vo,2025-02-18T21:30:06Z
"The song being catchy followed by the video being so hypnotic, like i cant look away… Im gay and i really cant tell if i wanna be her or be with her…",@mychaelvas,2025-02-18T01:50:22Z
"Those lyrics ""I would want myself"" and ""I will put you through hell"" are CLASSIC! lol",@theyofactor,2025-02-17T05:29:33Z
