comment,user_name,date
I listen to Teddy Swim’s songs over and over!  He puts soooo much SOUL and EMOTION into all of his songs!,@FayeARTHUR-ed1pj,2025-03-16T23:45:54Z
Another Chris Stapleton? Is the universe being extra good to us????,@lindacaffera3052,2025-03-15T20:34:50Z
Me awesome rhythm ❤,@paulahubinski9227,2025-03-15T17:34:43Z
Holy Spirit is somewhere in this universe,@Julieburnia-j7s,2025-03-15T00:18:24Z
THE WHOLE VIBE IS ENLIGHTENING... EXCEPT BUDDY'S TEAL SNEAKERS IN THE BACK.,@MADCITYYYY,2025-03-13T22:15:29Z
"Three way lock down ,did the same thing s now tryin to strip humanity threrw the copper ,ccct viber on vercal reality full suit s m 5 five one eye lock down , pilones  m t",@lynnettekelly4542,2025-03-13T11:52:03Z
Nirvana perdeu a oportunidade de ter um vocalista,@rafaellopesmaciel5301,2025-03-12T18:47:31Z
Guitar tone could be better. Teddy kills it though.,@JayC-n8r,2025-03-11T11:59:40Z
I invented a melody for you! https://youtube.com/shorts/rjaNqPTpq34?si=91WmJqvh0q8V7aSi,@SL.8473,2025-03-10T17:15:06Z
Soulful voice  full of emotion love this song   2025,@JosephineStaple-jn3nc,2025-03-09T14:46:25Z
I simply love Teddy he has such a soulful voice. And this song is so awesome 🎉,@WandaKeeton-g3f2t,2025-03-08T22:40:48Z
"I'm still listening—what an outstanding song and performance! Everyone deserves a second chance, no matter the circumstances. This song carries multiple deep meanings, whether in romance or beyond. Salute to my dear Teddy!",@faroquekhan6027,2025-03-08T15:04:54Z
"Descobrindo essa figura só agora em 2025. Como eu queria poder voltar no tempo, que perfeito❤❤❤",@Bydanielafurtado,2025-03-08T03:19:39Z
The lyrics are the weakest part of the song.  His voice might be the best I ever heard . The guitar playing is  comparable to some of the all-time greats.. This is definitely a classic and probably one of the best songs I have ever heard.,@StephenPieck,2025-03-07T11:19:33Z
"I remember when I was listening to your covers of Mario “let me love you” “Tennessee Wisky” by Chris Stapleton, “Blinding Lights” by The Weekend. This was all 5 years ago and I knew that you would make it because you’re  Amazing and you would make it. I remember driving with my Wife across the country listening to your first album on repeat. And now your tickets at Red Rocks, Colorado are $1,000 plus just for GA. That’s ridiculous, I am disappointed that I am not in there financial position to pay for your tickets. I know all your lyrics to every song. We would love to see you, but I have to mention, sell out? Remember where you came from. You’ve taken fame too quickly my friend. Remember to stay humble and remember your roots. Hit me up if you read this message for some tickets. Your Adoring Fan.",@stephentodesco3788,2025-03-06T21:40:26Z
GOD BLESS THE DEAD... MAY THEY ALL REST IN PEACE AND HARMONY LIVE AND RESPECT 🙏🏾🙏🏾🙏🏾,@p.lcollins5849,2025-03-04T21:20:11Z
Post Malone vibes,@underdirect1745,2025-03-03T17:53:09Z
TEDDY SANGIN FROM DEEP WITHIN HIS SOUL !!! OUWATCH AND OUWATCH A GAIN ❤️🔥❤️🔥❤️🔥❤️🥰🎤🎼🎵🎶🔊🥹🗣️,@jacquelinegross9705,2025-03-03T12:37:42Z
"I love this song. Strong, emotional, and to the point. ❤",@MalindaJoyceSchapansky,2025-03-02T03:48:31Z
"Every once in a great while, the right person, the right sound, the right lyrics and the right music combine into an instant classic! Thank you for your artistry Teddy!",@JLange642,2025-03-01T13:27:37Z
Powerful..so addicted to Teddy Swims music...how wonderful...Sharon from Az❤,@SharonOaks-b1o,2025-02-27T21:18:12Z
In m'y car on m'y house in m'y life je l adore ❤😊 merci pour ce bonheur et cette voix qui vous traverses,@ctrinhvan883,2025-02-27T19:13:53Z
Who else misses Kelly’s backup vocals? 😂,@IratePuffin,2025-02-26T02:34:19Z
"Majestic voice, love the old soul vibes. Industry been missing this for a hot minute",@kingvelasquez1579,2025-02-24T23:11:26Z
This guy is the best vocalist out there !!!,@JoeEchevarria-i7x,2025-02-23T23:27:37Z
Powerful voice 👌 🫶,@brendamontoya2077,2025-02-22T20:29:17Z
This is that good old school vibe music i miss,@Blacknbeautiful87,2025-02-22T18:26:04Z
Deep love for this song,@betyvi,2025-02-22T16:09:06Z
Que produção espetacular ❤❤❤❤ estou na vigésima temporada desse presente que a humanitária recebeu ❤,@filipevieira4795,2025-02-22T13:17:23Z
I enjoyed Very cool beat 🎉,@WanderLens197,2025-02-22T11:22:36Z
"Love music, lyrics but VOICE IS SANDPAPER",@forreal245,2025-02-18T02:04:49Z
Teddy swims yes hes out today yet i feel this old soul in him. I get this vibe of ray charles meets sam cooke. Somewhere is he and his catalog of music. What a talent and vocal prowess! Appreciate this because hes a bridge from the past to today!!!!,@arenaofideaspodcast8666,2025-02-17T11:53:09Z
"Incredible voice,  lyrics and band!",@claudias.1863,2025-02-15T01:29:53Z
"Just want to leave this here, not all great guitar solos have to be technical. A large amount of the most memorable guitar solos just have good replayability and singability. For example, bohemian rhapsody, arguably the most famous guitar solo of all time, not very technical. The guitarist in this video did a great job, very tasteful and the tone was great.",@wisesteyes193,2025-02-12T04:54:40Z
pour mon JP Marques je t'ai aimé je t'aime et je t'aimerai toujours . soigne toi et on se retrouvera mon bb. Ta pitchoune qui ne t'oubliera jamais mon coeur.. Val ... Pitchoune,@val-p2r,2025-02-11T22:30:14Z
Best vocals ever. So much heart n soul.  I love your voice,@laveniabowden8331,2025-02-11T19:14:22Z
"Real soulful music, that gets you going and learning every word. He’s a musical genius 😊",@margothompson7782,2025-02-11T18:41:40Z
Love this song so catchy such an amazing voice and talent xx,@malandrakemp2216,2025-02-11T05:58:36Z
Honestly teddy is the best vocal voice on earth iam from jamaica and teddy is a icon in music already you deserve your flowers now,@jermainefuller-b6r,2025-02-11T03:34:17Z
His voice and these lyrics do something to my body and soul. Absolutely amazing. ❤,@melissapayton7684,2025-02-10T13:45:25Z
I feel goosebumps from this song! I don't know why... Because of the voice or the words in this song or strong emotions that I feel from the singer. When I'm listening to this song I feel the power as a woman. Like the woman's power over men ❤,@ElenaPogozheva,2025-02-09T09:17:11Z
GREAT vocalist,@janiefernandez2460,2025-02-08T14:12:05Z
"Damn, he can get down and sing with his gut and sounds so soulful. Just love this!!❤❤❤",@cydniedonat7635,2025-02-08T07:56:30Z
Listen to Hennessy whiskey by Chris Stapleton & Teddy Swims Loose control.  Great voices soulful,@madisoncoi5059,2025-02-04T05:09:03Z
He's soulful with the energy flowing out from him.🙏🏾☝🏾🎶🔥  He's a cross btwn Sam Cooke & Otis Redding... imo. What Say you?,@yshuff7603,2025-02-04T00:49:10Z
Its the perfect vibe,@Bama-b7k,2025-02-03T21:32:30Z
Wow this is powerful 🎤,@CVinyl,2025-02-03T02:40:46Z
his voice is amazing his voice is raspy and it brings such a good vibe,@ThatOneGK-HL,2025-02-02T10:48:08Z
Definitely not live but great song and vocals,@PsalmMiracle,2025-02-01T06:27:04Z
Gotdamn!!! You're every word i feel in my being.. Man oh man you are so amazing and beautiful and talented..I can hear this song 100x's a day and never get tired of it. I love it so much and you're voice my God reaches into my soul where my heart skips so many beats hearing this beautiful song of yours.  Ty so much.,@tawanalopez3159,2025-01-30T05:09:12Z
"I am not sure if I am alright, really my emotions are all over the place one moment I am up the next i am down , sometimes i feel so empty as though there is a hole where my heart should be , just an emptiness inside me, but I tend to just say I am okay it is simpler that way nobody ever asks you to elaborate on being okay there are moments when everything feels confusing, days blend together and overthinking kills every happy moment. My mind races on to replay every moment every regret. I question whether it is all going to make sense someday if the ache will ease, right now it feels like i am lost, I look at the mirror and all I see is a stranger.",@edmondilbawi,2025-01-27T20:09:24Z
"Vir a conhecer o Teddy a pouco tempo, há uns 3 meses.... caralhoooooo que voz é essa??? O cara é maravilhoso.........",@heliosidrao5832,2025-01-26T14:02:31Z
"Great soul voice. Yep, the old days. But then it was guitars and bas guitars. Sometimes even brass orchestras. Example Papa was a Rolling Stone, by Temptations. He deserve an old fashioned soul band. Or salsa orchestra. You can still find big band in Canarias or Caribe.",@charlottenilsson3820,2025-01-26T09:47:49Z
I want him to sing this song with alternative and positive lyrics ….,@jetetarro,2025-01-25T00:16:22Z
I'm speechless powerful voice,@WilsonJavierRojasDonato,2025-01-24T13:31:25Z
I hear some stp vibes coming out of the guitars and still hearing our good ole grunge/ alternative sounds from the vocals 😎 you guys are keeping our era of music alive and making it your own @ the same time . Pretty fuckin Awesome! Keep up the great work 😊🥁🎸,@shawntoups3220,2025-01-23T20:31:58Z
Anybody with the lyrics,@VumileLucia,2025-01-23T18:13:19Z
I love this song so much cause it hits deep you listen to it one time,@LamarWard-o1f,2025-01-21T15:38:26Z
Who said there aren’t anymore good vocalists. WOW,@rolloman667,2025-01-21T15:03:03Z
"*When I first heard this, I thought this 😮😮 I have tears in my eyes, and I am ' Black!😢 This Song gets deep down in your Soul.....",@JaniceLewis-y1q,2025-01-19T11:01:28Z
"I have never be so over come with emotion by a such a song as this. This hits me beyond anything i have ever heard before! Rawness, humility and passion, in such a laid bare way! Truly spectacular and nothing wrong with listening to it multiple times in a row!👏👏👏",@aurelionova1344,2025-01-16T18:03:14Z
👏🏽👏🏽👏🏽❤🫶🏾🎊💫🔥🔥🔥🔥 love it! So powerful and soulful I’m speechless🎉 I can’t wait to play it in my car.,@linda_ladyleo133,2025-01-13T23:56:34Z
That voice and the emotion.  Just WOW!,@stevenorton9767,2025-01-13T18:29:31Z
Should re-record a version with a cello. Beautiful and so much more emotional.,@RCKYBOO2024,2025-01-11T22:24:51Z
Me love this guys music listening over and over again absolutely great ❤good voice powerful,@darlene8183,2025-01-11T20:13:37Z
Annoying song and can’t stand it,@linpet99,2025-01-11T15:57:15Z
"My feeling is not envy. I really like Teddy's voice, but it's like complimenting someone for being beautiful. Beauty, voices like his or Adele's, are gifts of nature, not skills. I or anyone else, with an ordinary voice, can train as much as they want, but if the voice isn't beautiful, it doesn't become beautiful, and if the vocal range is what it is, it stays that way... That said, I give my congrats for the song",@relaxingmusic-xxx,2025-01-07T13:57:56Z
The lyrics and that guitar riff make this NUMBER 1!,@joancarnes3159,2025-01-04T17:12:45Z
"Reminds me of ""Crazy"" by Gnarls Barkley.  ""Lose Control"" is a true Classic!  A powerful Love Song!  I cry when I listen to it!  It is THAT Beautiful!  What an amazing Voice!  Thank You, Teddy Swims, for bringing such Joy to the ears and pulling out such strong emotions!",@Soneva-q7c,2025-01-04T08:09:22Z
"One of the best songs of 2024. He talking that real loose control addictive love, and emotion❤",@itsafeefeeting552,2025-01-04T02:13:39Z
Awesome to see Orginal music plus someone that SOUNDS REAL love his voice you can FEEL his emotions,@charlene8551,2025-01-02T22:13:49Z
The lyrics are outstanding and full of realities if and especially you ever hit the heartbreak 💔 patch,@deanjohn9072,2025-01-02T17:33:08Z
"Yo Teddy, Hi it's Jodi. Saw you in Time square on NYE! Stunning in Vocals and Attire ❤ Lost are contact. I admire the HELL out of you! Till add amount time I'll be watching and waiting your next release, Kudos - excited 🎉❤",@JodiAnonen,2025-01-01T12:26:11Z
There’s sumn about this dude that’s pure. Genuine. He carried that sing and video “somethin bout a woman” as black ppl we can see when it’s faked. When the rhythm the persona is created. This dude is thorough. This really who he is and music is just the way he express him self. It’s refreshing to see sumn honest. Someone being themselves. And him being white with so much soul is insane I can’t lie. He had to have a big up bringing with black culture. Even if not. This is pure artistry. Gotta give props when they deserve it.,@Naledgetheartistofficial,2025-01-01T08:33:06Z
Excellent!  Powerful and beautiful!,@hawktheexcellentwaysociety111,2024-12-31T06:06:58Z
Love this soulful music but this song about co- dependency.,@Jaycee-vl3fl,2024-12-30T22:57:42Z
"I remember watching teddy years ago with his mates around a mixing decks doing covers and loved that voice : I always wanted him to cover a less common song as it was one of my favourites back in the day’the controllers - stay’. I think it would have been amazing with that voice of his, but now he’s so famous, it isn’t going to happen now .Still love that proper mans voice 🇬🇧👍",@warrenf1966,2024-12-30T16:36:51Z
Me im 67 years old and sooo enjoy Teddy's music he has the most soulful voice ❤❤❤❤❤❤xxxxxxx,@lindawhittaker8591,2024-12-29T12:10:54Z
"This is so cliché, good instrumentals but everything else is deep as a puddle",@Aachener89,2024-12-28T22:17:31Z
"I happened to stumble across a video where Teddy was singing this and holy shit, it blew me away. Not since Freddie Mercury have I found a voice that really does sing to me. The damn emotions that sweep through and cut my soul deep when listening are a real testament to his singing and judging by the views I ain't the only one to think this either. Truly a most incredible and epic tune and of course, singer. Thanks for the songs. 👍",@rambledogs2012,2024-12-28T15:53:01Z
Sam Smith vibes,@MrAhsantastic,2024-12-28T10:35:53Z
I am … I am so addicted to his voice & this song 🎶 … so soulful ❤,@reneeeno-walker6234,2024-12-27T03:35:41Z
WHAT A VIBE !!!,@monkeygames1771,2024-12-26T13:24:31Z
"Love the song, absolutely HATE the acoustics. Digitally screwed his voice it's just unbearable to listen to.",@shapelessed,2024-12-26T01:04:17Z
"Father just passed away two days ago from a series of different life choices plus age. He was a great musician. I've had a hard time processing it, but this morning I was singing the main chorus of this song in my sleep and now I'm hear. Letting the catharsis release and allowing myself to be human. ❤",@FrancescoCaban,2024-12-25T14:50:56Z
"It was a cold and chilly day. The streets were white it was snowing. I entered Best Buy and I knew I had arrived to my destination. Christmas was almost here so I went to buy a Christmas present. And approached checkout and as I was waiting on line to pay for the present something unexpectedly magical happened. This song was being played on the Best Buy speakers. The volume was low and would increase out of nowhere and it would go through the roof. It was being overplayed and I just had to see who was the legend playing this song. I laid my eyes across the store only to see the one and only legend playing it. He was tall like Alex, old like Frank and Indian like Daniel. I smiled inside my head and I was looking around to see if anyone heard this legend like I heard him. His talents were amazing that I started snapping my fingers and stomping my foot automatically to the beat. In my head I was like “TURN UP THE BEAT!!!” 🐶🎧I was still there waiting for my item to arrive when all of a sudden my spirit animal blessed my ears and nose. He had just tooted right in front of me no one else in sight had heard. I could smell what had had eaten a Taco Bell burrito with beans cheese and no sour cream made by jessica at 2:27 pm. To be continued……",@stephp3455,2024-12-25T09:16:22Z
Autotune has left chat,@bambur1,2024-12-25T04:57:05Z
"Also, Teddy Service Announcement: I’m DYING for a live version of “lose control” with that high pitched version of the final chorus!!! Is anyone else with me?! I know I’m not alone! I HAVE TO hear that high note “control” at the end!! It’s the absolute best part of the song! The whole feeling, the emotions are building up to that moment!! And I’m so sad when you don’t do it. You’re so talented! I know you can do it!! Please bring us the sexy high note!! Thank you ❤",@jenniferbasco1928,2024-12-24T21:30:45Z
This song takes me deep to emotions 😢,@dramatron3258,2024-12-24T15:22:42Z
Ya his grittiness is deep I love it,@BeccaButterCupZ,2024-12-21T16:19:49Z
She could tone the sexuality out of her performance a bit to get to the real vocal part a bit smoother but that is just me,@KennethBaltierra-ux5km,2024-12-21T13:00:55Z
"Ohhh, hhhe77, yas!  I felt that way, way, deep down!",@McBlamin,2024-12-20T06:20:03Z
Seriously one of the best songs of the year the melodticness is so rich and powerful. Watch out Jellyroll 😂 nah. Love them both honestly,@Jaimieresponds,2024-12-20T04:02:49Z
"❤reminds me of Amy Winehouse, magnificent voice, great vibes. I like the style n technique ,the lyrics wow. Who writes them?  I discovered you by accident, am baffled n amazed.love it, so take care.❤",@n.ahoolash42,2024-12-19T17:46:33Z
Amazing beatifil love,@sharonc9028,2024-12-16T23:04:40Z
I love my man so much we both do were so in love with each other we love this song deeply  love you Jason  your wife to be cindy,@cynthiaslama4425,2024-12-15T22:50:32Z
Such a powerful song,@iuliagalea7821,2024-12-15T08:16:31Z
"Vocally, Stapelton or swims?",@wadebond7679,2024-12-15T02:00:29Z
Love this melody,@michaAnod,2024-12-14T15:44:47Z
That verse the problem is when I'm with you I'm an attic I want your body like a bad habit oh my God that's how I feel when I'm in love like an addict for it,@catherineshuttleworth8706,2024-12-11T15:36:26Z
This is the worst WORST song i ve heard on this radio everyday!!! Fk your song i cant heaaAaarr no more its so bad,@grufti808,2024-12-11T13:10:17Z
"Nice Mix ⭐ .If you’re reading this, I hope today brings you moments of peace and boundless joy. Life can be full of challenges, but your inner light and strength brighten the lives of those around you. Take a moment to breathe deeply and reflect on the profound positive impact you have on this world  hand-pink-wavinghand-pink-wavinghand-pink-waving",@NguyenVu-ql4jg,2024-12-11T02:00:29Z
These vocals....giving me chills ❤❤❤,@mrbluandthechichicrew,2024-12-10T21:41:48Z
If I had to be singer I wish to have his vocal honestly this songs on repeat am emotionally I can’t ❤,@sharneldiriardi5588,2024-12-07T21:46:51Z
So soulful! His voice makes me lose control!!!! ❤❤❤❤❤❤,@MelodeeJamison,2024-12-07T16:53:57Z
He gives male Adele vibes🥀,@teeteethomas24,2024-12-06T08:34:44Z
Absolute pure natural talent x such a soulful voice make my heart sing x,@dawnroyds7824,2024-12-05T22:16:04Z
please try 1.85x for a different vibe its worth it ❤,@DarkKnight-bo6gh,2024-12-04T19:30:57Z
Now this is talent and this is legend music.                          100%:vibes music 2024❤🎉,@AlinaMitrea-n9t,2024-12-03T17:30:26Z
I like these lyrics 🔱🏁🌙🔥🐂🌲🫣,@TasteTheRainbowTV,2024-12-03T15:39:59Z
Me every freaking day  sets the tone  of my life.,@nancybuck1038,2024-12-03T11:05:56Z
Wow I just really love your voice. So powerful and smooth❤❤,@debrabensinger1331,2024-12-02T07:00:23Z
No autotune.great singer❤❤,@andreacani4201,2024-12-01T09:48:54Z
Love the song and love Teddy Swims voice.  The song is so soulful.,@yvonnecobbs1330,2024-11-30T00:41:30Z
"espectacular!!! que agradable esta voz.... muy bella, lindo color, timbre y que manera de interpretar. Gracias. Puedo ver el don de Dios en tu hermosa voz. es una voz que inspira.",@florbellaandrea5439,2024-11-30T00:35:38Z
What a flawless song holy soulful hell ❤,@AtomicxToast,2024-11-29T22:03:16Z
This man's voice hits my soul in a way I've never felt before. He touches on my raw emotions and gets me to tears every time,@MildredBlom,2024-11-29T17:03:52Z
"just feeling that i'm falling in love with this masterpiece , the way he sings , the voice, his emotion drive me creazy ...feel addicted to this song",@amalkaroud1142,2024-11-28T23:46:01Z
I hit a dear listening to this song was so emotional I cut it's throat,@bro-yh2gw,2024-11-28T22:24:22Z
I've never been so happy  in my life going  to marry one of the most famous  current  actors on t.v. love you deeply  cindy,@cynthiaslama4425,2024-11-28T03:19:47Z
"They're playing your song three times a day from the grade school. It's about a football field away from my house. You're sounding like a sixty year old cornbread woman's voice. They don't understand the lyrics, but they love your music. Thanks Man 👍",@mickk5006,2024-11-27T15:32:21Z
Soulful and legit!,@GarlandBrooks,2024-11-27T11:09:22Z
"Teddy, I dont say this often. Your amazing. Your voice touchs souls and warms hearts. My dog loves you. No Joking here. My Dog Bear heard this song and as you started to sing he turned his head to the Tv and started watching  you as you sang. He Never Does This.  I could see a smile on his face and he curled up as close as he could to me and put his head on my shoulder and  gazed in my eyes. You touched his heart Teddy. It was the most amazing thing I have seen him do since my wife passed away 2 years ago.  My Bear is a 8yr old 135lb  Cane Corso and has always been a very emotional dog.  Every time I play this song he does the same thing. He loves this song and so do I. Thank you",@Grafdesgn,2024-11-27T02:04:06Z
"my heart feels the beat,! Iam from Germany with morrocan Soul!",@AzizaMaroc90,2024-11-26T00:29:22Z
"Love it, his tone the heavy voice and unique. The clip plain and simple perfect.",@MrRomKah,2024-11-25T20:01:11Z
I wonder if he gave Scott Storch permission to use his melody?  https://www.youtube.com/watch?v=Tqtxj0n4olI,@jlearnes,2024-11-25T16:24:50Z
"He's so raw that's why I love the way he belts that song out. I mean it's impossible to be away from someone you are soooo much in love with, it's the stuff all love songs are made of and he sings with such power and emotional depth. I'm intoxicated now that my friend Tina turned me on to him, and I will be listening to much more of this song. Just like so many love songs I hold close to my heart always ❣️Truly touched by his performance, I feel his pain❣️",@cristinacardenas131,2024-11-24T17:49:22Z
"The perfect example of a genuinely talented vocalist - no props, no ridiculous costumes, no sound enhancements or technology - just pure and natural talent at its best.",@FreeIndeedMusic836,2024-11-22T03:51:49Z
❤😊😅 I lose control every time I hear that song it is so good and powerful it gives me cold chills love you Teddy knock them out,@suzannegilliland764,2024-11-21T05:22:54Z
"Who,Everytime I hear this ,,Im also out of control,it hits deep down in my Soul 💕😂❤❤❤❤",@deeg2105,2024-11-19T21:52:20Z
90s vibe ✨️,@AmusedElephant-sq1ps,2024-11-18T23:02:56Z
"I put my headphones, closed my eyes and just drift away with this man :-) so powerful voice, beautiful, elevates my soul... Thank you Teddy :-)♥",@InesTasic,2024-11-18T21:13:00Z
❤❤❤Killing Country with Rhythm & Blues... EHEHEHHHHHHHH,@mikkiblount3968,2024-11-17T21:45:13Z
Who's gonna pin the lyrics. 😥😭😭😭,@jenmae21,2024-11-16T22:07:33Z
Last artist to give me so much vibes like this was Chris Cornell 😢 but damn this man can sing his heart out well done hats off to you sir,@tylerroten9506,2024-11-16T03:54:39Z
J'adore le timbre de sa voix et chanson magnifique,@kerlouane,2024-11-15T15:32:50Z
"Emotions, that's when you live life in one moment❤",@SandraRijic,2024-11-14T18:01:09Z
Driving and singing this tune what a vibe ❤🏴󠁧󠁢󠁳󠁣󠁴󠁿👌🏽🎶,@Suchislife-v7d,2024-11-13T21:25:19Z
Unforgettable voice,@IzarraA,2024-11-13T19:52:14Z
"I love Teddy, such a soulful vocalist!",@aishahackett3388,2024-11-13T02:56:51Z
"No,no,no not Teddy swims, but Teddy Sinks ever heart, really deep.",@natachakalfayan5531,2024-11-12T17:56:57Z
No sé casi nada ingles pero está música me inspira a aprender inglés por qué quiero saber su significado wao beatifull music 😅,@Mundoditalrd,2024-11-12T13:42:40Z
"I’m not a emotional person at all, but I can’t even count how many times I’ve shed tears to this song",@JordanConrad-c3q,2024-11-11T21:11:45Z
This song is literally written for me by this guy who seems to know how much I suffer when I’m alone without my husband in my life.  The lyrics about the devil is so true for me banging on my door to tell me to give up.  I am struggling with the fact that I’m older now and my body aches so bad that I just want to be out of pain.  Life has gotten worse over time and I feel compelled to give up on myself because I’m such a burden to my family that I just want to die and let them live in peace and seeing each other doing great things together.  God help us make it through this time.  😭😵‍💫,@Youtuber5775-,2024-11-11T05:15:33Z
❤❤❤❤❤❤ awesone vocals ❤❤❤❤❤❤,@Kelly-bw1zo,2024-11-10T17:48:15Z
Mmmm... love ❤️ this song sooo much..the lyrics are superb..!!,@evethomson6074,2024-11-10T05:54:49Z
So soulful 😊,@marilynconner4056,2024-11-09T10:01:37Z
I love  everything about this especially his soulful voice,@peggywright3793,2024-11-09T01:19:45Z
I can control my emotions now.,@PaulBrizlinger-m8j,2024-11-08T23:24:43Z
I have added a comment But I just want to add more Teddy swims is incredible the deep voice sounds he makes absolutely incredible please come to Boston mass,@LisaTucker-pl7ci,2024-11-08T02:28:41Z
This tune has some seriously greasy and soulful Muscle Shoals vibes.,@twillison8824,2024-11-06T14:08:42Z
Composition of the song 100/100,@gamersdenkolkata,2024-11-06T04:33:08Z
What an amazing vocal,@_miniDarling_,2024-11-05T07:20:14Z
This has a strong vibe: I'm feeling this❤,@raybiscoe3721,2024-11-05T00:39:00Z
These lyrics and performance. Inspirational,@jamieburns8327,2024-11-04T13:40:30Z
Soulful!❤,@jacalynjohnson4656,2024-11-04T01:42:54Z
Wow !!! Chicken skin and explosives vibes ☑️🙏🫡✌️❤,@xYz94-xYz,2024-11-03T22:47:49Z
