comment,user_name,date
"Afinação maravilhosa, timbre sexy",@samuelbarbosapdo8179,2025-02-25T21:15:56Z
My friend thinks this song is awful but tbh he thinks that bout most songs. But I love this song,@Kittycatheart,2025-02-15T11:57:44Z
How can i forget this beat?,@khevenmatsinhe320,2025-02-13T18:22:06Z
It just a perfect and powerful 🎉❤😢,@praew3150,2025-02-07T00:39:55Z
no other song can beat this one💯,@StanfordEngelbrecht,2024-12-12T16:57:25Z
Not me already feeling nostalgic for this song.,@JeoffreyZzz,2024-12-12T16:52:55Z
Man I can’t believe I fell in love with this beat 2 years ago 😭😭 it’s so gewddd,@SubtoAura,2024-09-05T10:19:17Z
"the chorus was so ADDiCTING like LITERALLY and GOSH, her voice is like SO pretty ❤❤❤❤❤❤❤",@Daniel-ey9kp,2024-07-27T23:01:48Z
I’m here after the BET Awards named her best new artists smh She is ok at bet should’ve went to sexy redd annoying ass tbh,@stackzdollarz1914,2024-07-02T12:19:34Z
"This is awful, absolutely no skill no bars nothing how do you get a song with Skillibeng if you can’t write bars? Eek",@Spicebean,2024-07-02T09:41:40Z
Bro if u listening to the lyrics it’s about orgasm,@CrazyDawgg,2024-07-01T16:51:18Z
"First time when I heard this, I thought it was Dua Lipa lol. It has similar vibes",@pko_2.0_pop7,2024-06-10T15:02:52Z
"I regret seeing the words to this song, the melody is beautiful.  Even addictive😅",@Avigailish,2024-05-24T10:27:55Z
Make me sweat🏝 (continue the lyrics),@Sarah-xp8ti,2024-05-23T12:39:53Z
First time hearing this song I spent about 7 hours listening to this on replay. The beat is so sick. I laid in bed studying this song. Not to sing it back but just listening. I spend more time listening than talking believe it or not. If I do talk it’s something important being said. For me to even comment on something it must be something of importance.  Something good that I see about it or something. Best wishes for you Tyla.,@godsorganiclove,2024-05-02T23:12:34Z
"i hate this song, its so goddamn annoying",@alone-pu1mu,2024-04-27T14:40:18Z
Brezzy will kill this kind a beats,@anonymousURL,2024-04-18T13:52:07Z
"Shit that's a dirty song how old is this chick even not sure she should be singing about , getting wet, and sweat, and trying to last all night, you can stay inside......thats some graphic ass lyrics.",@Vorheecn,2024-04-15T22:42:22Z
Gives me happy vibes! This song was playing in my girlfriend’s dad’s car on her birthday last week and it’s definitely a moment that i will never forget!,@YGaming1011,2024-03-30T03:10:11Z
🔥 hot 🔥  beautiful  lyrics  🔥,@sharonbrown9742,2024-03-11T17:18:37Z
"I tried...but I can no longer resist that beautiful and haunting melody. Sing to me pretty baby mermaid! Make me swear, make me holla. Make me lose my breath, make me water! 🧜‍♂🧜‍♀🧜‍♂",@MariahYanez,2024-03-10T20:05:16Z
Coastline Vibez 🏝🏖,@deeparker1005,2024-03-01T14:36:58Z
A maior dobradora de água de todos os tempos. Irmã da Kattara,@diogofabricante4336,2024-02-28T02:12:40Z
so powerfull voice :O,@ing.giovanniflores1673,2024-02-26T08:45:58Z
Deep House...been around for over  30 years.  You're welcome.,@VinnieBoombatz374,2024-02-08T00:55:39Z
