comment,user_name,date
1 :28 nicol 1:32 the is the best part about it and the tone with it come the joy and passion and 6 the party 🎉😂 cheers congrats on the success XAvi,@LuisGarcia-lu1ze,2025-02-11T06:55:32Z
Wuuuuaooo este pana tiene excelente timbre de voz acá en Colombia lo confunden con peso pluma e tenido una disyuntiva y e ganado les dije que no era peso pluma no entiendo como lo comparan me encantas a y gane la disyuntiva.,@yamiletcortestovar5095,2025-01-22T01:32:13Z
The lyrics are humorous but the guitar work is excellent.,@shawndowney610,2025-01-17T18:39:04Z
dodeVibes🇬🇹,@VidaliaTell,2025-01-10T22:36:34Z
"Canción de mierda, no canta, puro autotune, la letra una mierda, etc etc",@justafailure73,2025-01-02T03:01:26Z
"Im american and i love this song and mexican culture. Do i know what there saying, not yet but i still love the beat 😊",@elibrowne-yp1zd,2024-12-24T19:25:56Z
Don’t understand a word he saying but the vibes are definitely present and I love this song 🤘,@pixelatedvisions392,2024-12-18T18:13:00Z
good vibes,@NimrodDoro,2024-12-07T00:15:25Z
vibes song,@SiempreVania,2024-12-05T21:40:29Z
Javiunapreguntaporqueyanotescuchan,@EnmanuelAlexLòpezTorrez-f2k,2024-11-15T17:05:32Z
i dont speak or know spanish but this song is a vibe,@TomKerry-pu1ue,2024-11-03T20:50:53Z
"Canta de la fregada , sin voz , armonias , todo es la misma linea vocal , esta de la fregada ,eso es lo qie soguen , todo de protools . Una pesina voz y sis letras corrientes !",@victorhugoaguilarsantana8686,2024-10-18T13:15:31Z
Tenemos que admitir que solo fue una moda temporal no fue pa quedarse!. Fue buena rola en su momento,@PelisFullHD24,2024-10-17T06:03:52Z
I know the lyrics to la Davila,@Kingboy24_singer25,2024-10-17T00:39:24Z
Vine de la kantina vibe de roblox para aca xd,@kil8356,2024-09-17T06:17:25Z
Crazy I vibe to this and I don’t understand 😂😂,@Adrian-fj4li,2024-09-16T01:29:41Z
Carlos mañana estamos miércoles y termina la semana Karol g y los Beatles y los picos son los mejores Karol g y los picos son los mejores los quiero mucho así que se me hace calor 🇪🇨,@JennyPlua-o3t,2024-09-11T00:32:12Z
His voice sounds like waluigi. But not as deep because he's a lil boy.,@MS-ri6dq,2024-09-06T23:29:24Z
Haber ahora cantala sin autotune 😂,@juanantoniosalgadofonseca,2024-09-02T10:28:02Z
Listening 🎧 from India 🇮🇳 full vibe 👍🏻,@Bravebeginners22,2024-09-01T21:25:52Z
I'm Mexican and German and I love the lyrics to this I can relate tbh 😢😂but we always stay up no matter what 💰💯,@ZriStar,2024-08-15T23:25:38Z
I fell deeply in love with you Audrey ❤❤,@Eduardo-oh4hc,2024-07-30T17:47:20Z
"No habia necesidad de dejar la voz tan al fondo con ese reverb, si tuviera más presencia se escucharia más profesional. Aunque quizás esto solo sea agusto personal.",@AdriánMejiaD,2024-07-16T21:11:32Z
Rick Beato brought me here,@beatingjukebox,2024-07-03T06:59:21Z
Yooo I heard this song on an Instagram post and I’m OBSESSED!!! I have no idea what is being said but this a whole fucking vibe!!! Take me to the Spanish club neeoowwww!!! 🔥,@Pootyfatsacks,2024-06-29T16:09:31Z
Ese flow the reguetonero cantando musica mexicana eso no pega. Jajaja pongase su sombrero y sus botas .,@dominicancash,2024-06-24T21:43:41Z
mexican ot deep throat?,@FranciscoJavier-g6j,2024-06-24T21:24:03Z
Ahora quitenle el autotune a ver como suena 🤣🤣🤌🏻,@Cyberlife-po3rf,2024-06-13T22:18:31Z
Cuando canta sin autotone canta horrible,@MireyaPatino-vt2yn,2024-06-13T17:08:59Z
Abc to make me write the lyrics,@Fukthehaters8,2024-06-12T01:21:57Z
La canción es un temazo  cantas muy bonito xavi tienes una bonita voz con autotune y sin autotune,@edwardbano3762,2024-06-11T21:04:03Z
I was expecting him to look older because of the lyrics! Lol,@Highseas1988,2024-06-05T18:05:15Z
"Yo no sé porque la gente hace famoso a un hijo de pt porque solo difama a una mujer solo por el sexo y no ven la verdadera realidad,esencia y cosas maravillosas que tiene una mujer tristemente está generación solo escucha basura porque al fin y al cabo no les aporta nada a esta generación y no se ponen a reflexionar y pensar de que es lo que escuchan por qué solo es para encajar con la sociedad bro te crítico por qué hay niños que escuchan esto y lo peor es que este idiota no tiene talento que deshonra para el gremio de la música por qué los verdaderos cantantes son los que no usan autotune bobo y no es por envidia es por qué me sorprende que hay mujeres que no se hacen respetar antes se dejan difamar por un pendejo que me imagino que es tan ignorante que solo por fama hace cualquier chamboneria que tristeza.canserbero nos hace FALTA 🥀",@Brockton-r6g,2024-06-02T23:18:01Z
"Excellent song! I was listening to 100 songs of Billboard and yours it is really outstanding among the same kind of songs, yours has harmony not only beats, drums...Great Job!",@andreluiz7764,2024-05-28T13:48:29Z
The worst part about this song is that it ends.,@NigerBalls-id4su,2024-05-26T12:53:11Z
Tiene una muy bueno voz no ocupa el auto tone como otros,@alejandrodominguez9332,2024-05-12T15:38:41Z
"Braaaabo, o próprio autotune, sou o comentario em portugues que tu procuras.",@bbiliattoHD,2024-05-08T17:59:32Z
Deep murio,@CarlosOlivas-dg4cr,2024-05-06T11:34:47Z
this boy annoying and ridiculous af but man if this song ain't fire,@vidaliatheonionqueen,2024-05-04T21:47:41Z
Mi prima Antonella se quiere casarse contigo quiere besarse en la boca contigo yo no te dijo a ti por qué yo tengo un novio Ariel y tengo 5 años y mi prima tiene 6 años,@MarcelinaCahuanaVilca,2024-05-03T00:53:15Z
O clipe não tem nada haver com a vibe da música kkkkk mas enfim,@EversonSantos-pj7jb,2024-05-01T12:35:53Z
"OMG .....worst ""song"" i've ever heard......A guy who screams instead of singing, do you call him ""artist""? In all the songs there is always the same musical instrument with the same idiot rhythm, this is you call a ""music ""?!?!🤮",@SoloView-uw2vy,2024-04-26T22:41:02Z
Best vibe everrr🎉this song always makes me happy and want dancing 😂 salute from Egypt 🇪🇬❤,@emmy9738,2024-04-25T01:04:47Z
I play  this everyday at work.. it's a whole vibe y el Chavo knows how to sing ❤,@ReynaAparicio-d2t,2024-04-22T03:51:52Z
"I have no clue what you're saying but, this joint slaps! I like your voice, the guitar, rhythm, etc. 🎉🎉🎉🎉 Viva Mexico 🇲🇽",@Trini_RudeBoi,2024-04-21T07:00:40Z
la pregunta es 100% autotune o voz natural xq si es natural tiene un gran futuro éxitos,@alfredoborra7736,2024-04-18T01:40:11Z
"I thought this video would fit with the lyrics, it's a kid showing off his wealth.. and ladies. Alrighty then! Still <3 this song! Lol.",@bethedifferent1,2024-04-12T20:40:43Z
Songs good just watching the music video is annoying,@WhataGamerTX,2024-04-10T04:58:48Z
Te.              Amo Oye Gaby cuándo vas a venir a los al concierto de Querétaro yo te quiero conocer en persona Y de grande quieres hacer mi novio es que te amo Y yo siempre veo tus vídeos siempre te mando un mensaje push no sé es que me encanta mucho tus canciones Y corazoncito para tus amigos Y mis saludos a tu familia ok Y diles que hola cómo estás Manda A saludar Ana Beatriz mora Nava porque me encanta cuando estés tú ahí en en las fotos O cuando vengas me traes algo pero de allá donde Vives me traes un peluche de ti una cobijo algo así me traes flores sale porque me encantan las flores cuando vengas te digo una cosa te voy a llevar flores Y tú me vas A llevar ok Y los tomamos fotos mi hermano termina es cuando tuyo Y si conoces a peso pluma le dices a peso pluma que venga ok bye❤❤❤❤❤,@lupitanava5259,2024-04-09T20:49:39Z
deep afrohouse mix 🩵 https://music.youtube.com/watch?v=v_kYUi8lOGI&si=FvRMcPTRbnD_zTYv,@OuassimBensalek,2024-04-05T00:32:52Z
Habia escuchado la cancion pero nunca he visto el video...y oh sorpresa 🙄🙄 lo que antes era la musica original  del pueblo rural 🤷🏿‍♂️🤷🏿‍♂️🤷🏿‍♂️ ahora es mero whitexican con autotune dandoselas de narcoestrellita 🤦🏻‍♂️🤦🏻‍♂️ otro plumita 🙄🙄,@fabianlibardomartinezherre8794,2024-04-02T00:30:22Z
"Tbh his voice is very interesting, not sure if he makes it like that for effect but I really like it for some reason. Also the composition of the guitar 😮‍💨",@ant_whi,2024-04-01T18:27:44Z
"Que gusto ser contemporáneo de este gran artista, lo vamos a disfrutar mucho. Muchas bendiciones y suerte en tu carrera. Crack",@jesusjr5581,2024-03-31T05:27:00Z
Cante pero sin autotune jajajja,@eduarperez9018,2024-03-30T17:22:30Z
I have zero idea what any of the lyrics mean but i can assure myself that this is a true VIBE.,@Ello90909,2024-03-30T11:25:30Z
