comment,user_name,date
Jimin best vocal,@Lua-y3n,2025-03-22T12:48:10Z
Love the lyrics.,@wv5083,2025-03-22T03:23:48Z
Jimin is giving such Gen Z vibes in this music vid ....I love the styling haha and of course the music :),@sandsturm7073,2025-03-21T21:41:03Z
Really loving this song. Has the retro classic sounds with a modern twin that we have all been waiting for. Giving mis congeniality vibes🙌🏼🤩 the pageant song 🎶 rightttt? Love it 🥰 ❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥,@peggydubarry8180,2025-03-21T21:23:58Z
His vocal😭💯,@TonniAhmed-w7o,2025-03-21T17:56:41Z
Another 100M milestone is just around the corner! His artistry is on a whole different level!,@samlee3749,2025-03-21T17:54:34Z
'Who is my heart waiting for ' this lyrics just wow,@LilyAkter-sv3yd,2025-03-21T14:34:26Z
Jimin best vocal,@Lua-y3n,2025-03-21T12:13:56Z
Let’s make the last five M to the big milestone go FAST FAST! Leggo!,@Dearmylovelovelove,2025-03-21T09:15:22Z
Khop vocals is no joke,@Ibrahim_ot7,2025-03-21T06:38:32Z
Já é primavera no hemisfério norte! Que sejam tempos de muita saúde e sucesso para o nosso lindo e talentoso Park Jimin!,@irArmy1306,2025-03-20T18:33:15Z
Jimin best vocal,@Lua-y3n,2025-03-20T12:02:51Z
Who beat gangnam style and also dynamite and became longest charting kpop song in billboard hot 100. Now Who stand 33 weeks on billboard and ready to stay long,@world_of_status-e9e,2025-03-19T16:51:05Z
Jimin best vocal,@Lua-y3n,2025-03-19T12:17:51Z
Jimin best vocal,@Lua-y3n,2025-03-18T11:35:09Z
This song is the best emotion for International Army (^-^),@Bangtan7stars-i3l,2025-03-18T00:19:04Z
Jimin best vocal,@Lua-y3n,2025-03-17T12:16:00Z
90s vibe,@TheUniquetheory,2025-03-17T05:30:27Z
Jimin's vocals are no joke! <3 This is one of my favourite songs! Is anyone here in 2025? <3,@Crash_bee_boo_cute,2025-03-16T17:01:58Z
"His vocals, dance moves, expressions, and walking style are all perfect. Let's do it together, ARMY! Let's make our idols proud once again; we can do it. Fighting, ARMY!!!!",@tahrimjerin,2025-03-16T12:56:41Z
Jimin best vocal,@Lua-y3n,2025-03-16T11:14:00Z
"Jimin singing the high notes near the end of the song, is beautiful to listen to.",@stillpurple,2025-03-15T21:28:00Z
Jimin best vocal,@Lua-y3n,2025-03-15T15:42:33Z
Jimin vocals are truly underrated,@OT7--v7e,2025-03-15T06:13:21Z
"Quisiera que Jimin suba videos bailando contemporáneo, sería tan hermoso ver su ARTE.",@user-gf7fi4nm7w,2025-03-15T03:27:28Z
Jimin best vocal,@Lua-y3n,2025-03-14T13:35:50Z
"Wow I'm speechless 🙊  it's  just  so beautiful the lyrics , the voice, the dance, the setting  and especially  the person. Jimin, you are  amazing ❤",@BLESSINGNJOROGE-v9w,2025-03-13T17:04:32Z
Jimin best vocal,@Lua-y3n,2025-03-13T12:40:05Z
Jimin best vocal,@Lua-y3n,2025-03-12T12:12:45Z
Jimin best vocal,@Lua-y3n,2025-03-11T11:40:58Z
Jimin é a primeira pessoa NA HISTÓRIA a deter o recorde de música asiática que permaneceu por mais tempo na história da Hot100 como solista e grupo ao mesmo tempo,@SgmbMuse,2025-03-11T10:16:39Z
