comment,user_name,date
It wild that he is in the scenes but he is not really there for most of them. The power of static shots and after effects and great editing!😮,@athousandwordsfilmbyshabaz9718,2025-03-20T10:17:04Z
Anyone know why the background vocals wasn’t in on that one section?,@MidasRah,2025-03-20T02:31:02Z
why is the verse different? at 1:27,@Gracie9656,2025-03-19T21:49:41Z
"I would like to see K and the smoothest Korean artist ever known, Zion.T Killing Verse.",@sb5818,2025-03-19T17:41:41Z
The BEAT💯,@ThumbuMoloi-p9j,2025-03-19T17:14:37Z
I’m a 64 y.o. white woman.  I love this beat but I wish I understood the lyrics.  It sucks getting old😪,@kimturner9309,2025-03-19T16:01:20Z
Homie with the braids dancing and looking back is a vibe,@sjoseph9625,2025-03-19T10:33:20Z
Only way Drake getting over this is to beat up Kendrick Lamar in the ring,@Leggobeest7107,2025-03-18T16:04:03Z
THE BEAT IS OVER MAX,@Bluefrysvr,2025-03-17T21:04:36Z
It’s me Aubrey Villalobos that’s me Anthony I like her like everybody places that are like that in one area I do it through and I know you’re ready gangster gangster gang gang gang gang gangster spoke to Larry is crazy scary spooky lyrics I do a little robot,@NathanV-xc1nb,2025-03-16T20:59:33Z
"Shit giving me "" the roots ""the next movement "" vibes. Not the song but the video. Lol",@128djxcel,2025-03-16T06:22:10Z
✏️describe the vibe,@EastonRamos-o4u,2025-03-15T19:21:49Z
Kendrick is absolutely killing the scene with the old school vibe !! Every OG's would be proud of him,@brokenwitz,2025-03-15T10:15:02Z
"I love the chorus, the old school flow her smile and she looks like she having fun. 🎉",@Pitongirl,2025-03-15T05:34:58Z
"Does anyone else find the melodic rhythm reminiscent of the soundtrack to the movie ""Killer Bean Forever""?",@potatosausage,2025-03-14T22:45:42Z
idk if peekaboo or this is more annoying,@alex-w4r4e,2025-03-14T01:40:28Z
He did too good on this damn beat I can't get it out my head,@alvinALee3,2025-03-13T21:37:55Z
"Kendrick, if I make my own music will you put one of my verses in your song?",@EliseKempkeOG,2025-03-12T18:05:12Z
Why did it look like he messed up his own lyrics in that scene where he crouched by the candles? 😁,@renaepollack3809,2025-03-12T05:51:59Z
Can i get the lyrics man,@RuthranMoses,2025-03-12T03:22:29Z
They changed the beat,@Needsleepmatrix,2025-03-11T22:00:02Z
"Finally HIP HOP is back and about time to clear out all the drakes and mumble rapping autotuners of the world.  this is real dope ass hip hop, true to the 90s",@islanddreams4805,2025-03-10T00:13:16Z
He has no emotions,@Duncan6666,2025-03-09T22:55:47Z
This beat got me in my feelings,@Needsleepmatrix,2025-03-09T21:55:20Z
Did they change the video n lyrics or am I tweaking?,@AntonioJohnson-ks2cv,2025-03-09T18:46:05Z
"This beat right here is the one ... On another note, can we get this on beatsaber too? I'm living for those Kendrick drops 🤣😁♥️",@NeonButterfly7,2025-03-09T01:13:30Z
"😃🎵🎶 "" DANCE W-ME "" 😄🎵🎶✨🌟👑💃💙💙💙💙💙❤️❤️❤️❤️❤️🏋🏽‍♂️👑🌟✨💙❤️🔔👏🌎🙏🕯️😇🥰💃🏃🏽‍♂️😎🎵🎶💃💃⛹🏽‍♂️🔔🔔🔔🔔🔔💃💃🏋🏽‍♂️😃👏 "" VIBES UP""👏👏👏👏👏💞 &🕯️👍💯",@andreahill778,2025-03-08T19:36:03Z
"That book at 1:03, I once knew a guy who couldn’t measure up to Kendrick’s vibe and ended up erasing himself because of it: https://youtube.com/shorts/5UnG0Zn_U-U",@darethedark,2025-03-08T13:59:01Z
"did anyone notice the diff lyrics in the second verse before ""thonk thonk"" compare to the actual song?",@Sasukebloom86,2025-03-08T02:33:19Z
"i get a real ""stop making sense"" feel from the set decoration and camera work. simple, arty, humorous, deep. i need to see the BTS of @2:12 that must have been absolutely bonkers to film",@crisismethodactor,2025-03-08T01:42:44Z
Is this a mix? 1:30 makes no sense and completely skipped the bridge and maybe verse 2??,@ruthie0486,2025-03-08T00:53:12Z
man he had way too much creativity in the first verse,@Felix-do7dq,2025-03-07T15:53:25Z
biggest piece of trash Kendrick lamar is the worst rapper in history,@TheTaleofNovorossiya,2025-03-07T13:25:17Z
Man nice with his lyrics! 💯 😊,@Denisebemmett,2025-03-07T12:30:12Z
Yo you considered doing some deep bars with T pain on some of your new stuff you're writing,@riseagain-y6i,2025-03-07T02:53:13Z
Has to be my fav Kendrick song ever...this is a throwback to the 80s... love the sound and modern flow..the video is artistic master piece...We need more 80s beats with a modern twist like this,@seanandrade6413,2025-03-07T00:12:16Z
"Squabble Up"" is a vibe! Hard-hitting beats and bold lyrics—this track fuels the hustle. 🔥💪",@YouthMindSupportSquad,2025-03-06T12:01:13Z
Who is with 2025 vibes only,@BenjaminLittleraven-y3r,2025-03-06T03:11:21Z
This is trash bro. Kendrick could take a literal shit on a beat and y'all would eat it right up.,@1218wbentrup,2025-03-06T03:08:39Z
"1:51 is fucking gold, ive made that face when I forget lyrics too bro lmao",@noctilucent8241,2025-03-05T21:23:14Z
"I just noticed all the small references on the sides from soul train to the cholos y cholas, black panthers, soul train etc etc.... I F****** LOVE THIS VIDEO. AND THE FACT THAT HE WENT OLD SCHOOL, LATIN FREESTYLE MUSIC AND M*********** PLAYED SOME DEBBIE DEB SAMPLE FIRE.THIS BEAT FIRE FIRE FIRE FIRE",@cylon74,2025-03-05T15:50:36Z
Infinite warfare zombies vibes lmao,@sweatbag_4209,2025-03-04T22:14:11Z
The beat switch upped this from manslaughter to first degree murder.,@TheOneLoneTree,2025-03-03T22:45:05Z
Beat is so lame. Lots of words saying nothing. Annoying voice. Well produced video but boring concept,@bA99992,2025-03-03T01:16:30Z
Do you know how stupid this glazing is with Kendrick Lamar. He won 5 Grammys off a diss track. Backwards as f***. Nothing influential about a diss track. I can name a lot of records that should have got those awards. Only reason this happened was to try to make Drake obsolete. Keep trying. You can only beat Drake with Drake. Canadian r&b rapper has got the industry on lock and everyone is mad because they can’t beat him. Bunch of crybabies if you ask me. What happened to competition. Keep up,@JohnNunez-vf8eh,2025-03-02T22:23:55Z
I just can’t get enough of this beat and lyrics,@chadhenry1788,2025-03-02T06:31:03Z
I feel dance in th car and beating some one at the same time😂😂,@jensenstorm6933,2025-02-27T22:32:06Z
"I don't like this crap. Some things are not for us Latine/Hispanic folks. Have some respect for Black folks culture, slang, etc. Some of the lyrics shouldn't even be said by us. Im tired of y'all mfs.",@zulenyacosta2656,2025-02-27T15:41:43Z
Vibes,@LayLo8732original,2025-02-26T01:55:04Z
This is probably the worst Kendrick album and it’s still the best piece of art created so far in the 2020s besides Mr morale,@MeatSnax,2025-02-25T22:40:17Z
Dude really got them smooth low key moves.. cannot deny boy got rhythm,@jovalove,2025-02-25T22:20:09Z
That beat and base 🔥🔥🔥,@HARPER77,2025-02-25T21:56:52Z
"As someone who is mostly heavy metal and punk all day long, im a miami boy first and foremost that grew up listening to a lot of hip hop and freestyle classics in the 90s and he rep'd both Compton and Miami with this one. That beat goes so damn hard, love the appreciation for debbie deb on this",@AgentOrange921,2025-02-25T18:54:48Z
Tobe Nwigwe would be fire on this beat with Kendrick on a remix,@KINGREGINELLITHEMONSTER,2025-02-25T15:12:39Z
This beat is so fire,@Khosh12310,2025-02-24T23:41:29Z
I don’t think anyone notices but when he steps it usually on beat,@keonharmon6252,2025-02-24T20:16:01Z
Mad ❤ arse … Beat x voice x sound x words fire,@algonquianxxxquechua3055,2025-02-23T05:45:40Z
That west coast beats.,@twatwaffle873,2025-02-22T18:36:43Z
The only thing carring this is the beat,@Thatrilla-43528,2025-02-21T19:54:25Z
K.Lamar he's been laying low for years because he's different 2Pac Vibes,@CharlieMason-vd5is,2025-02-21T13:36:44Z
The Final Verse of this song is lowkey insane,@bigcatgraphics007,2025-02-21T09:01:37Z
Is it just me... this video feels like a bad trip...it stirs up a lot of disturbing emotion,@ThePersonalDevelopme,2025-02-21T04:31:54Z
