comment,user_name,date
This is the worst song I've heard in my life. Sampling something so nice just to plaster mumblerap over it is just not on.,@Frostingale,2025-03-21T00:44:50Z
My wolf ate my shoes … Instagram. ❤ SAVAGES’ beats :),@alexandrae.1811,2025-03-15T23:38:40Z
Yo why does the beat go so hard?,@yanipro3978,2025-03-14T18:16:13Z
Can some remix this and smash this clowns verse! This beat went way to hard for 21!,@SchwiftyPanda24,2025-03-13T00:30:03Z
read song name in reverse,@shivakanchi,2025-03-08T13:39:00Z
Pahilo choti sunda nai vibe aayo hoi broo tae vyarw subscribe like rw comment haneko ❤❤,@arjungaming3304,2025-03-06T17:43:28Z
I was wondering how 21 was go on that beat. Then the hardest beat drop of the century hit,@Article0698,2025-03-05T22:01:28Z
This beats fire 🔥,@AmberCoy-j5e,2025-02-28T23:17:55Z
If krsna used English+ Hindi verse would have been more impact on globally but still Sickkkkkkkk repping Tricolors ❤,@amanbisht6683,2025-02-28T13:54:40Z
The beat is just 🤌🏼,@Thekiddfrom215,2025-02-28T11:58:28Z
I love the flow and the outcome of the music video It perfectly allings with the beat.,@Lennychoppa,2025-02-26T06:17:08Z
"Type beat, brasileiro? Hahahahahahaaha ❤",@SakanaJoga,2025-02-23T18:11:35Z
"Redrum is straight-up sinister. 21 Savage glides over the eerie beat with his cold, calculated flow—no wasted words, just straight pressure. This one feels like a warning, like he’s talking straight to his opps. Dark, raw, and relentless. Classic 21",@ThroneAsphalt-420,2025-02-21T07:03:10Z
horrible lyrics,@hanspeter7843,2025-02-19T17:03:43Z
Redrum = Murder reversed.,@parasoldat66,2025-02-16T15:35:13Z
Kind of gives the same vibe as the 2018 song redruM Reverse by R6(67),@emmacarter967,2025-02-16T02:35:03Z
Didn't hear no neo on the beat tho😮,@tareyoung651,2025-02-14T00:34:31Z
Whoever makes beats for 21 is clear,@siphiwemaseko8883,2025-02-13T13:01:53Z
This beat is cold asf gang,@LBM44,2025-02-13T10:20:15Z
And name fron shining   Redrum   Reverse,@wullieman,2025-02-12T12:34:51Z
Underrated; Stoners unite!,@foxtrotter6605,2025-02-09T15:36:55Z
On the 2nd verse after Jadakiss and Styles P is Paul Cain and Fabolous. Good video.,@bethegreatest5178,2025-02-08T07:48:45Z
Lyrics,@KoladeAkinwunmo,2025-02-07T18:44:22Z
"This is actually one of Metro’s hardest beats , sheesh",@rogueone9303,2025-02-06T05:57:42Z
STILL GOING MAKING A BEAT,@Nicolas-d6k,2025-02-04T22:22:27Z
Hardest beat of 2024?,@ghostofnathanielwind4141,2025-01-31T22:38:33Z
.this sample beat is great. nice song❤this is bomb on fire💣💣💥💥 who still there in 2025 1 year of song celebration.,@RealToimagine,2025-01-31T21:49:58Z
😂😂😂😂😂 what’s the lyrics 😂😂 f,@adarshyadav8783,2025-01-26T17:37:35Z
What a waste of a decent beat. This dude is not a good rapper.,@LiamCramlevy,2025-01-26T00:45:53Z
hardest beat 🔥,@TheGhost14131,2025-01-25T12:45:47Z
I mean such a sick ass beat. My 11 year old could flow and make this a hit.,@RoryFord-zd4oi,2025-01-23T01:06:12Z
These UK 🇬🇧 🏴󠁧󠁢󠁥󠁮󠁧󠁿  rappers do some fire beats... 😅,@DJReyzor357,2025-01-21T01:15:59Z
Beat make me chills,@igorstanic287,2025-01-20T22:14:42Z
redrum reversed is murder,@DrxppyAMV,2025-01-16T21:04:26Z
99% beat 1% lyrics and this bangs...,@DejvidR6,2025-01-16T12:16:32Z
Its my ring tone❤,@starprincess5,2025-01-16T05:10:37Z
intro beat drop is godly.,@Cr1sOnTop,2025-01-14T14:22:31Z
I like to believe Savage brought his piece to the booth and fired it in a random direction on beat,@nonplayercharacter12333,2025-01-11T14:35:42Z
This song gives me a very good vibe 😎,@odensolo8661,2025-01-11T13:21:26Z
21 is so slept on but he better stick with @metroboomin bc his complex cray beats were made just for 21 IMHO!?!,@KhalilSadiq-pw1ft,2025-01-10T12:52:41Z
not so so  big fan of hip hop music but this track even lost vibe for one sec daummm,@onimelodies-ncs8652,2025-01-10T10:21:32Z
"21 savage, this album has single handedly cured my dads cancer, got rid of my mums drinking addiction, made me a better person, this album was such a masterpiece when i first listened to “nee-nah” i cried with how amazing travis and your verses were, 21 savage, thank you so much for making my life better by dropping this madterpiece of an album.",@techiebrawl,2025-01-10T09:43:30Z
i don`t like it but love the music video vibe,@lolo_corellein,2025-01-10T05:56:23Z
the vocal sample is too distracting,@luth0Zuz0le,2025-01-06T15:48:23Z
Awesome sample with good beat. The rest lol bunch of clowns,@martinsiedlecki,2025-01-06T05:24:02Z
"Someone get me out of the psychiatric ward please....  At St. MICHAELS IN DOWNTOWN TORONTO. I deserve to live and be free.... Whenever i put kendrick or 21 savage and start vibing they say im maniac again... I can beat them at any game, argument or fight. Im totally in my senses",@Bhussainshoots,2025-01-04T20:02:16Z
top notch beat wasted on breadcrum,@clipmester,2025-01-04T16:34:16Z
This beat was for sale on youtube😂😂😂😂😂,@Thetruth66399,2025-01-03T23:32:14Z
This song sucks? Why does anyone like this??? Sample and beat is fire tho,@Jaxolp45,2025-01-02T08:31:31Z
This beat is so hard even the worst rapper in the world could make it flow!,@papagrounds,2025-01-01T11:25:51Z
Is the chorus saying oppy,@TuesdayDavis-v6f,2024-12-31T23:09:08Z
Yo 21 what is good brother yo I’m your fan  yo 21 your beats are lit bro I listened too all your songs bro ❤ I saw you at wireless I was there did you see me I saw you this was my first time meeting you brother i wish I can rap with you bro,@hayleygray1000,2024-12-31T11:04:28Z
"To all our US people this is what the majority of The UK council estates ""PROJECTS"" look like across the country, and that is EVERY city across the country, regardless 😂. I i find it funny how every american seems to think that we all speak the queens english and drink tea 😂. Im from a place called Wolverhampton/ Birmingham and we can get guns from anywhere if you know the right person obviously, not like you guys where we can go ASDA ""equivalent of"" WALMART. I can gurantee you that you Americans would barely understand me at all. Ngl youre women love our accent, which is weird because it nationwide known as the worst accent.... Maybe Bristol lol",@ace_buggy6005,2024-12-31T04:03:22Z
"It's wild how back in the 60s the Beatles would sing like Americans, and now we got English rappers sounding like American rappers",@666s8n,2024-12-30T20:48:30Z
Ozm song but will anyone explain all the lyrics like does redrum symbolize blood ?,@29_roshanthomasmathew78,2024-12-28T18:43:27Z
"As a Brazilian, I love ""Serenata do Amor"" but I think this lyrics are absolute buns (I would do worse btw)",@Gelinsemchat,2024-12-27T13:04:14Z
Love from other universe 😅😅,@MemeMotors__001,2024-12-27T01:14:17Z
0:21 just gave me a good vibe of having a good day,@Spideybro2357,2024-12-24T17:59:30Z
Like Redrum Reverse,@Azert-x6u,2024-12-24T17:22:12Z
That Drop created the multiverse theory,@KennethCornett-sb5ez,2024-12-22T16:41:36Z
Too many bros on the blunt. Fake street rapper buying good beats. So rich he imports ghettos.,@rubentrevino5374,2024-12-20T18:22:52Z
The beat goes so hard and the lyrics just don't hit.,@lucidreams421,2024-12-17T20:38:19Z
cool beat but trash lyrics,@ThundahClap,2024-12-13T15:35:50Z
Such a legendary beat gutted by slop writing. We won't hear another beat this good for another 100 years,@limitgoesoff,2024-12-10T21:01:08Z
That beat is fire,@RobertoSantos-ol4tc,2024-12-10T16:18:43Z
Dude murdered that beat literally cause redrum backwards is murder. 21 is smart fr🔥🔥🔥,@bennytheballeroneyt19,2024-12-10T04:41:56Z
So bad lyrics but great Beat,@7odaz,2024-12-09T14:14:05Z
Song trash but i love this damn beat for real,@massbundle3328,2024-12-07T00:03:53Z
RUMRED = MURDER  OR  YOU CAN PUT IT THIS WAY IF YOU    IF U SAY :  RED.  RUM.  REVERSE OR SPELL IT REVERSE ITS PRONOUNCED=  MURDER.,@LokoMahn,2024-12-05T07:06:48Z
That beat drop go crazy,@backshotbarbie2035,2024-12-04T21:20:39Z
Cool beat to dance to,@TorturedNearDeath,2024-12-04T16:29:35Z
The beat goes hard,@pablonunez769,2024-12-03T17:20:38Z
"F£ck$£G Gangster 🎵🎹🥁E THIS,  THE BEATS ARE SICK",@mikeylazokUkraineupdates,2024-12-02T04:01:41Z
"Drake is a snitch 21, you gotta change the lyrics",@RebelZoe1804,2024-12-01T17:32:35Z
