comment,user_name,date
Whole song a vibe until the chomo wants to try and sing,@Drm0n3y,2025-02-15T15:32:02Z
Drake just kills the vibe with his wounded juju,@Lakota185,2025-02-08T00:59:26Z
Def fire. Appreciate good vibes music,@policaroc,2025-01-01T01:20:08Z
"Definitely One of the best songs of 2024 , Drake verse was definitely it 🔥🔥",@dripsaucy,2024-12-27T04:38:53Z
Hope the PnD and Drake project has this vibe to it!,@jayquan1094,2024-11-12T23:35:50Z
"drake stealing 4batz flows bro, is the only thing that guy does is steal flows, bars, beats, and flirt with underage girls?",@Crim1naI,2024-11-11T00:50:48Z
"It’s the beat for me. The combinations, the vibes.. it slaps for real 😂💃🏽🩰😂",@Firebydesign3,2024-11-06T23:57:22Z
"Honestly Partnextdoor, or Chris Brown or Tory Lanez would have been better on the remix. Drake kind of destroyed the vibe of the song",@Truth-hurts-the-weak,2024-10-04T12:01:01Z
All said and done. 4batz just saying sentences with a nice beat,@lorenguenthner9315,2024-09-18T16:57:16Z
Ayo drake killed this ngl that throw back vibe is real,@Nicholasfocht,2024-09-16T05:23:27Z
I like Drake with the melody’s …,@rogelioruiz4321,2024-09-16T02:21:12Z
this definitely a Kanye/ Playboy carti vibes could hear them on this Kanye would find a way to make this beat sound even better,@uniquewestbroks3,2024-08-26T13:53:59Z
"I love drakes verse man , it just hits different man so relatable 😪🥺✊🏽",@manqobamnikathi8629,2024-08-20T18:52:15Z
"""Been Praying Since a KId"" 😭🙏 Drake's not beating the allegation😭",@zac1629,2024-08-15T09:52:29Z
Just heard this in a short and the colors of the chords on this beat just takes me out 💪🏽,@southp1992,2024-08-11T21:49:42Z
Drake vocals to high💯,@jaxkboiiz2938,2024-08-08T03:44:25Z
Even tho kendrick recently killed his ass I still like drakes verse on this lol so what tho,@alexandraacosta5921,2024-08-05T05:53:48Z
Naw drake fruity yall ain’t listening to the lyrics,@mairmarrtv4697,2024-08-03T18:27:42Z
Glade to see Drake coming up from the musical beat down.,@1Shameek1,2024-07-19T10:05:07Z
Drakes verse is ass😂,@EaglesflyNorth,2024-07-17T01:02:18Z
Drake really made his verse about latto sister  lol raptor vs grizzlies gone be lit,@TheTyga23,2024-07-02T07:17:53Z
Lloyd vibes... dooooope!,@Usofa21,2024-06-20T22:31:43Z
I cant give drake verse a listen. We don't want to hear no damn cover verse or cover song. It's not just me it's what's the culture feeling,@djmustard313,2024-06-18T02:00:24Z
I cant give drake verse a listen. We don't want to hear no damn cover verse or cover song. It's not just me it's what's the culture feeling,@djmustard313,2024-06-18T01:59:19Z
Drake with the melodies 🔥🔥🔥Just hits deep AF,@Unknown_71-y2e,2024-06-13T21:08:55Z
Drakes verse is literally abg Neal’s verse ? I swear go to god go check his outro song to his videos ? Am I trippin,@tha1unknownmusic,2024-06-13T13:26:14Z
Drake verse is hard bro 🫡,@manavgusain26,2024-06-13T04:52:05Z
Not the biggest fan of drake music but his verse on this goes hard af bro,@Notoriousviocesyt,2024-06-12T20:13:03Z
Ion care what nobody say but in my opinion Kendrick killed dat boi Drake but Drake did lick this verse💯,@michaelperkins8831,2024-06-11T13:20:19Z
Drakes verse is SUS in hindsight.. what did he do to deserve this? Been preying/praying on you since a kid.. 🤔,@MrSkatebox09,2024-06-06T23:13:28Z
We like drake with the melody not when he trynna act tough,@lk2536,2024-05-29T15:58:50Z
"Funny thing is that this track would have been better, if someone else had featured and no beat change.",@BobaDavis,2024-05-25T15:28:04Z
"Damn ruined the song with this wack ass remix should of gotten Chris Brown, Bryson anyone else that has a actual good singing voice. BBL DITZY voice sounds loke shit especially with all that autotunes",@juanaguilera7486,2024-05-25T00:06:47Z
Teenage fever vibe,@kenji0403,2024-05-22T20:06:10Z
Y’all better quit playing with Drake and give him his props he killed his verse fr 😂🔥💯,@mikaylalemons2181,2024-05-22T11:44:36Z
Drake didn't help with his verse🗑,@weezymoe2065,2024-05-21T05:28:09Z
Drake talkin bout lotto Lil sister is crazy wit this pedo verse but 4batz hard asf 💯,@jackjackson1347,2024-05-20T23:24:06Z
Everytime i get in the car this song come on  i love the beat it make my souls move yay....love this new song for 2024 forever drak fan  ashley  aka diamond princess,@AshleyMason-rc7ft,2024-05-20T02:18:56Z
Dope show beats,@paulconnorjr9327,2024-05-19T23:47:05Z
"One of modern Drake’s best verses, That shit smooth",@Niamleeson44-5,2024-05-15T18:57:01Z
Drakes verse is terrible lollll,@moonmane5951,2024-05-12T20:21:20Z
Why he sound like that ?? ☠️🤣🤣🤣. it felt like a light skin girl who couldn't find the Melody,@TerribleTuff,2024-05-09T04:58:52Z
Drake didn’t write his verse lmao,@mauricelockett9343,2024-05-09T01:09:18Z
What beat is sampled?,@CieraLevelsUp777,2024-05-08T17:00:32Z
This song is not Fire Its Volcano🔥🔥🔥🔥Please many type like this song the Beat its fly🌀,@محمدالملك-ج9ب,2024-05-02T04:33:12Z
4batz give this Type beat a listen please “Fairy” [FREE] Partynextdoor Type Beat- “Never again” it has 193k views,@offstageon0pngvfx517,2024-05-02T01:13:47Z
Drake verse sound like old school,@Zamirwillams-yg6vy,2024-04-30T00:09:25Z
Drake’s verse is where love babies come from.,@Fineopal,2024-04-28T20:59:40Z
It’s up 💯💪🏾 such a vibe 🔥🔥🔥,@cassandrasmith6946,2024-04-28T16:13:12Z
This song is so shit and annoying,@rocketplays80,2024-04-27T16:06:10Z
Drake change vibe wtf 🎧🤝🏿,@skate_16,2024-04-26T06:24:07Z
Drake’s ghostwriters are killing it lately. They’re writing hit R&B verses and their writing Kendrick Lamar diss tracks,@khalijohnson9466,2024-04-25T00:15:55Z
☺️🎧 a whole vibe.,@phoenixmind2150,2024-04-19T15:30:55Z
This my song shits a vibe though,@GhostofSparta_24,2024-04-18T16:21:46Z
Vibes‼️‼️‼️,@mtbabyboy08,2024-04-16T11:48:08Z
why that beat hit so hard at 1:27😀,@Giro1of1,2024-04-13T23:34:36Z
