comment,user_name,date
I don’t get what the video has to do with the song. The video is giving off ritual vibes 🤷🏻‍♀️,@glam815,2025-03-20T15:05:20Z
Uma vibe bem morderna uma vibe bem bufo bem arraso kkkkkkkkkkkk,@vitoriahellen3900,2025-01-18T01:44:12Z
Pacto de anitta a morte do tubarão suseso do gd vocalista antônio carlos diniz pinheiro  feceboock carlos diniz amorte do tubarão dugas mara tubarão vocalista rei vaqueiro a morte do tubarão 11 batista tubarão vocalista romim mata a morte do tubarão barão vocalista matheus frenades  a mote do tubarão de ivoneis frenades a morte do tubarão de andesom mendoça vocalis todo tão em monção maranhão na avenida ricado lemos os tubarão vivi de canpanha atheis como roseana saney saney filho adriano saney flavia saney brenda saney josé saney luana saney marli saney a festa da associação maçonaria elis disvio como festa atheista cranaval são joão anivesario da cidade de monção elis já tão na minha rua fazendo festa com familia queroz  avenida ricado lemos sentro 10° loja simbolica do soberano santuario da maçonaria do brasil do lado das casa do banco do brasil antes quem vem do mesmo lado toda mulhe qui qui eu arumo elis querão matra e estronpra tomarão os negosio da maçonaria de monção marão er derão pois athel athe o predio da desima loja simbolica mesmo eu morando lá tem athel morando no predio da loja minha espoza oficial brabara suéllen nevis gissely jerudimo tores nayane rakel achieta pacto com lucifé frimação lilith nomiação desima loja simbolica,@MarlonPinheirodosSantos,2025-01-01T15:00:07Z
Hit atemporal,@marcelogomes1827,2024-12-25T20:40:36Z
They stole the intro melody from Ocarina of Time's Lost Woods theme.,@chaithao1452,2024-12-25T05:18:36Z
Te falar a anitta é umas ou maiores cantores do brasil de todos os tempos e nem sou fã dela em,@lucascrf97,2024-12-25T02:38:38Z
Essa musica é de uma vibe boa❤❤❤,,2024-12-24T23:43:32Z
Hit atemporal,@ivanmesquita9466,2024-12-10T16:52:18Z
680 Toney Lake,@CarmenSimon-f9p,2024-09-23T06:48:30Z
Autotune 🤮🤮🤮,@justagirlsd3000,2024-09-06T20:01:52Z
Essa música só não pegou #1 no Global por causa do lançamento na temporada natalina 🥲,@uniterrebelde19,2024-08-30T12:29:42Z
He can’t sing but autotune helps,@JayKitkat007,2024-08-29T19:30:54Z
