comment,user_name,date
WOW!!! Powerful Touching ❤❤❤❤,@DanielleYoumans,2025-03-20T21:21:32Z
Fantastic song with great lyrics!😎👍✌,@chasbo25,2025-03-20T04:38:13Z
Needed another verse...,@MichaelWilliams-ub3ow,2025-03-19T20:33:32Z
"what terrifies me is that its catchy but the lyrics are awful and dissociated,....a relationship or a woman is not a ""thing"" to be taken....yikes.",@itsybitsy8136,2025-03-19T14:26:09Z
So  to me this song is almost like a threat but with AI and all I see too deep into the future so that truly might just be me,@TracieMarshallEbbs,2025-03-19T12:36:09Z
"Wonderful lyrics. Wonderful music. Bless you. Stay true to yourself.  Give it all to God with thanksgiving.  Don't so drugs, find a great financial manager to sustain your wealth and enjoy your life. U got it all.",@anitadudley7607,2025-03-18T22:22:48Z
amazing!!!  best song I have heard in years!  I can feel it deep in my soul!,@lorimentzer9089,2025-03-18T18:01:53Z
"This song is pure magic! ✨🎶 The lyrics hit so deep, reminding us to cherish the beautiful things in life before they’re gone. 😢❤️ Benson Boone’s voice carries so much emotion—gave me chills! 🔥👏 Absolutely breathtaking. 💙",@imusic-comment,2025-03-18T17:37:18Z
This song is awful,@darrylwayne1292,2025-03-18T11:43:36Z
thanks for this song ...i literally feel boost up when i m in dead worst........,@sonamadeshwaran4582,2025-03-18T03:25:05Z
"The vocals, the lyrics, the video is amazing, it’s perfect. It’s so good that I listen to this song all the time. This song is so good",@TeaganHooper-o8g,2025-03-18T01:23:07Z
Incredible song...simple lyrics...amazing voice...Henry...March 2025,@Henry-i5i,2025-03-17T23:12:16Z
"Hey, it’s a grandma here.  It's refreshing to see a new face.  Keep it coming we like what we see.  Love your energy and vocals.",@JalapenoPepper-y3z,2025-03-17T17:28:29Z
"""who's here march 2025"" in every song now. It's honestly getting pretty annoying.",@jonathangonzales7511,2025-03-17T15:14:04Z
Shitting the bed awful.,@David-b8y4u,2025-03-17T14:49:59Z
