comment,user_name,date
Benson Boone pours pure emotion into every note—his voice carries so much depth and vulnerability. This song hits right in the heart.,@momentsofloveromantic,2025-03-20T01:56:42Z
"This is the future of all the unnecessary awards. This guy has all the talent that blows everything out there, never was be. Keep going brother you got this. You know, you're the next biggest thing you're queen, you're rolling stones, you are, you are.",@tmc1473,2025-03-19T01:17:18Z
"I never heard of Benson Boone until last month and now i can't get enough! Love the lyrics, the energy and the vibe coming from this guy and I'm 60 years old.",@lisaaddison184,2025-03-16T22:03:43Z
Freddie Mercury vibes ✨️,@clairemorales9528,2025-03-16T19:27:30Z
"I saw him this week at SXSW, and I have a lot more respect for him. The screechy tone in Beautiful Things grates on me, but he can really sing and is an energetic showman. He did cartwheels and backflips while he was nailing some of the notes. I love this song.",@robertkleeman7725,2025-03-15T22:13:17Z
I cannnnnot this Is deep. The best song that ive heard in a long Time,@sofib97,2025-03-11T02:25:19Z
Kids 22 years old and he bet on himself! I get freddy mercury vibes,@reylinares9219,2025-03-04T15:35:10Z
"I love it when I go off the beaten track and find gems like this. Came from a Henning May and before that Livingston videos. I'm having an interesting and entertaining evening over here. Btw, I'm 61 and loving these guys more than the crap playing today.",@thewitchhut63,2025-03-02T12:30:07Z
"I love the range in his vocals, excellent ❤",@user-vv7og1gt7t,2025-02-28T13:26:18Z
I really love every one of your songs you really know how to use your strong lyrics it's like you're a metaphysical musician,@Nwafor-u8g,2025-02-28T05:52:47Z
I can almost play this song through Wish I Had his Vocal Range,@NaveenNedungadi,2025-02-26T19:11:15Z
"Your song writing and your music which reflect your authentic self, your broad vocal range and amazing voice in general (it gives me goose bumps), being so accomplished at playing multiple instruments..... You are pure talent and passion and still so young, you're incredible. In my opinion the best new artist and music I've heard in many years. I've watched interviews you gave and you you were asked about your moustache in one of them. You don't need it to look older or prove anything (you actually look better without it, but that's just my take). You are a star and you will continue to rise higher and shine brighter. So what if you have a ""baby face""? You'll be glad of it when you're older and look younger 🙂Same goes for your stage costumes, jewellery and red carpet outfits. When compared to your earlier videos and appearances, which you look absolutely great in, it seems that more recently you adopted a persona. It's fine if that's your personal style but it's jars with your authenticity, your fun, down to earth, genuine attitude and your beautiful music. If you have stylists or managers or whoever, advising you to dress that way, ditch them 🙂Surplus to requirements. You and your music are astounding without all the ""frills"". I hope the music industry doesn't try to turn you into something they want you to be. Dan Reynolds, who's music I also love and who's music label you're signed up to, is a case in point. He's just comfortably and authentically himself whether he's hanging out, giving interviews, performing or recording music videos. When the artist is as good as you and the music is as phenomenal as yours you don't need any embellishment. Just the irrelevant opinion of someone who is grateful you found out you could sing and are now sharing your amazing talents with us. Thank you!",@sharyncamilleri3522,2025-02-23T11:36:46Z
sounds like Sameer Gadhia from Young the Giant. Great vocals,@willmcgrath8291,2025-02-20T05:26:48Z
"""The only girl that's never left me is my mother"" very beautiful lyrics",@RaymondNdlovu-b6c,2025-02-14T11:24:58Z
"Benson Boone is the only reason I enjoying singing. Never gonna get as good as him :). Pure talent, all of his songs are catchy and the lyrics just stick to me.",@ricemanisthebest,2025-02-12T02:39:26Z
"Does anyone else hear the similarity of the part that begins at 0:51 to Rosie's ""too bad for us"" ending of the chorus?",@piotralbrecht8517,2025-02-08T12:41:31Z
This dude has got some serious vocal chops!,@philippacasagrande8935,2025-02-06T00:47:25Z
I love this song! Full of colourful lyrics that lightened my eyes and make me be in tears,@Hahahafunfunfun,2025-02-03T04:01:40Z
Fabulous vocals!!,@mommacita2069,2025-02-03T00:43:21Z
DEEP IN DIRTY WATER 🔥,@국영진-o6o,2025-02-02T06:07:00Z
This so catchy 🎹🇨🇮,@TaraMcCarthy-w4k,2025-01-30T19:36:33Z
"I fell for it and married him I was 17, he was 30. I was looking for safety but I found 22 years of emotional neglect and ended in physical abuse. I'll never be free",@Morrigu84,2025-01-28T15:22:31Z
0:56 that AWFUL autotune ugh,@gtabro1337,2025-01-27T17:01:25Z
It’s art u are art all of the emotion,@rachelfriedman2931,2025-01-26T20:39:09Z
"Its the way he infuse beats and soft rock into his songs gradually, you will never get bored listening to this. I love this",@preciousa-vavo,2025-01-19T19:25:12Z
"I am generations in front of you, yet you are light years ahead of me. I love your lyrics. I'm an R&B fan/singer and love your voice, cadence, and tone. You lose me in the music, and you're accurate when you say your mom will never leave you. 100% fan here! Don't burn yourself out on the tours. I was at 272 shows a yea,r and it was exhausting! I wasn't even the headliner. You are special, a gift. Thank  you for your contribution to the arts, but also your contribution to the human heart's healing journey. Love you so much and wish you a long life with your family!",@drprswan0111,2025-01-17T02:01:14Z
Sérieux ce chanteur va avoir beaucoup de succès avec cette voix qui modifie avec ses tonalité de vocal à lui même que personne a d'autre que lui et il a son style sérieux lâche pas je l'adore bien moi il chante très bien,@DylanBertrand-k1x,2025-01-15T14:21:47Z
"This song is incredible. I am learning it on the piano. The song is so powerful. It is one of my favorite songs, alongside beautiful things. I enjoy all of his music. His voice is amazing.",@choralluna9092,2025-01-14T03:17:06Z
"Hi, my name is Ana Beatriz and I loved the song, I'm crying. ❤",@AnaBeatriz-j5m6w,2025-01-12T19:32:51Z
I got goosebumps listening to this. OMG - those seemingly effortless high notes. Incredible!,@terrymovold4364,2025-01-12T17:00:53Z
"Did anybody else notice that he was doing the drums, vocals, guitar and the piano?",@BedtimeTimeStories101,2025-01-12T12:33:47Z
We're too young to drown deep in dirty waters,@pamelaephraim,2024-12-22T19:05:11Z
Los vocales no son una broma 🔥🔥,@Bluexx_11,2024-12-22T18:07:24Z
This guy is so good it’s refreshing to hear such a powerfully talented voice. He plays everything too? Go Benson! Grammy winner soon 🙏,@robberzon,2024-12-22T13:46:33Z
"Beautiful lyrics  ,loved it 😢made me cry",@NehaSingh-fl8gz,2024-12-17T10:25:32Z
Vocals ❤,@ifeomajames8702,2024-12-16T16:17:33Z
Beautiful melody and song,@wlkr72291,2024-12-03T18:52:13Z
"This is such a beautiful song. This used to be my wife’s favorite song. We played this at her funeral as her last request before she passed away.  Every time I listen to this, it gets too emotional.",@linkinparkrulz2275,2024-11-29T15:26:10Z
I listen to your songs so much I know like all the lyrics to every song!,@GrantV28,2024-11-19T02:01:50Z
"""So slow it down, take a momente now"" a beautiful lyrics ❤",@arijonc,2024-11-17T09:55:51Z
Lyrics❤,@aakankshasarswal4568,2024-11-17T06:48:22Z
And play like 20 times then it got annoying,@AnnieSandlin,2024-11-13T20:50:34Z
The lyrics r so calm and peaceful:-),@DionCrizalda,2024-11-09T19:19:01Z
Great song nice melodies has it all should do a colab with Billie Eilish feeling the same vibe,@aldsydney6193,2024-11-08T09:50:18Z
"That is a beautiful song, i don't think anyone can come close to her vocals singing it.",@Roman-i4e,2024-10-31T06:42:16Z
Feel 100% of emotions after breakup,@Sengkaldona,2024-10-26T03:00:43Z
Bros vocals are on point,@MarcusBlue06,2024-10-17T04:45:19Z
2:11 high tone keep the good work!,@Jirenzane,2024-10-12T16:18:59Z
Love the chorus ❤,@mariecyprien-taylor114,2024-10-11T23:45:30Z
"Freddie mercury vibes the way he changes his voice, and i absolutely love Freddie ❤️",@marieclinton8571,2024-10-11T21:48:25Z
Benson is just amazing. Such pretty lyrics 🥹,@llifewnyny,2024-10-09T20:40:48Z
"What a great and beatiful lyrics ,,Cause the only love you 've ever know is jesus''😢🥲(Benson Boones is a great singer)",@KREATIVE_BENJI007,2024-10-09T05:12:55Z
"This song is so emotional but i still love it because it is peaceful,amazeing,and better than any other song.",@AvishekChowdhury-q6g,2024-10-06T21:58:02Z
"A sua voz é uma mistura de sensações, do agressivo ao suave, do forte e intenso ao leve e sutil, tudo ao mesmo tempo, que delicia te ouvir, você tem uma identidade musical unica",@kenyaesteves8986,2024-10-05T13:26:28Z
The lyrics are so peaceful and calm. You're the best singer ever Benson!!!!! ❤❤❤,@pookiebear100k,2024-10-04T17:35:46Z
Look this vocal line!!!,@matheusoliver4476,2024-10-04T16:07:56Z
Absolutely love this song his vocals are 🔥 Got this song on repeat ty Spotify for putting this on my playlist,@kelleyrasch,2024-10-04T01:11:44Z
I can not listen without getting emotional 😢love this song so much,@kingmizzy,2024-10-01T23:27:02Z
Quanto tempo eu não escutava uma voz tão incrível e única como essa. Estou apaixonado pelo ritmo repleto de emoção. Obrigado por essa obra prima. Essa é a minha música favorita desse ano! <3,@renanclementino5771,2024-09-30T12:07:46Z
The hook harmony reminds me so much of olivia's song deja vu! Both songs great btw,@bryeep,2024-09-29T00:00:11Z
"My 15 year dog that I had had my entire life passed away a month from today and every time I hear this song so break out sobbing because this is the song that was stuck in my head when we had to rush my baby to the animal er because of a horrific seizure he had that night. That was the scariest and worst night I’ve ever had. R.I.P Scout, my precious baby boy.🕊️",@PurpleStars02Starfam,2024-09-27T03:07:50Z
Mad queen vibes😂,@kapplerandy9064,2024-09-26T00:50:58Z
"I just have a feeling. This music probably came from the piano guy just starting an ordinary day at the studio by playing this tune for fun, but it turns out to be good, then everybody pitched in one by one and suddenly. Boom: This was created",@I2Q-h3f,2024-09-25T13:32:52Z
Wow- absolutely stunning voice and song. Beautiful lyrics and sound. 🙌🏼♥️,@HaileyHocken,2024-09-23T02:09:14Z
Holy Hell my ears bleed every time i hear the chorus! I wish it wasn’t popular so i could hear other songs instead of it 😊 hate from oklahoma 🙏🏼,@John_Abercrombie,2024-09-22T13:17:36Z
Fucking amazing vocal ability,@brianh334,2024-09-21T13:12:54Z
"I have only one thing to say, Please never change your appearance like some of the other artists. You know what's I'm talking about. And you will be the best top 1 artist in this universe with your limitless ability...",@Che.graphics27,2024-09-19T16:26:24Z
This is the MAGA vibe,@privatenerd223,2024-09-19T01:19:57Z
"making me break my walls . . these songs , lyrics , human spirit . . Stay all of us Benson Boone . . Stay yourself . . The first time you sang was exactly what we all love . .",@Ai_today_123,2024-09-17T23:59:22Z
"""and my mother, how I love her"" is one of the worst lyrics I've ever heard",@user-ug5jk7xz8s,2024-09-16T15:50:32Z
"It's been a while since talented singer songwriter like him came along in America. Most of the talented ones seems to be imported from UK, Australia or Canada. Now we have our own Benson with amazing vocal and songwriting talent. He's a national treasure for sure. I pray that he won't let fame change him to become like most of the celebrities out there nowadays. Stay humble and let God guide you to positively impact other people's lives with your music.",@shaunphan9039,2024-09-16T04:33:23Z
Antone Skyway,@PatriciaRamires-l1f,2024-09-14T07:13:27Z
"Freddy mercury vibes, I love it!",@beccygaffney85,2024-09-10T17:06:01Z
God loves your beautiful lyrics,@joshuad4548,2024-09-06T17:28:18Z
"When you fall in love, you should take your time and not rush it. Young man, you are not only a great vocalist but also write interesting lyrics.❤",@lengsiongchan9599,2024-09-04T04:22:36Z
this is my first time hearing you and oh my god.. im so glad i clicked on a random video.. Im so glad I have new music to vibe tooooDFGSUJDBGJK,@serendipitae9122,2024-08-31T07:44:47Z
Love this mv and the vibe. Hope he wins the vma,@currently_fangirling-b6w,2024-08-30T02:44:36Z
What an absolutely stunning vocal in this song. Great music and thoughtful lyrics as well. Yep. I'm a fan.❤,@LindsayMarine,2024-08-26T02:37:39Z
I feel like his music brings me to tears!!! Such an incredibly powerful voice. Pure talent. Rock on BB!!,@carolyncallahan,2024-08-23T14:18:17Z
You... You do realize they let Lewis Capaldi die so this (this guy could've been anyone but they chose him) guy would take over. This kid is probably going to hate himself and no one will ever think twice. Welcome to the entertainment business. This isn't even catchy.,@xxjaypotatoxx583,2024-08-23T07:06:48Z
I LOVE THAT HE YELLS HIS LYRICS,@Libby_The_Wee_Lad,2024-08-19T00:08:49Z
"(using my dad's account) Benson, You'll Probably Never See This But I Just Want You To Know That You Are One Of Few Artists Who's Music I Can Understand And Just Vibe to Keep Up The Good Work.",@N.B_dads_acct,2024-08-17T03:31:07Z
"Im from the uk, this guy has massive range, never heard this type of rhythm and emotion and switch up, this guy is  unreal. What a song!",@leegraham6822,2024-08-12T23:36:29Z
"What a song, this hits deep.",@leegraham6822,2024-08-12T23:26:31Z
About your big dreams on the big screens out of Georgia now your lowely in this city lying with me and your scared it’s moving quickly oh now your crying your in pieces cuz the only love you’ve ever known is Jesus I can feel it oh I hate that I’m the reason that your in your head right now while your world is spinning out(round)”so slow it down take a moment now we to young to drown deep that dirty word is full of hopeless start let me pour you out let me hold u now let me slow it down”is amazing it took me like 3 hours to reringht thsi so plzz no hate❤️❤️❤️❤️❤️ love u benson❤️❤️❤️,@janiyahcoleman.canary,2024-08-09T15:31:21Z
Next Freddie  Mercury !!!  I love hearing him sing but I love watching him. And his lyrics ❤❤❤,@kristinknobloch5121,2024-08-07T03:09:18Z
Benson your voice is beautiful in this song! Keep up the good work! You have such beautiful lyrics in each of every song! Been a fan for a long while! I know you will win a Grammy one day! Keep doing what you are doing and you will get there! ❤🤍,@TheRobinDarling,2024-08-05T05:18:20Z
He has to be soaking wet when the beat drops every time,@TheSwedishFish-gl1vl,2024-08-03T05:18:43Z
"Wow really catchy loved it😍! I'm a diehard fan of yours, I have a question for you - do you like the State of Israel?",@יסמיןזסלבסקי,2024-08-02T15:37:23Z
"Good range, but the autotune on the high notes is really egregious. If he can't hit those notes they shouldn't have been in the song. They sound like a vocaloid.",@justaguy12345,2024-07-30T22:56:22Z
“The only love you’ve know is Jesus” and “only girl that never left me was my mother” was probably my 2 favorite lyrics to this song,@Zachary-d5k,2024-07-27T22:52:25Z
I love beautiful  things. Just discovering you. Seems like every songs lyrics are plucked from my own heart amd soul. Super relatable,@divinelove3829,2024-07-27T21:14:54Z
"I cried listening to this song. The lyrics are raw and beautiful. ''Cause the only love you've ever known is jesus"". Thank you for this masterpiece. ❤️",@neayora9218,2024-07-27T08:54:20Z
Invited to a party ? Those lyrics and some vids make this song pretty deep.,@blondabonda3985,2024-07-26T06:48:12Z
Me thinking it said the only girl that’s ever left me was my mother and I was like uhh until I read the lyrics 😅,@SnowyZoey1567,2024-07-23T23:02:16Z
The chorus ruined it,@Alikanani786,2024-07-21T00:27:24Z
You need to remake a Jim Croce song. You are lucky enough to have elements of his tone- your voice is incredible!,@FacheChanteDeux,2024-07-20T03:25:50Z
"This song is a masterpiece. Amazing how he can sing songs about such deep subjects. Benson Boone is in my top 10 favorite musicians.  ""I could lose you like the others only girl that's never left is my MOTHER oh I love her"" favorite lyric.",@IceDragon_619,2024-07-17T16:26:41Z
This is so nostalgic bc it reminds me of 2016 and 2017,@Jiafei331,2024-07-15T05:27:01Z
Benson boone is such a good singer but not just a good singer but a kind hearted person I used to be a huge swiftie but now I think I am a benson booney he is the best singer out thier he uses his emotions so good,@markaprea3615,2024-07-14T23:17:04Z
very beatiful <3<3,@marigamarra-ii6yc,2024-07-13T06:08:42Z
Holy crap…the chords on this guy are amazing,@DigitalLucifer,2024-07-11T21:44:30Z
"Misheard lyrics: so slow it down, take my head off now 😂😂😂😂😂😂😂",@LavenswirlGames2subscribe2me,2024-07-08T18:49:57Z
"Benson, I hope one day I’ll be good enough to join you singing this on stage. This is the most beautiful song that I’ve heard in my lifetime and it will stay that way for a long time to come. Good luck for the future and I’ll keep listening to you, I’m sure you’ll write a few more beautiful lyrics in your future. I can tell you no matter how hard I try I will never be able to reach the heights that you do on those top notes, I basically worship you and aspire to be like you. Every time you sing “Cos the only love you’ve ever known is Jesus”, a shiver gets sent all the way through my body. I just can’t get over those vocals and I can’t wait to see you live one day. Thank you, and good luck Benson, you have God-given talent ❤",@ThomBog123,2024-07-07T17:51:46Z
"every time i heard the chorus,it gave me a morning vibe",@yeagudd,2024-07-07T10:03:10Z
First love vibes 🥺🥹 I miss him,@haileydebo7057,2024-07-05T20:42:22Z
