comment,user_name,date
This song absolutely sucks...there's more talent and rhythm in my grandfather's farts than this crap.,@txstangpride,2025-03-08T06:37:13Z
The harmony is so good,@millylagat,2025-03-03T07:33:31Z
Miley sounds so much like Stevie Nicks on the lower harmony parts.,@GypsySorcerer,2025-03-01T19:39:47Z
👑🔥#tombstone 🔥👑,@lisawarren5096,2025-02-23T06:22:54Z
AWFUL,@LittleGidget1,2025-02-19T18:09:28Z
I wish I could be rich so I could buy my success 😂 this is the worst country song I’ve ever heard. Bloody Kevin Wilson is better then this shit,@ASMRSPECIALS,2025-02-16T03:19:10Z
Awful song,@NorthernLights2375,2025-02-12T13:12:39Z
Giving landslides vibe,@ChrisJoy-h5b,2025-02-11T14:44:57Z
Saying this beat morgan wallen and post malone 🤮,@kyleeo9195,2025-02-09T01:53:01Z
Repetitive lyrics nothing special here,@johngomesss,2025-02-08T01:29:48Z
Did you guys see the video of America Got Talent of the original 3 girls who made this song & chorus singing she stole this song😂,@WarrQueenT.V,2025-02-07T07:01:57Z
Low level of music and lyrics ...... as it should be for modern awards.,@aristidis540,2025-02-06T18:27:54Z
"Most of the complaints are just coming here from the Grammy win and people that are the loudest don't really have an ear for actual music because of their own noise. Both Beyonce and Miley compliment each other on this song, the fact that they are singing within the same octave with each bringing their uniqueness in each of their voices. Making it a true duet with each singer taking a line and then joining together for the chorus and adlibs is just musical science.",@WadeM-fp2ii,2025-02-06T00:10:58Z
"These lyrics would be even more emotional if they were sung with that deep country emotion, not throwing in rap etc. But the lyrics are great, just not tugging on heart strings like the could",@kansasjovigirl,2025-02-05T04:04:44Z
Beyonces strong vocals and Miley’s raspy vocals together are everything! Together they touch the soul,@i1629,2025-02-04T01:10:54Z
Love their harmony...,@ModelSisters,2025-02-04T00:03:24Z
I like it but it seems like the tempo is too fast. Needs to be slowed down,@shecreates365,2025-02-03T16:58:30Z
Taylor Sheridan made an impact on country  music industry with Yellowstone,@Familyt,2025-02-03T09:43:12Z
Damn. Worst song Miley has ever done.,@jasonacevedo6339,2025-02-03T02:37:22Z
THAT HARMONY THOUGH!!!! I've got chills ❤❤,@laurenleeonethree,2025-02-03T00:19:53Z
Utter sh*te!  And the joint singing is bloody awful,@sandecash9112,2025-02-02T21:53:19Z
These ladies did not disappoint on this track. Miles voice is so powerful is crazy,@Octavia-oo6bm,2024-12-27T02:21:17Z
"Hey Miley, you have till Jan 6th to pack your bags and get out. Mongolia would be a great place for you.  They are into deep throat singing.  You would be amazing!!!! Chop chop and get out sweet pea.",@Idontevencareaboutmyopinion,2024-11-16T12:31:47Z
i would love to thank beyonce for this nostalgic song (nostalgic already?!!),@stawberrychappell,2024-11-13T14:09:47Z
"Here after seeing their nomination for the Grammys 2025, the harmony between them is incredible",@samuel_eliezel,2024-11-10T03:44:09Z
Worst song ever.,@veljkosavic2152,2024-09-30T12:23:00Z
Fictie of werkelijkheid het is maar acteren-toneelspelen drama less,@FlorentijnWinkelman,2024-09-11T15:02:44Z
Omfg I was trying to find this song after soooo many attempts trying to remember the lyrics as ive only heard this at work it took me to this song so many times but i never played it because i was like nah it cant be the one Ive been listening too omg this song has me in my feels,@DeniseMcKinnon,2024-09-10T02:27:13Z
