comment,user_name,date
"Giving me a ""YMCA"" vibe. Also, I'm really pumped for ""Freakier Friday"".",@robertmcghintheorca49,2025-03-20T15:21:25Z
annoying af,@sinewave9208,2025-03-20T02:40:41Z
Here in March 2025 after the release of the giver and I can hear tinges of country in her vocals it seems like. Could be my imagination.,@westhighlands522,2025-03-19T23:14:15Z
✏️ Describe the vibe,@0891m,2025-03-18T16:56:44Z
*sigh*…. There seems to be this trend where in the official music videos for songs there’s always a 30-60 second intro without music and it’s a shame because it really throws off the vibe of a playlist if you want to just “spam skip” the ads and just keep on jamming 3:,@BryceicleTheIcicle,2025-03-16T15:16:48Z
Came to listen to this catchy song after SNL Domingo!,@jpscott126,2025-03-16T06:38:19Z
This song is so nostalgic. It takes me back to the time I met my exes' parents for the first time. This song was playing in the car with him and his father. Back when Chappell was rising to fame. Fuck I miss him so much 😕,@Xcyrs,2025-03-15T20:51:58Z
1:25 H O T T O G O  you can take me Hot To Go (2x) Well I woke up alone starring at my ceiling. i try not to care but it hurts my feelings. u don't have to stare come here get with it. No one's touched me there in a damn hot miniute! and baby don't you like this beat? i made it so u'd sleep with me. it's like a 199 degrees when you're doing it with me doing it with me.,@DadeMurphy666,2025-03-15T17:26:37Z
Easily the worst song I've heard since the 2010s,@Dungbuttlers01,2025-03-15T13:28:31Z
I love this song but once for a powderpuff game the football players had to do a cheer to this song and a mom picked the song for the beat I don’t think she knows what it meant lol,@Norah_Ains,2025-03-15T00:21:45Z
The Freakier Friday trailer brought me here 😊 this song is so catchy! ❤,@margheritabattistella,2025-03-14T19:48:01Z
Cindy Lauper vibes,@meimoon8295,2025-03-14T15:29:45Z
Seems weird to have her parents? Grandparents?  Included given the lyrics,@itchyflakymunchy,2025-03-12T12:56:47Z
I am absolutely a big fan. Gets me going on a good vibe no matter how i feel,@ashleyh2523,2025-03-11T03:18:41Z
i don’t listen to her but i say she actually has talent! her vibe is a lil 80’s n i love that,@nycToniASMR,2025-03-10T14:28:04Z
"I will say it again, this beat is absolute fire. Keyboards are literally the best ever!",@matthewbucher8227,2025-03-09T23:19:02Z
"I will say it again, this beat is absolute fire. Keyboards are literally the best ever!",@matthewbucher8227,2025-03-09T23:18:51Z
Insanely catchy❤,@kevinwhelan9607,2025-03-09T18:17:00Z
This song is annoying! This era is so sex driven and perverted,@arcmov24,2025-03-09T17:07:41Z
Giving me 80s vibe :),@anthonybolton2717,2025-03-06T21:00:09Z
Okay I loved this as my first song I’ve heard by her😭🤍it’s so catchy,@l.a.y.l.a.y__,2025-03-06T05:10:29Z
"There's a real GoGos, Missing Persons vibe in this song.",@jamesgray9950,2025-03-06T04:44:21Z
I am getting Cindy Pauper meets B52s vibes.,@julsjewels3185,2025-03-06T00:26:41Z
She gives me Cyndi Lauper vibes,@xanieyd1985,2025-03-04T18:54:17Z
"songs that give flashback are the best, it's new but give you the retro vibe . . .",@squizme0324_quizzes,2025-03-04T16:42:27Z
"This has such a fun, upbeat 80s vibe to it you can't help but like it!",@maxbrandt6,2025-03-04T06:20:39Z
Where is the Reverb?,@PermanentGreen,2025-03-03T19:54:10Z
"Nothing wrong with a fun beat or sexual empowerment, it just seems the music landscape today is saturated with hypersexualization. That's what is marketable.",@SocietalNoise,2025-03-03T14:29:35Z
i like her between the lines angst. it’s not super obvious but it’s def there. she’s a punk singer in an alternate universe,@alexandrab3310,2025-03-03T03:30:02Z
