comment,user_name,date
This gives me dti Xcx event vibes❤❤ nostalgia❤😂,@DelIgHTgIrLY,2025-03-16T01:09:06Z
Who dose not like the beat song,@bridgetblack8943,2025-03-15T10:05:38Z
2 minutos de quien sabe que verga porque no entiendo inglés para que empiece a sonar la pinche canción mas generica del mundo,@joshuabrocoli,2025-03-14T16:54:41Z
totally waiter vibes amen,@ravenj2400,2025-03-12T16:48:55Z
Just your generic modern pop shit,@simondavies109,2025-03-07T10:50:46Z
im a dude this song is fire af and catchy af idc,@crystal_lord_7213,2025-03-05T19:42:52Z
Omg i find this today because of the new fortnite emote and i love this music soo much❤🤩🤩it has this 2013 summer vibes in it😁⛱️🏝️,@merty5462,2025-03-04T19:19:50Z
"Here, after listening her mention the best EDM artists on earth (like daft punk) and realizing this song has the same harmonic progression as Music sounds better with you by stardust.... it makes sense now lol",@cesarleiva2443,2025-03-04T04:47:11Z
Beat 🔥🔥🔥,@rayraygraphics,2025-03-04T03:23:46Z
"If there's anything I learned about life, it's that there's a bubble for anything and I have stumbled into a bubble I am very unfamiliar with. I'm just a visitor, I don't know anyone here but I'll admit this song is super catchy. It always feels like peering into an alternate universe yet we live in the same world",@dammit3048,2025-03-03T02:44:06Z
The beat is  🔥 charliii sexy too 😍 head bopping all thro it,@benswann9703,2025-03-03T01:16:16Z
Bland momotone garbage. Where's the singing.,@paulcollins5586,2025-02-26T12:34:53Z
"i used to think she was saying ""with cankles"" and that's what initially made me like the song because i thought she was being funny and self-deprecating. but when i found it was ""work angles"" my mind was blown! i realized she literally worked the angles of those words to make it sound like a different phrase. it's so cool and i wonder if she had the intent to do that. either way i love the song no matter what, just thought it was funny how what drew me to it was mishearing the lyrics.",@justforjacob,2025-02-25T19:16:12Z
Italian Jack White Vibez,@RodStanyells,2025-02-25T15:40:58Z
Definitely catchy lol but it’s everytime she shaking on that machine 😂😂,@___rocaj,2025-02-23T16:53:08Z
Kinda very catchy gay wise ☺️,@saudalsaiari,2025-02-14T19:55:18Z
Awful garbage. So much autotune it makes me want to throw up 🤢🤮,@UncleT-wo2ny,2025-02-14T19:21:27Z
what a fucking shitty annoying song,@NiewidzialnyTemplariusz,2025-02-11T14:18:07Z
This is already iconic and nostalgic,@Jersonialmes-f6t,2025-02-11T02:25:49Z
I would love this if not for the random TikTokers/influencers pandering to gen z/a.  Give me actual party girls please. Give me 2000s fashion and vibes.,@shamaamamamamaah6928,2025-02-09T08:23:50Z
"Just looked up who wo. The awards at the grammes.  Knew the name - didn't really know the music.  This music is RUBBISH.  It sounds like every other piece of rubbish music being made at the moment.  Not unique, not insightful, not even decent beats and sounds in the background. Real crap.",@Loosybaboosy,2025-02-09T00:54:44Z
giving a early 2000s vibe,@ThatOneGK-HL,2025-02-01T17:48:01Z
They put the beat in untitled tag Roblox game the emote called brat 1700 coins I think,@Malachisieasesay,2025-01-31T15:43:26Z
So much autotune 🥴,@trenken,2025-01-31T12:22:16Z
"half the length - dumb storyline at the table, the rest of it - few sec of beat with ah-ha-a-a... Yours truly modern music! #wtfisthatshit",@skirmantasstankevicius458,2025-01-28T13:03:01Z
✨totally waiter vibesss ✨,@BBBeueu,2025-01-25T15:14:42Z
This is the worst.,@Peterviegal,2025-01-22T00:35:40Z
The IDGAF vibes are on point,@notnotElijah,2025-01-21T05:25:02Z
