comment,user_name,date
Anyone else getting the Dirty from Christina vibes in this?,@sbenz17,2025-03-21T11:20:33Z
"Like ik im late and everything u jus wanna say that the fact i know they are singing about really dirty things the song is such a vibe😭😭😭 like im literally vibing to the part ""i have to GUESS the colour of your underwear..."" 😭",@martinc_b1,2025-03-18T18:06:12Z
This gives me 2009 vibes I like it ❤!,@Elena-sm2hv,2025-03-16T17:02:44Z
this is hot obvi but why did she think the dares sounds were so unique to make him produce this track? like this is deep tech minimalism at its core,@Ispyandros,2025-03-15T17:35:46Z
Get kid Cudi to do your beats on the whole album it should work! Superbowl halftime,@Andrew-g3p8c,2025-03-11T14:28:56Z
Billie is just the worst . She ruined the entire song just being in it,@theohiotrucker3248,2025-03-09T22:48:47Z
I love the beat but the lyrics are idiotic,@YetiKNation,2025-03-09T17:25:50Z
"Love the 2016-2018 carefree, sweet but not overly cute vibes, we need more of this vibes from the girls!",@maryrose704,2025-03-08T05:52:00Z
Technologic- Daft punk vibes ✨️,@DivineStardustAlchemy,2025-03-06T22:35:15Z
whelp...music used to have good lyrics,@whatyoudo9773,2025-03-06T18:42:54Z
"While receiving the award Charlie said it how it is, when songs like this go to the top, shows how stuff has gone down hill for lyrics and intellect for the majority :(",@Rubina-wb2oq,2025-03-06T13:46:46Z
RAVE VIBESSSSS 🎚,@ericotto314,2025-03-04T13:57:40Z
"tja een Bromance met Zelensky is toch helemaal zo gek nog niet eigenlijk.. lekker potje ijshockeyen af en toe en ach zn engels wordt vast wel wat aantrekkelijker in de loop der tijd... daar moet je niet moeilijk over doen natuurlijk op mijn leeftijd is t ook wel een keertje mooi geweest zou je wijselijk denken en dan laat je meisjss voor w🎩 ze zijn en houd je op de koop toe je rug heel wie doet je w🎩 en kan ie meteen uit de doeken doen of ie nou een toneelstukje deed of niet... want man dan ja had ie trump stevig te pakken natuurlijk die ging er met boter en suiker in hopend op een ""miracle""...",@hbnederland123UandMe,2025-03-03T17:02:01Z
"Lord knows how this got to be ""Song of the Year"" at The Brit Awards. I can't anticipate anybody singing it two or three years from now. Shouldn't endurance still be a test of a song's quality? Even a brief look at the lyrics shows how shallow and self-indulgent ""Guess"" is.  And before anybody has a go at me, I freely admit that I am probably an old fuddy duddy and don't know what I am talking about. I am cool with that.",@neiltheasby4431,2025-03-03T15:40:48Z
Looked this up to see who beat out the Cure from 40yrs ago on the recent Brit Awards. 😲 how disappointing. Oh well. The box has  been checked. Life goes on.,@mikeoittinen5623,2025-03-03T13:32:05Z
One of the worst of 2024.  Devolution of talent & ideas.,@flyingfishsurf,2025-03-02T15:48:18Z
Awful,@SlickerVideo,2025-03-02T14:54:40Z
Vibe,@Binxthecat036,2025-03-02T14:20:20Z
Not my vibe but ok,@NAT2411,2025-03-02T12:37:53Z
Absolutely crap song and lyrics a joke surely.,@NeilMcgilligan,2025-03-02T02:49:15Z
"It’s not a religion, cure for world hunger or peace, just a catchy rhythm accompanied by two female artists at the top of their game. Enjoy it for that folks",@InterpolArticle1,2025-03-01T23:44:11Z
"Ngl, 2009 vibes",@r.i.p.plegaming2327,2025-02-27T11:54:32Z
"The visuals on her music videos are so tough, completely different vibe to just listening to it",@Saoo100kSubsCommenterChallenge,2025-02-27T00:02:20Z
