comment,user_name,date
"Great vibe 👍wrote the best song 🎸 and shortest song I have ever written 😉2mins and 3 Seconds Long. It took 15mins to write ✍️ ……….IT?! Love your Music, that is true, Love your MuSiC 🎧…. I DO 😊",@deanmcgee2787,2025-03-21T18:01:28Z
Great vibe 👍wrote the best song 🎸 and shortest song I have ever written 😉2mins and 3 Seconds Long. It took 15mins to pen that $HIT 😜 so to speak 😊☝️,@deanmcgee2787,2025-03-21T17:58:53Z
"So much 70s and 80s dance beats to this and most of her catalogue, and bringing back the disco era.",@CourtneyCornell-pd4py,2025-03-20T10:19:43Z
"CHAU TEMPORADA DE ENTRENAMIENTO !!""!!!!",@VacaPurpura-m2v,2025-03-12T20:38:57Z
Autotune??,@alokgupta4200,2025-03-08T13:40:39Z
Training Season by Dua Lipa is melody excitement at its finest.  The humorous and imaginative way that Dua Lipa is portrayed in a hypnotic and alluring way is also part of the music video enchantment.,@stellacarrier8341,2025-03-06T04:25:31Z
2:50min ABBA - Dancing Queen? Melody? 🎹🎹🎹🎹,@SilkeApel-f5h,2025-03-03T07:14:28Z
"🤔😐Do you know what the most important thing in the world is🌎🌍 to do? It's not making money,💰💰 it's not eating,🎂🍰 or drinking,🍷🍾 much less playing games.♠♣♟ We came into this world with nothing, and we will leave it with nothing. Here everything is temporary, but on the other side everything is eternal. So the most important thing is to follow God, read the Bible, attend an evangelical church and prepare yourself for that day that you don't know when it will come; otherwise, you will descend with the other👺 into a suffering that will never end.😰😭😫",,2025-02-28T23:50:07Z
first bit is awful and pointless but the song itself is amazing.,@WiganStar,2025-02-24T16:35:47Z
Though this tune is copied from 1980-90's song...because of our darling dua Lipa mesmerizing vocals...lifted this song blasting hit,@ananddiat9160,2025-02-20T17:30:11Z
Surpasses any criteria of music vocalization Diaphragm Authentic and impressive that is why it is the best today HIS MAJESTY  Dua Lipa,@rafaelmorancolin3069,2025-02-18T23:20:46Z
"The melody is very similar to Blero's song ""Can't you see"".",@sabancingozce1121,2025-02-15T15:44:10Z
Chorus is so catchy and cool,@maritesalvarez839,2025-02-12T07:30:39Z
"She looks mature, her lyrics are mature as well, I love this song, just the tittle is pure poetry",@PatriciaBermudez21,2025-02-04T19:00:58Z
Chorus is all my happiness,@ArniMuras,2025-02-01T01:27:07Z
"my favourite dua lipa song by far, the choreography, timing and pitch is amazing",@deanmoir5836,2025-01-21T16:57:02Z
