comment,user_name,date
the beat carried,@mind_of_dro,2025-03-15T13:47:33Z
This my 1st time really heating the whole thing and not just the TikTok quick version...baba baby this shit fire 🔥 and the beat definitely on repeat my new anthem for 2025,@nikkistaggers4940,2025-03-12T20:06:18Z
No cuz stop I’m over feeling nostalgic listening to this now 😂❤❤ making me miss middle school😢,@Sunburnn-q5x,2025-03-05T04:19:04Z
Somebody else deserved this beat,@tythatsit7018,2025-01-20T12:06:07Z
Idk this song is so catchy .... need more songs like these 🙏🙏,@gracefullyhis6965,2025-01-12T07:44:08Z
Nice vibe🎵🔥🔥instrumental,@KK-Stonerman21547,2024-12-17T04:26:27Z
This song gives me New York vibes,@AshleyOrdonez-o6c,2024-11-08T02:23:42Z
This song gives me New York vibes,@AshleyOrdonez-o6c,2024-11-08T02:23:24Z
The beat be catchy af,@frexkle3590,2024-11-01T17:43:16Z
I wish the lyrics were different because the song sounds so good,@burgerseven,2024-10-28T07:57:23Z
I know it was her original but this beat crazy,@kingcal6447,2024-10-17T22:12:14Z
Here to this banger 2024 September winter vibes,@Uncleghanaboy,2024-09-14T21:12:09Z
beat so fucking fye,@byMDRM,2024-09-02T21:05:28Z
This song ruins the beat,@pheonix_ocean_2243,2024-08-31T21:05:33Z
My sister said the song sucks but no it doesn't but I really like the beat do you,@UmpaYi,2024-08-30T19:39:28Z
Hello! Is it wrong for a man to fucks with this song?? Cause she rode this whole beat,@Mr-Laur,2024-08-06T12:42:32Z
This beat is on Go! 😮‍💨🔥,@dariuscarter8646,2024-07-29T03:07:08Z
This takes me back to 2009 to 2012 the flow to this beat is nostalgic... this doesn't even sound like this was made in recent days... this sounds like one of them hidden gems you find when surfing youtube at 4am in the morning and begin to wonder where you've been all your life hahaha ❤,@katrinateague3949,2024-07-26T06:55:06Z
YAZZZZ ITS GOOD TO HEAR GOOD MUSIC FROM SOMEONE FROM MY HOME TOWN GREAT LIL VIBE,@keepingitrealwithe1819,2024-06-21T13:08:49Z
"the lyrics reminds me of the song called ""deli"" by Ice Spice...",@nagy_nimrod,2024-06-12T13:01:48Z
"All Gemini's here 2024., Issa Vibe.",@ILNova0613,2024-06-08T22:47:14Z
I have to be honest. We deserve better lyrics. This is a true waste of a good beat… she just needed to be on the hook and have someone more lyrically inclined on the verses. This is a fantasy beat and there is nothing fantasy like about these lyrics,@TheManyThingsEP,2024-06-03T13:08:30Z
It gives me a beach 🏝️ vibe like summer days. ❤may 31 2024,@CarmenRivera-sx1fl,2024-05-31T16:51:17Z
Mayans thought of it first 😂 no African tribe has ever decorated their teeth with stones. Y'all just stole and claim it,@CRAZY4BEINGCRAZY,2024-05-26T22:49:20Z
Why the f  did they use the sound effect from my xerox printer on the beat,@boomersoonertd8854,2024-05-16T15:27:14Z
This beat fire but the original song sm better,@bengalloway894,2024-05-15T14:39:34Z
"The instrumental for this song is so good, I just wish the lyrics were better.",@sablewolf-,2024-05-05T03:12:03Z
She just walked this beat down,@Bigbankfrank12,2024-05-04T03:57:58Z
This beat hard as hell,@teronjohnson7866,2024-04-28T13:41:54Z
The beat tho,@nicjam82,2024-04-26T14:15:32Z
For me its the beat... it goes hard!,@lilrob8622,2024-04-23T18:04:10Z
That’s kid ocean beat,@Endless_Productions,2024-04-21T03:27:51Z
😊😊am a man and I love me this song so much the lyrics are stuck in my head .,@vuyisamanyisane2724,2024-04-20T16:34:23Z
I  TOLLD MY BOYFRIEND THIS LYRICS AND HE CARRIED ME TO HIS ROOM this is a banger luv this,@MichelleAluoch,2024-04-19T07:50:03Z
every time i listen to this i remember skillibeng remixing this lmao,@TheyyLuvvMal,2024-04-14T21:12:50Z
Anyone know more songs with this vibe?,@justveronicaandsierrah9818,2024-04-12T16:43:32Z
This beat hard tho,@JeremiahThomas-iw8kz,2024-04-10T01:43:42Z
"I love this musical production. The women did a great job placing lyrics and flow to this. Not gonna lie, it's on heavy repeat",@kingsleylaurent562,2024-04-02T11:23:43Z
Beats go waaay to hard 🔥,@iannganga37,2024-03-29T19:57:08Z
There is a chorus the rest is trash and bullshyt,@nikkimarquez5559,2024-03-27T19:37:55Z
