comment,user_name,date
Love it but the mouths annoying me 😅,@MoHelmi-q1r,2025-03-20T13:35:39Z
I love this sound about 🎶made it out alive but i think i lost said it i was fine said it from coffin remember how i died when you started walking that’s my life thats my life i”ll put a fight taking of my earings don’t you know the vibe don’t you know the feelings thats my life thats my life mmmm but i think she is so cooool🎶❤❤❤❤❤,@MialovesAshleyasafriend77,2025-03-20T10:50:44Z
This song is really annoying,@Søñīçthëhēdgêhög0698,2025-03-19T00:16:28Z
Why is your mouth so close up to the screen and that is really making me uncomfortable and like your mouth is not even sing along with the lyrics so what are you even talking about if you're not listening along with the lyrics,@katiebieker-g3o,2025-03-18T18:18:26Z
I will rather do lyrics,@billypproject,2025-03-17T18:21:10Z
Nice song most boring and annoying video ever,@JenniferEccles1,2025-03-06T05:44:42Z
Umm the mouth just gave me the Ike vibes but really good,@Axolotl_Blossom,2025-03-05T13:59:12Z
LOVELY SONG IT GIVES VIBES 😊,@AAK-wr400bhj,2025-03-04T18:57:59Z
"The most overrated song ever.The lyrics make no sense,90% of ppl are here because some influencers,other 10% are influencers that want to use this song for grwm",@i-relax5638,2025-03-04T16:47:50Z
This mouth is annoying.,@Pracya,2025-03-04T14:36:10Z
This mouth is annoying,@lindaagoh6668,2025-03-02T19:48:36Z
The lips are annoying the hell out of me,@SquidgameSquid-k4g,2025-03-02T08:47:42Z
✏️ Described the vibe bro,@lawanyarajpokharel,2025-03-01T04:13:29Z
"I like this song, but I don't understand the lyrics BTW this is my mother's account",@ForzaFerrari16x,2025-02-27T21:24:17Z
the lyrics feel really random and out of place ngl,@taobunny,2025-02-24T19:26:16Z
This song gives off a vibe of the 2010th songs,@Shokhjakhon25,2025-02-24T18:50:42Z
My fav part was 1:46 edit:she is not singing the lyrics😊❤,@rehmankhan7191,2025-02-24T18:37:33Z
Why is the mouth not in syncing with the lyrics?,@Choun-m5k,2025-02-24T12:11:20Z
Instead just watch the lyrics one,@Shyguy12382,2025-02-24T09:56:50Z
I had to Shazam who sings this song cause I wanted to know who sung this annoying ass song,@haus0fXI,2025-02-23T03:26:35Z
"I 1st heard this on the radio driving my daughter to a friends a few months ago, we quickly joined in, magical song, so damn catchy!!!",@JoeClinton-r6e,2025-02-21T09:57:20Z
This is the only song lyrics that I know but also my favorite song,@Staryyy-cloud,2025-02-21T04:27:13Z
As a dude I look proper gay screaming the lyrics to this in my van when I deliver my parcels but it’s just that catchy.,@Wag27myG,2025-02-20T04:35:44Z
The mouth is annoying and weird😭,@AwesomeSquad6,2025-02-19T19:35:05Z
"I agree with the 👄 mouth thing, yeah it is 😅 disturbing. But I don't know why but this gives me the 😢 ""nostalgia kick"" 🦶 . I don't know how to say it but it starts giving me 👀🧠 flashes of old ⌛ memories when I was in 🏫 kindergarten, alone in the garden in the 🌄 sunset, playing with actual 🪁🪀🧸 toys, hugging my 🐾 husky, staring at the 🌌 stars with my parents. It just gets me emotional, tears of 💎 happiness etc.❤❤❤",@davidprasil7229,2025-02-18T21:28:47Z
You’re right the mouth is so disturbing every time I look at it just gives me the ickiest vibe,@ZuriLutz,2025-02-17T18:03:23Z
This is my vibe this is my life and I got bullied today 💔❤️,@Ashlynn-w4t,2025-02-16T04:51:55Z
I love the singing but the lips are annoying,@angiellyberen8410,2025-02-15T04:56:18Z
"The song makes you remember many memories, and kind of makes you feel nostalgic, a beautiful song🤍.",@Ivan.4.7,2025-02-15T01:43:06Z
"ive never been in a relationship, but i’ll forever scream my heart out to songs like this as if i’ve been through the worst heartbreak known to man. just me? 😂",@azariawalker1498,2025-02-14T10:04:00Z
Love it seems the mouth 👄 is annoying,@pachalotchuma3544,2025-02-14T04:31:59Z
is there any same video other than this? this video is annoying.,@GogoanJerry-ic4gq,2025-02-13T20:18:20Z
"My Eliza, I think I lost it that it was fine for my coffin. Remember how I died when he started walking that’s my life. That’s my life of taking up earrings. Don’t you know the vibe don’t you know the feeling it’s for the night get you on your ceiling that’s your pride. That’s your prize well",@amandaonstadbyyu5472,2025-02-13T14:14:42Z
The song is soo emotional❤I love your song Gracie ❤❤❤,@Cinnamoroll_cuteie-uwu,2025-02-10T10:15:44Z
Can i make a song lyrics video for u?,@Wapanger-q9x,2025-02-08T12:27:20Z
