comment,user_name,date
is this a pink beat?,@starsuper222,2025-03-19T14:22:38Z
Wow this will be around longer than the Beatles,@LarnellBoodwa,2025-03-18T12:34:03Z
This beat is perfect.,@kennyfss.,2025-03-17T00:28:16Z
pinkpanthress would've nailed this beat...,@ClarryTheRae-Rae,2025-03-16T02:22:58Z
The beat the one driving this  song,@eddie.jlubanga5673,2025-03-15T21:32:54Z
fire beat but why did ice spise and cc take it😭😭💀💀,@dontAskNOR,2025-03-15T20:14:46Z
"no, just no. the song is better with no lyrics. fire beat tho",@edentheepik,2025-03-14T18:51:11Z
fuck already nostalgic like,@rapunzelissecret,2025-03-11T17:11:46Z
The beat is low-key fire🔥🔥🔥🔥🔥🔥,@ItzSamy1285,2025-03-10T11:07:51Z
I zoned out. Was this just one verse on repeat?,@kristallia1,2025-03-09T04:58:39Z
among us melody,@SubparLameBros,2025-03-06T10:29:41Z
Beat is the only thing i like in this,@I_love_jesus-t5,2025-03-05T04:01:15Z
sen the beat,@chimetaaellis6384,2025-02-28T19:30:11Z
bro this beat was WASTED,@cam-l2n6g,2025-02-26T22:54:05Z
I like the beat not the lyrics,@alyssaeditsalt1234,2025-02-26T14:12:04Z
I love the beat but Cench disappointed me with the lyrics. Rapoing for cheating while cheating.,@usser.a18,2025-02-25T12:36:02Z
wasted beat on central cee n ice hundreds of other artist could do 10x better,@crispychip420,2025-02-25T04:01:42Z
This beat would’ve had a brighter future but not as bright as central cee’s Forhead.,@MelanieCrybaby2689,2025-02-24T18:22:26Z
🤣🤣🤣🤣 one of the worst fuckin songs I've ever heard!!!,@johnnyutah1720,2025-02-22T06:14:43Z
what a good beat,@xX_Tzx_Xx,2025-02-22T01:41:55Z
Good vibes for a Friday,@GivenChabhanga-o3y,2025-02-21T11:26:21Z
Da beat🎉🎉🎉,@RachealNabifo-v1c,2025-02-20T11:29:04Z
Even if I don't agree with the lyrics idc Ice just makes it sound good,@Rora_204,2025-02-19T18:10:02Z
this beat hard as hell ice lemme tap pls,@star-vz1eu,2025-02-19T09:25:00Z
"This beat is like candy, its better without the wrappers",@SwiftiePage,2025-02-19T03:47:08Z
can’t get over when someone said “dr seus ah lyrics” 💀,@woweric,2025-02-18T23:47:39Z
I love the good vibe she has.,@SharonRose-v6c,2025-02-18T21:07:52Z
"The beat so good, I do t even listen to lyrics",@CrankrRankr,2025-02-16T07:39:49Z
"Ice spice ur a meanie pants!!!! You shouldn’t have done that because now you won’t go to heaven ✝️✝️✝️ and central cee ig, he is British and forgettable gosh I hate the people across the pond, I do like the tea though.",@kaydenjones9177,2025-02-16T02:00:29Z
pink panthress would’ve fucking slaughtered this beat,@i-am-a-gooner,2025-02-15T23:44:10Z
I like the theme and the beat,@AtenSmith,2025-02-15T06:04:23Z
Awful...,@jbmoney357,2025-02-12T11:21:14Z
"beat is like candy, its better without the rapper",@kang.saturn,2025-02-11T01:13:23Z
THESE FUCKING LYRICS GO HARD 🔥 🔥 🔥,@Jmkzzutd,2025-02-06T20:19:17Z
i beat to this,@Birdgamer347,2025-02-06T04:17:07Z
worst promote but i love him,@Muradiye-e9i,2025-02-04T19:14:40Z
Pinkpantheress wldve eat w this beat,@chanelvixent,2025-02-03T13:02:31Z
ngl beat is crazy!,@thatekyouktaephattee6949,2025-01-30T10:51:22Z
The beat carrying,@Gojo_miku1,2025-01-29T13:19:32Z
Destroying ur relationship for a 25 second verse is INSANE,@chloemorgan444,2025-01-28T21:52:18Z
The beat is fire the girl is ruinin it,@Shado1501,2025-01-28T11:03:30Z
Nah but the beat is fire 🔥🔥🔥,@Ilyana-h8s,2025-01-28T00:53:52Z
"The lyrics and rap suck, but the beat is so fire, it's so sad that it got wasted for ice spice and central cee",@BenedettaDitoro,2025-01-25T17:54:17Z
In love with this beat💖😆,@WaronaMolate-k7c,2025-01-25T07:20:01Z
This beat so hard 😩,@matthewwilliams9890,2025-01-24T23:49:03Z
Shulda had 3 verses so i can bop some more.,@NeraDonna,2025-01-24T01:16:11Z
Luv it. For me the vocal sample carries the track,@tracksfromthe11thfloor72,2025-01-20T23:21:26Z
The lyrics,@BokamosoMotsepe-g9w,2025-01-20T11:05:52Z
This song and the beat is so good ❤ and whoever says no should go hate somewhere else,@alexandertexis2032,2025-01-20T00:11:37Z
Tbh I only came here for the beat those mostly used for edits 1:34,@DududuMusicGurly-f7o,2025-01-18T15:50:23Z
I only came here beacuee of the beat,@Justarobloxplayer667,2025-01-18T15:33:25Z
Nah cuz when he said “by the end of this verse I’ll be done I guess we gonna see in like 16 seconds” 16 seconds later he was actually done,@everlysky2394,2025-01-18T02:48:34Z
Ice is very beatiful i want to marry her,@Fornite-u7b,2025-01-18T00:23:01Z
Such a good beat wasted on ice spice and central cew,@Piksel95,2025-01-15T14:44:58Z
0:52 - 1:07  THAT ENTIRE VERSE !!! 😂🔥 but he meant that shit from his soul “by the end of this verse I’ll be done” -poor madeleine. 💔,@brianasilva7562,2025-01-15T13:26:02Z
Pinkpanthresss would KILL W THIS BEAT,@Le3rr0,2025-01-14T17:38:48Z
Such a good beat wasted on ice spice and central Cee,@felixforce8216,2025-01-13T12:40:31Z
This beat is so catchy !!!✨✨✨,@Imacatperson-y7w,2025-01-12T15:12:01Z
Producer assembling the hardest beat just for ice spice to rap about poo poo dookie fart,@takeahardlookatyourself,2025-01-11T03:15:06Z
I love you very deeply,@KarenNjamah,2025-01-07T17:41:46Z
beat ice cream Baltimore 😂,@ELNEGRO7474,2025-01-06T17:28:12Z
Fire beat wasted on them,@YoBoyLandon11,2025-01-05T18:18:40Z
a goated beat just to be wasted on Ice Spice and Central Cee 💀😢,@shadzyalex,2025-01-04T05:37:07Z
This beat is waisted,@Christian-z7v,2025-01-03T04:29:09Z
