comment,user_name,date
beautiful lyrics,@andreagdhs2628,2025-03-20T20:22:02Z
Deeply love with money 😂,@leon.x.i,2025-03-17T09:40:58Z
kiss me from sixpence none the richer? i remember this ' moonlit floor' cause it's the lyrics of kiss me song which is my fav song 😉,@laraheart-xk6sc,2025-03-17T06:46:24Z
Gives doja cat say so vibes.,@Volkien-m9i,2025-03-16T14:07:20Z
This music gives me doja cat - say so vibes,@MrMvinicius10,2025-03-16T13:59:45Z
Lisa is very beatiful❤❤,@MusallamHaydarova-z7n,2025-03-15T15:16:31Z
This song is just unforgettable ❤,@PrincessWorld-pq9qb,2025-03-14T04:22:27Z
2:28 SO BEATIFUL,@AccountingfirmMauricioAsociado,2025-03-12T23:49:40Z
"Love her vocals, hair & outfits 🤍🤍🤍",@ThaiAmericanBarbie,2025-03-09T22:22:56Z
How is she allowed to copy Sixpence none the Richer lyrics 🤬 total BS,@lbc9762,2025-03-09T19:35:20Z
This is not an original song..she adapted the lyrics it turned out good but the original one is from 97,@CarolineMendez-jg7qp,2025-03-06T07:06:32Z
I believe she has found her sound. This type of song fits her personality and vibe. Lucky French boy lol,@AkagamiTRii,2025-03-06T00:30:23Z
"Not saying she's gold digging she mau truly be with the person she loves but when she says ""wasn't trying to meet anyone and she's trying to get the bag"" or whatever the full lyrics are. Yet she's with the son of a billionaire and he will be a billionaire. Other than that loved the song just found that lyrics kinda funny and ironic",@hydrasoulz959,2025-03-05T20:57:17Z
0:54 SO BEATIFUL VOICE,@AccountingfirmMauricioAsociado,2025-03-04T20:48:44Z
Good vibe,@thasak707,2025-02-28T13:48:36Z
Lisa'nın vocali kesinlikle abartılmalı💛💛💛💛💛💛💛,@Lilixsamano,2025-02-28T08:42:11Z
The vocals amazing,@jhuan377,2025-02-27T01:28:53Z
This really is another vibe of Lisa,@MaryNinan,2025-02-25T07:40:34Z
Sixpence None the richer  Kiss me vibes ;),@jeerafe3461,2025-02-23T10:51:03Z
What a angelic vocal! My favorite song.,@CasualWander,2025-02-23T00:52:41Z
So beatiful music ❤❤❤,@SOFIARODRIGUEZ-zk8ub,2025-02-21T19:33:54Z
Wow congrats maymay nakailang ulit ako hehehe di nakakasawa pakingan ganda lahat boses /sayaw /effects at ung song 😊😊😊 ...,@GonzalesGermen-cm4dq,2025-02-21T05:52:11Z
This is on my relax time playlist! Love the vibe!!! 😊❤,@Lk_b127ea,2025-02-20T21:41:12Z
Lisa's vocal are the best❤,@aaishafauzul1753,2025-02-20T11:15:09Z
Cool how they took out the all the melody and everything else that made the original so amazing... really cool 😐,@ronniedeshe5253,2025-02-20T04:59:05Z
"I'm sorry. I cant see ""sixpence none the richer"" credited for the chorus any where with the original ""kiss me"" from way back when.",@arneidinsen4007,2025-02-18T12:41:58Z
Katúnog ñg chorus  nya uñg kañta ng síxpieñce non the rícher ña kiss me,@roselynpalencia9103,2025-02-18T12:25:22Z
