comment,user_name,date
I'm here after hearing this at karaoke night and really loving the synth,@EternalDensity,2025-03-06T12:15:35Z
"This song instantly gives me that late 2000s and early 2010s vibe especially during the chorus where gaga says ""oh oh oh oh oh"" that part was fucking gorgeous",@Gyyghhhhjjjkk,2025-02-24T17:17:32Z
Anyone else getting Nine Inch Nails vibes in the best way?,@Heliopolis013,2025-02-21T21:26:49Z
"I like  this vibe and lyrics more for a Joker-story than the actual script. (It's not about the acting, twas excellent)",@Sianara01,2025-02-20T17:10:55Z
"That bridge, final chorus and outro is laced with crack.",@emboar7247,2025-02-19T14:36:28Z
Song is brand new but feels nostalgic. Brings me back to 2011,@tinyky2598,2025-02-18T19:37:12Z
👍Very powerful track!!!,@ariesconstellation5771,2025-02-18T09:07:42Z
This song kinda gives me Ancient Egypt vibes for some reason ❤,@FrancieBurns,2025-02-17T04:55:37Z
"Lady Gaga, this beat is sick ❤ 🌠 🌟",@Nen-o9x,2025-01-24T14:26:32Z
"It's fascinating how music manages to convey such a profound message, while maintaining a contagious energy. The songwriting and production are impeccable, creating a unique atmosphere that resonates with the listener in an emotional and authentic way. The ability to merge different influences and create something innovative demonstrates a true mastery of the musical art.",@InteligenciaMusical-k9x,2025-01-21T01:07:43Z
"They nailed this production. Needs new lyrics, but the music and melody and vocals are It.",@digthewarmth,2025-01-03T21:55:21Z
I just listened to the 16 songs above this in the u.K chart and they are awful. This song is brilliant and should be no 1,@musicfuhrer,2025-01-03T08:19:13Z
Bad romance vibes,@snehaphalke935,2024-12-28T10:00:47Z
"this dark vibe of gaga I LIKEEEE most 😍, and her voiceeeeee",@MsLEMO,2024-12-27T10:16:14Z
"The song has a dark pop vibe to it and similarities to ""you should see me in a crown"" by Billie Eilish.",@SusannaMunonye,2024-12-26T13:18:14Z
Am I the only one that gets mad scientist vibes?,@C0spl4y3rr,2024-12-21T20:48:37Z
"I thought that the lyrics at the beginning ""I heard you're begging for life"" were ""I heard you play give a life"". I think i play too much fnaf...",@filipk.5151,2024-12-20T17:41:17Z
"The more I listen to this, the more I love it. It is so much more mature and deep than whatever she has done until now",@davidguilbert8741,2024-12-20T17:11:06Z
2024 was such a nostalgic year for music. I loved this year 100% 100%,@LisetteMahoganyxo,2024-12-20T04:19:39Z
no idea what the mv symbolises but shits catchy,@snoovian7951,2024-12-19T10:12:59Z
Been covering this song for debuts in events and for music projects. As a metal head those gritty belts at the last section GO HARD w double bass. Perfect blend of Rigid staccatos and vocal patterns,@mr.stickz1357,2024-12-18T01:28:01Z
"It's December 2024, it is time to start becoming nostalgic for the early 2010s. No- is nobody doing that at the moment? Either way, this is a Dark Era brewing and it reminds me lots of The Fame Monster album.",@tctt185_dg,2024-12-17T09:47:48Z
"Everyone is saying they're getting ""Born This Way"" vibes, but I'm getting ""GUY"" vibes more",@rs_nightshade,2024-12-16T20:34:08Z
The beginning gives Rezz vibes and for some reason she sounds like Miley in this song...,@emberkoko8699,2024-12-12T10:27:34Z
Genuinely thought this was an old song I'd somehow missed. She really caught the old vibe so well!,@gokuxsephiroth4505,2024-12-09T23:50:54Z
I love this song but im christian and some of these lyrics are convicting 😔,@StephCuzWhyNot,2024-12-06T00:19:13Z
"I love how sexy it is as a result, those lyrics are so juicy, I love it and can listen to it all day as well, lol! 💯",@TheGoldenPlatoon757,2024-12-05T06:40:23Z
the vocals were so good i almost started crying o-o,@kosplayingizkool,2024-11-23T23:46:26Z
excellent bass synth sounds,@cbbhvjc,2024-11-22T03:40:59Z
And I'm willing to bet that end part was all her vocals too.,@darkwoodmovies,2024-11-20T18:26:42Z
The plauge doctors gonna vibe to this 😎,@batterylife3172,2024-11-17T20:02:07Z
Keep doing edm beats this shits 🔥,@kyle12367,2024-11-15T17:28:02Z
3:15 vocals 👌🏻,@CUMZZY,2024-11-14T23:20:30Z
Samo mi se spava vibes,@LelandRedline,2024-11-14T18:54:53Z
Awfull & ugh.,@asmir-ls4tn,2024-11-14T13:03:30Z
"The song itself gives me ""Björk's 'Army of Me'"" vibes",@HarryPotter87,2024-11-14T08:12:24Z
American Horror Story vibes...LOVE IT,@matthewsteele7601,2024-11-14T00:08:06Z
damn the OG gaga is back. That crazy powerful voice! omg goosebumps!,@MSI2k,2024-11-13T05:11:45Z
Yahhwee the God the ultimate God of this universe 🌍 salute king 👑🦁🤔☝️🔥🔥🔥🔥🪔🙌🙌🕯️🕯️🕊️🕊️❤️💋💔💔💔🧎🧎,@ThomasDodsonJr,2024-11-13T01:42:32Z
The chorus is truly incredible!,@elricthorean5235,2024-11-08T19:57:13Z
"What a song, I'm dancing with it's every beat, perfect song after a very long time, ❤❤❤❤❤❤️❤❤❤❤",@MrityumJoyGhosh,2024-11-07T20:47:40Z
Bloody Mary vibes🖤🖤🖤,@2k2marrb42,2024-11-06T20:27:28Z
"2:05 is my favourite part and ngl the beats the lyrics, the voice are perfect and fire",@giannis71122,2024-11-06T18:00:16Z
My heartbeat says Andromeda,@edwardstephenson3885,2024-11-06T16:48:11Z
"The lyrics are so good. We all got the cure, I promise",@PositiveRaincloud,2024-11-05T00:38:35Z
The instrumental is interesting. The lyrics -not sure if it is mine.,@Iwan-j3g,2024-11-04T19:41:32Z
"It's not just the vocals and sounds in the song, but the piano is also very nin sounding. Nin's piano has a very distinct sound that feels uniquely theirs.",@tnetennba725_3,2024-11-04T09:28:39Z
"This song has some serious NIN vibes, and I kinda love it.",@chrismcmeekin9943,2024-11-04T08:54:07Z
NIN vibes,@andrescamiloh182,2024-11-03T23:38:21Z
I’m getting slight In This Moment vibes lol I love it,@Maiden_to_mother,2024-11-03T23:36:54Z
It's like my prescribed benzodiazepines are singing to me😔 Lyrics hit hard and the song is just marvellous ❤ Go Gaga,@beatrizzaragoza7598,2024-11-02T19:00:18Z
"there is so much emotion in the voice, the lyrics, the theme. you can tell it's on a way higher level than Perry's shitty AI fueled album",@nat4n308,2024-11-01T18:52:24Z
The BTW vibes are VIBIN' 😍😭 I am so fkn ready for this era. LAY IT ON US GAGA 🤌🏻,@MsLadyGaga16,2024-10-31T14:55:59Z
"This gotta be my most favourite release from main pop girlies of 2010s in recent time. The musical arrangement, the vocals and THE EMOTIONS, our queen GAGA is back.",@tinlinnko3233,2024-10-31T13:26:51Z
"This song is so SCORPIO MOON, love its dark vibes, Gaga is back, can’t wait to listen to the album 🖤♏️🌙🦂",@andersippoliti4167,2024-10-31T07:44:08Z
Morticia and Gomez vibes.,@SaturnRingBlues,2024-10-30T22:07:37Z
Only legends and music lover will understand the real tone associated with Judas,@TeraAussu,2024-10-30T21:23:22Z
This song literally brings me back to when I first heard Gaga. Nobody beating these hooks 🤩,@brada4554,2024-10-30T18:33:01Z
A TEMPORAL,@AlerrandraBruna,2024-10-30T17:11:51Z
😮😮😮😮😮 the Beat 😮😮😮😮😮,@MungKhaiKih,2024-10-30T13:43:58Z
Dragula vibes,@dmcdan8,2024-10-30T09:38:11Z
"Que perfeição de clipe  ❤ vibe meio alienígena  , ela mesmo se mata ❤❤❤",@lucaslascurain4867,2024-10-30T01:25:46Z
I listened to this song on 1.25x on accident for the first listen a few days ago and so when I watched the MV just now I was SHOCKED at how slow it was… I HIGHLY recommend listening to this song at 1.25x song it becomes so much more upbeat and actually could be a good clubbing song while maintaining the originality of the production!,@STKTSTKT,2024-10-30T01:16:10Z
Just patiently waiting for the video of this song.. gaga is back again after having a coffee and tea drink with bruno.. now back to usual business 😊 another thing ive noticed she is “singing” indeed.. she is using her power vocals unlike the early gaga albums..,@darrenpetilla8174,2024-10-30T00:35:41Z
Kkkkk melhor música pra quando tu descobre que seu atual namorado goodvibes tá namorando outra pessoa e tu descobre que não tá mais namorando por postagem do Instagram (muito obrigado por existir Bea),@luisrespiro,2024-10-29T23:02:14Z
The backing vocal scream at 1:36 and 1:46 GIVES ME CHILLS EVERY TIME god this is so peak,@immunetoneurotoxin5733,2024-10-29T21:35:45Z
"ok loving the music, but those lyrics are very very very coming from evil... literly its like: come on! im the devil and beg for what you want me to give you... daamn gaga, this is very diabolic, you cant deny.",@hashysinger988,2024-10-29T21:29:30Z
"IT TAKES ME TO THE VIBES OF 2009, 2009 GOING BACK! Bring the old TIMES!   -BRASILLLLLL",@celsoprado1635,2024-10-29T20:34:55Z
Vocals ❤❤,@AndersonSilva-yy3rn,2024-10-29T20:21:14Z
"Lady Gaga stole pre-chorus from old Soviet cartoon about Little Red Riding Hood, find video ""esli dolgo dolgo dolgo""(0:35 second)",@СексуальныйОлень,2024-10-29T17:14:14Z
"Monsters, you have to Make this song a fucking commercial hit !! And eatch of LG7 song in feb 2025 Gaga is back , already addicted this is more powerful than every dope ever 😈😈",@Gabbywhats2,2024-10-29T16:00:06Z
"I'm sure someone else has mentioned this but these beats are totally reminiscent of ""Bloody Mary""",@louisgrassimedium,2024-10-29T13:36:36Z
First album Gago vibes is a really good thing. This song could have easily BEEN on the first album. So rare that I hear actual good pop music.,@edisons.7637,2024-10-29T12:37:33Z
BORN THIS WAY x THE FAME MONSTER vibes and i’m here for it,@cherishils,2024-10-29T11:11:54Z
"NO STFU I'M OBSESSED, I LOVE THE DARK WAVE SYNTHINESS SO MUCH",@phoenixhbcsversion,2024-10-29T11:05:55Z
Her robotic vocals are back......,@SamWinchesterr,2024-10-29T09:41:30Z
I’m late but wow Congratulations Lady Gaga on your comeback . Well freaking done . Wow this is amazing - I heard 10 seconds and the melody is insane . That bridge is killer !,@phoenixbriggs8423,2024-10-29T08:32:05Z
"Like the Born This Way single, this took me a while to get into but after each listen I liked this song more and more. The explosive chorus is my favourite part and when the beat intensifies near the end 3:06 🖤 It’s been stuck in my head for the past few days! 🎧 LG7 is going to be promising if this is the first taste🩸",@BDTTK9,2024-10-29T04:53:12Z
"I feel like this is a genuine mix of her best albums. The emotion of Born This Way, the uniqueness of Artpop, and the powerful edge of Chromatica. A perfect blend of all three",@dylanrayfurr,2024-10-29T04:27:29Z
"I love the beat, the vocals, the play to old eras and the Lyrics.",@channingx,2024-10-29T04:07:33Z
Not feeliin’ the Halloween vibe 👎🏽,@MCMAGIC.,2024-10-29T03:15:22Z
Such an awesome song! I love the vocals 😍😍😍,@johnnyitalia418,2024-10-29T02:30:57Z
"This is giving me serious Trent Reznor vibes.  I don't know if he was involved in the production, but a Gaga/Trent collaboration would be mind-blowing! 🖤🖤🖤",@aar8n955,2024-10-29T01:47:28Z
"This give me Bjork ""Post"" mixed with Depeche Mode ""Only When I Lose Myself"" mixed synthwave horror.",@otsemra81,2024-10-29T01:21:45Z
🎩 🪄 swallows the beats 🎩 🪄,@MrCBMarkAMU,2024-10-29T01:02:58Z
This is so perfect illusion with The fame beats,@wallacetorrieri6435,2024-10-29T00:50:40Z
❤🔥💥Chorus Disease = Chorus P!nk’s Try 💥🔥❤,@ERIKCLARKK,2024-10-28T21:49:20Z
Too much 2014-2017 vibes 🥹😭,@momu4731,2024-10-28T19:35:47Z
Lol this was the most divisive song in fantano's weekly track review for putting it in worst track. He was 100% correct 😭,@anoisano275,2024-10-28T18:54:02Z
"Well...not that great tbh (sorry for sharing opinion). Melody is to broken (chorus is ok), voice as always is good, lyrics a bit... juvenile (and give me cure vibe) - just not what I was expecting tbh",@tomaszpalucki6283,2024-10-28T18:50:51Z
"Stupid lyrics, stupid tune. Poorly made all around. Bad choice for the 1st single",@jaimemarshall2439,2024-10-28T17:29:03Z
There is so much originality to this song in every possible way from the beat to the tone to what Gaga does with her voice.  And the lyrics have so much force.  A perfect score on this one.,@tonymechcatie2792,2024-10-28T17:18:05Z
Anyone else get complete head to toe goosebumps from how powerful her voice is?,@j.m.221,2024-10-28T17:11:33Z
"Last album for a long time just for her true fans who loves her dark vibes. She doesn't need to top charts, win awards or earn millions. She did all of this in past. Now, she is free.",@rogerkallo6483,2024-10-28T16:53:41Z
"Gaga's new Release »Disease« marks the start of her 7th Studio Album, known to her fans as LG7. This dark, theatrical track explores themes of illness and healing, contrasting with the energy of her previous Chromatica-Hits. Lyrics shared online hint at Gaga's role as a healer, featuring lines like »I can heal your disease« which have sparked excitement and theories among her fanbase. Fans have discovered cryptic hints and lyrics in Gaga's social media posts, inc. a countdown on her website and playlists alluding to her artistic focus on the themes of »illness« and »recovery« 😉",@meinsprachrohr.official,2024-10-28T16:52:40Z
"I was not prepared for Gaga to reintroduce her industrial pop, midtempo era: a Rezzmau5 remix of this would go crazy.",@sumurssno,2024-10-28T16:17:40Z
"Her music is always so fun and upbeat!!! Her vocals are really good here, I like the Dark Metal Vibez",@arturoruiz8078,2024-10-28T14:48:25Z
"It's like a lost track from ""Born this Way"" album but darker and better produced. And her vocals in this song are amazing. Vocally she is better than ever. I'm so excited for #LG7!",@agelnocortes9158,2024-10-28T14:32:02Z
Silent hill vibes 😮 anyone?,@assassinka508,2024-10-28T11:52:18Z
Who’s feeling the Halloween vibes with this song 🕸️🕷️🦇🩸,@lewis8210,2024-10-28T11:20:22Z
"This is SOOO GOOOD, Gaga always delivers, production and vocals are incredible!!!! 😍",@lovelessxxsky,2024-10-28T10:00:24Z
its giving the fame vibes and born this way i love itttttt GAGAAAa xo,@yvandaniels5590,2024-10-28T09:11:35Z
Monster mama is back where she belongs🎉❤😊 this may have trace beats of all the previous  hits but i am not complaining 😂😅,@dimphoofficial9769,2024-10-28T07:59:40Z
Sounds like a deep cut off ArtPop or Fame Monster. Nothing innovative or special.,@yulesreacts,2024-10-28T07:36:00Z
