comment,user_name,date
"0:10 Just hate this song so much it is so annoying and it even made me fail a test in school, please could you delete this song",@healthmost-among-us,2025-03-21T17:57:12Z
"Had to dislike this stupid song it's on everything. It's hacky, contrived, generic.  It's a money maker without any heart.",@justinsmith4618,2025-03-21T15:32:15Z
The rhythm of this song gets me moving every time.,@AriaStewart-h8u,2025-03-21T14:46:21Z
*_The song is new but it gives off a 2018 vibe as if it's a very old song :)_*,@zehranesir,2025-03-21T13:57:05Z
Chegou no Pará e já virou Melody 😂,@alenilsonguimaraes6742,2025-03-21T13:33:03Z
"Wow...what a beautiful voice, your vocals are as beautiful as any melody, your calmness is like the touches of a song, and in all of this you sing with your heart.",@EdivaldoFerreiradossantos-c3p,2025-03-21T10:34:22Z
"The background music and lyrics of this song remind me of 2008-2009, the era of many big hits. It's light but also a bit deep, and I like that kind of light music style.",@SuperAdminz,2025-03-21T09:50:54Z
I just love bruno mars 💕 lsong lyrics,@SumangillareGillare,2025-03-21T08:59:27Z
✏️ Describe the vibe,@mukitabdullah6315,2025-03-21T08:36:51Z
I can't believe this song already has 800 million views in seven months. We're looking at one of the most powerful songs of recent years,@unknown-yd6wf,2025-03-21T06:57:45Z
I've watched this video 10 times so far today and every single time it brings tears to my eyes. There's so much emotion and love in this song..and Way to go GAGA!!! So wonderful. 🌹,@ThunderingEIK,2025-03-21T01:46:36Z
musiccccccccccccccccccccc beatifulllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllll,@FlucaXD,2025-03-21T00:05:55Z
Nah theyre like WE NEED GET EVEN MORE POPULAR THIS SOMG IS GONNA BEAT EVERYTHING ELSE and it worked,@younghong8724,2025-03-20T23:31:52Z
I know all the lyrics ❤,@Teddyvr.,2025-03-20T23:21:43Z
All song used to the same melody,@PhatsokDaratheking,2025-03-20T22:57:50Z
Vocal bruno❤❤❤❤❤,@RuslanbekZheenaliev,2025-03-20T21:25:09Z
"My husband passed to eturnal life 02-02-24 JLS , when I  heard this song today @a 6 yr. Old funeral it was her favorite song, I tought "" How great is God , letting his child know her time is God's time "" I  felt the holy Spirit  come deep with in my heart ❤️ 4:12 4:12 4:12 4:12",@LindaS-g8j,2025-03-20T20:29:06Z
Yea this is absolutely incredible. Vocals are nuts 🔥🔥🔥 any female that has a great voice wants to duet im down!,@snakeboy1983,2025-03-20T17:23:04Z
The mannequins (and just the whole vibe really) make this SOOOOO Fallout coded!!,@Rachel_Humphrey,2025-03-20T13:35:59Z
"""Die With A Smile – Ek aisi masterpiece jo dil ko choo jaaye! Is gaane ki lyrics aur melody dono hi ek alag level ka sukoon dete hain. Har ek beat aur emotion ek kahani keh raha hai. Jo log music ko sirf sunte nahi, mehsoos karte hain, unke liye yeh ek gem hai! 🔥❤️""",@AvinashPatel-m9q,2025-03-20T12:45:26Z
