comment,user_name,date
"Only 11 months ago, but so nostalgic.",@Midnightjoker,2025-01-20T20:30:10Z
Can you please remove bad words? In belong together. On lyrics on Spotify and YouTube don’t place it with anyword,@adaml8762,2024-12-22T02:55:41Z
I’m literally singing this song with my school but we’re changing the lyrics to let’s choose to be kind together,@Valourmain,2024-12-15T16:00:54Z
"@markambor  my lil kid who's 5 byhearted the chorus, and now the songs stuck in my head. This was a big thing for us as parents as he's on the autism spectrum and picked the lines of these songs, and now he won't stop singing it. Officially, his first song. You can imagine the power of music. God bless you, Mark. may you touch more hearts with your soulful music. 🤗🙏😊",@anishdsouza17,2024-10-29T20:08:29Z
Petition Mark collaborating with Jason Mraz? He's such a vibe!,@the.middle.of.90s,2024-10-26T08:29:24Z
beatiful song,@MarthaCarvajalBenavides,2024-10-19T02:22:40Z
I like these guy's great lyrics and it makes ya wanna dance around the house❤,@Countrygirl-j6m,2024-10-16T21:09:35Z
Amazed to see im not the only one it reminds of ho hey and 2007-10 vibes.love it,@crispinmatoke7947,2024-10-12T20:04:45Z
"Mr Ambor you are such a Summer vibe, and now that we are hitting a cold snap here in the UK are most welcome.",@Gazman011969,2024-09-13T11:07:13Z
"The heir apparent of John Mayer, but somehow I like your vibe more.",@rostanTV,2024-09-13T08:58:54Z
"a simple acoustic guitar, a small apartment and a catchy song, thats all he needed to fetch him 26M views hit song",@fellowgoodie,2024-09-09T16:33:23Z
this song have a happy vibes,@marcusbregwreth6080,2024-08-24T15:18:11Z
Cara essa musica tem uma vibe tão gostosa,@BTS_B-army_forever,2024-08-23T16:27:28Z
This is the song that just gives you the happy vibes:),@OliViamac-tv1cl,2024-08-21T23:27:31Z
"Did i put this on loop for 20 minutes and dance around my kitchen making coffee and playing with my dogs. yes i did, am i now almost crying from just the overload of happy emotions and unconditional love i have for them? also yes.",@hj727,2024-08-19T13:45:59Z
I'm here because of reels from IG. I really like this song! Its giving such a positive vibes! Greetings from Philippines 🇵🇭,@KUYAFAITH,2024-08-14T05:42:37Z
Good vibes and feelings.....😊,@y.z.1621,2024-08-12T20:30:34Z
"Life may bring you down sometimes.. especially with relationship issues.. just know, music is key to the soul. Listen to the lyrics carefully to many songs, you’ll find out you may relate.. god bless you all❤ I hope you all get better",@cheryljohnson2314,2024-08-04T20:22:38Z
Amazing song and your voice is stunning 😩💙✨✨✨✨✨✨ lyrics 😩✨✨,@immanedits,2024-08-04T18:18:52Z
"this song is a wave of excitement an energizing boost like morning coffee or tea. this and ""Caring Ghost"" by Mysteriousic are 2 of the best song came out this year, this song is already nostalgic",@Andromadream,2024-07-31T13:53:59Z
This song vibe feels like one direction miss u 1d members ❤❤❤,@koralmanidangshawa8064,2024-07-28T22:07:09Z
Summer vibes 😊,@ELBAZZARCHAIMAA,2024-07-26T16:41:23Z
Good vibes 🫀,@ugaas,2024-07-15T21:51:48Z
His voice so powerful 🎉🎉🎉🎉,@ningnutchanart6905,2024-07-15T20:12:14Z
Omg I love the chorus,@RIP_Sythe-RobloxGod,2024-07-13T17:34:37Z
"Que vibe massa, precisa viralizar no brazil ❤",@JonEryk,2024-07-10T03:35:42Z
Wear Converse!  You’re too cool not to.,@teriwest87,2024-07-05T03:26:09Z
You and me belong together give me vibe,@allinone7320,2024-06-29T09:29:51Z
gives me vibes of early 2000 animation movie like bolt,@shomthingmoon,2024-06-25T18:08:47Z
THE GOOD VIBES<3333333,@hibafidadi,2024-06-22T09:27:19Z
Very beautiful and strong vibes,@MrYouctube,2024-06-17T11:29:47Z
This songs so good and catchy. My friend introduced me to this song and ever since I've been in ❤ with this song!!!,@OldMinecraftmemories,2024-06-15T08:03:22Z
Catchy tune,@LucasFruhriep,2024-06-08T21:11:05Z
i dislike this song but its so catchy that im back here against my will,@Ma-bx8bz,2024-06-08T16:20:44Z
"I so hope you rewrap this song in a winter version, I think you’d beat Mariah",@oscarwijkamp770,2024-06-02T11:27:09Z
I love the chorus most 💙💙💙,@Odenish,2024-06-02T11:25:48Z
Is that guitar a acoustic?,@virtual_Game,2024-06-01T14:34:51Z
Summer vibes >>>>😭💗🍉,@Masa-dw7rr,2024-06-01T12:13:22Z
I feel true emotions from him. This song is amazing,@DewminiNisansala-kr9wc,2024-05-28T05:49:14Z
The song of 2024 🥰 we need MORE of this happy upbeat lighthearted genre ❤❤❤,@MrsPaulaTorres,2024-05-27T19:45:57Z
"Love that innocent, happy, lovely vibe ❤",@carolinam3053,2024-05-27T16:56:04Z
"The vibes, the positivity this song holds, ohh my god I'm totally in love with this song❤️🌸",@mahak9178,2024-05-27T05:54:43Z
This  is a very nice song it  have a good vibe ❤,@Malochers,2024-05-26T20:21:15Z
Can but help feel upbeat after listening to this song. I hope it inspires many more people.,@competitionfox,2024-05-21T11:23:43Z
"So much emotion in 1 music, it's incredible, it's my favorite music. You inspire happiness! We love you ❤",@Arix73,2024-05-20T22:07:22Z
Shawn mendes oh Cecilia vibes 🎉,@ryan.attiyeh,2024-05-18T06:47:57Z
The intro and first vocal notes remind me of another alt rock type of song and i cannnnnot think of it!! If anyone knows hmu 😅,@nicoleryder1168,2024-05-15T21:05:52Z
Something about this song is so nostalgic I cant 😭,@basicgirl3680,2024-05-11T14:52:32Z
Positive vibes ❤,@ekymanik2646,2024-05-07T12:55:00Z
"This song is so good that it makes me feel happy and grateful for this life. That's how songs should be. In this era, it's really rare to find music like this (with deep meanings). Thanks Mark for this masterpiece. This will blow up one day GUARANTEED",@rudetosociety,2024-05-07T11:05:59Z
i had a feeling...why this song feels nostalgic...even it is not....🤔🤔🤔..,@ankansaha4710,2024-05-06T18:11:26Z
I’m getting like American Mika vibes. Anyone else?,@LaceyPletcher,2024-05-05T22:00:46Z
This song definitely feels like a warm sunny day changing the moods to be happy and full of good vibes 😊,@Kathleen-1904,2024-05-05T17:20:37Z
This annoying song that keeps popping up on my reels,@jamespogi572,2024-05-05T14:29:25Z
I wish that mr .Mark lyrics of this song was You and i ..but not you and me ...,@willinzxgaming725,2024-05-05T07:57:21Z
"I’m torn with this song. On the one hand, it makes me feel like I am setting out on a roadtrip with the windows down, sun hitting my face and friends readily anticipating the adventure. Yet on the other hand, it makes me feel nostalgic of times spent with love ones who are gone or have walked out of my life.",@typg9397,2024-05-03T22:13:49Z
Full of emotion happy to listening oh my god,@artiprajapati1991,2024-05-02T15:34:14Z
What s great song! But get change the in playback to 1.25 faster!!! What a vibe it is!,@tonyburgess4935,2024-05-01T08:44:02Z
It's giving summer and joy vibes 🌅,@raghadal_homsi7927,2024-05-01T07:40:03Z
