comment,user_name,date
I do this in chorus at school,@VRCoopsGT,2025-03-21T00:56:08Z
Such a beautiful song! 🌟✨ The lyrics and melody create such a dreamy vibe. Absolutely in love with this! 💙🎶,@halilozel1903,2025-03-14T19:41:58Z
beautiful lyrics!,@Dennzyl,2025-03-14T09:43:08Z
Wow so no one in these comments remember hey soul sister and hears how the verse in this is exactly the same as that,@ad-sd-vids5332,2025-03-13T17:40:23Z
This Stargazing (lyric video) by Myles Smith is very cheery and a one of a kind indie rock song. The music and lyrics have a mood elevating and highly artistic feel.,@stellacarrier8341,2025-03-13T04:48:03Z
Why does this vibe remind me of Avicii,@nblanco_76,2025-03-11T23:10:40Z
Song given 2017 vibes 🤭,@jaymatt3221,2025-03-08T19:59:25Z
"I heard your song on a Nashville Humane Society clip.  I fell in love with it instantly. It was absolutely perfect in showing the pictures of the dogs and getting people to adopt them.  After watching the video I went on a Google search. It led me to YouTube. That song actually made me cry...good tears. Then to put a face with the voice...it was magical! This is my new favorite song and I cannot stop listening to it. Thank you for the music, for the lyrics, and for your talents.  I can't wait to see, hear and learn more about you and your music.  I wish you much luck and love in all you do!  RMB, MISSOURI",@reneab5812,2025-03-08T15:16:24Z
I luv luv this song !!!  It gives u hope for luv & thru ups & downs !!!  It makes u realize that look up at the stars & wonders of this universe & almighty Divine God who created & gave life!!!❤,@Marge-x2e,2025-03-04T02:59:40Z
Love this song and the lyrics,@alexisreyes4179,2025-03-04T01:01:15Z
Same vibes as OneRepublic counting stars 🤩,@Doug-z4w,2025-02-21T05:29:29Z
coldplay vibes,@SarahJones-jv2tt,2025-02-18T23:13:17Z
This gives me 2014-16 vibes,@TahiraSkates,2025-02-17T22:19:14Z
"Somehow it reminds me of Avicii, it has a 2016 vibe! I haven't heard a song like this in ages",@souzarte_works,2025-02-15T21:13:04Z
I uploaded a vocals only version of this song and a 3d audio version <33 feel free to check it out,@Lavendar_Ashes,2025-02-14T07:58:11Z
This song gets so annoying it plays way to often istg,@theMazingbulk,2025-02-12T12:20:37Z
Why the first lyrics rythm is same like Infinity by one direction. Am i the only one?,@R3Y22,2025-02-06T13:41:35Z
This song has such a catchy beat,@RickyBrown-i4d,2025-02-03T00:49:35Z
"So brilliant and powerful,  thank u for the good vibes..helped me through tough times",@joymyers2525,2025-02-02T08:03:53Z
"I remember always hearing this on the radio, it reminds me so much of summer 2024, it’s so nostalgic.",@BenCor-h2y,2025-01-29T03:00:58Z
What melody...,@rogerskalende7962,2025-01-25T08:28:45Z
Essa música é tão 2014 vibes.❤,@SamuelJunior-n7u,2025-01-23T01:48:09Z
This song gives me 2021 vibes 😢,@COLDLOVY,2025-01-22T20:16:05Z
"This song literally makes me want to skip down the street, Happy-Go-Lucky. It’s giving wedding vibes and I’m here for it! Adding to the Playlist. 🫶🏼☮️🤍✝️",@denisevegas6133,2025-01-22T00:12:21Z
It gives of avicii and one republic vibes,@Itsonlyram,2025-01-21T00:00:51Z
Your music brings me a very good vibe I love your songs💓,@MineAndYours_My,2025-01-19T22:59:32Z
vibes of George Ezra ❤,@marietarnowski8761,2025-01-19T17:43:36Z
🔥🔥🔥❤🎶this gets me in my deep thoughts frl 🤒🤒,@ExoticsweedTVpage,2025-01-18T03:23:52Z
Whoever can see the lyrics is sigma,@Azmirramirra,2025-01-13T04:52:51Z
Anyone else getting Avicii vibes too?,@joelterradesmeriel474,2025-01-12T12:28:30Z
A fr vibe for sure,@JWitDaFlow,2025-01-08T19:40:57Z
que vibe meus amigos 😍🤗,@mateusmachadodossantos711,2025-01-08T03:56:23Z
I lost my mom when i was 13 and my dad and grandmother just a few months ago. I've been searching for a song to help me through this bc music has such a big meaning in my life. I love that i found a more upbeat song about losing someone.,@gwinpinkard7376,2025-01-05T19:29:57Z
Hard to sing along when the lyrics are a second too late.,@oregonbeachdad,2025-01-04T16:59:57Z
"This makes me realize..just how silly we can be..when we think we need things.. a bigger house, when you already have a peaceful home? More security in a relationship that was already perfect..we never know how much time we have on this earth..so to anyone reading this.. JUST TELL THEM.. say what you feel, appreciate what you have, don’t fall into the pit of needing something more, it’s an endless cycle of never being satisfied.. if you love someone, tell them, if you have something like the lyrics in this song..don’t let it go, work for it, try, life is too short ❤",@LizzieMarie1111,2025-01-04T05:47:35Z
"77 I am grateful universe, lord n angels 😇🙏💫💜",@Beauty-dt2fm,2025-01-03T22:42:38Z
this sounds like something i'd hear in a romance movie from 2014. it's so nostalgic!!!,@TheMaleSoprano,2025-01-01T19:42:56Z
So the way that song goes and how his voice pitch goes totally can hear.Hey soul sister song in this especially the beginning,@lore3586,2024-12-20T14:04:28Z
2016 vibes,@TOSKA-c6b,2024-12-18T22:23:32Z
Stay away from pitch corrections,@ChuckyJustice-z8q,2024-12-16T02:03:42Z
Awful,@Akibidiotpliet,2024-12-15T19:44:43Z
This guy either plays off the same melody or tries to steal Imagine Dragons songs. Wild,@davison415,2024-12-14T21:02:47Z
https://www.youtube.com/watch?v=MDzdHn-1ulQ                             Myles Smith - Stargazing Remix Deep House Phatflavas X Kaiya A.I,@djjammanphatflavas9419,2024-12-14T18:38:53Z
This song is so good just like the lyrics. The rhythm is catchy as I like ! It makes me want to ove all my body.,@Ines-ry3ez,2024-12-08T19:23:53Z
"Imagine the collab between AVICII and this guy, the vibe and voice are incredible",@bodyfuller,2024-12-04T03:25:21Z
"this piece of art is really made by true passion and  I feel it way down in my heart, I've truly been moved by your melody",@finalspoongaming9311,2024-11-30T22:06:17Z
resembles me of Kygo vibe :),@stefanhristov8115,2024-11-29T21:24:19Z
stomping with my feet to the beat of the music feels so good.,@Martin.Pols422,2024-11-28T21:47:25Z
Beatifeuul,@ShannaDenys-v6n,2024-11-28T20:05:30Z
The lyrics,@Jade.Wriolette,2024-11-27T20:50:16Z
This song giving drive by or counting stars vibes,@reneemachuca3026,2024-11-25T22:27:30Z
This has a 2013-15 vibe to it and I’m all for it,@virtue050,2024-11-25T19:02:12Z
"This song reminds me of a girl I fell in love with her name is Luna she's from Belgium, and I'm from Namibia so it was really long distance but we were happy, we went on calls for hours, sent each other little cute vlogs of how our day is I was happy and I'm pretty sure she was too but unfortunately her mom found out and she strongly disapproved, I just really miss her. Luna if by the mysterious ways of the universe you happen to read this I wanted you to know I miss you and I'll forever love you ❤️",@Zeldeb,2024-11-24T17:24:16Z
"Beautiful! This song has such good vibes, optimistic and nostalgic at the same time!",@padmapriyapuppala5011,2024-11-24T02:47:01Z
Bro it gives me Avicii vibes,@JohnnyPreston6699,2024-11-23T03:36:10Z
Is it me or does he have a bit of a George Ezra vibe going on? Remember him? 🙂,@lizabbott3319,2024-11-22T11:52:05Z
This song sucks big time so annoying everytime it plays on the radio,@MarcoAndriani-yi6lk,2024-11-21T11:08:43Z
Voice.lyrics 🎶 the world need music definitely,@peculiarnnedu7061,2024-11-17T06:40:51Z
"I like the melody of this song, but I realized that it has a much deeper meaning…",@AydenPettit-z5u,2024-11-10T20:47:35Z
Beautiful soulful song 🥰,@PeggyLawrence-cn1jn,2024-10-30T02:51:32Z
vibe 2014-2015,@DarkNess-ix7eh,2024-10-28T17:43:12Z
Worst song ever,@flylow260,2024-10-28T15:10:19Z
Vibes avicii😢,@Porai238thc,2024-10-28T12:14:48Z
Vibe fortnite,@dbzmarco9961,2024-10-27T20:35:15Z
Obsessed  with it so catchy,@shiree3282,2024-10-25T16:32:30Z
VIBE🔥 .. GOOD MUSIC 🎶,@adeelkhan3684,2024-10-24T07:37:05Z
This song gives off an Avicii vibe.🖤🍃,@zLzo10z,2024-10-22T20:32:33Z
"Idk how, but i was lucky enough to catch this song as i pulled into work. I searched it based on lyrics and found my new jam for the year.",@Shiny_Sean,2024-10-22T14:31:18Z
"What an amazing song, guy has a similar tone to james arthur but.....better imo.",@leegraham6822,2024-10-18T15:45:00Z
Une nouvelle jeunesse a la scène reggae made in France et surtout deux timbres de voix qui s'unissent à merveille yes papa longue route 'autour du monde'😊,@jfmontchal8429,2024-10-09T20:45:50Z
Nostalgicc vibes,@victorguerra9176,2024-10-08T02:00:10Z
Avicii vibes,@wallcover-s4j,2024-10-03T20:52:37Z
1 like if you feels this music  vibe,@arigatomlbb,2024-10-03T04:12:29Z
Such a catchy song❤,@alislabel340,2024-10-01T19:57:13Z
He has blocked this song on ultimate guitar... let that sink in. He has blocked a four chord song (A E C*m B). Literally a child's chord progression and he is protecting it like the Krabby patty formula,@bluebones1778,2024-09-28T00:03:17Z
This is giving James Arthur vibes and I am here for jt,@raineob4996,2024-09-25T04:58:43Z
"Letting you all know on a bit of science. The atoms that make us all up, they’re the atoms who made up planets, stars, who were made when the universe began. So you’re not just in universe, you ARE the universe, literally made of stardust. Take a moment and think about that… you’re way too amazing to let the troubles of life bring you down",@anarotnik4567,2024-09-19T18:33:32Z
"You know he’s a true artist when one song (solo) can tear out your heart but keep it beating at the end of an ugly break up, only to find you again (stargazing) after an unexpected love comes back into your life.. Myles Smith is on another level.",@focuskiing6934,2024-09-16T00:42:05Z
Beautiful and lovely lyrics. The melody is heartwarming too. Great track 🫶🌻,@Oceangrace90,2024-09-10T19:30:49Z
I think it would be impossible to explain to somebody how much I absolutely hate this song. The most generic thing I’ve ever heard,@garrethenderson9695,2024-09-09T22:44:33Z
"There is a boy, the love of my life. His name is Arthur and he wrote this song for me and myles sang it. Either im crazy and he doesnt exist or this universe is so beautiful that I should be perplexed, but how am I so lucky that I got someone like him. We have never met but maybe one day we will marry each other. I will write a reply to this song for him and maybe people will realise what he means to me. A legendary ancient love; I love you my Arth. Amazing song! Been likstening to it on repeat. :)",@NikitaSharma-mf9hd,2024-09-05T08:25:00Z
So annoying,@fireblademapping131,2024-09-05T05:52:59Z
I find this song and hey soul sister the same vibe,@darwinagcaoili6318,2024-09-01T07:59:01Z
This song brings me good vibes from 2014-2015💯. This is something I’ve been looking for quite a while. Songs that had melanin behind lyrics and just make you feel hopeful about life in general💫,@MrPandaOFICIAL,2024-08-28T22:43:10Z
Generic Kygo,@trashew,2024-08-23T01:33:34Z
I am a person with a very unique personality that allows me to feel someone’s emotional state and I cried when I first heard this master piece. Beautiful. I just want to know who the girl is cause she is lucky😊,@fargoairmuseum2947,2024-08-21T06:42:35Z
Absolutely in love with this song 💯💪 Good Vibes,@RJSiciliano,2024-08-20T19:49:28Z
GTA 6 vibes,@suhsah2937,2024-08-20T06:46:03Z
"a very very very very very very amazing beatiful and wonderful song, i love it",@mircoadelfio9842,2024-08-18T09:33:40Z
Why this song has 2012 - 2016 vibes?,@fabian6758,2024-08-15T00:02:37Z
ITs so emotional ❤ andn8 love it it its my fav rigjt nowj8m making a caed for my teacher shes been away for more than a month i also have an expensive chocolate for her❤,@TahliaCassidy,2024-08-11T08:43:23Z
"Good grief, can't anyone write something with more than 4 chords in the same pattern for the entire song..this song blows!",@anthonyharrison7034,2024-08-09T18:23:44Z
Bom diaaaaaaaaaaa com a melhor vibe de música 🥰,@julianeoliveira2043,2024-08-03T11:24:22Z
NCS Type Beat 🔥🔥🔥🗣️🗣️🗣️🥶🥶🥶,@readyforthehouse2,2024-08-01T02:24:20Z
"I really like this song, but it has a little to much ""wake me up"" vibes in it IMHO.",@schewing,2024-07-30T15:54:06Z
Got some Avicii vibes to this one.,@animehater1,2024-07-27T13:54:03Z
just like James Arthur voice ft. avicii vibes,@gipxxx,2024-07-25T11:28:09Z
James arthur voice 🤝 Avicii vibes🤘,@gipxxx,2024-07-25T11:26:51Z
This just gives me 2013/2014 vibes listening to this. My eyes and ears have been brightened 🤩,@saptieujobe9293,2024-07-23T23:34:11Z
I get strong avicii vibes from this,@josesmith8569,2024-07-19T19:47:14Z
Just discovered this song here on YouTube. It is great. Myles Smith is a very talented artist with an amazing voice. The lyrics are so good that I find myself listening to the song over and over again.,@lisaamarante7074,2024-07-16T00:18:39Z
2015 vibes,@Floyd_Steel,2024-07-09T19:36:00Z
This gives me those 2010’s avicii vibes I missed it,@cryptus24,2024-07-07T11:22:46Z
"verse 1 kinda sounds like counting stars, no?",@greenheaven6004,2024-07-06T00:04:14Z
Anyone getting any Hey Soul Sister vibes? 🤔🧐🤷🏻‍♀️😅,@jackies8021,2024-07-04T03:35:31Z
"I'm a sucker for this song. The voice, rhythm and lyrics are magnificent. Greetings from Argentina!",@joaquinvvvv785,2024-07-03T03:11:25Z
Absolutely LOVE this song!! Such a uplifting beat and words are so real!! <3,@fionarosec,2024-06-28T18:16:42Z
"Love the song, its so beautiful with amazing lyrics and music.",@kumari6004,2024-06-27T09:47:20Z
i m deaf thank you for subtitles lyrics please do it allways for your music 💝💝💝💝💝💝💝,@starskystars9493,2024-06-25T06:23:55Z
Wow what special lyrics. Congrats 🎉,@mariafietta6864,2024-06-20T20:36:01Z
"The beat sounds familiar, anyone know which song?",@Wiwislldm,2024-06-17T13:40:57Z
"Wow... what a uplifting beat, the voice, the lyrics, I´m became instantly a fan...",@TheDaan4444,2024-06-15T22:38:47Z
"Please know you are unequivocally gorgeous beautiful and worth it, and mean something to someone else even if they don't know it yet!!!!",@JordanMumma,2024-06-15T16:16:01Z
Just giving the AVICII vibes❤,@RAHISII,2024-06-13T22:54:36Z
I always feel the vibe whenever I listen to this song gat a great melody 😊😊,@AngelMalupande,2024-06-13T17:16:49Z
Avicci vibes,@Rogue_2B2,2024-06-13T10:37:06Z
Vibe,@makevideotheguy3025,2024-06-13T08:55:38Z
Superb catchy song only just come across it👏👏👏,@buzzabuzza3494,2024-06-11T12:14:05Z
This song will be nostalgic one day ❤,@IshyJJ,2024-06-09T17:11:45Z
@rawibeat #rawibeat,@IjtihadGibran,2024-06-08T06:44:48Z
"love the vibe of this song, been waiting for the official version for months",@thu-huyennguyen8887,2024-06-03T06:34:31Z
Its giving fifa vibes,@hamzavlogs5385,2024-05-26T20:07:46Z
