comment,user_name,date
Mimicked the beat from my dougie..,@daniel-gf8xj,2025-03-11T09:29:35Z
My song 🩷2025 🤘 😇 🫶 Let's Gooooooo NiKi ✨️ i feel these lyrics deep 💋🎶 muuuuah hehehe i feel you 🔥 that right girrrl hehehehe muuuuah i love you 💯,@KristaLopez-k2i,2025-03-05T07:22:30Z
She walked this beat like god walked on water 🦄😮‍💨👸🏻,@nickiminaij,2025-02-28T06:15:47Z
"it sure vibrates every tingle in my body, good vibes,❤🎉😂❤😂😂🎉🎉🎉😂❤❤❤❤❤❤❤❤",@PoisonNoYello.N.bSmith-l5b,2025-02-20T01:08:50Z
Say beat sara micle nicole dawkins beat yoyr wifet fyckerd her good coubt two three look uo to her sleep high trio hard cone whzts up killers our back  ut d nikk8. Bkue bad two difference you we  droo m6 riyce draco guns feet beat i mean nikk8 minja destie kee ooen botega montega mon tega botega bukd off you alanace hubdre blue big diffence s misic ueah hubdred keep twi j7g ne you n you bad butch two two know cara yeah mibes e. Wifey,@CliftonGilmore-w8o,2025-02-12T04:24:01Z
"I wish there were more women like her!!! We have the power to get everything we want , love yourself first and stay away from emotionally unavailable boys who just want to increase their body count",@Tigre-qd2gw,2025-02-06T02:22:50Z
"YES Nicki... her flow, the lyrics ALWAYS ON POINT...# 1 FEMALE ARTIST!!!",@kellysmiles8962,2024-12-31T17:44:09Z
"Dezembro de 2024. Baixar pra fazer, um video na vibe na praia final de ano 🎉",@weltonpires3591,2024-12-17T19:48:56Z
High heels on my tippy. .....❤ nikki....I no all these lyrics ...FTCU,@Carol-42,2024-12-10T10:30:51Z
The style on the second verse,@amossichembesiwila1756,2024-12-01T22:48:54Z
Worst song on the album I’m crine,@WinxAliNelCielo,2024-11-23T18:34:48Z
"Funny I know she took this beat from someone else 😂 and I like the original better, STCU",@yaneh96,2024-11-13T16:56:33Z
"BARBZ! ""FTCU"" has now surpassed 200 million streams on Spotify! This is Nicki's 47(48)th song to achieve this milestone! Keep streaming Nicki! 🦄👑",@sheckz5,2024-11-07T19:14:07Z
You beating me they never let me in,@DionneStone-gr9rf,2024-11-04T05:16:19Z
Catchy bars 🔥🎙️🎵🩷,@Sunflower-e7k,2024-10-30T00:30:36Z
I suddenly know how to dance on beat now,@Shlumdawgg,2024-10-26T04:44:52Z
Charleston white needed to take notes from this song cause he was now shot up in Chicago,@yolondaadams7343,2024-10-20T20:17:14Z
Antone Fords,@TimCammarota-j8t,2024-09-21T04:52:16Z
Beatty Corners,@ÖkkeşBatıgar-k8l,2024-09-21T02:41:25Z
