comment,user_name,date
This is an amazing song. Full of heartfelt love touching questioning  feelings deep inside ❤,@carollenz5130,2025-02-16T03:13:59Z
"My 6th grade teacher used to play this all the time in our class room, (we were all considered elementary students still since our middle school was only 7th + 8th) and when it was the last day of school all of us hugged each other and cried. I still listen to this song and get emotional, thinking about that year",@Furina_Lover1,2025-01-28T02:35:15Z
Amazing lyrics ❤️,@sofiarodrigues4997,2025-01-24T14:30:13Z
I love the chorus,@SarahKassab-i2u,2025-01-24T06:11:06Z
"Man like maybe I just gotta think sometimes y’know life is good but sometimes I wonder,there is a version of me who is living a awful life rn",@CorbinAdams-m6v,2025-01-18T02:23:01Z
Nice beat ❤❤❤,@Rachael-p5e,2025-01-12T08:16:46Z
The lyrics ❤,@Someoneuusedtoknow13,2025-01-08T20:54:20Z
I miss her so much so so much I’d give anything to get that version of her that loved me back all I feel is despair followed by despair this song resonates deep in my heart right now,@Yyywywhwhhwhwhhwhwhu,2024-12-30T17:08:32Z
"love this tune  , but has dark tones that haunt",@grant-w3o,2024-12-28T04:26:22Z
Top contender for one of the worst songs of all time,@GoingSalt47190,2024-11-11T12:50:32Z
"His lyrics are so damned depressing, he makes Alice in Chains sound like the Bee Gees. Yet, somehow, I can't stop listening.",@jasonellis1964,2024-10-30T12:47:24Z
listening on repeat because i love him more then anything in the world and i can’t even explain it but i made a giant rant it my notes about him and im so inlove but i have no chance and im crying over him like i always do and my friends told him everything and he hates me now because he knows i was stalking him a lot and now he stopped texting me and talking to me at all and we used to be so close but it’s all over and he’s moving schools next quarter because he lives far away from the school and like 1 1/2 hours away from me and the thought of him not being in my life just shatters my heart,@ululonokapu,2024-10-20T09:42:18Z
This song is so much deeper and more painful than it sounds. I love every verse.,@SkydivingSquid,2024-10-16T09:04:15Z
I really love this song its so emotional ❤❤,@LeonLeierzopf,2024-10-14T11:10:30Z
"the subtitles seem like a translation for the meanings behind the lyrics, that's pretty dope",@smallsavage1297,2024-10-09T16:15:40Z
"This is such a sad song but gods does it make me feel good. After an emotionally rough week, listening to this almost has me laughing. There's something so hopeful in the sound",@swampcr3ature15,2024-10-01T22:46:04Z
Recently left primary school and we changed the lyrics to this song to fit snd we sung it to the whole school on thr last day❤ makes me think of prinsry school,@BlackSapphireCookieOfficial,2024-09-15T20:42:55Z
At the end ov the day every one takes somthink different  from it emotionally and thats the point so thankyou for your song x❤,@ArranDoolan-yn8po,2024-09-06T22:47:26Z
"We can't be the only ones that thought he was saying ""suck your mom"" not ""I saw your mom"" 😂 had to check the lyrics! Lovely song though!!",@ThePurplemusiclife,2024-08-25T12:38:44Z
My other half was you was so emotional,@LaylaFleming-cq2wo,2024-08-18T21:03:29Z
For real this dude has the most annoying voice. Like maybe he should have auto tuned or took singing lessons. Its almost as bad as that counting crows guy.,@MegaYupthatsme,2024-08-15T00:22:03Z
One of the worst songs ever recorded,@MarilynMalkovich,2024-08-14T19:38:13Z
😢 too realy WAY too emotional 😭💔,@GarethPartridge-w5x,2024-08-13T17:43:49Z
Anyone notice how the subtitles literally just explain the lyrics 😂God I love this song,@chickengaming5361,2024-08-12T07:43:10Z
"Im practicing the lyrics for karaoke night, its damn tough. Love the challenge though. 😅",@lezilsaunders4764,2024-08-06T13:08:18Z
"I always thought the lyrics said ""soccer mom"" instead of ""saw your mom."" It all makes sense now!!",@enolidaly,2024-08-05T15:35:58Z
I have just listened to this and ❤Omg..To be honest i have not heard any songs that have emotionally connected with me for a while. 🙂This Artist has achieved something that almost all Artists these days lack entirely...EMOTIONAL CONNECTION,@Leggy_Lines88,2024-08-04T14:46:57Z
I can pretty much relate this whole song to my dad walking out on us… after how many years and how many listens? Damn slow hitters are the worst,@sophieevans6788,2024-07-25T14:45:23Z
"I thought the lyrics was ""soccer mom..."" LMAOOOAA not ""saw your mom"" oops",@lifewithliv07,2024-07-21T05:11:24Z
"Heard this accidentally during my nephew's end of school musical today. Heard it before once or twice but never paid much attention to it. Tonight figured to look it up, and armed with just the word ""sticks"" and song, actually found the song (thankfully the title isn't something completely different). It's quite nice the lyrics are shown in the video, and reading along to the song it's a shame I never looked it up before. The lyrics really hit home and is a close second to a song called ""bees"" (the ballroom thieves), which has brilliant lyrics in my opinion. Anyway, thanks for makiing a song that's gonna be on repeat for a while.",@robinvos1703,2024-07-10T23:33:16Z
"""Some version of you that I might not have but I did not lose”: Last fall, my ex and I went on this short road trip through New England and we heard his entire album. Four months later she broke up with me. The lyrics are so accurate that I can't hear this song anymore without feeling being torn to pieces from each word.",@fedtc,2024-07-07T08:22:25Z
I’m from Vermont and this is very special because because I can deeply understand the song,@MelonBoy1646,2024-07-05T18:40:30Z
i get king of the hill vibes from this and i dont know why,@Phneebcore,2024-07-01T18:15:39Z
such an emotional song 😢😢😢😢,@GamerPlayzRoblox-hd2eh,2024-06-28T19:06:46Z
"if your going to do a music video with lyrics, you should make it so you can read them before they are sung... as always, Love the jams",@EnchiladaBro,2024-06-23T15:17:28Z
a very paul simon vibe... nice,@raypeters7449,2024-06-19T16:56:50Z
Worst part of the song. The ending,@txqzt,2024-06-18T13:08:26Z
Pure emotion,@LukeThatcher-tq8qn,2024-06-18T07:16:38Z
I don’t care what the lyrics say I always hear “soccer mom” 😂,@kingschill23,2024-06-15T01:13:34Z
"Before you knew the lyrics did you used to think he ""liked to play the victim of drake?"" 😂😂",@Cam-ms8qi,2024-06-14T13:42:14Z
"It's horrible ear ache, like most contemporary rubbish.",@anthfax,2024-06-11T20:58:11Z
Our dude writes some of the most relatable songs about loss and heartbreak. The images his lyrics conjure up is impressive storytelling.,@dazem8,2024-05-30T03:21:58Z
Dam....that's deep,@brittanyrussell6196,2024-05-30T00:42:54Z
Wow this song gif our a beautiful emotion❤,@carolelavoie3669,2024-05-26T17:44:53Z
"Who's here from the ""season of the shits"" guy that made a remake on Facebook and you needed to know the actual lyrics",@stacieaviles2382,2024-05-25T20:14:40Z
