comment,user_name,date
"I know YOU KNOW MR BRUNO THATS WHY UR A APT SUPERSTAR JUST LISTENING TO UR LIVE PERFORMANCES BLESSED  UR VOCALS AND THE BAND MEMBERS MAN I JUST KEEP REWINDING IT BACK ARE VERY WONDERFUL TO ME EARS.......THANK YOU FOR THE MUSIC GOOD FEELS TYPE OF WAY YOUR AWESOME MUSIC YOU CAN COLLABORATE WITH ANYONE AND IT COMES OUT LIKE OH MY. .. GOSH BECKY LOL I WONT TAKE THE LORDS NAME IN VAIN JESUS LOVES YAH BY THE GRACE OF GOD UR LIKE TOTALLY VOCALS YAH LIKE TOTALLY DUDEES  ARE SO ANAZINGLLY GOOD TO LISTEN TO, THANK YOU ALL THE MUSIC LIKE TAKES ME BACK LIKE THE 70S 80S ROCKED THO TO LIKE THE MANHATTANS MARY JANE GIRLS TEDDY P THE WHISPERS ARETHA  SO MANY MY OLDIES BUT GOODS INFINITY KEEP ON MAKING EM LIKE THAT LOVES. TRAIN WHO DOES THAT AND ROCKZ IT BRUNO AND THE AWESOME  BAND GUYS LOL THATS ALL  I KNOW YALL HAVE SO MANY FANS SO I JUST GONNA SIT DOWN AND LIKE CHILL JUST WANTED TO SEND YOU ALL SOME TRUTHFUL COMMENTS OF MINE 😁😊☺️😬😬",@julietupuahmausolomogatavi5079,2025-03-21T16:17:33Z
I love blackpink they have a different vibe,@AditiKhattak123,2025-03-21T15:38:15Z
The vocals are very good. Rose and Bruno Mar are very good. Not gonna lie.,@JerryGaming8686,2025-03-21T13:16:30Z
I missed those random artist collaboration we used to get vack in the 10000bc This has those vibes and im here for it,@ODINSWISHES,2025-03-21T06:28:14Z
The vibes perfect,@JoyceAgSc,2025-03-20T23:07:15Z
Worst song i have ever listen,@anwarzaidi-n4w,2025-03-20T14:30:43Z
One of the worst songs in existence. I bet diddy sings better that this,@nishatsultanachowdhury5408,2025-03-20T11:22:09Z
One of the worst songs in existence,@nishatsultanachowdhury5408,2025-03-20T11:21:32Z
Sounds too nostalgic,@MarcDouayoua,2025-03-20T11:18:49Z
I think I got stuck in the vibe of apt  ❤🔥♾️🤟🏻,@AmalaJothiS,2025-03-20T08:36:10Z
I missed those random artist collaboration we used to get back in the3000 s This has those vibes and l m all here for it,@lalpianpuiipachuau1364,2025-03-20T04:35:52Z
"""Wow, this collaboration is pure magic! Rosé’s voice blends so effortlessly with Bruno Mars’ vibe. The chemistry, the visuals, and the music—everything is just perfect! 😍✨ Can't stop replaying this masterpiece! 💖🎶""",@Lanyinlove,2025-03-20T03:56:44Z
I missed those random artist collaboration we used to get back in the 2000's. This has those vibes and I'm all here for it.,@nishu_deshwal-k,2025-03-20T03:11:58Z
I needed a reason to vibe..to dance..to enjoy...I got it now Thanks Rose and Bruno 🙂,@triangleangle,2025-03-20T01:32:22Z
Me in November vibeing out to this 😂❤️,@Cakeskales123,2025-03-19T22:37:18Z
0:32 put the chorus of milk it over this part😭,@LouisPlaysGuitar,2025-03-19T19:41:40Z
"My 2 year old made me come here, and play repeat...repeat..and repeat. Not to bad after the 500th time. Still pretty catchy!!",@Xoxoitsmebb,2025-03-19T19:25:00Z
Red heart Molly's that's from when I was like 15 why are people using my past for lyrics,@nawshlovestodance,2025-03-19T19:17:54Z
"I thought this song was at least 3 years old, it's so catchy and funky that it feels like it was your brain for years XD",@pumwop,2025-03-19T17:44:13Z
"I miss the late 90's earlys 2000 music ,nowadays everything is either k-pop or taslor swift, worst music era ever.",@TheReactionTime-d1v,2025-03-19T15:47:54Z
"Rosé looks so happy and their chemistry is so good. To see her express herself outside of the YG sound makes it even more special to see her artistic rangeWhen this song has no dark energy/vibe like other music, makes me feel proud and happy",@motlatsimakhasane7368,2025-03-19T14:35:11Z
APT is my favourite song for a year it’s my ring tone,@StitchandAngel101,2025-03-19T14:30:41Z
I missed those random artist collaboration we used to get back in the 2000s. This has those vibes and I'm here for it.,@Nayumkim,2025-03-19T10:01:17Z
"Admitted to this song, dance move, rhythm, lyrics",@tsagardeokar2392,2025-03-19T08:19:50Z
Worst song to hear in the morning at radio,@bogdancurea4657,2025-03-19T05:46:38Z
Most annoying song of the year,@Vibbe_rant,2025-03-19T04:46:32Z
So vibeyyyyyy,@cherrycherry_ladyy,2025-03-19T02:35:26Z
"Tenho 29 anos, faz tempo que eu não ouvia uma música tão legal e um clipe tão bem feito quanto este, curti demais parabéns! 🇧🇷🇰🇷🇺🇸",@filipe89,2025-03-18T17:40:16Z
"Bruno Mars never misses! 🎶🔥 His voice, the melodies, and the emotions in this song are just unreal. And Rose APT's part? Pure magic! ✨🎤 This collab is everything we didn’t know we needed. Instant repeat! 🔁❤️",@imusic-comment,2025-03-18T17:15:41Z
That “apt apt apt” part is hella annoying not gonna lie. Bruno should release a version without that.,@s550tv8,2025-03-18T15:37:20Z
My 5 yr old daughter introduced me to this song i had not had it a week ago and now its my ringtone🎉❤❤🇰🇪🇰🇪,@dedanndegwa8301,2025-03-18T14:56:00Z
This is the worst song i have this all time,@TransportDepartmentKAACDiphu,2025-03-18T14:21:21Z
"🌹✨ ROSE & Bruno Mars are pure magic! 🎶💖 Their voices blend so beautifully, giving us chills with every note! 😍🔥 The vibe, the emotions, the perfection—this song is EVERYTHING!",@DEVIND1_CREATIONS,2025-03-18T10:55:43Z
what an annoying song,@Thedystopianman,2025-03-18T10:43:14Z
1.3 Billion Views in 4 months?!?! Their going to beat Baby Shark at that rate,@Game_Zone906,2025-03-18T03:40:51Z
"I missed those random artist collaboration we used to get back in the  2000,s. This has those vibes and l,m all here for it.",@carlosarmandourbinalanza9903,2025-03-18T01:55:23Z
I missed those random artist collaboration we used to get  in the 2000's. This has those vibes and I'm all here for it.- 2000년대에  초를 얻곤 했던 무작위 아티스트 콜라보레이션이 그리웠습니다. 이 영화에는 그런 분위기가 있고 저는 그것을 위해 여기 있습니다.,@Koreangirl-122,2025-03-17T21:59:48Z
Wtf are they actually saying in the chorus???,@nicolelivingstone3041,2025-03-17T20:52:36Z
Shittiest song in the universe,@cristianrogozan3060,2025-03-17T20:36:35Z
I missed those random artist collaboration we used to get back in the 2000's. This has those vibes and I'm all here for it.,@AnnieMorgan-w2f,2025-03-17T20:16:02Z
"Such a powerful voice, it gives me chills.",@PiperNewton-q7z,2025-03-17T14:32:15Z
The lyrics of this song really speak to me.,@NaomiFletcher-p3b,2025-03-17T14:30:58Z
❤❤❤🎉🎉🎉😊😊😊beatiful❤❤,@DarzamaZama,2025-03-17T14:20:04Z
This song has such a catchy beat!,@MollyOsborne-d3v,2025-03-17T14:19:15Z
"Such a powerful voice, it gives me chills.",@KaylaHarrington-z8d,2025-03-17T14:12:44Z
"Such a powerful voice, it gives me chills.",@MelanieWarren-f3b,2025-03-17T13:58:37Z
"Such a powerful voice, it gives me chills.",@TessaBaldwin,2025-03-17T13:54:54Z
This song has such a catchy beat!,@JadeSpencer-k6e,2025-03-17T13:53:41Z
Worst song of all time,@numerongateygo,2025-03-17T13:01:58Z
this song has the 2000s vibe..i love it!!,@proplayer3103,2025-03-17T12:36:00Z
"People who want to read the lyrics: tyewnah gamon sta game in sta game start Apt apt apt apt apt apt uh uh uh kissy face kissy face sent to your phone but I'm tryna kiss your lips for real uh uh uh uh red hearts red hearts that's what I'm on yeah  come give me something I can feel oh oh oh don't you want me like I want ya baby don't you need me like I need you now sleep tomorrow but tonight go crazy all you gotta do is just meet me at the Apt apt apt apt apt apt uh uh uh Apt apt apt apt apt apt uh uh uh whatever is whatever is whatever you like,let's turn this apt into a club uh uh I'm talking drink dance smoke freak party all night gmoen gmoen girl wassup oh oh oh don't you want me like I want you baby don't you need me like I need you now sleep tomorrow but tonight go crazy all you gotta do is just meet me at the apt apt apt apt apt apt just meet me at the apt apt apt apt apt apt uh uh uh hey,so now you know the game are you ready cause ima get ya get ya hold on hold on im on my wayyy yeah yeah hold on hold on I'm on my way yeah yeah yeah on my wayyy don't you want me like I want you baby don't you need me like I need you now sleep tomorrow but tonight go crazy all you gotta do is just meet me at the apt apt apt apt apt apt apt apt apt apt apt apt apt.",@JW-ly7dq,2025-03-17T11:58:37Z
I confused in apetu but it name is APT but the lyrics is added some word of Korean but very confident in Bruno mars and Roes ❤,@farhanking4777,2025-03-17T11:42:52Z
"Rosie this collab is something unexpected but so great. This banger is such a vibe, Thank you bruno and rosie for this forever iconic banger!!🤩",@AinaaForever,2025-03-17T10:19:38Z
This song is soo catchy 😢,@bahtiar360,2025-03-17T10:15:22Z
Using Black and Pink tone color prove that she dont forget where she come from,@rezkywisanggeni8214,2025-03-17T07:16:12Z
Black musicians 🤝 asian musicians having the beat collabs,@lcicada,2025-03-17T05:51:03Z
