comment,user_name,date
That beat switch is so cool,@siraveryknowsitall4581,2025-03-19T14:48:47Z
Ok I know that perhaps the intent of “I never had a doubt inside me and if I ever told you that I’m f*cking lying” is meant ((maybe)) to be like arrogant. But personally I see it as kind of lying to ones self like deep down you probably know you will be safe and happy but its the cards your dealt that make you doubt your ability but you are capable,@incognitospaghet1452,2025-03-17T16:38:27Z
1:25 is the worst part,@Reeeeeman-gang,2025-03-01T20:11:48Z
On the beat drop at the Chromakopia tour IT WAS C-CRAZY ISTG,@MonkerYTgarbvrreall,2025-02-20T19:31:43Z
The vibe is 🔥. I can feel it 1:07,@frankkoomson1180,2025-02-17T23:58:16Z
0:28 I can’t believe they got SpongeBob to produce vocals for this song in the form of screams,@personrhs,2025-02-16T00:29:30Z
Worst part 1:25,@ISDEAD-official,2025-02-15T23:35:19Z
A couple weeks ago I was in my computing class sitting next to my friend. 4 some reason I started to sing this song quietly in my mind but then my friend also started to sing along and we were getting louder and louder and we even started to hit our legs on the floor to the beat. I'm not sure why but I feel like this is that type of memories that stays with you forever throughout your life. Just wanted to tell y'all a funny story.,@Realfreakguy,2025-02-13T13:07:29Z
Bruh what annoys me is that the actors are marching off time by the slightest tempo ever and it's annoying 😭😭,@Bryan-o7y7n,2025-02-10T22:07:21Z
That beat is straight 🔥,@2578uh,2025-02-10T11:36:38Z
I went to the concert and I cried twice it was so cool to see the whole stadium in complete unity. Music is so powerful.,@CatsSmore,2025-02-08T17:31:00Z
I WAS SPAZZING WHEN I FIRST HEARD THE BEAT DROP LOL,@call-snoopy,2025-02-04T22:14:29Z
Lyrics?,@AthenaHermeson,2025-02-04T08:04:03Z
ts already nostalgic💀,@sun1375,2025-02-04T06:32:25Z
"3 months later, ive listened to this album probably 30k times already and this still gives me chills at the beat drop",@MaxwellMiller-lk3xl,2025-01-31T15:21:50Z
That build-up to the beat drop😢😢😢,@trevorbristow1649,2025-01-26T14:16:45Z
That synth is sexual,@szubf6544,2025-01-23T18:16:12Z
0:45 My brain telling my emotions to leave before a test (I only have anxiety and sadness now) 😌😍😍😍😍😍😍😍,@Lalalala-b2r,2025-01-18T08:52:46Z
0:41 giving see you again vibes,@faegyu,2025-01-17T05:10:25Z
1:08 omg the harmony,@Karissa1234,2025-01-12T09:37:10Z
The vibe<<<<,@houdafassi3078,2025-01-06T14:43:25Z
THE BEATS ARE GOOD🔥🔥🔥🔥,@AidaneditsYT,2025-01-05T23:25:34Z
"Idk why but the lady sing back vocals reminds me of the ending of “The Witch” , where the witches are gathered around the fire in the woods sing and dancing",@JoseSanchez-dv6fg,2025-01-03T20:10:40Z
0:00 I played this at 11:58 on New Year’s Eve so the beat would drop on 2025,@Bassthrone_YT,2025-01-01T17:50:42Z
Its so catchy,@Gigixadoress,2025-01-01T07:37:14Z
"If you play this at exactly 11:58.06, the beat will drop on new years",@MackenzieRelyea,2024-12-31T22:39:56Z
something about the way this is mixed is way better than on the album. The full version of the song with this mixing would be so peak.,@joesteazzzy,2024-12-31T08:47:29Z
🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤯🤯🤯🤯😤😤🤯😠😠😠😠😠😠😠😳😱😱😱😱😱😱😱😥😥😥😱😱😱😱😱😱😓🤭🤭🤭🤭😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝🤨🤨🤨🤨🤨🤨🤨🤨😛😛😛😛😛😛😗😗😌😌😌😌😌😌😌😌😌😌😌😌😌😌😌😌😇😇😏😏😏🥸🥸🥸🥸🥸🧐🥳🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓😜😜😜😜😜that’s the lyrics 😂,@Deathblow-j4d,2024-12-31T07:50:10Z
that beat drop!!!!!!,@catherinehuitt9965,2024-12-30T11:55:48Z
"if you can, try to time the beat drop with midnight on new years eve",@rom-ps2uo,2024-12-29T22:07:36Z
"Dude, that beat drop at the end goes crazy though",@user-vj3tz2dq8g,2024-12-24T13:48:05Z
