comment,user_name,date
Love the vibe and the vocal,@StarBeatAndMusic,2025-03-19T07:34:50Z
If you just sit there an vibe out the music it's a great feeling! Simple & plain,@JamesOdaniell,2025-03-19T07:27:41Z
Wow girl what a beat❤,@AmeerahRosenberg,2025-03-13T16:24:51Z
I clicked this by accident but when that first song hit... it was clearly the universe telling me what I needed.,@Serenaa63,2025-03-07T08:49:52Z
"The beat, her voice 😭",@4rySatoru,2025-02-28T17:39:42Z
I just feel her vibe back when i was 12 now im 14,@JETSBIGFAN,2025-02-23T21:53:57Z
"Babyface, Leon Thomas and Justin Bieber made magic with this song. Minus the toxic first verse 😂😂😂. I love it tho 😅",@MIHI_by_Grace,2025-02-14T10:01:06Z
Ok but what does she actually sound like without autotune?,@usmcpound,2025-02-13T01:09:40Z
"I’m 48 years old and all I’ve got to say is that the music SZA sings is what this world needs! Her vocals and smooth R&B sound is absolutely top notch. Please, let’s keep this amazing genre alive through eternity!",@DonJHughes,2025-02-12T04:50:47Z
This song makes  me feel good and filling the vibe,@WilliamPortillo-h3w,2025-02-06T05:04:36Z
Cara essa musica e a vibe perfeita pra um dia de chuvaa ❤,@gabrieledeoliveiraalves4988,2025-01-30T19:23:25Z
"Millions thumbs up beats of this song instruments..billions thumbs up song..trillions thumbs up on Lyrics of this song Is a Loveable song.. JANUARY 26 ix, 2025",@ProsperityJehovahbabe,2025-01-26T16:55:06Z
I absolutely 💯% love 💗 this song!!! Emotional 🥲.,@annabellelynch9984,2025-01-19T11:28:24Z
0:00 fire beat,@Mormtis_YT,2025-01-18T09:37:41Z
Damn this is  sooooo ..emotional,@renaldopickering4899,2025-01-17T14:16:16Z
The vibe is just amazing and still listening until 2025 😊,@charitylong517,2025-01-11T00:15:13Z
2025 still a vibe❤❤❤,@TPTheRealMusicianMusic,2025-01-05T18:52:37Z
2025 and this is still a vibe,@TheQueenGlam,2025-01-04T18:10:13Z
"everytime her phone vibrates in the song i check my phone its so annoying, it happens so much to it really kills the song for me fr",@berry887,2025-01-04T01:26:55Z
Snooze by SZA is in the key of Ab Major. It should be played at a tempo of 23 BPM. This track was released on 2024-01-01.,@GabbyLalonde-p1x,2025-01-03T20:21:56Z
this the worst song😂😂😂😂,@Strawberryok1,2024-12-27T16:41:39Z
"I heard this tune for the first time a few days ago.This is hot,I’m digging the vibe 👍🏽👍🏽",@carsonjohnson1035,2024-12-21T21:50:54Z
"The person that record this hit, please i feel this so deep. All I can feel is love when I listen to this master piece. Thank you for this ❤❤",@AnikaBryan-z2q,2024-12-16T01:36:05Z
This song has that 90's carefree rnb vibe to it.,@jonnydangerous2497,2024-12-12T23:33:43Z
"1:48 I've been listening to this song every day lately, her voice is so amazing I can't get enough of it. ❤️Sometimes her high notes sound like an old Justin, am I the only one who thinks that?",@Soundhub098,2024-12-04T21:44:37Z
Los Angeles California Vibes...,@LuzApodaca-q2v,2024-11-25T22:02:49Z
