comment,user_name,date
2:20 the duet with the synth is an awesome touch,@chuckscheller4346,2025-03-21T13:12:03Z
"I just heard this song for the first time today, and immediately fell in love with it! 🔥 It's definitely a feel good song that reminds me of the carefree type of vibe that you feel, driving along the coast with your girls (or your crush) as the sun is setting on a warm summer day! 🌅❤",@Haywood79,2025-03-21T06:14:46Z
THE VOCALS WENT INSANE IN THIS ONE !!!!!,@eggnog-qi3bh,2025-03-21T05:20:10Z
It such a good summer vibes song 🎉❤😊,@williamsweetser2513,2025-03-18T07:51:00Z
She gives me Mariah Carey vibes fr! Her songs are always a vibe!,@darrenwilliams3398,2025-03-17T15:31:46Z
Death Becomes Her vibes … especially the end 🔥,@fraulein_farah,2025-03-17T04:39:29Z
Uggggh! im trying to see where she sampled  this beat from what old song,@BossThoughts100,2025-03-16T21:23:19Z
Love the song. The video is friggen awful. 😞 just terrible. Why bother?!!,@samberg1477,2025-03-16T00:29:03Z
this girl gives me bonnie blue vibes,@jbaveragegaming4899,2025-03-13T06:46:45Z
"Same Repetitive Crap Same Sexual Innuendos Like The Other ""Songs"" Out Now.. 👎👎👎👎👎👎👎🖕🏻",@BadassKween33,2025-03-12T18:47:37Z
beat is great lyrics need some work,@jonathansaporito381,2025-03-11T03:18:18Z
"This song gives me it’s summer time and you have a crush on someone, and like nostalgia summer vibes if that makes sense 😂",@nxquanfn,2025-03-10T18:57:40Z
Those catchy lyrics make the song such a good one and I Love It! She really deserved all grammy's.,@SharkyJuega,2025-03-09T08:33:40Z
Wtf this is fucking annoying when the atuipd ass cameraman puts it close to her like damn,@rebeccarobinson2547,2025-03-08T03:45:16Z
For anybody wondering what beat this is it’s so into you by Tamia.,@Heem200,2025-03-08T01:59:48Z
I thought this was the actual vid not lyrics,@HelenGatley,2025-03-06T08:30:39Z
bro i love the lyrics🥰🥰🥰🥰,@PaigeWilder-g6j,2025-03-05T22:20:11Z
"this entire time i thought this song was called ""bad chem"" as well as all the lyrics. </3",@_Iemonboy.,2025-03-04T06:09:41Z
Is this the worst most shallow lyrics of all time. OMG awful. I like the best but that's it.,@robertbarth5816,2025-03-03T21:42:01Z
"The beat is reminiscent of the mid-80s, featuring scenes of fraternity parties with tables of cocaine, pool parties, and attractive girls. Life is extremely naughty ",@Petermomo5050,2025-03-02T15:02:40Z
"i didintt know what the fuck shes was saying in the chorus before but it still sounded amazing,,",@paisleybull,2025-03-02T01:50:04Z
She put out a great Cool Vibes Album! Loving every track.,@AMTMediaVideoGo,2025-02-27T15:33:46Z
"Forgive my ignorance. When hearing JUST the chorus, at work, i always thought this was ariana grande. I havent heard many of her songs either but now that i hear this i feel stupid lol. I like this song. Had to confess to my foolishness 😂",@N9Entertainment_,2025-02-27T09:22:36Z
Prechorus sounds like a female Pop Smoke lol,@jdkorn22ify,2025-02-25T01:05:39Z
Do men really find her attractive? She looks odd to me. Her lyrics are so confident like she’s hot shit but I just don’t see it.,@allstopblue5717,2025-02-23T08:12:09Z
The beat sound like The Gap Band’s Yearning for your love,@vontaemusic,2025-02-23T07:39:55Z
ok u ask for Deep House Remix fire 4 sure!! https://www.youtube.com/watch?v=s84s5-GU1eM,@djjammanphatflavas9419,2025-02-22T15:46:02Z
"I'm not a fan of her, but I just can't hate on this song. There's just way too many good lines, and the beat got that 90's early 2000's sound.",@michaelwinters9642,2025-02-21T06:07:12Z
Did anybody get Tamia ft Faboulos “So into you” vibes? Or it’s just me?,@andradragan8030,2025-02-19T19:42:41Z
"Sabrina should really switch lanes  to R&B. This is tha only song I can tolerate of hers. Espresso sounds just like Flowers by Miley or Happy by Pharrell. Over commercialized pop garbage. But Bed Chem has like early 2000’s/late 90’s R&B vibes. Plus, with her making music like this, she REALLY shouldn’t be gearing her other songs towards tweens and lil girls. I saw her concert footage. Looked like a strip club.",@Whothisis1,2025-02-17T19:10:59Z
She makes the most dirty lyrics sound heavenly,@M.YaazielCortesJR,2025-02-16T21:46:16Z
All of Sabrina’s music has an 80’s vibe. Love it ❤,@aspieangel1988,2025-02-15T22:43:58Z
What an astounding beat and catch ass lyrics that's bed chemmmm..,@nutsokapone8698,2025-02-14T23:36:17Z
Love the beat❤,@StevenDay-n1x,2025-02-14T22:11:51Z
If u see my tough ass this summer riding with a pretty lil thing listening to this don’t judge me it’s a vibe 😂,@FreshCoast187,2025-02-12T14:39:37Z
Beat of fabulous and tamia so into you,@diamondp419,2025-02-12T08:31:12Z
any true music fan knows she got this beat from Mickey Avalon Mr. right don't believe me you tube it. i love this song even more now! Sabrina is a new fav!! <3,@livideadgirl,2025-02-12T04:17:59Z
"They played this shit 100x on the TV’s early morning in LA County jail… heard it so many times I ended up liking the song 😂😂🔥🔥 damn didn’t know the lyrics till now , 😂😂",@ogtokey,2025-02-10T16:57:00Z
"Groovey. Has a sample of the beat for ""so into you"" by Tamia from the 90's",@sheldevsim,2025-02-10T03:44:33Z
Reminds me of old school roller skating back in the late 90’s early 2000’s. Love the beat.,@Jag12313,2025-02-09T03:18:14Z
Love how this song has a retro throwback vibe. Nostalgic. One of the standouts from the album,@MusicShaddyRaddy,2025-02-08T21:05:23Z
"This song is actually phenomenal. I'm mind blown how people write songs like these. The word play, beat and rhythm. Actual masterpiece. I listen to a lot of metalcore, post hardcore, pop punk but pop music has their really outstanding shining moments.",@krilaz,2025-02-08T18:33:08Z
Balcony vibes 😎✌️,@nikkimccumisky,2025-02-08T15:03:33Z
Without the lyrics the song can be summer hit 4sho,@michealgaines2888,2025-02-07T18:06:10Z
