comment,user_name,date
"this music is fking horrendous , the beat, the auto tune, the lack of creativity. This is whats wrong with hollywood. I've never had more of a desire to cut my ears off.",@danpiedra9008,2025-03-20T03:54:37Z
her man is giving Tommy vibes <3.. iykyk,@nadinezavalaful,2025-03-18T21:23:08Z
Iconico y unforgettable babygirl my princess💜🤍💕,@JeseniaSDMAAArellano,2025-03-13T23:26:52Z
The worst singer and pergomer to date 😅,@flipperflipper-eo2gp,2025-03-13T12:54:22Z
This is giving me 80's Madonna and Sean Penn vibes! ❤,@kevina.4500,2025-03-13T10:16:09Z
"Old harmony brought back to life.U rock,Sabrina! KUDOS!!!!!🎉🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤❤❤❤",@jennifermanns5645,2025-03-12T18:56:06Z
"Awful, extremely overrated",@WinterIsBestSeason69,2025-03-09T12:02:43Z
This music feels generic unorigional and made for mass consuption,@Humanshoprag,2025-03-06T21:05:00Z
"So this is the famous Sabrina Carpenters best song..hit #1 .80s guy here checking her out for the first time...if this her best, I hate to hear her worst.😵‍💫 Going back to listen to Borderline by Madonna...sorry...even Britney S sounded better. .PS to be fair before I shut her out completely.. does she have any other songs that are better than this that I might like?...pls suggest thx",@victorbonilla4634,2025-03-03T14:22:10Z
This is a really annoying song.  I work at Walmart and they play this and other noisy garbage.  Music isn't what it used to be. She looks like a streetwalker.  Can't stand Rihanna either.  She is a pig.,@donnabrooks1173,2025-03-02T20:24:51Z
"The lyrics ""MF"" is the best part of this song",@ijustlikedogsildchannel7709,2025-02-28T13:02:00Z
Sounds very bubblegum pop but the words cut deep❤,@JpDup-b3p,2025-02-26T16:35:44Z
"On the radio station that I hear, they play Espresso and they never play Please Please Please. I prefer Please Please Please. It might be that the profanity in the chorus prevents this song from getting more radio airplay.",@christianbolton4761,2025-02-25T09:32:47Z
80s vibes,@MercyVera-o2g,2025-02-24T13:28:31Z
"Getting ""A Streetcar Named Desire"" vibes from her guy. I dig it.",@oasissunshinegirl1987,2025-02-23T07:11:32Z
"I'm telling you, a pair of 1999 plug in Beats Headphones.... They do this song justice",@notavailable1027,2025-02-20T10:17:03Z
Gives me lady gaga and telephone vibes,@shaynathoon4009,2025-02-20T02:36:36Z
uptown funk beat,@jasminemohammad8460,2025-02-17T12:13:32Z
Who likes this music anymore it gives 1985 vibes,@faryamusakhil2532,2025-02-17T04:09:11Z
Anyone getting the Hayden Panettiere’s look vibe?,@magdalenanepelska9714,2025-02-16T22:31:39Z
I listen to this song and feel nostalgic about the old days.,@RelaxingMusicMSH,2025-02-15T05:55:02Z
Directed by Queentin Tarantino vibes,@marianamarin4555,2025-02-15T05:26:37Z
This Is Not The Beatles Version,@JeepoyRiveraFansOfficial2024,2025-02-15T01:48:30Z
Who’s back here after watching the release of the new version w Dolly Parton? And dropped on Valentine’s Day. POWERFUL TRULY.,@JP-ww8su,2025-02-14T23:45:30Z
Actually her killing him in another video is pretty dang powerful.,@suzannerondeau,2025-02-14T19:23:52Z
"OMG, Sabrina just keeps getting better! This video is such a vibe! 😍✨ #PleasePleasePlease",@MatsumotoKin,2025-02-13T01:49:19Z
"the vocals, the lyrics, the outfits, the hair, the makeup, the BOYFRIEND IN THE VIDEO????? everything about this is just iconic 👏🏼👏🏼👏🏼👏🏼",@rachelrhodes1601,2025-02-12T16:41:45Z
"Joker and Harley Quinn vibes, right there.",@random_hero_88,2025-02-12T16:12:56Z
Not him getting beat up in the back and she’s just standing there ❤,@aracelirodriguez1768,2025-02-10T18:53:21Z
"Melody sucks, but lyrics are perfect",@PachevichHeh,2025-02-10T14:32:32Z
"Why i love this song , is it has those late 90s early  2000s vibes and themes..",@andriaskharumlong3260,2025-02-10T01:42:05Z
Just so you know how powerful this is: she cast her own boyfriend in a video that tells him not to cheat on her while appealing to the women and gays. That hasn't been done since Britney (see Stronger for reference).,@KevinM23,2025-02-10T01:39:01Z
It's giving me 80s vibe,@samkelisiwemasondo8357,2025-02-08T08:17:55Z
how is this song ALREADY nostalgic😭,@fatbird03,2025-02-06T03:25:05Z
They are beattles dont worry: bolena isn't boloña and obviously not beattle roses: rosentaler platz,@DuckGold-c2e,2025-02-05T23:23:05Z
Love the 80s vibe in some of her songs,@adamwhite1556,2025-02-05T09:32:06Z
"This is easily one of the worst ""mainstream"" songs in the last decade",@loukes116,2025-02-05T06:37:01Z
Good lyrics and resounds with modern generation.,@nirathiruvasagam9158,2025-02-04T15:35:05Z
Now I kinda see her being a reevesverse harley quinn,@TheGuyWhoReads,2025-02-04T04:21:50Z
Not fond of the pop version but the acoustic piano version is a masterpiece.,@Kibwunga,2025-02-03T22:33:29Z
"Sorry me, Never be Elena Alexandra - I na unbad thinks or worst mind ❤",@antonhmaliraffold8287,2025-02-03T19:24:21Z
"Hard to say which is most repulsive, the nasty lyrics or the hideous whore makeup of the singer.",@hoytchristmas,2025-02-03T18:59:47Z
Sabrina won BEST POP VOCAL ALBUM! 🤍,@DarrelsWonderland,2025-02-03T01:56:07Z
"Thank you, the Beatles for this wonderful song",@easy.lizaaa,2025-02-01T20:05:16Z
This is giving Lady Gaga Telephone vibes.,@jamespatrick1784,2025-02-01T06:25:13Z
"This has such a ""Chucky and Tiffany"" vibe.",@madamabutterfly1986,2025-01-31T14:48:31Z
AI generated lyrics btw,@Djellowman,2025-01-27T23:53:31Z
Too much skin and too much auto tune. Mean girl vibes. Can't believe this is allowed. It's soft porn. Make it have an age restricted warning.,@sophialejtman5504,2025-01-27T04:25:11Z
Am I the only one old enough to hear Stevie B's Sending all my love in the beat?,@sc5015,2025-01-21T15:41:58Z
"Wow, I'm seeing the videoclip for the first time and it's completely different form the tone that I thought it had! To me it's like a different song, it's a feeling so strange...",@EndlessNameless5,2025-01-20T10:15:27Z
Got the melody from Mark Knopfler,@BerkeliumSphere,2025-01-14T23:17:33Z
Something about this song has an 80's music vibe to it.,@bigkevin579,2025-01-13T23:17:35Z
"Liked her a lot till i noticed she swears in this song. I love all kinds of music, but really, does she not know there are children that listen to her stuff as well as adults. There's such things as class, which, obviously, with her lyrics, she doesn't have much. Im not old,  so don't  come at me saying it our age group, cause I'm in that age group too. You dont have to swear to sell music. Lol",@bellazaralilyruger6517,2025-01-12T23:20:28Z
YOU KNOW ABOUT THE F WORD BUT STILL MAKING IT A BEAT,@brynnthekid6245,2025-01-12T22:36:32Z
"As a girl who has resisted any music made since 1990 most of her life, I'm starting to come around. This is too good and the lyrics slap ❤️ 🎶",@QueenAlienRocker,2025-01-12T15:49:48Z
Whoever made this beat deserves more credit.,@bigcease956,2025-01-12T05:37:33Z
This Lady Gaga's vibes the fame,@AmazingMusic-r4h,2025-01-11T23:31:08Z
"At the beginning of this song, I get some major Pink Floyd vibes 😂",@BrittneyAnderson3-gun,2025-01-11T22:35:32Z
304 vibes❤ no wait Mob vibes?,@ericafyre,2025-01-08T00:53:54Z
0:43 this outfit here in the beginning of this video is going to be seen 10 years later as one of the worst outfits of the 21st-century,@dawnwang1558,2025-01-07T07:04:12Z
you say please too much in this its so repetitive i stopped using my manners after hearing this abomination of a song,@DaFunPlayzYT,2025-01-04T11:52:11Z
Very prophetic lyrics there now,@andreamasias28,2025-01-03T05:33:23Z
the worst song I've ever heard,@resulbostanci,2025-01-03T01:32:16Z
This song gives me vibes of Stone Ocean by JoJo's Bizarre Adventure,@nahijoestar,2024-12-31T12:35:38Z
Imagine the boyfriend being beat up as hell😊😂😂😂😭,@taylorashley8382,2024-12-30T16:22:21Z
I beat to this,@NiceBoyAdam,2024-12-30T07:14:57Z
I beat to this,@exotic_pity,2024-12-30T07:00:28Z
This is some of the worst music I've ever heard.,@guy-f5m,2024-12-30T06:51:08Z
If Barry really did cheat on her she 100% knew he was a cheater…like I can’t help but laugh watching this video and listening to the lyrics 🤣 She said this guy is a SERIAL CHEATER!,@SateavaDiva,2024-12-30T05:49:14Z
you have awful judgement and taste.,@bobzilla174,2024-12-29T16:13:52Z
Her songs are awful all auto-tune nothing like a true singer,@AgataLeena,2024-12-28T21:12:33Z
Smart writer and sensual vocals too❤,@keshavsikka_,2024-12-28T19:28:26Z
"Am i the only one who only stares at the vid and starts thinking how sad it is to be this girl? Imagine it's not all fun n games where I mean IRL, there are ppl like this out there. Too egoistic to admit tht they've made a bad judgement. Too ego to admit n too scared of being told ""i told u so"" at their face. Bcs of the ego and embarrassment, they let themselves suffer in the long run, stay in a toxic relationship. I get it MV wont make the song look deep but this situation is actually depressing. Im just speechless staring at my phone's screen thinking how stressful all these situations are. Sorry dont intend to be a buzz killer. I hate my deep thinking brain too. Sorry to whoever read this. Not tht i expect anyone to reach this lengthy text in between tens of thousands comments anyway lol",@Xyzien,2024-12-28T16:19:59Z
"Didn't know who she was, but I kept seeing her so I had to google her. I'm disappointed lmfao, I don't get the hype. Her vocals in this video are mediocre at best. Sadly yall hype anything, but I will definitely check out her other videos and hopefully my mind will change, because maybe I chose the wrong video? 🤦🏽‍♀️",@moonbalance6854,2024-12-28T12:42:06Z
"I didn't know who she was, so I watched this. I was better off not knowing. This song is just awful.",@DaveCM,2024-12-27T14:58:47Z
