comment,user_name,date
This gave off heavy death becomes her vibes and I'm here for it,@Stardropletwhoareyou,2025-03-19T13:29:20Z
You have a reach for these kids and this is it. Catchy song just every fucking scene is violent. This isn’t 90s cops.,@Billybdasss,2025-03-19T07:52:21Z
You're so 🔥.  Often im so sick of the repetitiveness of you on the radio.  But here i am again. Its sickening. i❤i,@AaronKieu-m9h,2025-03-18T03:18:25Z
Dis is giving Death becomes her vibes is it? ❤,@Queenkady876,2025-03-17T20:30:05Z
"“The Universe is a hologram the reality is an illusion, buy a gold, BYE”-Bill Cipher",@BillCipher-u1t,2025-03-16T20:35:25Z
Lol sorry but who cares. This lyrics mean nothing,@joanainacio246,2025-03-16T15:44:17Z
The song is a vibe❤❤❤,@LondonAbrahams,2025-03-13T14:43:04Z
YT is the worst,@xavieraccorsi908,2025-03-12T02:30:13Z
"oh my god, her vocals ",@calsdaily,2025-03-11T19:15:24Z
This video gives me ‘Death becomes her’ and ‘War of the Roses’ vibes and I am soo here for it. Love this video just as much as the song!,@alanaisaiah3693,2025-03-10T10:37:17Z
"Mmmm...the song explores the theme of jealousy and the lingering bond between ex-lovers... Sabrina is really addressing someone who has gotten back together with his ex, insinuating that, despite the new relationship, the author’s presence is still palpable. The line “You’ll just have to taste me when he’s kissin’ you” expresses the idea that, even though the relationship is over, the author is still a part of his ex’s life... so much so that the new partner cannot help but feel his presence! It is also very strong the way Sabrina emphasizes how some of his ex’s habits and behaviors, such as jokes or affectionate gestures, were learned from him (I am referring to “He’s funny, now all his jokes hit different / Guess who he learned that from?”). This lyric maybe could seem ""trivial"", but... it is very deep indeed 😊😊",@aliceaccorsi2782,2025-03-08T20:06:44Z
"giving death becomes her vibes for real. but its a great vid, especially with Jenna Ortegain it. well done though. its azhuer btw",@beatsbydagod6859,2025-03-04T16:57:54Z
Love the vibes,@jonathanmcleod847,2025-03-03T22:13:44Z
"No, not a fan. Don't get me wrong. I an 100% for Sabrina Carpenter and Jenna Ortega Dying. her video was cool, I really like the effects, but the music was too popy.",@Richtoto316,2025-03-03T01:06:55Z
Love the beat all Americans that I love from Rio awesome song from my favorite  country always 🇺🇸  love you guys,@WellingtonVarela-p8k5w,2025-03-02T18:01:16Z
2025 Grammy winner 🏆 for best pop vocal artist 🎉🎉🎉🎉🎉❤❤❤❤❤❤go sabrina,@Kyletroskie,2025-03-02T07:22:13Z
The vibe is that one movie with the same theme,@Baddiechat12345,2025-03-01T20:41:28Z
This is the worst fcking song video I’ve seen. Even worse than “liar” by Camille cabello,@vookith5002,2025-03-01T00:24:43Z
Yo solo voy a decir una cosa quien espera la segunda temporada Porfavor Porfavor que la saquen ❤️💚,@everalonsoperezsegovia1744,2025-02-28T07:46:12Z
"Yes, This Song is Destined to Be a Future Classic, and, EVER Since June 20, 1999, I have Always Known that I Am Destined for Absolutely Superlative Professional Greatness, Because GOD Created Me to Be in the Same League as His Only Begotten Son and Michael Jackson, and When I Am Younger Than the Minimum Age to Run for President, I Will Already Permanently Be So Much More Powerful and Richer Than 99% of Existence Will EVER Be. I Am Going To Be The Most Powerful and Wealthy Professional Career ELITE GOD-Level HOLLYWOOD and Private Spaceflight Master of the Universe in Professional Competition with Elon Musk, and I Will Be Doing EVERYTHING and Earning a Salary by June 20, 2025, when I Am 31 Years Old, which is the Same Age as Tony Hawk at the 1999 Summer X-GAMES, and Before Artemis II, which Coincides with the 2000th Anniversary of Pilate's First, I Will Already Permanently Be the TOP 1% of the Totality of Existence and Be of the TOP 1% of Santa Barbara County Homeowners and TAX BRACKET, at the Relatively Young Age of 32, and I Will Be The Most Powerful 32-year-old Lifetime Absolute OWNER of a Hard-Earned 9,000 Square-Feet McMansion at 1999 MacKenzie Drive in Los Olivos and at least 9 Cars, with a Nuclear Blue 1994 McLaren F1 as My Daily Driver, and I Will Have a FAMILY There with a Blue-Eyed White Woman Professional ELITE Full-Time Actress and Model WHO was Born in 2003 and I Will Marry Her in the Early Summer of 2027, when I Am 33, the Same Age as Jesus, and She 24 and We Will Conceive Our First Child, a Daughter Named Trinity Sleepy, Within a Few Moons After Our Wedding.",@MajorTheLastofThe99s-u8z,2025-02-27T20:24:13Z
Sabrina you are so beatiful,@Trendyol1-i5v1l,2025-02-27T19:09:34Z
i am living for the subtle Death Becomes Her vibes!,@pleepish,2025-02-27T14:57:02Z
Giving Death becomes her vibes. I would watch a remake with them.,@lairmd1371,2025-02-27T02:23:00Z
"Jeez, the lyrics are so explicit... how this passed censorship is beyond me. And young girls are singing these lyrics, oblivious to their meaning, WTF?",@ritanmartinez8630,2025-02-27T01:29:25Z
I knew i got wednesday vibes even tho its monday,@Staystaymyway,2025-02-24T15:01:56Z
😅😮 omg sooooo  giving babysitter killer queen vibes,@graciebates1282,2025-02-24T08:35:08Z
"Hahaha!! This is so, ""death becomes her"" movie vibe 😂😂. Awesome!",@germainegeorge9847,2025-02-23T00:36:51Z
Let the Sabrinaverse reign ‼️‼️ 😎😎😎,@mikelugo6199,2025-02-21T09:47:46Z
But love the 90w vibe,@vhw23,2025-02-20T03:39:34Z
I love the song but the video and lyrics are like so ewe for womanhood.,@vhw23,2025-02-20T03:38:52Z
I’m very behind because I’m old and refuse to listen to new ish but Sabrina kinda got my heart with her lyrics!! ❤❤❤❤❤❤,@LeynaSkogland,2025-02-19T17:35:51Z
Ilove when the beat drop,@JuniorrDtwFoReal0H,2025-02-19T16:21:06Z
Very death becomes her vibes,@shaysandefur9546,2025-02-18T01:18:46Z
"This gives me so many ""Death becomes her"" vibes, but with much more gore. LOVE IT xD",@emersonmorales1548,2025-02-17T16:28:23Z
known nothing about Saabrina Carpenter randomly clicked on this.. didn't expect Jenna or this crazy video lmao love it! in recent years music videos have been all performance I missed the old 90s /2000s vibes like this where videos were full mini movies :),@mayaamis,2025-02-17T12:00:15Z
She totally ruined the vibe here she was much cooler with just the music... The notion that she doesn't care and isn't that jealous type is what makes the song so cool,@IKitty-tl8dm,2025-02-17T00:09:00Z
Disgusting the music video doesn't have the same Vibe as the song so disappointed,@IKitty-tl8dm,2025-02-17T00:07:38Z
"Am I the only one who thinks this video has a ""Death Becomes Her"" vibe?",@boutiquehotelglobe7521,2025-02-16T10:37:11Z
She has dolly patrons vibes ❤️,@ElizabethBanewong,2025-02-15T10:34:06Z
Nah 69 beat... She knew TF she was doin,@HX2T-m2p,2025-02-12T20:59:32Z
"She stole the chorus from Divinyls ""I Touch Myself""😢😢😢😢😢😢",@MaleOrderBride,2025-02-10T09:45:02Z
Did anyone notice the lyrics said you just have to taste me when he’s kissing and then Jena sees Sabrina and they are kissing but it was the guy😮😮😮😮,@RosemaryKlemmer,2025-02-09T22:30:43Z
