comment,user_name,date
Your the worst singer. My grandma sings better than you 😂😂😂😂😂😂😂😂,@YourSaid-u5h,2025-03-21T12:34:09Z
So overrated the lyrics don’t even rhyme,@thatguy9107,2025-03-19T16:50:47Z
"Best lyrics award at I Heart Radio Music Awards, Taylor deserves it ❤ Masterpiece",@thibault335,2025-03-18T06:57:49Z
I was a functioning alcoholic ... Those words hit deep. Im trying so hard to get sober 😔,@SteffyGV,2025-03-16T07:35:50Z
"taylor, i am post, left alone, my pen left alone, for i am shakespeare left alone? what am i to do, but write on these mechanical keyes, click and they clack to our rhythm are we without it in this day and age? are we without decision? heyy yo indecision what it is so easy to be without decision",@0gnomer,2025-03-13T11:37:08Z
OMG WHY IS THIS GIVING ME 'Severance' VIBE?,@ruchisharma7886,2025-03-11T16:05:55Z
We have all been there...her lyrics put it perfectly.  Voice 💯   lyrics 💯,@TerrylHopkins,2025-03-08T16:48:25Z
Thank You YouTube for allowing me to enjoy music that i find appealing that i enjoy the lyrics to without bending my knee too as if they themselves are something greater than those who pay their bills..Thank You YouTube for allowing me to enjoy a song that is sung without me actually embracing the creator because at the end of the  day is simply a song that is sung by those who had great vocals,@tarahewett240,2025-03-07T02:05:49Z
She is so annoying.,@lavender9825,2025-03-06T14:40:52Z
These lyrics scream all Joe to me.,@hobofish2208,2025-03-06T08:14:51Z
"This is March 2025 & FORTNIGHT by TAYLOR SWIFT (ft. POST MALONE) continues to be exceedingly intriguing with story of science fiction experiment. The singing is soulful, spellbinding and simply spectacular. ❤❤❤❤❤❤",@kesharisuthar3268,2025-02-27T08:00:58Z
top 1 worst f**king songs i've ever heard,@wvquarterback775,2025-02-26T03:47:37Z
the first few lines of lyrics is amazing!,@kcchiok,2025-02-24T02:20:12Z
"Wow, this track is absolutely amazing! Taylor's voice and style are just unmatched. The lyrics, the melody, everything is pure magic. It really captures that special feeling she brings to every song. I actually created a song inspired by her style too, and I'd love for you to give it a listen. Here's the link: https://www.youtube.com/watch?v=dzHxodaQ5h8. Hope you enjoy it!",@All-in-One-BTS,2025-02-22T20:23:28Z
That was a truthfull emotion. Back in the old days. I'm a bit more forgiving these days.,@mrwilfredmyers7566,2025-02-19T21:01:11Z
"Why ""Fortnight"" had hate train with masterpiece lyric, melody, vocal, story telling and visual of MV? I'm actually disappointed because many people in the world didn't know how incredible vibe this song had",@SwiftiesloveGetawayCar,2025-02-13T17:33:45Z
nothing will ever beat hearing “i was supposed to be sent away but they forgot to come and get me” for the first time at 5:00AM ❤❤,@Th1s1smetrying,2025-02-13T14:23:35Z
"03:13 till the end, best part, love the melody there!",@eliocorreia5550,2025-02-10T18:45:28Z
"Taylor, I love you a key words cannot express how much you’re my favorite person in the whole entire world. Can you change my life with your incredible words and lyrics? I absolutely adore you and idolize you and everything you do I will always be your feeling and do everything you dothank you so much for being such a great person.❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤",@ericplatz3693,2025-02-08T21:13:27Z
"In the Midnights album, Taylor Swift tells a deep inner journey inspired by 13 sleepless nights. In The Tortured Poets Department album, the word “Fortnight” stands for fourteen nights, meaning 14 nights. This represents Taylor Swift’s 14th sleepless night.",@Mehmet_uck,2025-02-08T12:16:26Z
My favorite ❤its my ringtone,@scarlet870,2025-02-07T00:48:52Z
"Hate these lyrics, as a woman. I'm sure all genders and non-binary folks hate talk of m*rder...  Taylor trying to fit in with the cool kids but it didn't land... Plus Post Malone is everywhere now....  So glad this didn't win a Grammy",@WinstonCharles2010,2025-02-03T21:59:48Z
"I hope everyone is ready to get Debut TV first now she’s not gonna reward us with Rep TV after she just lost! Everyone wants Rep TV will now be prepared to wait we are going to get Debut TV first for all the fans that rooted against her!!! And as for the haters, other fan bases, Critics, and especially Billboard and Pitchfork be prepared her next album won’t be about Travis anymore it will be the lost album Karma I hope you all are ready for the hate train to come your way this album is about to be darker and more hateful then Rep and TTPD combined!",@Jess-y7c,2025-02-03T05:53:41Z
I get modern Stevie Knicks vibes. Luv it!,@angelah1759,2025-02-03T04:06:46Z
Musical collaboration is awesome. I would never be accused of being sensitive but the lyrics touch me deep.,@oenophilered6351,2025-02-03T00:38:30Z
Am I the only one who thinks Taylor swift has such a bland voice. It just sounds like she talks through her songs. They’re so monotone.,@Kameronvanslyke,2025-02-02T02:24:48Z
I grew up in the 70s and 80s I would definitely go back in a heartbeat!! The memories consume me the music and freedom❤,@tammys9801,2025-01-30T03:02:00Z
This music is like Lana del rey songs.. and it's boring as well because of cheating the girl going to the worst psyhology treatment.. like we're so much powerless.. i hope we can progress from it.. i suggest to give us much hopeful songs.. you're better than this.. https://www.youtube.com/watch?v=VuNIsY6JdUw,@isilko34,2025-01-29T09:36:14Z
Catchy !,@keithleeuwen877,2025-01-26T11:34:24Z
"I love Taylor's songs! A lot of the lyrics she writes are about her emotions,  and her insecurities, it's genius!",@SaraSegal-g1o,2025-01-24T06:14:46Z
"what a beautifully done video! i really loved the visuals and the chemistry between Taylor Swift and Post Malone. but honestly, i have to say that personally, i think their musical styles don't blend as well as some might expect. it's interesting, but i prefer when both artists stick to their own vibes.",@naingthet9468,2025-01-21T13:08:44Z
Vamos Now & Then .....The beatles no tiene comparación .....,@horacio3918,2025-01-16T05:27:16Z
BORING SONG AND WORST ALBUM,@FlorenceKalinga,2025-01-15T20:03:57Z
❤True rolemodel and I enjoy the vibes everywhere❤.   ❤,@HandlehopecombS,2025-01-14T01:31:52Z
