comment,user_name,date
Looking back in my 2mons vacay somewhere at Subida  specifically in Tuban playing along in all state. Highs and lows. The Genuine beauty 🎉 priceless getting to know the shape of love. The vibe and emotion i love the song ❤❤❤,@Sandy-m4h,2025-03-20T11:56:58Z
“Ha! Hold my brain; be still my beating heart.”,@DebutanteWantsACookie-4F8R2N,2025-03-20T09:35:10Z
"""They say the hardest part of love is realizing they were never meant to stay… 💔 I turned that feeling into my own song called 'Never My Prince.' If you love songs that tell deep stories, you might like it too. Would love for you to check it out!""",@prinncesss17,2025-03-17T16:58:06Z
"Taylor, I know there is probably a 1 and thousand chance of you seeing this comment but I wanted you to know I love you so much the moment I hear one of your songs I start singing the lyrics immediately I have been wanting to go to your concert for 1 year but I can’t and it would mean the world to me if you  respond to this or even just like it I LOVE YOU SO MUCH❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤",@stGradeRockstars-,2025-03-15T18:05:57Z
"taylor, i will be honest now, you have a power, none may deny it... but you also have a voice, and that voice is muted, your highest notes muted, you claim tortured, but from tortured, you are not tortured, you are an angel become of this coil, now speak to your given angelic voice please",@0gnomer,2025-03-13T11:04:25Z
"Wow, this track is absolutely amazing! Taylor's voice and style are just unmatched. The lyrics, the melody, everything is pure magic. It really captures that special feeling she brings to every song. I actually created a song inspired by her style too, and I'd love for you to give it a listen. Here's the link: https://www.youtube.com/watch?v=dzHxodaQ5h8. Hope you enjoy it!",@All-in-One-BTS,2025-02-22T20:24:00Z
"I don't know how it's possible, but she somehow combined all my emotions and what I'm going through irl into one song 😀😀😭😭",@PenelopeEaton-q3x,2025-02-20T03:33:12Z
This made me emotional for some reason lol,@SaigeCummins,2025-02-11T21:46:05Z
"I think Taylor Swift is just a recycle bin at this point, using again and again lyrics and instrumental from 10 to 15 years ago, but without the talent. Listen to Agent Orange, it's better",@Skate3menace,2025-02-02T18:32:27Z
Turns out Tay Tay massive bully with Blake Lively awful,@wilsonmusicofficial9584,2025-02-02T12:03:30Z
"Taylor Swift has done it again! 🎶✨ 'I Can Do It With A Broken Heart' is a stunning mix of vulnerability and strength, perfectly capturing the emotions of healing and resilience. The visuals, the lyrics, the storytelling—absolute perfection! ❤👏 #TaylorSwift #TheTorturedPoetsDepartment #ICanDoItWithABrokenHeart #SwiftiesUnite",@IntimaciesInfo,2025-01-28T14:52:02Z
Taylor is a strong woman and is very powerful and she using that for kindness unlike some other people,@mariolahodun3353,2025-01-26T15:45:13Z
She is spooky her songs. Don’t even have a rhythm is just saying boo-boo.Boo boo🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢,@bczeruogo,2025-01-26T13:58:54Z
Nah cause the stage looks so goofy without the effects 😂😂😂,@MiriamLiederman-o5y,2025-01-26T08:27:14Z
taylor is the worst tbh but the swifties worse tyler the creator is better,@ABX-t9l,2025-01-25T12:00:52Z
Deep as f*ck.,@scn9621,2025-01-22T12:46:54Z
I Can Do It With A Broken Heart by Taylor Swift highlights Taylor Swift's original vocals and very creative music. The way that the song describes being on the receiving end of  feeling heartbroken in Taylor Swift's I Can Do It With A Broken Heart takes one of life's tragedies of coping with heartbreak with music style/elegance/class.,@stellacarrier8341,2025-01-21T01:02:46Z
"""I act like it's my birthday, every day,"" - DEEP cut to al us girlies who hate ourselves.",@maijavarda2482,2025-01-19T01:36:58Z
I have been a fan of Taylor for almost 6 years now and I can say she is an amazing woman she is powerful in every single way and this song and all of her other ones prove that point.,@sydneyreynolds2765,2025-01-18T12:10:44Z
"My least favorite kind of song from Taylor.  She been hurt but can go on, but really the hurt doesn't show in the song.  The song is mainly upbeat cheery Taylor song.  It's not really honest.",@jamesdeich6102,2025-01-17T23:28:14Z
"I don't get the attraction.  She overproduces average pop music, her singing sounds coached and contrived, and she can prance well enough.   Maybe if a natural beauty like Joni Mitchell or Carly Simon had dressed and strutted around like a Vegas chorus girl, it would make some sense.  What am I missing?",@tonyreilley2842,2025-01-14T15:33:14Z
Your music has a depth that touches the soul. Each composition seems to tell a story that resonates in a unique way in those who listen to it.,@InteligenciaMusical-k9x,2025-01-13T01:04:17Z
I am so happy Mark Rober finally beat tailor swift in subscribers,@MRayyan744,2025-01-12T19:10:38Z
Great lyrics; she and kelly m should collab on this.,@anonymouse7877,2024-12-31T02:52:18Z
"I can't stop watching! The visuals, the sound, and the emotions in this video are all fantastic!",@HitWavePop-c3n,2024-12-25T14:31:16Z
Who agrees that the chorus is so catchy,@squishmalloweditz-j8b,2024-12-24T03:29:50Z
So annoying,@lucky_duck323,2024-12-17T16:32:10Z
Are people aware that this is technically an awful song,@leightongraves8775,2024-12-14T12:54:00Z
Awful junk music.,@darkspy666,2024-12-09T11:27:50Z
"I'm just here, to listen to the lyrics after watching Smile2.",@renevanderwesthuizen1520,2024-12-08T07:33:46Z
omg i love taylor shes the best musician in the world like why do people hate on her shes kind and beautiful and she has the best singing voice in the whole entire multiverse,@PiperHaas,2024-12-07T21:00:54Z
"""Taylor Swift never disappoints! Her songwriting is so raw and relatable, and her ability to capture emotions in every song is unmatched. She's truly a musical genius!",@ElianaVib,2024-12-07T20:49:03Z
Got another top fan badge on Facebook. They’re diamonds 💎 I’ll synthesize myself.,@Projecx,2024-12-07T07:44:02Z
"I have zero clue how swifties can dance to this song and then shout “more”. This song has broken my heart since the music video came out.  Actually read the lyrics; they arent happy.  If she played this song on piano, it would change everything you think you know about TTPD and probably eras in general.  Like, eras wasnt just a concert.  It was a musical and ballet all in one.  theres so much symbolism in choreo and even the cast of dancers.   There is no way i could not not cry during the entire TTPD and Midnights set",@ButterBunBooks,2024-12-01T02:28:55Z
"Powerful resilience in this one. As a southern rock artist, my songs echo that same unstoppable spirit—give them a listen if you're feeling it. 🤘❤",@Joshuatracks,2024-11-29T20:20:35Z
This song is so deep https://youtu.be/hL4tlUiyMfI,@KatMoo-BookGuru,2024-11-28T15:49:42Z
"""Taylor Swift never fails to pour her soul into every song, and *I Can Do It With A Broken Heart* is no exception. 💔🎶 The raw emotion in this video truly captures the essence of heartbreak and resilience. Taylor’s vulnerability shines through, and the visuals take us on an emotional journey that feels so personal. Every note, every lyric—powerful and relatable. She’s truly the queen of turning pain into art. 👑❤ What an incredible piece of storytelling and music! #BrokenHeart #TaylorSwiftMagic""",@Mussannahnovas,2024-11-26T12:41:28Z
"idk why but this video is so satisfying, the beats and the part where its like ""and they chanted MORE""",@AmeliaAngela239,2024-11-24T01:40:09Z
USA Government isn't deepest shit when they keeping Asadollah Maleki in unsafe an insecure country ?!  😎🤔,@Asadollah888Maleki,2024-11-21T14:19:40Z
