comment,user_name,date
Man hört die Emotionen einer Wütende Frau in Cooler art. 👍 bitte kommt zur stadt  Regensburg ich würde Meine Übermenschliche Laufgeschwindigkeit euch Zeigen,@peter_designe8316,2025-03-21T17:00:48Z
"there's been time since i was emotionated by a song i have tears in my eyes right now, i was critic at first with the new singer but man, she is really good and nice composition with instruments its not a replacement this is an evolved Linkin Park.",@mattbrave8040,2025-03-21T09:49:31Z
"I mean, the new singer kinda remind me of Chester's Vibe.",@amarasangkuti,2025-03-21T03:18:22Z
The best vocalist right now in this genre has a name....her name is Emily Armstrong.  Enough with the chester comparisons.  Emily is her.😊,@jjj2121,2025-03-21T01:18:04Z
Nobody wants your friends or family my custom lyrics lol,@julieboyle5022,2025-03-20T16:38:09Z
Well I worked with the dumb healers and light workers they all worthless people who never helped anyone shot out to Linkin Park for actually helping everyone with their emotional problems in a fun way and for making life worth living rip Chester,@julieboyle5022,2025-03-20T16:36:20Z
Chick is an absolute beast. Classic linkin park. Hybrid theory vibes…,@Aces0001,2025-03-19T19:15:36Z
Well sir I definitely can't relate to this relationship situation but I did change the lyrics and make my own relationship diss track bravo another hit,@julieboyle5022,2025-03-17T18:13:43Z
New vibe,@minheinkyaw9773,2025-03-17T01:17:34Z
No one's talking about the 2000s vibe of the  video clip,@nox_cadit,2025-03-15T20:54:37Z
Heard this on my random playlist for the first time today and actually got Chester vibes - amazing!,@julianhocking4483,2025-03-15T10:31:59Z
I keep hearing Numb. I just keep hearing it. The lyrics carry the same meaning too.,@lordgmlp,2025-03-15T09:23:15Z
"Who remembers the time when Chester replaced Scott Weiland in Stone Temple Pilots, people were saying that they should change their name but Chester told the DeLeo  brothers no. it would be a shame just to throw something you worked hard for a way like that. i’m glad LINKIN PARK is doing the same thing. The band wasn’t just only about Chester, it was about everyone involved.",@204august2,2025-03-15T08:28:26Z
Old Vibes 🥹,@prabhash8979,2025-03-14T08:25:47Z
"Wow i was at first sad and confused because chester was soo important and irresplaceable but they didnt do it, its still linkin Park vibe but the singer is different👍 great voice",@thegodchronos,2025-03-13T22:24:41Z
Gotta say that that is on of the worst music videos Linkin park has released. Good song.,@anotherrandomchannel5559,2025-03-12T12:24:39Z
ill be the rapper🎙 & some lead vocals 😎,@2koolken,2025-03-12T05:35:17Z
"1 out of 10 worst song by the worst singer, it's not the same after Chester died.",@monycage2794,2025-03-12T03:32:21Z
