comment,user_name,date
Vocal effects thrashed this for me.. Awful,@TheEgoalterer,2025-03-20T17:07:33Z
I love this sound of the synthesizers reminding me of the 80's!!!,@missolivia1966,2025-03-13T19:03:30Z
Michael Jackson Thriller beat of the song,@Michellediy1992vlog,2025-03-03T13:29:15Z
Anyone else getting major CHVRCHES vibes?,@ricardozuniga3374,2025-03-01T05:59:36Z
"Soooo good! The beat,the synth, his harmony. Perfection. I love the weeknd!",@strcrossed,2025-02-21T16:48:58Z
The only weeknd song I can play in front of all my family 🥹🥹🥹 I love the vocals and the upbeat tune 😻,@p0pscar-ADÉLA,2025-02-21T03:13:20Z
so nostalgic already,@engaranedrick,2025-02-15T16:58:24Z
0:00 - 0:15 blinding light vibe,@memeid7781,2025-02-07T12:13:54Z
"Amei a música, tem uma vibe top 😍",@nataliaellen6624,2025-02-06T01:24:24Z
One the most annoying songs,@baileyfloyd1841,2025-02-05T23:19:29Z
"Honestly, this one feels a bit overproduced. If there was a studio version with the adlibs from the live concert and a bit less of synth, I have the feeling the song would've been better. The acoustic version alone is magical. A shame it didn't even make it to the standard album either, just like Runaway.",@Th3F4lc0nBl4ckBlu3Xd,2025-02-04T04:01:21Z
these lyrics are so funny,@thekoala1581,2025-02-02T11:07:51Z
I know I'm old but The Weekend sounds like Michael Jackson joined up with Depeche Mode ha ha ha I love synthesizers !!,@Patricia-i8t7e,2025-02-01T09:44:29Z
I'm hoping he releases a deluxe version of _Hurry Up Tommorow_ like he did w _After Hours_ w this version as well as the accepella and acoustic version on it. I'm really hoping that's the reason this was not on the inital album release.🤞🏼,@NaomiCantora,2025-02-01T01:36:12Z
"I’m pretty sure the video did not help to make this song a big hit. So sad it’s not on the album, such a beautiful song. Imagine a video with a more deeply story.",@hugovalentelechugatorres4748,2025-01-31T21:36:05Z
"Surprising that this flopped. It's a catchy, danceable pop  song, a bop. What happened?",@travelvlogues,2025-01-31T17:33:30Z
Does anyone know what sample tracks this song is based on?  I recognise the melody and it’s driving me insane!! 😮,@tara59600,2025-01-29T17:45:08Z
