comment,user_name,date
Beat and lyrics fire tho.,@NikkyNuNya,2025-03-21T03:07:22Z
The Substance vibes completamente innecesario,@gonzalobobadilla1515,2025-03-20T19:32:16Z
As a Brazilian I'm not proud at all of Anitta parts in both the video and lyrics 💀💀,@M4rc05P,2025-03-18T23:25:30Z
This is the trashest and worst shit both The Weeknd and Anitta have ever done lol,@geminievil,2025-03-17T15:47:37Z
One of the worst music video I've ever seen,@WeInvestHindi,2025-03-17T06:01:53Z
U think the video is bad google the lyrics in English,@raydenlawson7657,2025-03-16T21:58:52Z
Is that all the lyrics she has? Just saying the same things again,@mikeygames2182,2025-03-16T19:17:29Z
Worst music of the weeknd😭,@asdfghjkkl7231,2025-03-13T03:54:42Z
"The lyrics are horrible, but the beat is dope",@JoãoHenrique-s6p9s,2025-03-12T20:03:18Z
great song with worst video,@MrM4G,2025-03-08T16:01:17Z
worst music video oat,@Gokustillsolosanime,2025-03-03T10:06:29Z
giving off big bad wolf vibes,@K4SHrblx,2025-03-02T23:51:46Z
I get Alien vs Predator vibes,@keremjaeger4955,2025-02-28T10:21:29Z
This awful I didn't like at all 🤮,@ELISSABAHLOUL,2025-02-25T22:07:05Z
The song and beat is dope. Don’t know about the video tho,@BorgesProduction,2025-02-25T05:47:33Z
"Im sure the brazillians will murder me for bullying, if i say bad thing. But shes confusing to me. She gets invited everywhere, nominated for everything... but her music has no substance, no hits, just generic",@marcelinopaoevinhoo,2025-02-25T02:07:13Z
"Im sure the brazillians will murder me for bullying, if i say bad thing. But shes confusing to me. She gets invited everywhere, nominated for everything... but her music has no substance, no hits, just generic",@marcelinopaoevinhoo,2025-02-24T16:36:17Z
"A parte da Anita acabou com a música, como pode acabar com a música com tão pouco tempo!!!",@otaku-slayer708,2025-02-24T11:20:54Z
"Im sure the brazillians will murder me for bullying, if i say bad thing. But shes confusing to me. She gets invited everywhere, nominated for everything... but her music has no substance, no hits, just generic.",@marcelinopaoevinhoo,2025-02-24T00:53:23Z
I simply love this mv and the lyrics. Abel and Anitta rock!,@millennial8441,2025-02-23T18:17:38Z
"I think this song can be seen as a reflection of modern life, where everything seems attractive and liberal but lacks truth and real satisfaction. These emotions, combined with the name “São Paulo” – a city famous for its excitement and prosperity – can represent the contrast between the external appearance and the internal emotions that The Weeknd is experiencing.",@Jim-2rd,2025-02-23T15:37:24Z
All you guys are just traumatized with the video because you have no idea what she is actually saying on the lyrics. Hahaha!,@guimazzoni,2025-02-23T08:26:23Z
That chorus is one of the best pieces of music I've ever heard,@scottcounty6919,2025-02-23T04:07:58Z
The video ruined the vibe of the song for me😭,@diya_hiremath,2025-02-22T07:26:30Z
hit atemporal,@CarlosEduardo-qh8bd,2025-02-22T02:28:27Z
Don't check the lyrics and what they mean,@Nordeste-9,2025-02-21T16:36:09Z
That's awfull,@LZT360,2025-02-21T16:31:10Z
I forgot to vibe with the song ....................,@jung-r5u,2025-02-21T06:06:01Z
The comment section passed the vibe check,@fever8741,2025-02-19T03:58:54Z
quwria voltar o tempo pra nao ter visto essa merda 💀,@ikitaiibii,2025-02-19T02:40:26Z
the worst music video I’ve ever watched wtf!!,@Sss.a449,2025-02-18T23:56:44Z
It has an American horror stories vibe,@vicjgamor,2025-02-18T14:42:02Z
There is a very deep meaning here between the female and male genders. If of course you understand….,@olyafish7017,2025-02-17T20:18:05Z
Week + phonk = Melody ☁️,@rish66,2025-02-17T18:18:15Z
why every song english has worst videos presentation. Don't you guys have any creative or simple idea for video.,@rajveerkhanna858,2025-02-16T19:11:56Z
"Yep, worst song of the album by far",@lucascunha5559,2025-02-16T10:18:06Z
Im getting Total Recall Schwarzenegger vibes.,@GenXJay670,2025-02-16T01:12:26Z
Lords of Acid vibes,@missywhittington9958,2025-02-15T10:27:00Z
"Brilliant song, awfully tragic video 😢",@aggesb,2025-02-14T12:49:28Z
What a hard beat!,@mexico6933,2025-02-14T12:15:58Z
"The clip is horrible, awfull! Why do women have to be humiliated????",@TNoemi-ob2xo,2025-02-14T09:53:38Z
oh nooo feel the vibes👄👄🗣️🗣️,@anzalasabila7877,2025-02-12T18:46:49Z
That was awful.Probably her idea (Anitta),@arisantos1,2025-02-12T09:02:12Z
This is weeknd ... He can make you emotional... and he can definatly make you vomit,@ArchitSharma789,2025-02-12T08:39:36Z
"Ok, let's be honest, this wasn't The Weeknd's best song. I mean, it's good, but among the video and Anitta's lyrics... I skip this part in fact 😅",@nicolefalbo6509,2025-02-11T20:45:15Z
Vibe vs Video - un beatable too creepy,@czankadel6366,2025-02-11T03:17:47Z
PLEASE DO NOT WATCH THE VIDEO!!! KEEP YOUR MIND CLEAN OF THESE IMAGES! JUST VIBE TO THE SONG. YOU'RE WELCOME!,@nocommonsense0,2025-02-10T21:41:05Z
Totally disgusting and the worst video clip in the music industry ever,@SibelBeyazt-tw5gw,2025-02-10T21:03:57Z
Full vibe on this song 🔥🔥🔥🔥,@MovieMunchies95,2025-02-10T18:18:24Z
"Ok I'm just very confused...usually I love everything he does, visually, lyrically, musically, but in this visual expression I just really don't vibe with it. But I understand that sometimes art is meant to be disturbing, it's meant to draw a certain reaction from the audience. That's what I feel like Abel was doing here, because it definitely leaves a unpleasant memory for the viewer, something that will stick in their mind, something shocking and unpleasant. The reaction of which is the entire purpose of art, I feel it's purpose will be made clear to each individual later in life, as they watch this video back. Abel is a true artist and he is aiming to make an impact, which he has achieved.",@carlissaneumann8133,2025-02-10T13:57:36Z
always preferred visuals over lyrics but not today ig,@rheaverma707,2025-02-10T09:52:01Z
The lyrics in Portuguese are killing me 😭😭😭😭😭😭😭😭,@rennyren8879,2025-02-09T21:45:57Z
"some vids have deep meaning behind them, what the fuck was this",@kdefislazy2548,2025-02-09T08:44:48Z
Describe the vibe? ... Ruined,@PersonWhoAskedFr,2025-02-09T07:36:39Z
The music video give me the vibe of “body horror” ! It’s so scary (but the weeknd voice was perfectly heaven ! Actually this song doesn’t need a music video),@Jennet_Park,2025-02-07T19:27:12Z
"""How do i make you love me?"" vibes",@ismamexe,2025-02-07T12:49:24Z
If you told me 5 years ago when after hours came out with the amazing videos he had at the time that it would lead to the worst music video of all time I genuinely wouldn’t have believed you😂,@christheman4305,2025-02-06T03:52:57Z
This has gotta be the worst music video I've ever seen,@jyasutisu2896,2025-02-06T01:46:21Z
Worst song on the album,@Texaspoontappa18,2025-02-05T17:17:07Z
"Sick as beat, once again terrible music  video. There was so many things that he could of done with this smh",@shernell9529,2025-02-05T14:24:47Z
"This song is trash, I cannot even understand the lyrics. Built a wall to keep it out lol.",@teknotronik711,2025-02-05T03:45:29Z
After watching this now i am getting weird vibes from my pregnant wife,@alienxgaming421,2025-02-05T01:49:26Z
