comment,user_name,date
Lyrics anyone?,@RitikKumar-uy4db,2025-03-21T02:12:48Z
I love this! Especially the female vocalists :),@mariebabyxox,2025-03-15T22:36:24Z
My song 🩷 2025 🤘😇🫶 i feel these lyrics deep 💯 Let's Gooooooo 🎶 💋✨️,@KristaLopez-k2i,2025-03-13T14:20:49Z
The synth has a small resemblance of Tarkus by ELP.,@nathanieladams7624,2025-03-04T04:48:06Z
Johny deep,@DestinyPinkins,2025-02-25T21:33:35Z
I love the beat of this sound 😩🫶BTW Who's here in FEB 2025??🫶,@MiaAyehza,2025-02-24T12:20:32Z
"The song gives me a sweet feeling, but the lyrics and the clip drives me nuts",@LeandroKabenda,2025-02-23T18:31:22Z
The beat drop at 0:13 OMGGG😍😍😍🔥🔥🔥,@TAYLORLOVESYOU-3,2025-02-20T19:16:55Z
"yeah this is one of those songs, especially with that beat 😉",@ziah701,2025-02-19T11:43:48Z
"Cmon Jennie was the best in this!!! Lily was REALLY good but Jennie’s vocals and edge to her voice and the style was so evident!! Like at this point, I can practically smell the spice, rhythm, edge and slayness to her voice!! Sorry for yapping so much lol 😂😂😢",@SKkBharatwaasi,2025-02-17T15:06:24Z
Gives the vibe,@Kingdom_montage5780,2025-02-17T13:03:03Z
"What a quality tune what a song ,its lyrics 🗿 its music✨💯I'm addicted to this song.❤ From 🇮🇳",@S58026,2025-02-17T08:03:29Z
Love how it showcases a different side of jennie’s vocals and a different style 😏,@Fifi-dx2jz,2025-02-12T00:39:12Z
This song music is giving different vibe🙌,@SeriyaThakur,2025-01-15T12:51:40Z
JENNIE'S VOCALS ARE SO GOOD,@ZahinaR,2024-12-29T15:40:28Z
Je trouve que ce multiverse n’a pas assez de reconnaissance à mon goût,@HS-he9qy,2024-12-26T13:20:51Z
Im litterally addicted to this song best in the universe❤❤❤,@taslimuzzamanfakir3059,2024-12-24T16:04:46Z
The lyrics even the biggest feminist liberals love,@beamerz9398,2024-12-09T01:21:14Z
0:46 fire vocal ❤❤,@Dorama.ao.seu.dispor10,2024-11-25T22:14:23Z
"vocal Jennie , Lily , TheWeeknd so good",@hungdoan-z9y,2024-11-22T06:29:30Z
2:48 best vocal,@JENNIE-p3p,2024-11-19T01:47:50Z
3:38 different vibe❤️❤️,@flamingsajib,2024-11-17T16:24:47Z
Looking for lyrics comment,@chocozsix2767,2024-11-11T15:23:41Z
soothing harmony amazing PERFECTO ,@FruityEditZ-y7k,2024-11-03T06:09:29Z
brings back old weekend vibes ❤,@thaneshjapeyy9944,2024-10-29T10:49:05Z
very explicit lyrics haha,@elcrack3d606,2024-10-28T17:29:23Z
2:39 It sounds so good when he vocalises while lily sings.,@happyme450,2024-10-21T18:30:11Z
That synth at the end is 🔥🙌🏼,@SUPERSAMSON357,2024-10-18T06:32:25Z
this is an emotion,@AwakenedFreeSpirit,2024-10-12T12:48:12Z
"2012 weeknd vibes outta this tune, love it",@dilloncrawford3810,2024-10-10T20:17:48Z
Jennie's vocals are like out the world,@PrasenjitBiswas-pp5en,2024-10-09T15:58:13Z
Vibe 🎉🎉,@Rich14days,2024-10-08T06:38:13Z
this vibes make me so crazy ... 😢,@joyszillachannel7289,2024-10-04T06:48:01Z
"The Weeknd’s seductive vocals are already mesmerizing, but when Jennie and Lily-Rose jump in, it’s pure vocal perfection. Jennie’s sultry tone adds fierce contrast, while Lily-Rose’s whispery delivery brings haunting vulnerability. Together, their voices create a hypnotic mix of desire, temptation, and heartbreak. Masterpiece!",@narutootsusuki970,2024-10-03T14:07:34Z
Vibezzzz 🎶,@Debashree_Sonowal_24,2024-10-01T17:50:27Z
"Great song,but did P.diddy write the lyrics?😮",@DreamKat,2024-09-26T12:48:26Z
"Vocals are always impressive, even if the lyrics are goofy 🙃",@Rollypolly1064,2024-09-25T05:09:56Z
The voices are cold the verses chilling but the beat is legendary,@SSStarEcho,2024-09-19T18:15:39Z
"Music is good,but the lyrics 🤮..",@DreamKat,2024-09-19T17:27:27Z
Im addicted to this song its just so relaxing it express emotions and many stuff hope they make more songs like this ❤,@Diki2411,2024-09-19T15:45:14Z
Bro the beat is fire the voices are fire just omgggg🔥😩🙏,@thethingsyouneedtoseeandth701,2024-09-14T20:47:34Z
Jennie vibe>>>🔥🤧💅,@ember-r7y,2024-09-14T16:10:40Z
wtf is that lyrics man,@creaspercreasp3409,2024-09-11T18:30:16Z
"Weeknd🗿,Jennie🗿,lily🗿,the song🗿,the beat🗿,the lyrics🗿",@aliaali5117,2024-09-08T17:28:35Z
That synth in the end of the song is 🔥,@AndresDiSevo,2024-09-06T04:26:08Z
"The Weeknd's music is a mesmerizing blend of R&B, pop, and alternative, creating an unforgettable sound that captivates fans globally. If you're reading this, may your day be filled with moments of pure joy and deep peace. Life can be challenging, but your inner strength and kindness make the world a better place. Always remember the incredible impact you have on those around you.",@Relaxpops333,2024-09-06T01:41:12Z
never will get tired to this songs their voices and the beat is just fire,@devsyyy,2024-09-02T11:19:38Z
The Beat 🤯,@SlimShady-lg4pf,2024-08-31T09:21:40Z
